# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  34               3.63010209E-02   2.40915321E+02   8.38314404E-01   1.60509877E-01   5.90404558E-04   3.51624010E-04   1.42548494E-04   5.72847673E-05   2.29890910E-05   0.00000000E+00  
  35               4.12563043E-02   2.49130035E+02   8.38314404E-01   1.60509877E-01   5.90404557E-04   3.51624008E-04   1.42548493E-04   5.72847672E-05   2.29890910E-05   0.00000000E+00  
  36               4.68826126E-02   2.56363812E+02   8.38314404E-01   1.60509877E-01   5.90404535E-04   3.51623995E-04   1.42548488E-04   5.72847650E-05   2.29890910E-05   0.00000000E+00  
  37               5.32674903E-02   2.65235615E+02   8.38314404E-01   1.60509877E-01   5.90404561E-04   3.51624011E-04   1.42548494E-04   5.72847676E-05   2.29890910E-05   0.00000000E+00  
  38               6.05069202E-02   2.73489813E+02   8.38314404E-01   1.60509877E-01   5.90404562E-04   3.51624011E-04   1.42548494E-04   5.72847676E-05   2.29890910E-05   0.00000000E+00  
  39               6.87011409E-02   2.84354747E+02   8.38314404E-01   1.60509877E-01   5.90404562E-04   3.51624012E-04   1.42548494E-04   5.72847677E-05   2.29890910E-05   0.00000000E+00  
  40               7.79523943E-02   2.95591660E+02   8.38314404E-01   1.60509877E-01   5.90404563E-04   3.51624012E-04   1.42548495E-04   5.72847678E-05   2.29890910E-05   0.00000000E+00  
  41               8.83948968E-02   3.07127378E+02   8.38314404E-01   1.60509877E-01   5.90404563E-04   3.51624012E-04   1.42548495E-04   5.72847678E-05   2.29890910E-05   0.00000000E+00  
  42               1.00178677E-01   3.19065249E+02   8.38314404E-01   1.60509877E-01   5.90404567E-04   3.51624015E-04   1.42548496E-04   5.72847682E-05   2.29890910E-05   0.00000000E+00  
  43               1.13472095E-01   3.31333715E+02   8.38314403E-01   1.60509877E-01   5.90404567E-04   3.51624015E-04   1.42548496E-04   5.72847682E-05   2.29890910E-05   0.00000000E+00  
  44               1.28463534E-01   3.44038129E+02   8.38314403E-01   1.60509877E-01   5.90404584E-04   3.51624024E-04   1.42548500E-04   5.72847698E-05   2.29890909E-05   0.00000000E+00  
  45               1.45365430E-01   3.57104010E+02   8.38314383E-01   1.60509873E-01   5.90404569E-04   3.51624016E-04   1.42548496E-04   5.72847684E-05   2.29890903E-05   0.00000000E+00  
  46               1.64420077E-01   3.70642258E+02   8.38314385E-01   1.60509870E-01   5.90404914E-04   3.51624221E-04   1.42548579E-04   5.72848018E-05   2.29890899E-05   0.00000000E+00  
  47               1.85890975E-01   3.84573925E+02   8.38314387E-01   1.60509868E-01   5.90404912E-04   3.51624220E-04   1.42548579E-04   5.72848016E-05   2.29890897E-05   0.00000000E+00  
  48               2.10063621E-01   3.99005786E+02   8.38314391E-01   1.60509864E-01   5.90404906E-04   3.51624217E-04   1.42548578E-04   5.72848011E-05   2.29890890E-05   0.00000000E+00  
  49               2.37251823E-01   4.13848987E+02   8.38313988E-01   1.60509775E-01   5.90404596E-04   3.51624032E-04   1.42548503E-04   5.72847710E-05   2.29890764E-05   0.00000000E+00  
  50               2.67797337E-01   4.29208854E+02   8.38314034E-01   1.60509714E-01   5.90411457E-04   3.51628118E-04   1.42550159E-04   5.72854367E-05   2.29890677E-05   0.00000000E+00  
  51               3.02094510E-01   4.44993048E+02   8.38314055E-01   1.60509674E-01   5.90411397E-04   3.51628082E-04   1.42550145E-04   5.72854309E-05   2.29890619E-05   0.00000000E+00  
  52               3.40574194E-01   4.61317304E+02   8.38313727E-01   1.60509538E-01   5.90411251E-04   3.51627996E-04   1.42550110E-04   5.72854167E-05   2.29890425E-05   0.00000000E+00  
  53               3.83699997E-01   4.78079629E+02   8.38313557E-01   1.60509699E-01   5.90416190E-04   3.51630937E-04   1.42551302E-04   5.72858959E-05   2.29890655E-05   0.00000000E+00  
  54               4.31972547E-01   4.95397582E+02   8.38311152E-01   1.60508949E-01   5.90413932E-04   3.51629592E-04   1.42550757E-04   5.72856768E-05   2.29889581E-05   0.00000000E+00  
  55               4.85972116E-01   5.13167889E+02   8.38311746E-01   1.60508273E-01   5.90456255E-04   3.51654798E-04   1.42560975E-04   5.72897833E-05   2.29888612E-05   0.00000000E+00  
  56               5.46353498E-01   5.31524462E+02   8.38312405E-01   1.60507616E-01   5.90455524E-04   3.51654363E-04   1.42560799E-04   5.72897123E-05   2.29887671E-05   0.00000000E+00  
  57               6.13861335E-01   5.50362730E+02   8.38313383E-01   1.60506641E-01   5.90453857E-04   3.51653370E-04   1.42560396E-04   5.72895506E-05   2.29886275E-05   0.00000000E+00  
  58               6.89295465E-01   5.69824373E+02   8.38314739E-01   1.60505290E-01   5.90451541E-04   3.51651990E-04   1.42559837E-04   5.72893258E-05   2.29884340E-05   0.00000000E+00  
  59               7.73502536E-01   5.89784372E+02   8.38316446E-01   1.60503588E-01   5.90448618E-04   3.51650250E-04   1.42559131E-04   5.72890423E-05   2.29881903E-05   0.00000000E+00  
  60               8.67383979E-01   6.10380175E+02   8.38318440E-01   1.60501601E-01   5.90445192E-04   3.51648209E-04   1.42558304E-04   5.72887098E-05   2.29879057E-05   0.00000000E+00  
  61               9.71966124E-01   6.31476334E+02   8.38320573E-01   1.60499476E-01   5.90441528E-04   3.51646027E-04   1.42557420E-04   5.72883543E-05   2.29876013E-05   0.00000000E+00  
  62               1.08848795E+00   6.53243037E+02   8.38322733E-01   1.60497323E-01   5.90437792E-04   3.51643802E-04   1.42556518E-04   5.72879919E-05   2.29872929E-05   0.00000000E+00  
  63               1.21829590E+00   6.75550506E+02   8.38324790E-01   1.60495272E-01   5.90434229E-04   3.51641680E-04   1.42555657E-04   5.72876462E-05   2.29869992E-05   0.00000000E+00  
  64               1.36276820E+00   6.98556371E+02   8.38326692E-01   1.60493372E-01   5.90430940E-04   3.51639721E-04   1.42554863E-04   5.72873270E-05   2.29867271E-05   0.00000000E+00  
  65               1.52331452E+00   7.22094790E+02   8.38328358E-01   1.60491676E-01   5.90428040E-04   3.51637995E-04   1.42554163E-04   5.72870457E-05   2.29864841E-05   0.00000000E+00  
  66               1.70138310E+00   7.46305842E+02   8.38329845E-01   1.60490185E-01   5.90426093E-04   3.51636835E-04   1.42553693E-04   5.72868568E-05   2.29862704E-05   0.00000000E+00  
  67               1.89864852E+00   7.71018389E+02   8.38330912E-01   1.60488861E-01   5.90423817E-04   3.51635479E-04   1.42553143E-04   5.72866359E-05   2.29860808E-05   0.00000000E+00  
  68               2.11738375E+00   7.96441751E+02   8.38332013E-01   1.60487752E-01   5.90426398E-04   3.51637016E-04   1.42553767E-04   5.72868864E-05   2.29859217E-05   0.00000000E+00  
  69               2.36001476E+00   8.22433683E+02   8.38332775E-01   1.60486775E-01   5.90424635E-04   3.51635966E-04   1.42553341E-04   5.72867153E-05   2.29857811E-05   0.00000000E+00  
  70               2.62895737E+00   8.49170993E+02   8.38333575E-01   1.60485961E-01   5.90426329E-04   3.51636975E-04   1.42553750E-04   5.72868797E-05   2.29857367E-05   0.00000000E+00  
  71               2.92660035E+00   8.76458768E+02   8.38334246E-01   1.60485263E-01   5.90425199E-04   3.51636303E-04   1.42553477E-04   5.72867701E-05   2.29925739E-05   0.00000000E+00  
  72               3.25528562E+00   9.04437862E+02   8.38334789E-01   1.60484646E-01   5.90424357E-04   3.51635801E-04   1.42553275E-04   5.72866883E-05   2.30098132E-05   0.00000000E+00  
  73               3.61735738E+00   9.32878584E+02   8.38335164E-01   1.60484081E-01   5.90424062E-04   3.51635625E-04   1.42553207E-04   5.72866597E-05   2.30530080E-05   0.00000000E+00  
  74               4.01616527E+00   9.61979639E+02   8.38335284E-01   1.60483510E-01   5.90424879E-04   3.51636112E-04   1.42553417E-04   5.72867390E-05   2.31582138E-05   0.00000000E+00  
  75               4.45555490E+00   9.91581769E+02   8.38334621E-01   1.60482799E-01   5.90427869E-04   3.51637892E-04   1.42554187E-04   5.72870291E-05   2.34008419E-05   0.00000000E+00  
  76               4.93936451E+00   1.02187079E+03   8.38333585E-01   1.60482041E-01   5.90443405E-04   3.51647145E-04   1.42558109E-04   5.72885365E-05   2.42889990E-05   0.00000000E+00  
  77               5.47150223E+00   1.05264286E+03   8.38334368E-01   1.60481266E-01   5.90441670E-04   3.51646111E-04   1.42558262E-04   5.72883683E-05   2.42888240E-05   0.00000000E+00  
  78               6.05611090E+00   1.08407079E+03   8.38335455E-01   1.60480187E-01   5.90439264E-04   3.51644672E-04   1.42559509E-04   5.72881355E-05   2.42885683E-05   0.00000000E+00  
  79               6.69738544E+00   1.11593370E+03   8.38337001E-01   1.60478641E-01   5.90436007E-04   3.51642705E-04   1.42564333E-04   5.72878228E-05   2.42881903E-05   0.00000000E+00  
  80               7.40001561E+00   1.14840809E+03   8.38339241E-01   1.60476385E-01   5.90431426E-04   3.51639840E-04   1.42579711E-04   5.72873950E-05   2.42876281E-05   0.00000000E+00  
  81               8.17092102E+00   1.18136112E+03   8.38342414E-01   1.60473157E-01   5.90424727E-04   3.51635225E-04   1.42624489E-04   5.72868213E-05   2.42868095E-05   0.00000000E+00  
  82               9.01738929E+00   1.21502864E+03   8.38346816E-01   1.60468610E-01   5.90413683E-04   3.51625984E-04   1.42746614E-04   5.72860744E-05   2.42856326E-05   0.00000000E+00  
  83               9.94664428E+00   1.24922225E+03   8.38352607E-01   1.60462477E-01   5.90391133E-04   3.51601912E-04   1.43062476E-04   5.72851805E-05   2.42839969E-05   0.00000000E+00  
  84               1.09658257E+01   1.28412134E+03   8.38359858E-01   1.60454462E-01   5.90331927E-04   3.51527051E-04   1.43837009E-04   5.72842405E-05   2.42817690E-05   0.00000000E+00  
  85               1.20820012E+01   1.31949057E+03   8.38368230E-01   1.60444526E-01   5.90153880E-04   3.51284255E-04   1.45626849E-04   5.72835347E-05   2.42788362E-05   0.00000000E+00  
  86               1.33023356E+01   1.35548726E+03   8.38377244E-01   1.60432661E-01   5.89614340E-04   3.50531817E-04   1.49467711E-04   5.72835117E-05   2.42750256E-05   0.00000000E+00  
  87               1.46349396E+01   1.39188724E+03   8.38386320E-01   1.60419269E-01   5.88087195E-04   3.48403668E-04   1.56974684E-04   5.72847307E-05   2.42701460E-05   0.00000000E+00  
  88               1.60958038E+01   1.42905140E+03   8.38396164E-01   1.60404823E-01   5.84228774E-04   3.43111737E-04   1.70019250E-04   5.72873350E-05   2.42637064E-05   0.00000000E+00  
  89               1.77069921E+01   1.46700070E+03   8.38409346E-01   1.60390456E-01   5.75794174E-04   3.31934087E-04   1.89694414E-04   5.72904865E-05   2.42546185E-05   0.00000000E+00  
  90               1.94957527E+01   1.50619794E+03   8.38429933E-01   1.60377275E-01   5.60410991E-04   3.12719705E-04   2.15127335E-04   5.72923377E-05   2.42396133E-05   0.00000000E+00  
  91               2.14917310E+01   1.54663141E+03   8.38458060E-01   1.60365913E-01   5.38003947E-04   2.86915720E-04   2.43379722E-04   5.72916909E-05   2.42095990E-05   0.00000000E+00  
  92               2.37162043E+01   1.58846318E+03   8.38488242E-01   1.60355680E-01   5.12324783E-04   2.58913579E-04   2.71770166E-04   5.72928534E-05   2.41392258E-05   0.00000000E+00  
  93               2.61734144E+01   1.63111351E+03   8.38501368E-01   1.60343593E-01   4.88748359E-04   2.31881493E-04   2.98749737E-04   5.72894511E-05   2.39660259E-05   0.00000000E+00  
  94               2.88330471E+01   1.67397164E+03   8.38515508E-01   1.60334280E-01   4.78532652E-04   2.04171743E-04   3.26314577E-04   5.73121261E-05   2.28081574E-05   0.00000000E+00  
  95               3.16537862E+01   1.71602665E+03   8.38531988E-01   1.60326376E-01   4.59108492E-04   1.83065075E-04   3.47345513E-04   5.73107520E-05   2.27524209E-05   0.00000000E+00  
  96               3.45820427E+01   1.75678032E+03   8.38539325E-01   1.60318807E-01   4.43931935E-04   1.64515576E-04   3.65794465E-04   5.73095282E-05   2.26574789E-05   0.00000000E+00  
  97               3.77259644E+01   1.79750325E+03   8.38531343E-01   1.60310309E-01   4.35320600E-04   1.47090225E-04   3.83102355E-04   5.73102824E-05   2.24664401E-05   0.00000000E+00  
  98               4.08588427E+01   1.83558495E+03   8.38500502E-01   1.60300113E-01   4.36982344E-04   1.30779995E-04   3.99289048E-04   5.73166871E-05   2.21342793E-05   0.00000000E+00  
  99               4.38150434E+01   1.86937851E+03   8.38448803E-01   1.60288817E-01   4.50073905E-04   1.15800059E-04   4.14168772E-04   5.73230356E-05   2.16904863E-05   0.00000000E+00  
  100              4.69608571E+01   1.90354036E+03   8.38383536E-01   1.60277805E-01   4.76947498E-04   1.00242683E-04   4.29635635E-04   5.73354213E-05   2.11375842E-05   0.00000000E+00  
  101              5.02694458E+01   1.93744536E+03   8.38323863E-01   1.60264550E-01   4.69314533E-04   9.25194858E-05   4.37210466E-04   5.73557678E-05   2.11143498E-05   0.00000000E+00  
