# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   4.24808811E+02   8.38454276E-01   1.60501723E-01   1.79409735E-22   3.62558023E-04   4.12486123E-04   1.75219383E-04   5.88591144E-05   2.29859907E-05  
  2                2.62109349E-05   4.47508007E+02   8.38454249E-01   1.60501739E-01   2.56715471E-21   3.62558021E-04   4.12486121E-04   1.75219382E-04   5.88591141E-05   2.29859930E-05  
  3                4.60083781E-05   4.62399552E+02   8.38454243E-01   1.60501746E-01   1.28917558E-20   3.62558046E-04   4.12486149E-04   1.75219394E-04   5.88591181E-05   2.29859939E-05  
  4                7.05639987E-05   4.66037686E+02   8.38454220E-01   1.60501767E-01   1.62393955E-20   3.62558096E-04   4.12486206E-04   1.75219418E-04   5.88591263E-05   2.29859970E-05  
  5                1.01107365E-04   4.77573167E+02   8.38454217E-01   1.60501771E-01   5.31498210E-20   3.62558131E-04   4.12486246E-04   1.75219435E-04   5.88591320E-05   2.29859975E-05  
  6                1.39109826E-04   4.80679571E+02   8.38454194E-01   1.60501792E-01   6.47261768E-20   3.62558195E-04   4.12486319E-04   1.75219466E-04   5.88591424E-05   2.29860006E-05  
  7                1.86418106E-04   4.91614384E+02   8.38454193E-01   1.60501794E-01   1.89316664E-19   3.62558240E-04   4.12486370E-04   1.75219488E-04   5.88591496E-05   2.29860008E-05  
  8                2.45293737E-04   4.94900220E+02   8.38454171E-01   1.60501815E-01   2.35619142E-19   3.62558317E-04   4.12486458E-04   1.75219525E-04   5.88591622E-05   2.29860039E-05  
  9                3.18575174E-04   5.05678821E+02   8.38454171E-01   1.60501815E-01   6.43641173E-19   3.62558374E-04   4.12486522E-04   1.75219552E-04   5.88591714E-05   2.29860039E-05  
  10               4.09743277E-04   5.09353927E+02   8.38454148E-01   1.60501838E-01   8.26831304E-19   3.62558464E-04   4.12486625E-04   1.75219596E-04   5.88591860E-05   2.29860071E-05  
  11               5.23185909E-04   5.20114778E+02   8.38454148E-01   1.60501837E-01   2.13631918E-18   3.62558531E-04   4.12486701E-04   1.75219628E-04   5.88591968E-05   2.29860071E-05  
  12               6.64317837E-04   5.24118238E+02   8.38454124E-01   1.60501861E-01   2.79307326E-18   3.62558634E-04   4.12486818E-04   1.75219678E-04   5.88592135E-05   2.29860104E-05  
  13               8.39929467E-04   5.34887595E+02   8.38454124E-01   1.60501861E-01   6.84545619E-18   3.62558720E-04   4.12486915E-04   1.75219719E-04   5.88592275E-05   2.29860104E-05  
  14               1.05839665E-03   5.39184361E+02   8.38454098E-01   1.60501886E-01   9.03608392E-18   3.62558835E-04   4.12487047E-04   1.75219775E-04   5.88592463E-05   2.29860141E-05  
  15               1.33018334E-03   5.50076162E+02   8.38454097E-01   1.60501887E-01   2.12517032E-17   3.62558924E-04   4.12487148E-04   1.75219818E-04   5.88592607E-05   2.29860141E-05  
  16               1.66819765E-03   5.54702995E+02   8.38454068E-01   1.60501915E-01   2.83217179E-17   3.62559053E-04   4.12487295E-04   1.75219880E-04   5.88592816E-05   2.29860181E-05  
  17               2.08852092E-03   5.65855891E+02   8.38454068E-01   1.60501915E-01   6.46982457E-17   3.62559149E-04   4.12487404E-04   1.75219927E-04   5.88592973E-05   2.29860182E-05  
  18               2.61101400E-03   5.70785863E+02   8.38454035E-01   1.60501946E-01   8.66024620E-17   3.62559290E-04   4.12487564E-04   1.75219995E-04   5.88593200E-05   2.29860227E-05  
  19               3.26040231E-03   5.82150437E+02   8.38454033E-01   1.60501948E-01   1.91329753E-16   3.62559405E-04   4.12487695E-04   1.75220050E-04   5.88593387E-05   2.29860229E-05  
  20               4.06727595E-03   5.87256134E+02   8.38453997E-01   1.60501984E-01   2.54208090E-16   3.62559559E-04   4.12487870E-04   1.75220125E-04   5.88593637E-05   2.29860280E-05  
  21               5.06969843E-03   5.98721741E+02   8.38453993E-01   1.60501987E-01   5.39185446E-16   3.62559673E-04   4.12488000E-04   1.75220180E-04   5.88593823E-05   2.29860285E-05  
  22               6.31474800E-03   6.03860022E+02   8.38453946E-01   1.60502030E-01   7.03488395E-16   3.62559840E-04   4.12488190E-04   1.75220261E-04   5.88594094E-05   2.29860346E-05  
  23               7.86094599E-03   6.15412372E+02   8.38453939E-01   1.60502036E-01   1.43470641E-15   3.62560003E-04   4.12488376E-04   1.75220340E-04   5.88594358E-05   2.29860355E-05  
  24               9.78060997E-03   6.20596841E+02   8.38453888E-01   1.60502087E-01   1.84194450E-15   3.62560187E-04   4.12488585E-04   1.75220428E-04   5.88594657E-05   2.29860428E-05  
