# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  34               5.40153539E-02   1.82381146E+02   8.38147915E-01   1.60478014E-01   7.54920673E-04   5.06845737E-04   4.97383776E-05   2.29832168E-05   2.17155005E-05   6.95554275E-06  
  35               6.27427055E-02   1.92719112E+02   8.38137910E-01   1.60476098E-01   7.54925382E-04   5.06848899E-04   4.97386879E-05   2.29829424E-05   2.17156359E-05   6.95558614E-06  
  36               7.28490638E-02   2.01154899E+02   8.37950313E-01   1.60440180E-01   7.54937729E-04   5.06857189E-04   4.97395014E-05   2.29777982E-05   2.17159911E-05   6.95569990E-06  
  37               8.45455181E-02   2.11814966E+02   8.38153179E-01   1.60479022E-01   7.55116131E-04   5.06976966E-04   4.97512555E-05   2.29833611E-05   2.17211229E-05   6.95734363E-06  
  38               9.80806575E-02   2.19864845E+02   8.37722872E-01   1.60396632E-01   7.55093836E-04   5.06961997E-04   4.97497866E-05   2.29715615E-05   2.17204815E-05   6.95713821E-06  
  39               1.13747723E-01   2.30009114E+02   8.38152695E-01   1.60478929E-01   7.55441155E-04   5.07195183E-04   4.97726699E-05   2.29833478E-05   2.17304723E-05   6.96033827E-06  
  40               1.31881352E-01   2.37891852E+02   8.38153304E-01   1.60479046E-01   7.55032197E-04   5.06920613E-04   4.97457254E-05   2.29833645E-05   2.17187085E-05   6.95657029E-06  
  41               1.52878564E-01   2.48292006E+02   8.38152585E-01   1.60478908E-01   7.55514556E-04   5.07244464E-04   4.97775060E-05   2.29833448E-05   2.17325837E-05   6.96101456E-06  
  42               1.77196649E-01   2.56938934E+02   8.38152586E-01   1.60478908E-01   7.55514269E-04   5.07244271E-04   4.97774870E-05   2.29833448E-05   2.17325754E-05   6.96101191E-06  
  43               2.05354265E-01   2.68894341E+02   8.38152592E-01   1.60478909E-01   7.55510249E-04   5.07241573E-04   4.97772222E-05   2.29833450E-05   2.17324598E-05   6.96097488E-06  
  44               2.37874280E-01   2.81305132E+02   8.38152585E-01   1.60478908E-01   7.55514716E-04   5.07244571E-04   4.97775165E-05   2.29833448E-05   2.17325883E-05   6.96101603E-06  
  45               2.75401886E-01   2.94205308E+02   8.38152585E-01   1.60478908E-01   7.55514757E-04   5.07244599E-04   4.97775192E-05   2.29833448E-05   2.17325895E-05   6.96101641E-06  
  46               3.18709348E-01   3.07572200E+02   8.38152585E-01   1.60478908E-01   7.55514763E-04   5.07244603E-04   4.97775196E-05   2.29833448E-05   2.17325896E-05   6.96101646E-06  
  47               3.68647440E-01   3.21498850E+02   8.38152585E-01   1.60478908E-01   7.55514768E-04   5.07244607E-04   4.97775200E-05   2.29833448E-05   2.17325898E-05   6.96101651E-06  
  48               4.26163005E-01   3.35902166E+02   8.38152584E-01   1.60478908E-01   7.55514775E-04   5.07244611E-04   4.97775204E-05   2.29833448E-05   2.17325900E-05   6.96101657E-06  
  49               4.92333599E-01   3.50910311E+02   8.38152584E-01   1.60478908E-01   7.55514782E-04   5.07244616E-04   4.97775208E-05   2.29833448E-05   2.17325902E-05   6.96101664E-06  
  50               5.68423275E-01   3.66413166E+02   8.38152572E-01   1.60478905E-01   7.55514791E-04   5.07244622E-04   4.97775215E-05   2.29833444E-05   2.17325904E-05   6.96101672E-06  
  51               6.55863226E-01   3.82589316E+02   8.38152573E-01   1.60478904E-01   7.55514792E-04   5.07244623E-04   4.97775215E-05   2.29833442E-05   2.17325905E-05   6.96101674E-06  
  52               7.56232136E-01   3.99283449E+02   8.38152574E-01   1.60478904E-01   7.55514845E-04   5.07244658E-04   4.97775250E-05   2.29833442E-05   2.17325920E-05   6.96101722E-06  
  53               8.71253016E-01   4.16689505E+02   8.38152202E-01   1.60478831E-01   7.55514639E-04   5.07244520E-04   4.97775114E-05   2.29833338E-05   2.17325861E-05   6.96101532E-06  
  54               1.00290115E+00   4.34618098E+02   8.38152231E-01   1.60478792E-01   7.55519554E-04   5.07247820E-04   4.97778353E-05   2.29833282E-05   2.17327274E-05   6.96106061E-06  
  55               1.15346345E+00   4.53306790E+02   8.38152209E-01   1.60478783E-01   7.55519562E-04   5.07247825E-04   4.97778358E-05   2.29833270E-05   2.17327277E-05   6.96106068E-06  
  56               1.32542877E+00   4.72537882E+02   8.38151819E-01   1.60478720E-01   7.55519683E-04   5.07247907E-04   4.97778438E-05   2.29833179E-05   2.17327312E-05   6.96106180E-06  
  57               1.52149232E+00   4.92558844E+02   8.38151547E-01   1.60478991E-01   7.55521023E-04   5.07248806E-04   4.97779321E-05   2.29833567E-05   2.17327697E-05   6.96107415E-06  
  58               1.74458421E+00   5.13107441E+02   8.38148885E-01   1.60478435E-01   7.55521100E-04   5.07248857E-04   4.97779371E-05   2.29832771E-05   2.17327719E-05   6.96107485E-06  
  59               1.99834448E+00   5.34484018E+02   8.38149217E-01   1.60478104E-01   7.55521026E-04   5.07248808E-04   4.97779323E-05   2.29832297E-05   2.17327698E-05   6.96107417E-06  
  60               2.28707273E+00   5.56444618E+02   8.38149253E-01   1.60477958E-01   7.55582498E-04   5.07290080E-04   4.97819824E-05   2.29832088E-05   2.17345380E-05   6.96164055E-06  
  61               2.61527898E+00   5.79310696E+02   8.38149475E-01   1.60477738E-01   7.55582124E-04   5.07289829E-04   4.97819578E-05   2.29831772E-05   2.17345273E-05   6.96163711E-06  
  62               2.98750987E+00   6.02749203E+02   8.38149829E-01   1.60477384E-01   7.55582020E-04   5.07289759E-04   4.97819509E-05   2.29831265E-05   2.17345243E-05   6.96163615E-06  
  63               3.40841782E+00   6.27062247E+02   8.38150378E-01   1.60476837E-01   7.55580962E-04   5.07289048E-04   4.97818811E-05   2.29830482E-05   2.17344939E-05   6.96162639E-06  
  64               3.88364858E+00   6.51894495E+02   8.38151155E-01   1.60476062E-01   7.55579436E-04   5.07288024E-04   4.97817806E-05   2.29829372E-05   2.17344500E-05   6.96161233E-06  
  65               4.42060916E+00   6.77681456E+02   8.38152211E-01   1.60475009E-01   7.55577247E-04   5.07286554E-04   4.97816364E-05   2.29827864E-05   2.17343870E-05   6.96159217E-06  
  66               5.02680091E+00   7.04038508E+02   8.38153515E-01   1.60473709E-01   7.55574546E-04   5.07284741E-04   4.97814585E-05   2.29826002E-05   2.17343093E-05   6.96156729E-06  
  67               5.70977731E+00   7.31373323E+02   8.38155050E-01   1.60472174E-01   7.55571160E-04   5.07282468E-04   4.97812353E-05   2.29823803E-05   2.17342119E-05   6.96153608E-06  
  68               6.47722554E+00   7.59191776E+02   8.38156690E-01   1.60470522E-01   7.55567566E-04   5.07280055E-04   4.97809986E-05   2.29821438E-05   2.17341085E-05   6.96150297E-06  
  69               7.33795022E+00   7.87964058E+02   8.38158377E-01   1.60468791E-01   7.55563709E-04   5.07277465E-04   4.97807444E-05   2.29818957E-05   2.17339976E-05   6.96146744E-06  
  70               8.30541221E+00   8.17263354E+02   8.38159888E-01   1.60467083E-01   7.55560305E-04   5.07275179E-04   4.97805201E-05   2.29816509E-05   2.17338997E-05   6.96143607E-06  
  71               9.39406641E+00   8.47717667E+02   8.38161310E-01   1.60465417E-01   7.55557773E-04   5.07273480E-04   4.97803534E-05   2.29814117E-05   2.17338268E-05   6.96141278E-06  
  72               1.06175725E+01   8.78710408E+02   8.38162780E-01   1.60463933E-01   7.55558760E-04   5.07274142E-04   4.97804184E-05   2.29811980E-05   2.17338552E-05   6.96142201E-06  
  73               1.19883610E+01   9.10832520E+02   8.38164123E-01   1.60462556E-01   7.55559940E-04   5.07274935E-04   4.97804961E-05   2.29886879E-05   2.17338892E-05   6.96143369E-06  
  74               1.35174615E+01   9.43256095E+02   8.38165247E-01   1.60461348E-01   7.55557440E-04   5.07273256E-04   4.97803314E-05   2.30079907E-05   2.17338172E-05   6.96141482E-06  
  75               1.52182191E+01   9.76660747E+02   8.38166133E-01   1.60460237E-01   7.55555569E-04   5.07272000E-04   4.97802081E-05   2.30594481E-05   2.17337634E-05   6.96141766E-06  
  76               1.71117186E+01   1.01037013E+03   8.38166579E-01   1.60459229E-01   7.55555306E-04   5.07271824E-04   4.97801908E-05   2.31873616E-05   2.17337559E-05   6.96150549E-06  
  77               1.92197100E+01   1.04517472E+03   8.38166203E-01   1.60458194E-01   7.55558573E-04   5.07274017E-04   4.97804061E-05   2.34958740E-05   2.17338498E-05   6.96190828E-06  
  78               2.15618812E+01   1.08025362E+03   8.38165482E-01   1.60457300E-01   7.55579058E-04   5.07287769E-04   4.97817558E-05   2.42852226E-05   2.17344391E-05   6.96354421E-06  
  79               2.41573152E+01   1.11628885E+03   8.38166202E-01   1.60456571E-01   7.55577071E-04   5.07286431E-04   4.97816253E-05   2.42850285E-05   2.17343822E-05   6.96875638E-06  
  80               2.70280625E+01   1.15255015E+03   8.38166885E-01   1.60455862E-01   7.55574963E-04   5.07284984E-04   4.97814892E-05   2.42847881E-05   2.17343227E-05   6.98644610E-06  
  81               3.01975866E+01   1.18965884E+03   8.38167585E-01   1.60455091E-01   7.55572611E-04   5.07283235E-04   4.97813494E-05   2.42844614E-05   2.17342617E-05   7.04171945E-06  
  82               3.37026059E+01   1.22711177E+03   8.38168278E-01   1.60454209E-01   7.55569863E-04   5.07280523E-04   4.97812463E-05   2.42840097E-05   2.17342166E-05   7.20083808E-06  
  83               3.75838909E+01   1.26551782E+03   8.38168936E-01   1.60453088E-01   7.55564304E-04   5.07272792E-04   4.97812447E-05   2.42833594E-05   2.17342158E-05   7.61680719E-06  
  84               4.18769375E+01   1.30433893E+03   8.38169379E-01   1.60451622E-01   7.55544751E-04   5.07242669E-04   4.97815368E-05   2.42824363E-05   2.17343426E-05   8.59054813E-06  
  85               4.66116238E+01   1.34400458E+03   8.38169440E-01   1.60449622E-01   7.55463438E-04   5.07123156E-04   4.97823769E-05   2.42811143E-05   2.17347066E-05   1.05695804E-05  
