# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  34               1.12220509E-01   5.78468234E+02   8.38520723E-01   1.60524187E-01   2.44303707E-17   4.88464750E-04   3.11455504E-04   5.98225888E-05   6.23065439E-05   2.29914577E-05  
  35               1.29992338E-01   5.99381133E+02   8.38522155E-01   1.60522758E-01   1.11791697E-16   4.88462767E-04   3.11454240E-04   5.98223459E-05   6.23062909E-05   2.29912530E-05  
  36               1.50366082E-01   6.16070424E+02   8.38522908E-01   1.60522007E-01   3.43482778E-16   4.88461679E-04   3.11453546E-04   5.98222126E-05   6.23061521E-05   2.29911455E-05  
  37               1.73662971E-01   6.39975368E+02   8.38524046E-01   1.60520872E-01   1.59003621E-15   4.88460089E-04   3.11452532E-04   5.98220179E-05   6.23059493E-05   2.29909828E-05  
  38               2.00249805E-01   6.60149750E+02   8.38524693E-01   1.60520221E-01   5.24313829E-15   4.88459161E-04   3.11451940E-04   5.98219042E-05   6.23058309E-05   2.29908896E-05  
  39               2.30534053E-01   6.87673099E+02   8.38525531E-01   1.60519371E-01   2.43587655E-14   4.88458030E-04   3.11451219E-04   5.98217657E-05   6.23056867E-05   2.29907678E-05  
  40               2.64935672E-01   7.11847309E+02   8.38525982E-01   1.60518848E-01   8.41616718E-14   4.88457486E-04   3.11450872E-04   5.98216990E-05   6.23056172E-05   2.29906930E-05  
  41               3.03861587E-01   7.44106924E+02   8.38526430E-01   1.60518200E-01   3.95547128E-13   4.88457563E-04   3.11450922E-04   5.98217085E-05   6.23056271E-05   2.29906000E-05  
  42               3.47722482E-01   7.71795991E+02   8.38526590E-01   1.60517797E-01   1.33045392E-12   4.88459840E-04   3.11452373E-04   5.98219873E-05   6.23059175E-05   2.29905419E-05  
  43               3.97147184E-01   8.05562666E+02   8.38526998E-01   1.60517374E-01   5.27310573E-12   4.88462022E-04   3.11453765E-04   5.98222546E-05   6.23061959E-05   2.29904804E-05  
