# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  34               1.54062677E-01   2.93615102E+02   8.38188644E-01   1.60485807E-01   7.28184783E-04   4.81919998E-04   2.00832540E-05   5.30551638E-05   1.46471221E-36   2.29858561E-05  
  35               1.78910386E-01   3.01854334E+02   8.38188644E-01   1.60485807E-01   7.28184805E-04   4.81920013E-04   2.00832546E-05   5.30551654E-05   1.55502762E-35   2.29858561E-05  
  36               2.07685860E-01   3.13875840E+02   8.38188644E-01   1.60485807E-01   7.28184829E-04   4.81920029E-04   2.00832552E-05   5.30551671E-05   4.02193473E-34   2.29858561E-05  
  37               2.40986998E-01   3.23308850E+02   8.38188644E-01   1.60485807E-01   7.28184855E-04   4.81920046E-04   2.00832560E-05   5.30551690E-05   4.27710080E-33   2.29858561E-05  
  38               2.79490296E-01   3.36700657E+02   8.38188643E-01   1.60485806E-01   7.28184883E-04   4.81920065E-04   2.00832567E-05   5.30551711E-05   1.00219032E-31   2.29858561E-05  
  39               3.23928928E-01   3.48027054E+02   8.38188643E-01   1.60485806E-01   7.28184915E-04   4.81920086E-04   2.00832576E-05   5.30551734E-05   1.17717734E-30   2.29858561E-05  
  40               3.75119311E-01   3.64071296E+02   8.38188638E-01   1.60485805E-01   7.28184949E-04   4.81920108E-04   2.00832586E-05   5.30551759E-05   3.04172698E-29   2.29858559E-05  
  41               4.33886775E-01   3.80071739E+02   8.38188638E-01   1.60485804E-01   7.28184984E-04   4.81920132E-04   2.00832595E-05   5.30551784E-05   5.90045915E-28   2.29858558E-05  
  42               5.01296810E-01   3.97336456E+02   8.38188405E-01   1.60485759E-01   7.28185064E-04   4.81920184E-04   2.00832617E-05   5.30551842E-05   1.10808091E-26   2.29858493E-05  
  43               5.78530930E-01   4.14465900E+02   8.38188429E-01   1.60485735E-01   7.28184681E-04   4.81919932E-04   2.00832512E-05   5.30551564E-05   1.59001251E-25   2.29858458E-05  
  44               6.66884855E-01   4.32937508E+02   8.38188424E-01   1.60485728E-01   7.28190120E-04   4.81923531E-04   2.00834012E-05   5.30555526E-05   2.22233936E-24   2.29858449E-05  
  45               7.67848144E-01   4.51260813E+02   8.38188402E-01   1.60485714E-01   7.28190165E-04   4.81923560E-04   2.00834024E-05   5.30555559E-05   2.44589713E-23   2.29858429E-05  
  46               8.83068293E-01   4.71014675E+02   8.38188024E-01   1.60485645E-01   7.28190293E-04   4.81923645E-04   2.00834060E-05   5.30555653E-05   2.63724060E-22   2.29858330E-05  
  47               1.01445790E+00   4.90593045E+02   8.38184931E-01   1.60485347E-01   7.28191620E-04   4.81924523E-04   2.00834425E-05   5.30556619E-05   2.29465452E-21   2.29857903E-05  
  48               1.16414637E+00   5.11704922E+02   8.38185290E-01   1.60484992E-01   7.28189145E-04   4.81922885E-04   2.00833743E-05   5.30554816E-05   1.96730212E-20   2.29857394E-05  
  49               1.33452333E+00   5.32619899E+02   8.38185432E-01   1.60484846E-01   7.28191432E-04   4.81924399E-04   2.00834374E-05   5.30556482E-05   1.39157616E-19   2.29857185E-05  
  50               1.52831725E+00   5.55182325E+02   8.38185617E-01   1.60484556E-01   7.28250166E-04   4.81963270E-04   2.00850572E-05   5.30599276E-05   9.74694417E-19   2.29856770E-05  
  51               1.74846297E+00   5.77510282E+02   8.38186047E-01   1.60484128E-01   7.28249498E-04   4.81962828E-04   2.00850388E-05   5.30598789E-05   5.73549678E-18   2.29856157E-05  
  52               1.99831836E+00   6.01580214E+02   8.38186762E-01   1.60483414E-01   7.28248780E-04   4.81962352E-04   2.00850190E-05   5.30598266E-05   3.34897525E-17   2.29855135E-05  
  53               2.28158334E+00   6.25374341E+02   8.38187736E-01   1.60482443E-01   7.28247002E-04   4.81961176E-04   2.00849700E-05   5.30596971E-05   1.66981830E-16   2.29853744E-05  
