# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   2.97897145E+02   8.38488279E-01   1.60518342E-01   6.56312566E-34   5.28763317E-04   3.71013746E-04   6.04306061E-05   0.00000000E+00   0.00000000E+00  
  2                8.37955528E-05   3.64868493E+02   8.38494465E-01   1.60512165E-01   2.38338300E-27   5.28758974E-04   3.71010699E-04   6.04301097E-05   0.00000000E+00   0.00000000E+00  
  3                1.62646996E-04   3.86886408E+02   8.38494984E-01   1.60511635E-01   1.03050611E-25   5.28763548E-04   3.71013909E-04   6.04306325E-05   0.00000000E+00   0.00000000E+00  
  4                2.51312716E-04   4.11381763E+02   8.38495726E-01   1.60510865E-01   4.74207827E-24   5.28770263E-04   3.71018620E-04   6.04313999E-05   0.00000000E+00   0.00000000E+00  
  5                3.52092126E-04   4.22903820E+02   8.38495382E-01   1.60510736E-01   2.28756815E-23   5.28774312E-04   3.71021461E-04   6.04318627E-05   0.00000000E+00   0.00000000E+00  
  6                4.67803603E-04   4.37941199E+02   8.38495301E-01   1.60510808E-01   1.68111962E-22   5.28778906E-04   3.71024684E-04   6.04323877E-05   0.00000000E+00   0.00000000E+00  
  7                6.01188281E-04   4.45462440E+02   8.38495269E-01   1.60510834E-01   4.09150485E-22   5.28782657E-04   3.71027317E-04   6.04328164E-05   0.00000000E+00   0.00000000E+00  
  8                7.55381347E-04   4.57624638E+02   8.38495392E-01   1.60510704E-01   1.75615461E-21   5.28786116E-04   3.71029744E-04   6.04332118E-05   0.00000000E+00   0.00000000E+00  
  9                9.33890923E-04   4.63471754E+02   8.38495337E-01   1.60510753E-01   3.26464141E-21   5.28789715E-04   3.71032269E-04   6.04336230E-05   0.00000000E+00   0.00000000E+00  
  10               1.14074792E-03   4.74704039E+02   8.38495432E-01   1.60510651E-01   1.13369251E-20   5.28793084E-04   3.71034633E-04   6.04340081E-05   0.00000000E+00   0.00000000E+00  
  11               1.38054205E-03   4.80074722E+02   8.38495379E-01   1.60510698E-01   1.91760023E-20   5.28796605E-04   3.71037103E-04   6.04344105E-05   0.00000000E+00   0.00000000E+00  
  12               1.65858325E-03   4.91157878E+02   8.38495464E-01   1.60510607E-01   6.03867854E-20   5.28799947E-04   3.71039448E-04   6.04347924E-05   0.00000000E+00   0.00000000E+00  
  13               1.98099225E-03   4.96372765E+02   8.38495413E-01   1.60510651E-01   9.71108614E-20   5.28803451E-04   3.71041907E-04   6.04351929E-05   0.00000000E+00   0.00000000E+00  
  14               2.35488151E-03   5.07409465E+02   8.38495489E-01   1.60510570E-01   2.82837804E-19   5.28806809E-04   3.71044263E-04   6.04355767E-05   0.00000000E+00   0.00000000E+00  
  15               2.78844682E-03   5.12593756E+02   8.38495440E-01   1.60510612E-01   4.39694583E-19   5.28810334E-04   3.71046737E-04   6.04359795E-05   0.00000000E+00   0.00000000E+00  
