# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   2.81698060E+01   8.38085491E-01   1.60466064E-01   7.79849548E-04   5.30516765E-04   1.00219746E-04   2.29810613E-05   1.05816673E-05   0.00000000E+00  
  2                5.43175455E-05   3.68918182E+01   8.38085491E-01   1.60466064E-01   7.79849537E-04   5.30516758E-04   1.00219744E-04   2.29810613E-05   1.05816671E-05   0.00000000E+00  
  3                1.08894806E-04   3.93469896E+01   8.38085491E-01   1.60466064E-01   7.79849533E-04   5.30516755E-04   1.00219744E-04   2.29810613E-05   1.05816671E-05   0.00000000E+00  
  4                1.76102256E-04   4.15111059E+01   8.38085491E-01   1.60466064E-01   7.79849531E-04   5.30516753E-04   1.00219744E-04   2.29810613E-05   1.05816670E-05   0.00000000E+00  
  5                2.58847788E-04   4.32223014E+01   8.38085491E-01   1.60466064E-01   7.79849529E-04   5.30516752E-04   1.00219743E-04   2.29810613E-05   1.05816670E-05   0.00000000E+00  
  6                3.60701932E-04   4.53706698E+01   8.38085491E-01   1.60466064E-01   7.79849528E-04   5.30516751E-04   1.00219743E-04   2.29810613E-05   1.05816670E-05   0.00000000E+00  
  7                4.86051136E-04   4.71032321E+01   8.38085491E-01   1.60466064E-01   7.79849526E-04   5.30516750E-04   1.00219743E-04   2.29810613E-05   1.05816670E-05   0.00000000E+00  
  8                6.40273743E-04   4.91611229E+01   8.38085491E-01   1.60466064E-01   7.79849525E-04   5.30516749E-04   1.00219743E-04   2.29810613E-05   1.05816670E-05   0.00000000E+00  
  9                8.29946580E-04   5.07381883E+01   8.38085491E-01   1.60466064E-01   7.79849524E-04   5.30516749E-04   1.00219743E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  10               1.06315780E-03   5.27084483E+01   8.38085491E-01   1.60466064E-01   7.79849523E-04   5.30516748E-04   1.00219743E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  11               1.34975699E-03   5.42490862E+01   8.38085491E-01   1.60466064E-01   7.79849522E-04   5.30516747E-04   1.00219742E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  12               1.70177559E-03   5.62994489E+01   8.38085491E-01   1.60466064E-01   7.79849521E-04   5.30516746E-04   1.00219742E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  13               2.13397104E-03   5.78931149E+01   8.38085491E-01   1.60466064E-01   7.79849520E-04   5.30516746E-04   1.00219742E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  14               2.66419731E-03   6.00787714E+01   8.38085491E-01   1.60466064E-01   7.79849518E-04   5.30516745E-04   1.00219742E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  15               3.31410244E-03   6.17997940E+01   8.38085491E-01   1.60466064E-01   7.79849517E-04   5.30516744E-04   1.00219742E-04   2.29810613E-05   1.05816669E-05   0.00000000E+00  
  16               4.11023067E-03   6.41463329E+01   8.38085491E-01   1.60466064E-01   7.79849516E-04   5.30516743E-04   1.00219742E-04   2.29810613E-05   1.05816668E-05   0.00000000E+00  
