# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.50666993E+02   8.38470073E-01   1.60539361E-01   4.17813816E-41   5.28990246E-04   3.71498471E-04   6.04525013E-05   0.00000000E+00   2.29929043E-05  
  2                1.21949840E-04   3.08870231E+02   8.38474027E-01   1.60535419E-01   4.28631982E-33   5.28981898E-04   3.71492609E-04   6.04515473E-05   0.00000000E+00   2.29923397E-05  
  3                2.39063315E-04   3.27768486E+02   8.38476720E-01   1.60532672E-01   4.09803581E-31   5.28979835E-04   3.71491159E-04   6.04513115E-05   0.00000000E+00   2.29919463E-05  
  4                3.68417202E-04   3.49354249E+02   8.38482785E-01   1.60526624E-01   4.65058122E-29   5.28971923E-04   3.71485603E-04   6.04504074E-05   0.00000000E+00   2.29910800E-05  
  5                5.12985703E-04   3.59611581E+02   8.38484082E-01   1.60525307E-01   3.36312857E-28   5.28982240E-04   3.71492848E-04   6.04515863E-05   0.00000000E+00   2.29908915E-05  
  6                6.75847806E-04   3.75317195E+02   8.38487468E-01   1.60521641E-01   6.22910728E-27   5.28978355E-04   3.71490120E-04   6.04511424E-05   0.00000000E+00   2.29903664E-05  
  7                8.60048086E-04   3.82180472E+02   8.38487775E-01   1.60521333E-01   1.94151511E-26   5.28978833E-04   3.71490456E-04   6.04511970E-05   0.00000000E+00   2.29903222E-05  
  8                1.06895891E-03   3.95824719E+02   8.38490162E-01   1.60518950E-01   1.86436304E-25   5.28976762E-04   3.71489001E-04   6.04509603E-05   0.00000000E+00   2.29899810E-05  
  9                1.30609714E-03   4.02061634E+02   8.38490347E-01   1.60518763E-01   4.72629667E-25   5.28977471E-04   3.71489500E-04   6.04510414E-05   0.00000000E+00   2.29899541E-05  
  10               1.57535467E-03   4.15959160E+02   8.38491463E-01   1.60516704E-01   3.82793359E-24   5.28975702E-04   3.71488257E-04   6.04508392E-05   0.00000000E+00   2.29896593E-05  
  11               1.88103754E-03   4.22521623E+02   8.38491689E-01   1.60516384E-01   9.35546034E-24   5.29010892E-04   3.71512971E-04   6.04548607E-05   0.00000000E+00   2.29896134E-05  
  12               2.22860691E-03   4.35489053E+02   8.38492871E-01   1.60515138E-01   5.49090964E-23   5.29012852E-04   3.71514347E-04   6.04550847E-05   0.00000000E+00   2.29894349E-05  
  13               2.62391534E-03   4.41932310E+02   8.38492657E-01   1.60514959E-01   1.22151649E-22   5.29013732E-04   3.71514965E-04   6.04551852E-05   0.00000000E+00   2.29894094E-05  
  14               3.07441380E-03   4.53297135E+02   8.38491155E-01   1.60514078E-01   5.02546414E-22   5.29014427E-04   3.71515453E-04   6.04552647E-05   0.00000000E+00   2.29892832E-05  
  15               3.58807891E-03   4.59263301E+02   8.38491405E-01   1.60513829E-01   9.89449472E-22   5.29014020E-04   3.71515167E-04   6.04552181E-05   0.00000000E+00   2.29892475E-05  
  16               4.17398550E-03   4.70441213E+02   8.38491975E-01   1.60513258E-01   3.58426302E-21   5.29014119E-04   3.71515236E-04   6.04552295E-05   0.00000000E+00   2.29891658E-05  
  17               4.84225064E-03   4.76505721E+02   8.38492016E-01   1.60513216E-01   6.78754156E-21   5.29014991E-04   3.71515849E-04   6.04553292E-05   0.00000000E+00   2.29891598E-05  
