# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  34               5.47203185E-01   7.17789394E+02   8.38426999E-01   1.60502732E-01   7.97133247E-14   4.44607257E-04   3.25196850E-04   2.06466995E-04   5.85807870E-05   2.29879003E-05  
  35               6.28199568E-01   7.41913421E+02   8.38427486E-01   1.60502026E-01   2.47531098E-13   4.44613055E-04   3.25201091E-04   2.06469687E-04   5.85815509E-05   2.29877991E-05  
  36               7.19838665E-01   7.67315126E+02   8.38428016E-01   1.60501424E-01   7.56229202E-13   4.44618291E-04   3.25204921E-04   2.06472119E-04   5.85822408E-05   2.29877127E-05  
  37               8.23337772E-01   7.94547630E+02   8.38428346E-01   1.60500848E-01   2.31732721E-12   4.44626132E-04   3.25210656E-04   2.06475760E-04   5.85832740E-05   2.29876299E-05  
  38               9.40132107E-01   8.23116609E+02   8.38428793E-01   1.60500372E-01   6.92954745E-12   4.44634326E-04   3.25216649E-04   2.06479565E-04   5.85843536E-05   2.29876638E-05  
  39               1.07177298E+00   8.53452130E+02   8.38429192E-01   1.60499924E-01   2.04826864E-11   4.44640241E-04   3.25220976E-04   2.06482312E-04   5.85851329E-05   2.29950059E-05  
  40               1.21977827E+00   8.84904530E+02   8.38429518E-01   1.60499472E-01   5.82202277E-11   4.44646453E-04   3.25225520E-04   2.06485197E-04   5.85859514E-05   2.30172778E-05  
  41               1.38561497E+00   9.17798849E+02   8.38429732E-01   1.60498906E-01   1.60814971E-10   4.44653237E-04   3.25230482E-04   2.06488347E-04   5.85868453E-05   2.30864335E-05  
  42               1.57080068E+00   9.51397208E+02   8.38429245E-01   1.60497973E-01   4.21665079E-10   4.44661385E-04   3.25236443E-04   2.06492131E-04   5.85879189E-05   2.32855878E-05  
  43               1.77740022E+00   9.86037325E+02   8.38428608E-01   1.60496579E-01   1.06268491E-09   4.44673638E-04   3.25245412E-04   2.06497821E-04   5.85895332E-05   2.42912143E-05  
  44               2.00793060E+00   1.02094536E+03   8.38430680E-01   1.60494484E-01   2.52617679E-09   4.44685204E-04   3.25253904E-04   2.06503192E-04   5.85910572E-05   2.42908362E-05  
  45               2.26517867E+00   1.05635342E+03   8.38434235E-01   1.60490936E-01   5.72473530E-09   4.44687207E-04   3.25255499E-04   2.06504120E-04   5.85913212E-05   2.42901923E-05  
  46               2.55213268E+00   1.09157194E+03   8.38439803E-01   1.60485379E-01   1.22192824E-08   4.44686630E-04   3.25255583E-04   2.06503844E-04   5.85912464E-05   2.42891761E-05  
  47               2.87198898E+00   1.12701537E+03   8.38448040E-01   1.60477151E-01   2.49312493E-08   4.44682484E-04   3.25254376E-04   2.06501864E-04   5.85907076E-05   2.42876497E-05  
  48               3.22842224E+00   1.16216867E+03   8.38459026E-01   1.60466160E-01   4.83055226E-08   4.44674725E-04   3.25254890E-04   2.06497950E-04   5.85897269E-05   2.42855581E-05  
