# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              NH3             
  34               3.44025829E-02   1.97286758E+02   8.38155312E-01   1.60479419E-01   6.97351278E-04   4.53283287E-04   4.00801204E-05   5.46247896E-05   2.29849715E-05   1.16523502E-05  
  35               3.96826133E-02   2.06715250E+02   8.37661471E-01   1.60384865E-01   6.97396339E-04   4.53312577E-04   4.00827102E-05   5.46283194E-05   2.29714287E-05   1.16531032E-05  
  36               4.57529533E-02   2.16149527E+02   8.38222520E-01   1.60492287E-01   6.97841533E-04   4.53601956E-04   4.01082977E-05   5.46631922E-05   2.29868145E-05   1.16605421E-05  
  37               5.27274402E-02   2.25850515E+02   8.38222683E-01   1.60492319E-01   6.97733368E-04   4.53531648E-04   4.01020809E-05   5.46547195E-05   2.29868190E-05   1.16587347E-05  
  38               6.07491871E-02   2.33697329E+02   8.38222984E-01   1.60492376E-01   6.97534741E-04   4.53402538E-04   4.00906648E-05   5.46391606E-05   2.29868273E-05   1.16554158E-05  
  39               6.99823830E-02   2.42901284E+02   8.38222459E-01   1.60492276E-01   6.97881391E-04   4.53627864E-04   4.01105885E-05   5.46663143E-05   2.29868129E-05   1.16612081E-05  
  40               8.06126262E-02   2.50980384E+02   8.38222459E-01   1.60492276E-01   6.97881284E-04   4.53627794E-04   4.01105824E-05   5.46663060E-05   2.29868129E-05   1.16612063E-05  
  41               9.28473411E-02   2.60874697E+02   8.38222460E-01   1.60492276E-01   6.97880886E-04   4.53627536E-04   4.01105595E-05   5.46662748E-05   2.29868129E-05   1.16611997E-05  
  42               1.06918677E-01   2.70183290E+02   8.38222465E-01   1.60492277E-01   6.97877804E-04   4.53625532E-04   4.01103824E-05   5.46660334E-05   2.29868130E-05   1.16611482E-05  
  43               1.23064454E-01   2.82568083E+02   8.38222459E-01   1.60492276E-01   6.97881500E-04   4.53627934E-04   4.01105948E-05   5.46663229E-05   2.29868129E-05   1.16612099E-05  
  44               1.41547201E-01   2.94499439E+02   8.38222459E-01   1.60492276E-01   6.97881548E-04   4.53627966E-04   4.01105975E-05   5.46663266E-05   2.29868129E-05   1.16612107E-05  
  45               1.62711496E-01   3.07734728E+02   8.38222459E-01   1.60492276E-01   6.97881565E-04   4.53627977E-04   4.01105985E-05   5.46663280E-05   2.29868129E-05   1.16612110E-05  
  46               1.86941015E-01   3.20552723E+02   8.38222459E-01   1.60492276E-01   6.97881583E-04   4.53627989E-04   4.01105996E-05   5.46663294E-05   2.29868129E-05   1.16612113E-05  
  47               2.14666170E-01   3.34731595E+02   8.38222458E-01   1.60492275E-01   6.97881604E-04   4.53628002E-04   4.01106007E-05   5.46663310E-05   2.29868128E-05   1.16612117E-05  
  48               2.46369636E-01   3.48506434E+02   8.38222458E-01   1.60492275E-01   6.97881627E-04   4.53628017E-04   4.01106020E-05   5.46663328E-05   2.29868128E-05   1.16612120E-05  
  49               2.82605454E-01   3.63723828E+02   8.38222453E-01   1.60492274E-01   6.97881662E-04   4.53628040E-04   4.01106041E-05   5.46663356E-05   2.29868126E-05   1.16612126E-05  
  50               3.23995977E-01   3.78532320E+02   8.38222454E-01   1.60492273E-01   6.97881682E-04   4.53628053E-04   4.01106053E-05   5.46663372E-05   2.29868125E-05   1.16612130E-05  
  51               3.71222773E-01   3.94861263E+02   8.38222069E-01   1.60492198E-01   6.97881768E-04   4.53628109E-04   4.01106102E-05   5.46663439E-05   2.29868018E-05   1.16612144E-05  
  52               4.25031411E-01   4.10738866E+02   8.38222109E-01   1.60492159E-01   6.97881252E-04   4.53627773E-04   4.01105805E-05   5.46663034E-05   2.29867962E-05   1.16612058E-05  
  53               4.86260363E-01   4.28219345E+02   8.38222106E-01   1.60492151E-01   6.97886789E-04   4.53631372E-04   4.01108987E-05   5.46667372E-05   2.29867951E-05   1.16612983E-05  
  54               5.55882561E-01   4.45212957E+02   8.38222104E-01   1.60492137E-01   6.97886813E-04   4.53631388E-04   4.01109002E-05   5.46667391E-05   2.29867930E-05   1.16612987E-05  
  55               6.34977041E-01   4.63919087E+02   8.38221728E-01   1.60492045E-01   6.97886857E-04   4.53631417E-04   4.01109027E-05   5.46667425E-05   2.29867799E-05   1.16612994E-05  
  56               7.24717738E-01   4.82080049E+02   8.38221475E-01   1.60492296E-01   6.97888162E-04   4.53632265E-04   4.01109777E-05   5.46668447E-05   2.29868158E-05   1.16613212E-05  
  57               8.26387748E-01   5.02045434E+02   8.38218885E-01   1.60491677E-01   6.97888165E-04   4.53632267E-04   4.01109778E-05   5.46668450E-05   2.29867271E-05   1.16613213E-05  
  58               9.41450241E-01   5.21397567E+02   8.38219316E-01   1.60491246E-01   6.97887993E-04   4.53632155E-04   4.01109680E-05   5.46668315E-05   2.29866653E-05   1.16613184E-05  
  59               1.07170506E+00   5.42694810E+02   8.38219562E-01   1.60490900E-01   6.97943817E-04   4.53668441E-04   4.01141764E-05   5.46712043E-05   2.29866158E-05   1.16622512E-05  
  60               1.21914582E+00   5.63357160E+02   8.38220058E-01   1.60490406E-01   6.97942995E-04   4.53667907E-04   4.01141292E-05   5.46711400E-05   2.29865450E-05   1.16622375E-05  
  61               1.38584573E+00   5.86088996E+02   8.38220895E-01   1.60489571E-01   6.97941582E-04   4.53666988E-04   4.01140480E-05   5.46710292E-05   2.29864255E-05   1.16622139E-05  
  62               1.57397444E+00   6.08089201E+02   8.38221980E-01   1.60488489E-01   6.97940086E-04   4.53666016E-04   4.01139620E-05   5.46709121E-05   2.29862705E-05   1.16621889E-05  
  63               1.78582306E+00   6.32222839E+02   8.38223540E-01   1.60486933E-01   6.97937204E-04   4.53664143E-04   4.01137964E-05   5.46706863E-05   2.29860477E-05   1.16621407E-05  
  64               2.02442649E+00   6.55561450E+02   8.38225244E-01   1.60485235E-01   6.97933874E-04   4.53661978E-04   4.01136050E-05   5.46704254E-05   2.29858045E-05   1.16620851E-05  
  65               2.29317630E+00   6.81191605E+02   8.38227328E-01   1.60483158E-01   6.97929801E-04   4.53659330E-04   4.01133708E-05   5.46701064E-05   2.29855070E-05   1.16620170E-05  
  66               2.59551782E+00   7.05973446E+02   8.38229281E-01   1.60481209E-01   6.97925780E-04   4.53656717E-04   4.01131398E-05   5.46697914E-05   2.29852278E-05   1.16619498E-05  
  67               2.93497756E+00   7.33086340E+02   8.38231383E-01   1.60479104E-01   6.97921515E-04   4.53653945E-04   4.01128946E-05   5.46694573E-05   2.29849262E-05   1.16618785E-05  
  68               3.31517995E+00   7.59239121E+02   8.38233139E-01   1.60477319E-01   6.97917836E-04   4.53651553E-04   4.01126832E-05   5.46691692E-05   2.29846705E-05   1.16618171E-05  
  69               3.74054807E+00   7.87737637E+02   8.38234759E-01   1.60475501E-01   6.97914431E-04   4.53649340E-04   4.01124875E-05   5.46689025E-05   2.29844100E-05   1.16617602E-05  
  70               4.21736627E+00   8.15336040E+02   8.38236133E-01   1.60474054E-01   6.97912145E-04   4.53647854E-04   4.01123561E-05   5.46687234E-05   2.29842025E-05   1.16617220E-05  
  71               4.75200650E+00   8.45406816E+02   8.38237353E-01   1.60472629E-01   6.97913582E-04   4.53648788E-04   4.01124387E-05   5.46688359E-05   2.29839975E-05   1.16617460E-05  
  72               5.35063441E+00   8.74603679E+02   8.38238429E-01   1.60471532E-01   6.97915820E-04   4.53650243E-04   4.01125675E-05   5.46690113E-05   2.29852031E-05   1.16617834E-05  
  73               6.01918718E+00   9.06175214E+02   8.38239432E-01   1.60470483E-01   6.97913943E-04   4.53649023E-04   4.01124605E-05   5.46688642E-05   2.29965127E-05   1.16617520E-05  
  74               6.76320529E+00   9.36794607E+02   8.38240134E-01   1.60469649E-01   6.97912714E-04   4.53648224E-04   4.01123943E-05   5.46687680E-05   2.30250170E-05   1.16617315E-05  
  75               7.58976451E+00   9.69623054E+02   8.38240623E-01   1.60468819E-01   6.97912225E-04   4.53647906E-04   4.01123866E-05   5.46687297E-05   2.31039511E-05   1.16617233E-05  
