# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  1                1.00000000E-05   2.22102861E+02   8.38202790E-01   1.60488511E-01   7.11119977E-04   6.16711879E-47   4.64999282E-04   3.76751481E-05   5.34406453E-05   2.29854973E-05  
  2                8.71393223E-05   2.49120109E+02   8.38202791E-01   1.60488510E-01   7.11120315E-04   7.39770572E-42   4.64999503E-04   3.76751660E-05   5.34406707E-05   2.29854971E-05  
  3                1.78065542E-04   2.68875485E+02   8.38202801E-01   1.60488498E-01   7.11121064E-04   1.16972392E-38   4.64999992E-04   3.76752056E-05   5.34407270E-05   2.29854955E-05  
  4                2.87784850E-04   2.71668865E+02   8.38202794E-01   1.60488504E-01   7.11121846E-04   2.50552656E-38   4.65000504E-04   3.76752471E-05   5.34407858E-05   2.29854963E-05  
  5                4.21107343E-04   2.84599244E+02   8.38202807E-01   1.60488489E-01   7.11122580E-04   1.65682208E-36   4.65000984E-04   3.76752860E-05   5.34408409E-05   2.29854941E-05  
  6                5.83408209E-04   2.85231557E+02   8.38202796E-01   1.60488498E-01   7.11123351E-04   1.72639555E-36   4.65001488E-04   3.76753268E-05   5.34408988E-05   2.29854955E-05  
  7                7.81407650E-04   2.96201315E+02   8.38202812E-01   1.60488481E-01   7.11124068E-04   4.48457279E-35   4.65001957E-04   3.76753648E-05   5.34409527E-05   2.29854930E-05  
  8                1.02297505E-03   2.96648375E+02   8.38202800E-01   1.60488492E-01   7.11124840E-04   4.47872662E-35   4.65002461E-04   3.76754057E-05   5.34410107E-05   2.29854946E-05  
  9                1.31787957E-03   3.07175825E+02   8.38202820E-01   1.60488471E-01   7.11125555E-04   8.16022168E-34   4.65002929E-04   3.76754436E-05   5.34410644E-05   2.29854916E-05  
  10               1.67780769E-03   3.07750013E+02   8.38202805E-01   1.60488484E-01   7.11126343E-04   8.48095018E-34   4.65003445E-04   3.76754854E-05   5.34411237E-05   2.29854934E-05  
  11               2.11726171E-03   3.18079299E+02   8.38202830E-01   1.60488457E-01   7.11127066E-04   1.20195323E-32   4.65003917E-04   3.76755236E-05   5.34411780E-05   2.29854895E-05  
  12               2.65370182E-03   3.18716807E+02   8.38202812E-01   1.60488473E-01   7.11127884E-04   1.26616652E-32   4.65004452E-04   3.76755670E-05   5.34412395E-05   2.29854919E-05  
  13               3.30865907E-03   3.28964837E+02   8.38202844E-01   1.60488440E-01   7.11128640E-04   1.47336605E-31   4.65004946E-04   3.76756070E-05   5.34412963E-05   2.29854871E-05  
  14               4.10809110E-03   3.29790317E+02   8.38202820E-01   1.60488459E-01   7.11129496E-04   1.61446483E-31   4.65005506E-04   3.76756524E-05   5.34413607E-05   2.29854899E-05  
