# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  34               2.30841325E-01   5.56560647E+02   8.38256700E-01   1.60485799E-01   2.82167965E-18   6.62289604E-04   4.18536997E-04   7.94922698E-05   5.52194753E-05   2.29846962E-05  
  35               2.78884227E-01   5.74934022E+02   8.38258331E-01   1.60484168E-01   1.16997447E-17   6.62290314E-04   4.18537446E-04   7.94923550E-05   5.52195345E-05   2.29844626E-05  
  36               3.36502218E-01   5.85832889E+02   8.38258436E-01   1.60484055E-01   2.50478388E-17   6.62294076E-04   4.18539823E-04   7.94928065E-05   5.52198481E-05   2.29844465E-05  
  37               4.05485855E-01   6.06011588E+02   8.38260072E-01   1.60482417E-01   1.02537225E-16   6.62295080E-04   4.18540458E-04   7.94929270E-05   5.52199318E-05   2.29842119E-05  
  38               4.87903831E-01   6.18954843E+02   8.38260350E-01   1.60482132E-01   2.32856350E-16   6.62298858E-04   4.18542845E-04   7.94933805E-05   5.52202468E-05   2.29841711E-05  
  39               5.86251550E-01   6.41248655E+02   8.38261939E-01   1.60480540E-01   9.39199681E-16   6.62300362E-04   4.18543796E-04   7.94935610E-05   5.52203722E-05   2.29839431E-05  
  40               7.03446118E-01   6.56591971E+02   8.38262355E-01   1.60480115E-01   2.25021053E-15   6.62304307E-04   4.18546289E-04   7.94940345E-05   5.52207011E-05   2.29838822E-05  
  41               8.42864093E-01   6.81266074E+02   8.38263826E-01   1.60478640E-01   8.86337891E-15   6.62306498E-04   4.18547674E-04   7.94942975E-05   5.52208839E-05   2.29836709E-05  
  42               1.00835428E+00   6.99442552E+02   8.38264322E-01   1.60478114E-01   2.22744672E-14   6.62310718E-04   4.18550340E-04   7.94948040E-05   5.52212357E-05   2.29835956E-05  
  43               1.20441509E+00   7.27148887E+02   8.38265654E-01   1.60476777E-01   8.64487547E-14   6.62313871E-04   4.18552333E-04   7.94951825E-05   5.52214986E-05   2.29834040E-05  
  44               1.43582438E+00   7.48862708E+02   8.38266152E-01   1.60476178E-01   2.28170908E-13   6.62318400E-04   4.18555195E-04   7.94957260E-05   5.52218762E-05   2.29833182E-05  
  45               1.70791497E+00   7.80056479E+02   8.38267173E-01   1.60474992E-01   8.64134421E-13   6.62322992E-04   4.18558097E-04   7.94962773E-05   5.52222591E-05   2.29831482E-05  
  46               2.02730664E+00   8.05682761E+02   8.38267519E-01   1.60474374E-01   2.34470903E-12   6.62331543E-04   4.18563501E-04   7.94973036E-05   5.52229720E-05   2.29830593E-05  
  47               2.40195752E+00   8.40708574E+02   8.38268450E-01   1.60473416E-01   8.52573263E-12   6.62340441E-04   4.18569124E-04   7.94983716E-05   5.52237139E-05   2.29829211E-05  
