# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   6.56429221E+01   8.38421263E-01   1.60530320E-01   4.26992334E-04   3.39449037E-04   1.92539565E-04   3.16428405E-109  5.88628460E-05   2.29904093E-05  
  2                9.84946900E-05   8.60874012E+01   8.38421263E-01   1.60530320E-01   4.26992604E-04   3.39449252E-04   1.92539686E-04   1.00825191E-109  5.88628832E-05   2.29904092E-05  
  3                1.90456895E-04   1.00773471E+02   8.38322161E-01   1.60511345E-01   4.26943121E-04   3.39409914E-04   1.92517373E-04   5.35253179E-109  5.88560616E-05   2.29876918E-05  
  4                2.91556158E-04   1.10366399E+02   8.38421160E-01   1.60530300E-01   4.27043632E-04   3.39489818E-04   1.92562696E-04   2.48237552E-99   5.88699176E-05   2.29904064E-05  
  5                4.05377276E-04   1.19995266E+02   8.38421159E-01   1.60530300E-01   4.27044127E-04   3.39490211E-04   1.92562919E-04   3.56853602E-91   5.88699858E-05   2.29904064E-05  
  6                5.34738708E-04   1.27102153E+02   8.38421158E-01   1.60530300E-01   4.27044164E-04   3.39490241E-04   1.92562936E-04   5.86239126E-86   5.88699910E-05   2.29904064E-05  
  7                6.82434425E-04   1.35546996E+02   8.38421155E-01   1.60530299E-01   4.27044201E-04   3.39490271E-04   1.92562953E-04   1.84665123E-80   5.88699961E-05   2.29904063E-05  
  8                8.51610968E-04   1.41740558E+02   8.38421120E-01   1.60530292E-01   4.27044220E-04   3.39490285E-04   1.92562961E-04   7.41597378E-77   5.88699986E-05   2.29904053E-05  
  9                1.04587655E-03   1.49706393E+02   8.38421030E-01   1.60530275E-01   4.27044243E-04   3.39490303E-04   1.92562971E-04   1.20014226E-72   5.88700018E-05   2.29904029E-05  
  10               1.26929088E-03   1.55623961E+02   8.38420349E-01   1.60530145E-01   4.27043923E-04   3.39490049E-04   1.92562827E-04   8.23997175E-70   5.88699577E-05   2.29903842E-05  
  11               1.52656581E-03   1.63603336E+02   8.38419148E-01   1.60529915E-01   4.27043854E-04   3.39489994E-04   1.92562796E-04   2.68361596E-66   5.88699482E-05   2.29903512E-05  
  12               1.82318541E-03   1.69484945E+02   8.38389998E-01   1.60524334E-01   4.27029012E-04   3.39478195E-04   1.92556103E-04   6.24272901E-64   5.88679022E-05   2.29895519E-05  
  13               2.16546048E-03   1.77510807E+02   8.38421123E-01   1.60530293E-01   4.27062064E-04   3.39504471E-04   1.92571007E-04   6.07719024E-61   5.88724585E-05   2.29904054E-05  
  14               2.56046362E-03   1.83531563E+02   8.38331379E-01   1.60513110E-01   4.27008114E-04   3.39461582E-04   1.92546680E-04   6.97929351E-59   5.88650213E-05   2.29879445E-05  
  15               3.01612832E-03   1.91855500E+02   8.37889659E-01   1.60428535E-01   4.26849921E-04   3.39335822E-04   1.92475348E-04   3.09388528E-56   5.88432136E-05   2.29758321E-05  
  16               3.54157234E-03   1.98452228E+02   8.38420484E-01   1.60530171E-01   4.27380595E-04   3.39757696E-04   1.92714640E-04   2.64574681E-54   5.89163695E-05   2.29903879E-05  
  17               4.14779964E-03   2.07025242E+02   8.38420483E-01   1.60530170E-01   4.27381298E-04   3.39758255E-04   1.92714957E-04   5.71734078E-52   5.89164664E-05   2.29903878E-05  
  18               4.84739441E-03   2.13714251E+02   8.38420486E-01   1.60530171E-01   4.27379455E-04   3.39756790E-04   1.92714125E-04   2.75503614E-50   5.89162124E-05   2.29903879E-05  
  19               5.65467853E-03   2.22254533E+02   8.38420482E-01   1.60530170E-01   4.27381565E-04   3.39758467E-04   1.92715077E-04   2.81122050E-48   5.89165032E-05   2.29903878E-05  
  20               6.58593488E-03   2.28839946E+02   8.38420482E-01   1.60530170E-01   4.27381711E-04   3.39758583E-04   1.92715142E-04   7.70561760E-47   5.89165233E-05   2.29903878E-05  
  21               7.66090033E-03   2.37041891E+02   8.38420481E-01   1.60530170E-01   4.27381870E-04   3.39758709E-04   1.92715214E-04   3.73412356E-45   5.89165452E-05   2.29903878E-05  
  22               8.90221567E-03   2.43296081E+02   8.38420481E-01   1.60530170E-01   4.27382039E-04   3.39758844E-04   1.92715290E-04   5.91816737E-44   5.89165686E-05   2.29903878E-05  
  23               1.03360979E-02   2.51293845E+02   8.38420481E-01   1.60530170E-01   4.27382231E-04   3.39758996E-04   1.92715377E-04   1.68626683E-42   5.89165950E-05   2.29903878E-05  
  24               1.19922473E-02   2.57605265E+02   8.38420480E-01   1.60530170E-01   4.27382418E-04   3.39759145E-04   1.92715461E-04   2.01049138E-41   5.89166208E-05   2.29903878E-05  
  25               1.39050408E-02   2.65785414E+02   8.38420480E-01   1.60530170E-01   4.27382647E-04   3.39759327E-04   1.92715565E-04   4.26600552E-40   5.89166523E-05   2.29903878E-05  
  26               1.61137190E-02   2.72391439E+02   8.38420479E-01   1.60530170E-01   4.27382874E-04   3.39759507E-04   1.92715667E-04   4.32553307E-39   5.89166836E-05   2.29903878E-05  
