# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   3.67176603E+02   8.38497001E-01   1.60509881E-01   1.08479440E-26   4.34346410E-04   3.52679057E-04   1.13320042E-04   5.94170509E-05   2.29884414E-05  
  2                1.72771214E-05   3.93479080E+02   8.38497102E-01   1.60509760E-01   9.87013908E-25   4.34346266E-04   3.52678940E-04   1.13320004E-04   5.94170311E-05   2.29884241E-05  
  3                2.61204867E-05   4.07645606E+02   8.38497105E-01   1.60509756E-01   8.18674993E-24   4.34346518E-04   3.52679144E-04   1.13320070E-04   5.94170656E-05   2.29884235E-05  
  4                3.70725600E-05   4.12478151E+02   8.38496967E-01   1.60509770E-01   1.46337579E-23   4.34346380E-04   3.52679033E-04   1.13320034E-04   5.94170468E-05   2.29884254E-05  
  5                5.06753843E-05   4.23457855E+02   8.38496607E-01   1.60509784E-01   6.54115489E-23   4.34349519E-04   3.52681581E-04   1.13320853E-04   5.94174761E-05   2.29884275E-05  
  6                6.75709898E-05   4.28139744E+02   8.38496360E-01   1.60510029E-01   1.11756642E-22   4.34350152E-04   3.52682095E-04   1.13321018E-04   5.94175627E-05   2.29884626E-05  
  7                8.85990913E-05   4.37508212E+02   8.38496365E-01   1.60510025E-01   3.63985074E-22   4.34350152E-04   3.52682095E-04   1.13321018E-04   5.94175627E-05   2.29884620E-05  
  8                1.14776446E-04   4.42025115E+02   8.38496337E-01   1.60510052E-01   5.91395852E-22   4.34350199E-04   3.52682134E-04   1.13321030E-04   5.94175692E-05   2.29884659E-05  
  9                1.47378218E-04   4.51078586E+02   8.38496342E-01   1.60510048E-01   1.72488949E-21   4.34350202E-04   3.52682136E-04   1.13321031E-04   5.94175696E-05   2.29884653E-05  
  10               1.87978778E-04   4.55695235E+02   8.38496314E-01   1.60510076E-01   2.75913993E-21   4.34350252E-04   3.52682177E-04   1.13321044E-04   5.94175764E-05   2.29884693E-05  
  11               2.38548481E-04   4.64694952E+02   8.38496317E-01   1.60510072E-01   7.50180272E-21   4.34350259E-04   3.52682182E-04   1.13321046E-04   5.94175773E-05   2.29884688E-05  
  12               3.01523080E-04   4.69522013E+02   8.38496289E-01   1.60510101E-01   1.19509235E-20   4.34350311E-04   3.52682225E-04   1.13321060E-04   5.94175845E-05   2.29884728E-05  
  13               3.79942282E-04   4.78645045E+02   8.38496292E-01   1.60510098E-01   3.10255177E-20   4.34350320E-04   3.52682232E-04   1.13321062E-04   5.94175857E-05   2.29884724E-05  
  14               4.77564024E-04   4.83778373E+02   8.38496263E-01   1.60510127E-01   4.96344656E-20   4.34350375E-04   3.52682277E-04   1.13321076E-04   5.94175933E-05   2.29884766E-05  
  15               5.99063835E-04   4.93196058E+02   8.38496265E-01   1.60510124E-01   1.25430228E-19   4.34350386E-04   3.52682285E-04   1.13321079E-04   5.94175947E-05   2.29884762E-05  
  16               7.50220472E-04   4.98704604E+02   8.38496236E-01   1.60510153E-01   2.02290596E-19   4.34350444E-04   3.52682332E-04   1.13321094E-04   5.94176026E-05   2.29884804E-05  
  17               9.38214315E-04   5.08488610E+02   8.38496238E-01   1.60510151E-01   5.00352784E-19   4.34350456E-04   3.52682342E-04   1.13321097E-04   5.94176043E-05   2.29884800E-05  
  18               1.17194959E-03   5.14306099E+02   8.38496207E-01   1.60510182E-01   8.04977190E-19   4.34350517E-04   3.52682392E-04   1.13321113E-04   5.94176127E-05   2.29884845E-05  
  19               1.46257784E-03   5.24281548E+02   8.38496208E-01   1.60510181E-01   1.91224238E-18   4.34350536E-04   3.52682407E-04   1.13321118E-04   5.94176153E-05   2.29884844E-05  
  20               1.82395692E-03   5.30198775E+02   8.38496172E-01   1.60510217E-01   3.00289755E-18   4.34350605E-04   3.52682463E-04   1.13321136E-04   5.94176246E-05   2.29884894E-05  
  21               2.27336354E-03   5.40218171E+02   8.38496169E-01   1.60510220E-01   6.77142012E-18   4.34350627E-04   3.52682481E-04   1.13321142E-04   5.94176277E-05   2.29884899E-05  
  22               2.83224056E-03   5.46128510E+02   8.38496126E-01   1.60510262E-01   1.02950254E-17   4.34350713E-04   3.52682551E-04   1.13321164E-04   5.94176394E-05   2.29884959E-05  
  23               3.52725947E-03   5.56220141E+02   8.38496119E-01   1.60510269E-01   2.21789882E-17   4.34350741E-04   3.52682573E-04   1.13321172E-04   5.94176433E-05   2.29884970E-05  
  24               4.39147828E-03   5.62218874E+02   8.38496070E-01   1.60510318E-01   3.29899122E-17   4.34350830E-04   3.52682646E-04   1.13321195E-04   5.94176555E-05   2.29885039E-05  
  25               5.46593451E-03   5.72461905E+02   8.38496057E-01   1.60510330E-01   6.85456007E-17   4.34350865E-04   3.52682674E-04   1.13321204E-04   5.94176602E-05   2.29885057E-05  
  26               6.80147173E-03   5.78555001E+02   8.38496000E-01   1.60510387E-01   9.99129592E-17   4.34350964E-04   3.52682755E-04   1.13321230E-04   5.94176738E-05   2.29885139E-05  
  27               8.46112794E-03   5.89056709E+02   8.38495983E-01   1.60510404E-01   2.02255393E-16   4.34351016E-04   3.52682797E-04   1.13321244E-04   5.94176809E-05   2.29885162E-05  
