# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  1                1.00000000E-05   4.74656043E+01   8.38107734E-01   1.60470322E-01   7.77735385E-04   5.28195150E-04   5.53778070E-05   3.16309636E-109  3.30496937E-05   2.29843106E-05  
  2                7.08911485E-05   5.90697567E+01   8.38107733E-01   1.60470322E-01   7.77736062E-04   5.28195610E-04   5.53778552E-05   1.18799993E-109  3.30497224E-05   2.29843106E-05  
  3                1.45904818E-04   6.54779949E+01   8.38107733E-01   1.60470322E-01   7.77736293E-04   5.28195767E-04   5.53778716E-05   8.28090125E-110  3.30497323E-05   2.29843106E-05  
  4                2.38275427E-04   7.10349571E+01   8.38107732E-01   1.60470322E-01   7.77736417E-04   5.28195851E-04   5.53778804E-05   6.47996700E-110  3.30497375E-05   2.29843106E-05  
  5                3.51531369E-04   7.52950556E+01   8.38107732E-01   1.60470322E-01   7.77736490E-04   5.28195901E-04   5.53778856E-05   5.33495031E-110  3.30497406E-05   2.29843106E-05  
  6                4.89066012E-04   7.89218580E+01   8.38107732E-01   1.60470322E-01   7.77736532E-04   5.28195929E-04   5.53778886E-05   4.52302180E-110  3.30497424E-05   2.29843106E-05  
  7                6.55594981E-04   8.23459383E+01   8.38107732E-01   1.60470322E-01   7.77736553E-04   5.28195943E-04   5.53778901E-05   3.90656101E-110  3.30497433E-05   2.29843106E-05  
  8                8.56949590E-04   8.59414845E+01   8.38107732E-01   1.60470322E-01   7.77736567E-04   5.28195953E-04   5.53778911E-05   3.41691979E-110  3.30497439E-05   2.29843106E-05  
  9                1.10050672E-03   8.98150586E+01   8.38107732E-01   1.60470322E-01   7.77736579E-04   5.28195961E-04   5.53778920E-05   3.01519964E-110  3.30497444E-05   2.29843106E-05  
  10               1.39528686E-03   9.40166717E+01   8.38107732E-01   1.60470322E-01   7.77736592E-04   5.28195969E-04   5.53778929E-05   2.67781561E-110  3.30497449E-05   2.29843106E-05  
  11               1.75229083E-03   9.82972685E+01   8.38107732E-01   1.60470322E-01   7.77736605E-04   5.28195979E-04   5.53778938E-05   2.38951262E-110  3.30497455E-05   2.29843106E-05  
  12               2.18502623E-03   1.02745016E+02   8.38106178E-01   1.60470024E-01   7.77736621E-04   5.28195989E-04   5.53778950E-05   2.25266628E-107  3.30497462E-05   2.29842680E-05  
  13               2.70986299E-03   1.07242810E+02   8.38102184E-01   1.60469260E-01   7.77736870E-04   5.28196159E-04   5.53779127E-05   8.40033781E-103  3.30497568E-05   2.29841584E-05  
  14               3.34683044E-03   1.11940430E+02   8.38090224E-01   1.60466970E-01   7.77723373E-04   5.28186992E-04   5.53769516E-05   2.02547715E-98   3.30491832E-05   2.29838304E-05  
  15               4.12037797E-03   1.16697387E+02   8.38030809E-01   1.60455594E-01   7.77759731E-04   5.28211685E-04   5.53795405E-05   2.41443044E-94   3.30507283E-05   2.29822010E-05  
  16               5.05993207E-03   1.21739693E+02   8.38107700E-01   1.60470316E-01   7.77758321E-04   5.28210727E-04   5.53794401E-05   2.27013933E-90   3.30506683E-05   2.29843097E-05  
  17               6.20080663E-03   1.26938937E+02   8.38107589E-01   1.60470295E-01   7.77831698E-04   5.28260560E-04   5.53846648E-05   1.32193617E-86   3.30537865E-05   2.29843067E-05  
  18               7.58608759E-03   1.32349013E+02   8.38107589E-01   1.60470295E-01   7.77831730E-04   5.28260582E-04   5.53846671E-05   5.29873532E-83   3.30537878E-05   2.29843066E-05  
  19               9.26839989E-03   1.37881404E+02   8.38107588E-01   1.60470294E-01   7.77831766E-04   5.28260606E-04   5.53846696E-05   1.30197415E-79   3.30537893E-05   2.29843066E-05  
