# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  34               1.42863635E-01   2.08993731E+02   8.38101187E-01   1.60469067E-01   7.78960935E-04   5.29370056E-04   6.65045071E-05   3.19836495E-52   2.75040498E-05   2.29805666E-05  
  35               1.72947894E-01   2.16818903E+02   8.37952222E-01   1.60440546E-01   7.78806732E-04   5.29265263E-04   6.64913419E-05   2.65760228E-50   2.74986051E-05   2.29764820E-05  
  36               2.09310605E-01   2.26346144E+02   8.37680553E-01   1.60388530E-01   7.79100554E-04   5.29464940E-04   6.65164272E-05   3.87444437E-48   2.75089796E-05   2.29690329E-05  
  37               2.53275926E-01   2.34359185E+02   8.38101031E-01   1.60469038E-01   7.79064410E-04   5.29440377E-04   6.65133414E-05   1.83466977E-46   2.75077034E-05   2.29805623E-05  
  38               3.06458956E-01   2.43967179E+02   8.38100380E-01   1.60468913E-01   7.79494999E-04   5.29732998E-04   6.65501033E-05   1.35552327E-44   2.75229069E-05   2.29805445E-05  
  39               3.70843942E-01   2.52198933E+02   8.38100380E-01   1.60468913E-01   7.79495059E-04   5.29733039E-04   6.65501084E-05   4.09000288E-43   2.75229090E-05   2.29805445E-05  
  40               4.48870610E-01   2.62168155E+02   8.38100380E-01   1.60468913E-01   7.79495117E-04   5.29733079E-04   6.65501134E-05   1.92713889E-41   2.75229111E-05   2.29805445E-05  
  41               5.43459919E-01   2.71049945E+02   8.38100380E-01   1.60468913E-01   7.79495180E-04   5.29733121E-04   6.65501187E-05   4.62563870E-40   2.75229133E-05   2.29805445E-05  
  42               6.58094776E-01   2.81868568E+02   8.38100380E-01   1.60468913E-01   7.79495247E-04   5.29733167E-04   6.65501244E-05   1.71738950E-38   2.75229156E-05   2.29805445E-05  
  43               7.96913502E-01   2.91876162E+02   8.38100379E-01   1.60468913E-01   7.79495318E-04   5.29733215E-04   6.65501305E-05   3.78314380E-37   2.75229182E-05   2.29805445E-05  
  44               9.64937488E-01   3.04088871E+02   8.38100379E-01   1.60468913E-01   7.79495394E-04   5.29733267E-04   6.65501370E-05   1.26758264E-35   2.75229208E-05   2.29805444E-05  
  45               1.16824452E+00   3.15840689E+02   8.38100379E-01   1.60468913E-01   7.79495475E-04   5.29733322E-04   6.65501439E-05   2.85169925E-34   2.75229237E-05   2.29805444E-05  
  46               1.41396683E+00   3.30020725E+02   8.38100379E-01   1.60468913E-01   7.79495563E-04   5.29733382E-04   6.65501515E-05   9.19818095E-33   2.75229268E-05   2.29805444E-05  
