# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   3.21321486E+02   8.38515997E-01   1.60516254E-01   4.02095603E-31   5.26926839E-04   3.39627839E-04   6.02636034E-05   0.00000000E+00   2.29885667E-05  
  2                1.99077118E-05   3.66781278E+02   8.38517993E-01   1.60514262E-01   7.11802038E-27   5.26924823E-04   3.39626539E-04   6.02633728E-05   0.00000000E+00   2.29882815E-05  
  3                3.13428671E-05   3.85278335E+02   8.38518146E-01   1.60514107E-01   1.76796140E-25   5.26925419E-04   3.39626923E-04   6.02634410E-05   0.00000000E+00   2.29882593E-05  
  4                4.49853264E-05   4.00260033E+02   8.38518216E-01   1.60514025E-01   1.89732466E-24   5.26926739E-04   3.39627774E-04   6.02635920E-05   0.00000000E+00   2.29882474E-05  
  5                6.13702336E-05   4.12013877E+02   8.38518166E-01   1.60513980E-01   1.05854227E-23   5.26931325E-04   3.39630729E-04   6.02641164E-05   0.00000000E+00   2.29882410E-05  
  6                8.11105826E-05   4.23783628E+02   8.38517819E-01   1.60513937E-01   5.42336121E-23   5.26933111E-04   3.39631881E-04   6.02643207E-05   0.00000000E+00   2.29882348E-05  
  7                1.04980425E-04   4.32399721E+02   8.38517572E-01   1.60514180E-01   1.64284935E-22   5.26935833E-04   3.39633635E-04   6.02646320E-05   0.00000000E+00   2.29882696E-05  
  8                1.33892487E-04   4.42706833E+02   8.38517589E-01   1.60514158E-01   6.00157794E-22   5.26937981E-04   3.39635020E-04   6.02648777E-05   0.00000000E+00   2.29882666E-05  
  9                1.68946224E-04   4.50403371E+02   8.38517584E-01   1.60514159E-01   1.47608073E-21   5.26940402E-04   3.39636580E-04   6.02651546E-05   0.00000000E+00   2.29882667E-05  
  10               2.11478883E-04   4.60004303E+02   8.38517593E-01   1.60514145E-01   4.47013892E-21   5.26943048E-04   3.39638286E-04   6.02654572E-05   0.00000000E+00   2.29882647E-05  
  11               2.63112024E-04   4.67147394E+02   8.38517583E-01   1.60514150E-01   9.61918476E-21   5.26945948E-04   3.39640155E-04   6.02657888E-05   0.00000000E+00   2.29882654E-05  
  12               3.25819804E-04   4.76288384E+02   8.38517587E-01   1.60514141E-01   2.55152446E-20   5.26949055E-04   3.39642158E-04   6.02661442E-05   0.00000000E+00   2.29882641E-05  
