# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  34               6.56571574E-02   3.50894611E+02   8.38197392E-01   1.60487481E-01   7.16005238E-04   4.69732310E-04   4.84374726E-30   3.44959158E-05   5.35072681E-05   2.29852489E-05  
  35               7.99712921E-02   3.58993034E+02   8.38197384E-01   1.60487478E-01   7.16005231E-04   4.69732305E-04   2.37433291E-29   3.44959155E-05   5.35072676E-05   2.29852486E-05  
  36               9.73486650E-02   3.70986930E+02   8.38197386E-01   1.60487476E-01   7.16005714E-04   4.69732622E-04   2.29185275E-28   3.44959388E-05   5.35073037E-05   2.29852482E-05  
  37               1.18424953E-01   3.80193069E+02   8.38197388E-01   1.60487474E-01   7.16005727E-04   4.69732630E-04   1.15462134E-27   3.44959394E-05   5.35073046E-05   2.29852479E-05  
  38               1.43961608E-01   3.93509207E+02   8.38197131E-01   1.60487419E-01   7.16005733E-04   4.69732634E-04   1.08648184E-26   3.44959396E-05   5.35073051E-05   2.29852400E-05  
  39               1.74854774E-01   4.04164890E+02   8.38197161E-01   1.60487389E-01   7.16005518E-04   4.69732494E-04   5.73910958E-26   3.44959293E-05   5.35072891E-05   2.29852358E-05  
  40               2.12160610E-01   4.19068112E+02   8.38197176E-01   1.60487375E-01   7.16005208E-04   4.69732290E-04   5.27164773E-25   3.44959144E-05   5.35072659E-05   2.29852338E-05  
  41               2.57126435E-01   4.31482789E+02   8.38197178E-01   1.60487358E-01   7.16012516E-04   4.69737084E-04   2.91583067E-24   3.44962664E-05   5.35078120E-05   2.29852313E-05  
  42               3.11249608E-01   4.48289152E+02   8.38197198E-01   1.60487316E-01   7.16012509E-04   4.69737080E-04   2.60945116E-23   3.44962661E-05   5.35078115E-05   2.29852253E-05  
  43               3.76254534E-01   4.62940787E+02   8.38196846E-01   1.60487208E-01   7.16012274E-04   4.69736926E-04   1.52334795E-22   3.44962548E-05   5.35077939E-05   2.29852099E-05  
  44               4.54125914E-01   4.82565265E+02   8.38193850E-01   1.60486840E-01   7.16018442E-04   4.69740972E-04   1.40313450E-21   3.44965519E-05   5.35082548E-05   2.29851572E-05  
  45               5.47147786E-01   5.00480106E+02   8.38194294E-01   1.60486405E-01   7.16013449E-04   4.69737696E-04   9.03315629E-21   3.44963114E-05   5.35078817E-05   2.29850949E-05  
  46               6.58155460E-01   5.21149338E+02   8.38194529E-01   1.60486071E-01   7.16068496E-04   4.69773810E-04   6.65958123E-20   3.44989635E-05   5.35119954E-05   2.29850470E-05  
  47               7.90392226E-01   5.41665984E+02   8.38194989E-01   1.60485612E-01   7.16068065E-04   4.69773527E-04   4.13694002E-19   3.44989427E-05   5.35119632E-05   2.29849813E-05  
  48               9.47603751E-01   5.65450436E+02   8.38195819E-01   1.60484785E-01   7.16066372E-04   4.69772417E-04   2.93661232E-18   3.44988611E-05   5.35118367E-05   2.29848628E-05  
