# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.91393863E+02   8.38520883E-01   1.60528908E-01   9.20895194E-35   5.24078933E-04   3.20352180E-04   6.02138355E-05   0.00000000E+00   2.29918340E-05  
  2                1.36952265E-04   3.42038377E+02   8.38522703E-01   1.60527083E-01   1.52882383E-29   5.24082111E-04   3.20354123E-04   6.02142006E-05   0.00000000E+00   2.29915725E-05  
  3                2.75807299E-04   3.64290418E+02   8.38525041E-01   1.60524752E-01   1.17194741E-27   5.24078068E-04   3.20351652E-04   6.02137361E-05   0.00000000E+00   2.29912387E-05  
  4                4.34434054E-04   3.78358995E+02   8.38525878E-01   1.60523916E-01   1.36410038E-26   5.24077494E-04   3.20351301E-04   6.02136702E-05   0.00000000E+00   2.29911190E-05  
  5                6.17616083E-04   3.90592919E+02   8.38526617E-01   1.60523181E-01   1.00769309E-25   5.24075681E-04   3.20350192E-04   6.02134618E-05   0.00000000E+00   2.29910136E-05  
  6                8.30105817E-04   4.00325192E+02   8.38526955E-01   1.60522825E-01   4.46439404E-25   5.24085406E-04   3.20356137E-04   6.02145792E-05   0.00000000E+00   2.29909627E-05  
  7                1.07717138E-03   4.10357771E+02   8.38527444E-01   1.60522337E-01   1.95283777E-24   5.24084550E-04   3.20355614E-04   6.02144809E-05   0.00000000E+00   2.29908927E-05  
  8                1.36475122E-03   4.19084686E+02   8.38527723E-01   1.60522047E-01   6.59150094E-24   5.24084396E-04   3.20355520E-04   6.02144631E-05   0.00000000E+00   2.29908513E-05  
  9                1.69972194E-03   4.28702710E+02   8.38525538E-01   1.60521121E-01   2.41565402E-23   5.24083298E-04   3.20354848E-04   6.02143369E-05   0.00000000E+00   2.29907186E-05  
  10               2.08977886E-03   4.37995248E+02   8.38525707E-01   1.60520464E-01   8.01344049E-23   5.24117862E-04   3.20375976E-04   6.02183082E-05   0.00000000E+00   2.29906245E-05  
  11               2.54468492E-03   4.46178016E+02   8.38525634E-01   1.60520537E-01   2.18652278E-22   5.24118379E-04   3.20376292E-04   6.02183676E-05   0.00000000E+00   2.29906349E-05  
  12               3.07612754E-03   4.53871386E+02   8.38525770E-01   1.60520401E-01   5.40746107E-22   5.24118455E-04   3.20376339E-04   6.02183763E-05   0.00000000E+00   2.29906155E-05  
  13               3.69727753E-03   4.61625664E+02   8.38525904E-01   1.60520267E-01   1.30724634E-21   5.24118193E-04   3.20376179E-04   6.02183462E-05   0.00000000E+00   2.29905962E-05  
  14               4.42346554E-03   4.69071660E+02   8.38525996E-01   1.60520175E-01   2.95667052E-21   5.24118313E-04   3.20376252E-04   6.02183600E-05   0.00000000E+00   2.29905831E-05  
  15               5.27253312E-03   4.76716976E+02   8.38526098E-01   1.60520073E-01   6.66632929E-21   5.24118111E-04   3.20376129E-04   6.02183368E-05   0.00000000E+00   2.29905686E-05  
  16               6.26527162E-03   4.84117537E+02   8.38526164E-01   1.60520007E-01   1.42371327E-20   5.24118256E-04   3.20376217E-04   6.02183535E-05   0.00000000E+00   2.29905590E-05  
  17               7.42584455E-03   4.91931017E+02   8.38526257E-01   1.60519915E-01   3.10519523E-20   5.24118081E-04   3.20376110E-04   6.02183333E-05   0.00000000E+00   2.29905458E-05  
  18               8.78228704E-03   4.99585729E+02   8.38526322E-01   1.60519849E-01   6.49054205E-20   5.24118217E-04   3.20376193E-04   6.02183490E-05   0.00000000E+00   2.29905365E-05  
  19               1.03670100E-02   5.07791749E+02   8.38526418E-01   1.60519753E-01   1.40186647E-19   5.24118043E-04   3.20376087E-04   6.02183290E-05   0.00000000E+00   2.29905227E-05  
  20               1.22174936E-02   5.16016448E+02   8.38526501E-01   1.60519671E-01   2.95525113E-19   5.24118145E-04   3.20376149E-04   6.02183407E-05   0.00000000E+00   2.29905109E-05  
  21               1.43775399E-02   5.24994487E+02   8.38526622E-01   1.60519550E-01   6.53068933E-19   5.24117955E-04   3.20376033E-04   6.02183189E-05   0.00000000E+00   2.29904936E-05  
  22               1.68980694E-02   5.33917645E+02   8.38526720E-01   1.60519452E-01   1.39545434E-18   5.24118025E-04   3.20376076E-04   6.02183269E-05   0.00000000E+00   2.29904795E-05  
  23               1.98379432E-02   5.43600544E+02   8.38526848E-01   1.60519324E-01   3.10692459E-18   5.24117836E-04   3.20375960E-04   6.02183052E-05   0.00000000E+00   2.29904612E-05  
  24               2.32647330E-02   5.53352096E+02   8.38526960E-01   1.60519212E-01   6.75243482E-18   5.24117875E-04   3.20375984E-04   6.02183096E-05   0.00000000E+00   2.29904451E-05  
  25               2.72558780E-02   5.64094366E+02   8.38527107E-01   1.60519065E-01   1.54814678E-17   5.24117690E-04   3.20375871E-04   6.02182884E-05   0.00000000E+00   2.29904242E-05  
  26               3.19002940E-02   5.75036925E+02   8.38527240E-01   1.60518932E-01   3.48892764E-17   5.24117691E-04   3.20375872E-04   6.02182886E-05   0.00000000E+00   2.29904051E-05  
  27               3.72994984E-02   5.86948274E+02   8.38527395E-01   1.60518776E-01   8.19929961E-17   5.24117500E-04   3.20375755E-04   6.02182666E-05   0.00000000E+00   2.29903828E-05  
  28               4.35682749E-02   5.99185695E+02   8.38527540E-01   1.60518632E-01   1.90341754E-16   5.24117472E-04   3.20375738E-04   6.02182634E-05   0.00000000E+00   2.29903621E-05  
  29               5.08352542E-02   6.12664556E+02   8.38527706E-01   1.60518465E-01   4.65304047E-16   5.24117303E-04   3.20375635E-04   6.02182440E-05   0.00000000E+00   2.29903382E-05  
  30               5.92458548E-02   6.26739250E+02   8.38527866E-01   1.60518305E-01   1.13667209E-15   5.24117244E-04   3.20375599E-04   6.02182372E-05   0.00000000E+00   2.29903152E-05  
  31               6.89695505E-02   6.42208149E+02   8.38528035E-01   1.60518129E-01   2.91331349E-15   5.24117200E-04   3.20375571E-04   6.02182321E-05   0.00000000E+00   2.29902901E-05  
  32               8.01983114E-02   6.58405863E+02   8.38528195E-01   1.60517965E-01   7.44981433E-15   5.24117108E-04   3.20375516E-04   6.02182216E-05   0.00000000E+00   2.29902666E-05  
  33               9.31438277E-02   6.76223078E+02   8.38528336E-01   1.60517787E-01   1.99549866E-14   5.24117794E-04   3.20375935E-04   6.02183004E-05   0.00000000E+00   2.29902411E-05  
  34               1.08036902E-01   6.95100386E+02   8.38528472E-01   1.60517619E-01   5.37181533E-14   5.24117610E-04   3.20375822E-04   6.02182792E-05   0.00000000E+00   2.29902170E-05  
  35               1.25131756E-01   7.15895464E+02   8.38528490E-01   1.60517422E-01   1.51185349E-13   5.24121464E-04   3.20378178E-04   6.02187221E-05   0.00000000E+00   2.29901886E-05  
  36               1.44696918E-01   7.37911594E+02   8.38528598E-01   1.60517247E-01   4.24846827E-13   5.24121303E-04   3.20378080E-04   6.02187036E-05   0.00000000E+00   2.29901635E-05  
  37               1.67009002E-01   7.62044162E+02   8.38528600E-01   1.60517029E-01   1.23584085E-12   5.24123704E-04   3.20379547E-04   6.02189794E-05   0.00000000E+00   2.29901319E-05  
  38               1.92386012E-01   7.87580755E+02   8.38528818E-01   1.60516802E-01   3.56628346E-12   5.24123524E-04   3.20379437E-04   6.02189587E-05   0.00000000E+00   2.29900988E-05  
  39               2.21207987E-01   8.15390385E+02   8.38529155E-01   1.60516437E-01   1.05185315E-11   5.24123181E-04   3.20379228E-04   6.02189194E-05   0.00000000E+00   2.29959761E-05  
  40               2.53875514E-01   8.44632435E+02   8.38529744E-01   1.60515752E-01   3.03888718E-11   5.24122802E-04   3.20378996E-04   6.02188757E-05   0.00000000E+00   2.30144143E-05  
  41               2.90777456E-01   8.76072440E+02   8.38530915E-01   1.60514260E-01   8.80339536E-11   5.24123286E-04   3.20379292E-04   6.02189313E-05   0.00000000E+00   2.30764134E-05  
  42               3.32263306E-01   9.08956417E+02   8.38532790E-01   1.60510955E-01   2.47568964E-10   5.24133621E-04   3.20385609E-04   6.02201188E-05   0.00000000E+00   2.32747153E-05  
  43               3.78654631E-01   9.43973415E+02   8.38537586E-01   1.60504154E-01   6.88862943E-10   5.24119964E-04   3.20377261E-04   6.02185497E-05   0.00000000E+00   2.42923674E-05  
  44               4.30435102E-01   9.80448871E+02   8.38550352E-01   1.60491427E-01   1.85062730E-09   5.24098656E-04   3.20364236E-04   6.02161016E-05   0.00000000E+00   2.42903747E-05  
