# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.74016634E+02   8.38481315E-01   1.60534860E-01   3.07183048E-37   5.28403696E-04   3.63378386E-04   6.03757851E-05   0.00000000E+00   2.29907864E-05  
  2                8.96443237E-05   3.29727937E+02   8.38492136E-01   1.60523244E-01   1.07692917E-30   5.28389547E-04   3.63368655E-04   6.03741684E-05   0.00000000E+00   2.29891229E-05  
  3                1.75029158E-04   3.51463747E+02   8.38495358E-01   1.60520026E-01   1.05933103E-28   5.28388202E-04   3.63367730E-04   6.03740148E-05   0.00000000E+00   2.29886619E-05  
  4                2.71539608E-04   3.66626106E+02   8.38496913E-01   1.60518469E-01   1.86974611E-27   5.28389326E-04   3.63368503E-04   6.03741432E-05   0.00000000E+00   2.29884390E-05  
  5                3.81867855E-04   3.78956458E+02   8.38497895E-01   1.60517484E-01   1.62326902E-26   5.28390975E-04   3.63369637E-04   6.03743316E-05   0.00000000E+00   2.29882979E-05  
  6                5.08540313E-04   3.90599742E+02   8.38498761E-01   1.60516618E-01   1.11178373E-25   5.28390927E-04   3.63369604E-04   6.03743261E-05   0.00000000E+00   2.29881739E-05  
  7                6.54322226E-04   4.01064133E+02   8.38499315E-01   1.60515983E-01   5.67510738E-25   5.28435141E-04   3.63400010E-04   6.03793781E-05   0.00000000E+00   2.29880830E-05  
  8                8.22350989E-04   4.11588107E+02   8.38499896E-01   1.60515395E-01   2.70689952E-24   5.28437224E-04   3.63401442E-04   6.03796160E-05   0.00000000E+00   2.29879987E-05  
  9                1.01613524E-03   4.21678916E+02   8.38500339E-01   1.60514920E-01   1.12395010E-23   5.28439992E-04   3.63403346E-04   6.03799323E-05   0.00000000E+00   2.29879307E-05  
  10               1.23972768E-03   4.32090846E+02   8.38498287E-01   1.60514011E-01   4.57704822E-23   5.28444934E-04   3.63406744E-04   6.03804970E-05   0.00000000E+00   2.29878006E-05  
  11               1.49811483E-03   4.40861769E+02   8.38498399E-01   1.60513549E-01   1.39889789E-22   5.28445986E-04   3.63407468E-04   6.03806172E-05   0.00000000E+00   2.29877343E-05  
  12               1.79745480E-03   4.49017855E+02   8.38498342E-01   1.60513600E-01   3.77839738E-22   5.28449154E-04   3.63409646E-04   6.03809792E-05   0.00000000E+00   2.29877417E-05  
  13               2.14449585E-03   4.57116193E+02   8.38498491E-01   1.60513447E-01   9.77657466E-22   5.28451603E-04   3.63411331E-04   6.03812590E-05   0.00000000E+00   2.29877198E-05  
  14               2.54699820E-03   4.64927426E+02   8.38498605E-01   1.60513329E-01   2.36184810E-21   5.28454117E-04   3.63413059E-04   6.03815462E-05   0.00000000E+00   2.29877029E-05  
  15               3.01390325E-03   4.72910608E+02   8.38498718E-01   1.60513212E-01   5.65086274E-21   5.28456638E-04   3.63414793E-04   6.03818343E-05   0.00000000E+00   2.29876860E-05  
  16               3.55550496E-03   4.80834951E+02   8.38498814E-01   1.60513111E-01   1.30324783E-20   5.28459215E-04   3.63416565E-04   6.03821287E-05   0.00000000E+00   2.29876716E-05  
  17               4.18371482E-03   4.88932496E+02   8.38498908E-01   1.60513012E-01   2.97814532E-20   5.28461811E-04   3.63418350E-04   6.03824253E-05   0.00000000E+00   2.29876574E-05  
  18               4.91226865E-03   4.97029927E+02   8.38498990E-01   1.60512925E-01   6.61561426E-20   5.28464465E-04   3.63420176E-04   6.03827286E-05   0.00000000E+00   2.29876450E-05  
  19               5.75696805E-03   5.05397505E+02   8.38499073E-01   1.60512837E-01   1.47085840E-19   5.28467142E-04   3.63422017E-04   6.03830345E-05   0.00000000E+00   2.29876324E-05  
  20               6.73598610E-03   5.13930119E+02   8.38499152E-01   1.60512753E-01   3.23403725E-19   5.28469876E-04   3.63423896E-04   6.03833468E-05   0.00000000E+00   2.29876204E-05  
  21               7.87055866E-03   5.22754856E+02   8.38499232E-01   1.60512669E-01   7.11660479E-19   5.28472642E-04   3.63425799E-04   6.03836629E-05   0.00000000E+00   2.29876082E-05  
  22               9.18521560E-03   5.31753803E+02   8.38499306E-01   1.60512589E-01   1.54781708E-18   5.28475468E-04   3.63427742E-04   6.03839859E-05   0.00000000E+00   2.29875969E-05  
  23               1.07080024E-02   5.41237405E+02   8.38499386E-01   1.60512504E-01   3.42078422E-18   5.28478329E-04   3.63429710E-04   6.03843128E-05   0.00000000E+00   2.29875846E-05  
  24               1.24709576E-02   5.51043018E+02   8.38499465E-01   1.60512420E-01   7.55095323E-18   5.28481248E-04   3.63431717E-04   6.03846463E-05   0.00000000E+00   2.29875726E-05  
