# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  34               6.16963302E-02   2.57843184E+02   8.38140239E-01   1.60476535E-01   7.63100978E-04   5.14257110E-04   9.73223137E-42   5.12771957E-06   4.79100303E-05   2.55589857E-05  
  35               7.50599588E-02   2.68070988E+02   8.38140239E-01   1.60476535E-01   7.63100982E-04   5.14257113E-04   4.25269343E-40   5.12771959E-06   4.79100306E-05   2.55589859E-05  
  36               9.12792100E-02   2.75409210E+02   8.38140239E-01   1.60476535E-01   7.63100986E-04   5.14257115E-04   5.21190053E-39   5.12771962E-06   4.79100309E-05   2.55589860E-05  
  37               1.10953829E-01   2.86190216E+02   8.38140239E-01   1.60476535E-01   7.63100991E-04   5.14257119E-04   1.70289902E-37   5.12771966E-06   4.79100312E-05   2.55589862E-05  
  38               1.34803674E-01   2.94258841E+02   8.38140239E-01   1.60476535E-01   7.63100996E-04   5.14257122E-04   1.90348013E-36   5.12771969E-06   4.79100315E-05   2.55589864E-05  
  39               1.63709291E-01   3.05787915E+02   8.38140239E-01   1.60476535E-01   7.63101002E-04   5.14257126E-04   4.96927497E-35   5.12771973E-06   4.79100318E-05   2.55589865E-05  
  40               1.98729671E-01   3.14783808E+02   8.38140238E-01   1.60476535E-01   7.63101007E-04   5.14257130E-04   5.23195416E-34   5.12771977E-06   4.79100322E-05   2.55589867E-05  
  41               2.41141984E-01   3.27337249E+02   8.38140238E-01   1.60476535E-01   7.63101017E-04   5.14257136E-04   1.16071037E-32   5.12771983E-06   4.79100328E-05   2.55589870E-05  
  42               2.92460306E-01   3.37553901E+02   8.38140238E-01   1.60476534E-01   7.63101023E-04   5.14257140E-04   1.19302382E-31   5.12771987E-06   4.79100332E-05   2.55589872E-05  
  43               3.54474052E-01   3.51495573E+02   8.38140238E-01   1.60476534E-01   7.63101044E-04   5.14257155E-04   2.36898926E-30   5.12772001E-06   4.79100345E-05   2.55589880E-05  
  44               4.29297133E-01   3.63476401E+02   8.38140234E-01   1.60476533E-01   7.63101049E-04   5.14257158E-04   2.52649870E-29   5.12772005E-06   4.79100348E-05   2.55589881E-05  
  45               5.19453610E-01   3.79487299E+02   8.38140234E-01   1.60476533E-01   7.63101124E-04   5.14257208E-04   4.84764881E-28   5.12772055E-06   4.79100395E-05   2.55589906E-05  
  46               6.27899576E-01   3.93736860E+02   8.38139979E-01   1.60476484E-01   7.63100949E-04   5.14257090E-04   5.40687327E-27   5.12771937E-06   4.79100285E-05   2.55589848E-05  
  47               7.58048686E-01   4.12283710E+02   8.38139998E-01   1.60476457E-01   7.63105197E-04   5.14259953E-04   9.92678460E-26   5.12774792E-06   4.79102953E-05   2.55591271E-05  
  48               9.13727970E-01   4.29671354E+02   8.38139998E-01   1.60476455E-01   7.63105227E-04   5.14259974E-04   1.19599820E-24   5.12774812E-06   4.79102972E-05   2.55591281E-05  
  49               1.09954306E+00   4.51857907E+02   8.38139974E-01   1.60476445E-01   7.63105225E-04   5.14259972E-04   2.20765522E-23   5.12774811E-06   4.79102970E-05   2.55591280E-05  
  50               1.32067661E+00   4.73156757E+02   8.38139586E-01   1.60476385E-01   7.63105147E-04   5.14259920E-04   2.77780033E-22   5.12774758E-06   4.79102921E-05   2.55591254E-05  
  51               1.58281142E+00   4.99540995E+02   8.38136497E-01   1.60476101E-01   7.63109229E-04   5.14262670E-04   4.80987780E-21   5.12777501E-06   4.79105484E-05   2.55592621E-05  
  52               1.89218339E+00   5.25297261E+02   8.38136740E-01   1.60475750E-01   7.63169606E-04   5.14303359E-04   5.85756412E-20   5.12818072E-06   4.79143391E-05   2.55612844E-05  
  53               2.25744370E+00   5.54236718E+02   8.38136889E-01   1.60475601E-01   7.63169917E-04   5.14303568E-04   7.39430249E-19   5.12818281E-06   4.79143586E-05   2.55612948E-05  
  54               2.68789729E+00   5.83369194E+02   8.38137174E-01   1.60475317E-01   7.63169319E-04   5.14303165E-04   7.32416270E-18   5.12817879E-06   4.79143210E-05   2.55612747E-05  
