# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  1                1.00000000E-05   3.98262636E+01   8.38129315E-01   1.60474445E-01   7.69552318E-04   5.20470054E-04   3.16317819E-109  4.48028351E-05   3.17513801E-05   2.39504401E-06  
  2                2.80627572E-05   5.78222855E+01   8.38129315E-01   1.60474445E-01   7.69552339E-04   5.20470068E-04   1.88824563E-109  4.48028363E-05   3.17513810E-05   2.39504408E-06  
  3                5.04300401E-05   6.32670747E+01   8.38129315E-01   1.60474445E-01   7.69552352E-04   5.20470077E-04   1.40857184E-109  4.48028370E-05   3.17513815E-05   2.39504412E-06  
  4                7.81258081E-05   6.62719729E+01   8.38129315E-01   1.60474445E-01   7.69552360E-04   5.20470082E-04   1.13168718E-109  4.48028375E-05   3.17513818E-05   2.39504414E-06  
  5                1.12415845E-04   6.84270607E+01   8.38129315E-01   1.60474445E-01   7.69552366E-04   5.20470086E-04   9.43430456E-110  4.48028379E-05   3.17513821E-05   2.39504416E-06  
  6                1.54866508E-04   7.07897376E+01   8.38129315E-01   1.60474445E-01   7.69552371E-04   5.20470090E-04   8.03794266E-110  4.48028382E-05   3.17513823E-05   2.39504418E-06  
  7                2.07296882E-04   7.33964369E+01   8.38129315E-01   1.60474445E-01   7.69552376E-04   5.20470093E-04   6.94747947E-110  4.48028384E-05   3.17513825E-05   2.39504419E-06  
  8                2.71620921E-04   7.65203076E+01   8.38129315E-01   1.60474445E-01   7.69552380E-04   5.20470096E-04   6.06934813E-110  4.48028387E-05   3.17513827E-05   2.39504421E-06  
  9                3.50024967E-04   7.98219629E+01   8.38129315E-01   1.60474445E-01   7.69552384E-04   5.20470099E-04   5.34655632E-110  4.48028389E-05   3.17513828E-05   2.39504422E-06  
  10               4.45190053E-04   8.33660094E+01   8.38129315E-01   1.60474445E-01   7.69552387E-04   5.20470100E-04   4.74079233E-110  4.48028391E-05   3.17513829E-05   2.39504423E-06  
  11               5.60527301E-04   8.68875927E+01   8.38129315E-01   1.60474445E-01   7.69552388E-04   5.20470101E-04   4.22498598E-110  4.48028391E-05   3.17513830E-05   2.39504423E-06  
  12               7.00526322E-04   9.06636612E+01   8.38129315E-01   1.60474445E-01   7.69552389E-04   5.20470102E-04   3.77930053E-110  4.48028392E-05   3.17513830E-05   2.39504423E-06  
  13               8.70686952E-04   9.43137021E+01   8.38129315E-01   1.60474445E-01   7.69552389E-04   5.20470102E-04   3.38994490E-110  4.48028392E-05   3.17513831E-05   2.39504424E-06  
  14               1.07771933E-03   9.82580538E+01   8.38129315E-01   1.60474445E-01   7.69552390E-04   5.20470103E-04   3.04698854E-110  4.48028393E-05   3.17513831E-05   2.39504424E-06  
  15               1.32970573E-03   1.02275455E+02   8.38127077E-01   1.60474016E-01   7.69552393E-04   5.20470104E-04   9.01658806E-108  4.48028394E-05   3.17513832E-05   2.39504425E-06  
  16               1.63641161E-03   1.06796309E+02   8.38121925E-01   1.60473030E-01   7.69553213E-04   5.20470659E-04   3.91491846E-103  4.48028872E-05   3.17514171E-05   2.39504680E-06  
  17               2.00992852E-03   1.11279698E+02   8.38102782E-01   1.60469365E-01   7.69556148E-04   5.20472645E-04   6.56126619E-99   4.48030581E-05   3.17515382E-05   2.39505594E-06  
  18               2.46504179E-03   1.16230375E+02   8.38064129E-01   1.60461964E-01   7.69570844E-04   5.20482583E-04   1.27253777E-94   4.48039136E-05   3.17521445E-05   2.39510167E-06  
  19               3.01962901E-03   1.21174041E+02   8.38129282E-01   1.60474439E-01   7.69574379E-04   5.20484974E-04   1.08156866E-90   4.48041194E-05   3.17522903E-05   2.39511267E-06  
  20               3.69548490E-03   1.26636718E+02   8.38129176E-01   1.60474418E-01   7.69645492E-04   5.20533070E-04   1.04888337E-86   4.48082596E-05   3.17552244E-05   2.39533399E-06  
  21               4.51899277E-03   1.32091481E+02   8.38129175E-01   1.60474418E-01   7.69646176E-04   5.20533533E-04   4.67555755E-83   4.48082994E-05   3.17552527E-05   2.39533613E-06  
  22               5.52236211E-03   1.38097097E+02   8.38129174E-01   1.60474418E-01   7.69646179E-04   5.20533535E-04   2.26659519E-79   4.48082996E-05   3.17552528E-05   2.39533613E-06  
  23               6.74487297E-03   1.44086068E+02   8.38129169E-01   1.60474417E-01   7.69646183E-04   5.20533538E-04   5.27060523E-76   4.48082998E-05   3.17552530E-05   2.39533615E-06  
  24               8.23447100E-03   1.50573373E+02   8.38129151E-01   1.60474414E-01   7.69646191E-04   5.20533543E-04   1.16647384E-72   4.48083003E-05   3.17552533E-05   2.39533617E-06  
  25               1.00492757E-02   1.57058174E+02   8.38129069E-01   1.60474398E-01   7.69646208E-04   5.20533554E-04   1.35400396E-69   4.48083013E-05   3.17552540E-05   2.39533622E-06  
  26               1.22601658E-02   1.64115835E+02   8.38128790E-01   1.60474344E-01   7.69646277E-04   5.20533601E-04   1.55810976E-66   4.48083053E-05   3.17552568E-05   2.39533644E-06  
  27               1.49539091E-02   1.71153005E+02   8.38127744E-01   1.60474144E-01   7.69646483E-04   5.20533741E-04   9.78154875E-64   4.48083173E-05   3.17552653E-05   2.39533708E-06  
  28               1.82355189E-02   1.78724584E+02   8.38124731E-01   1.60473567E-01   7.69647367E-04   5.20534338E-04   5.68657175E-61   4.48083687E-05   3.17553018E-05   2.39533983E-06  
  29               2.22313512E-02   1.86237703E+02   8.38114868E-01   1.60471679E-01   7.69649741E-04   5.20535944E-04   1.87357444E-58   4.48085070E-05   3.17553998E-05   2.39534722E-06  
