# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  1                1.00000000E-05   3.38102828E+01   8.38119564E-01   1.60472585E-01   7.74154355E-04   5.24755810E-04   4.07030486E-05   4.00051527E-05   2.29835725E-05   0.00000000E+00  
  2                1.38569977E-04   4.21200823E+01   8.38119564E-01   1.60472585E-01   7.74154336E-04   5.24755798E-04   4.07030476E-05   4.00051517E-05   2.29835725E-05   0.00000000E+00  
  3                2.90219340E-04   4.72431869E+01   8.38119564E-01   1.60472585E-01   7.74154329E-04   5.24755793E-04   4.07030472E-05   4.00051514E-05   2.29835725E-05   0.00000000E+00  
  4                4.69145677E-04   5.04681949E+01   8.38119564E-01   1.60472585E-01   7.74154325E-04   5.24755790E-04   4.07030470E-05   4.00051512E-05   2.29835725E-05   0.00000000E+00  
  5                6.80232696E-04   5.34282387E+01   8.38119564E-01   1.60472585E-01   7.74154322E-04   5.24755788E-04   4.07030469E-05   4.00051510E-05   2.29835725E-05   0.00000000E+00  
  6                9.29179356E-04   5.58025822E+01   8.38119564E-01   1.60472585E-01   7.74154320E-04   5.24755787E-04   4.07030468E-05   4.00051509E-05   2.29835725E-05   0.00000000E+00  
  7                1.22271193E-03   5.83352614E+01   8.38119564E-01   1.60472585E-01   7.74154318E-04   5.24755785E-04   4.07030466E-05   4.00051508E-05   2.29835725E-05   0.00000000E+00  
  8                1.56862755E-03   6.04924487E+01   8.38119564E-01   1.60472585E-01   7.74154316E-04   5.24755784E-04   4.07030466E-05   4.00051507E-05   2.29835725E-05   0.00000000E+00  
  9                1.97617810E-03   6.29166780E+01   8.38119564E-01   1.60472585E-01   7.74154315E-04   5.24755783E-04   4.07030465E-05   4.00051506E-05   2.29835725E-05   0.00000000E+00  
  10               2.45610316E-03   6.50294757E+01   8.38119564E-01   1.60472585E-01   7.74154313E-04   5.24755782E-04   4.07030464E-05   4.00051505E-05   2.29835725E-05   0.00000000E+00  
  11               3.02080132E-03   6.75386265E+01   8.38119564E-01   1.60472585E-01   7.74154311E-04   5.24755781E-04   4.07030463E-05   4.00051504E-05   2.29835725E-05   0.00000000E+00  
  12               3.68496617E-03   6.97644119E+01   8.38119564E-01   1.60472585E-01   7.74154309E-04   5.24755780E-04   4.07030462E-05   4.00051503E-05   2.29835725E-05   0.00000000E+00  
  13               4.46524521E-03   7.24507872E+01   8.38119564E-01   1.60472585E-01   7.74154308E-04   5.24755778E-04   4.07030461E-05   4.00051502E-05   2.29835725E-05   0.00000000E+00  
  14               5.37724957E-03   7.49256508E+01   8.38119564E-01   1.60472585E-01   7.74154306E-04   5.24755777E-04   4.07030460E-05   4.00051502E-05   2.29835725E-05   0.00000000E+00  
  15               6.43801073E-03   7.79549982E+01   8.38119564E-01   1.60472585E-01   7.74154304E-04   5.24755776E-04   4.07030459E-05   4.00051501E-05   2.29835725E-05   0.00000000E+00  
  16               7.66805932E-03   8.07649505E+01   8.38119564E-01   1.60472585E-01   7.74154302E-04   5.24755775E-04   4.07030458E-05   4.00051500E-05   2.29835725E-05   0.00000000E+00  
  17               9.09176524E-03   8.42001372E+01   8.38119564E-01   1.60472585E-01   7.74154301E-04   5.24755774E-04   4.07030458E-05   4.00051499E-05   2.29835725E-05   0.00000000E+00  
  18               1.07382370E-02   8.74998591E+01   8.38119564E-01   1.60472585E-01   7.74154300E-04   5.24755773E-04   4.07030457E-05   4.00051499E-05   2.29835725E-05   0.00000000E+00  
  19               1.26422232E-02   9.16612592E+01   8.38119564E-01   1.60472585E-01   7.74154300E-04   5.24755773E-04   4.07030457E-05   4.00051498E-05   2.29835725E-05   0.00000000E+00  
