# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  34               6.21544064E-02   4.53625515E+02   8.38495221E-01   1.60541552E-01   4.77584734E-04   3.20992834E-04   1.16574158E-22   5.97749030E-05   7.48867092E-05   2.29930676E-05  
  35               7.16515209E-02   4.67763948E+02   8.38493408E-01   1.60540082E-01   4.77624176E-04   3.21019344E-04   6.27887842E-22   5.97798396E-05   7.48928938E-05   2.29928571E-05  
  36               8.25067857E-02   4.85718957E+02   8.38495911E-01   1.60537591E-01   4.77618537E-04   3.21015554E-04   4.69460322E-21   5.97791338E-05   7.48920096E-05   2.29925003E-05  
  37               9.48916008E-02   5.02115292E+02   8.38498169E-01   1.60535341E-01   4.77614449E-04   3.21012806E-04   2.57598923E-20   5.97786221E-05   7.48913686E-05   2.29921781E-05  
  38               1.08983322E-01   5.23326878E+02   8.38501564E-01   1.60531958E-01   4.77608691E-04   3.21008936E-04   2.02100339E-19   5.97779014E-05   7.48904657E-05   2.29916936E-05  
  39               1.24967646E-01   5.45244622E+02   8.38504855E-01   1.60528679E-01   4.77603078E-04   3.21005164E-04   1.43309222E-18   5.97771989E-05   7.48895856E-05   2.29912239E-05  
  40               1.43094137E-01   5.67745405E+02   8.38507731E-01   1.60525814E-01   4.77597905E-04   3.21001686E-04   9.13088758E-18   5.97765515E-05   7.48887744E-05   2.29908136E-05  
  41               1.63628494E-01   5.91014004E+02   8.38510122E-01   1.60523431E-01   4.77593370E-04   3.20998639E-04   5.33630187E-17   5.97759839E-05   7.48880634E-05   2.29904723E-05  
  42               1.86852890E-01   6.14874898E+02   8.38512022E-01   1.60521540E-01   4.77589331E-04   3.20995924E-04   2.83444600E-16   5.97754784E-05   7.48874300E-05   2.29902014E-05  
  43               2.13075935E-01   6.39508033E+02   8.38513518E-01   1.60520049E-01   4.77585697E-04   3.20993481E-04   1.39271311E-15   5.97750235E-05   7.48868602E-05   2.29899879E-05  
  44               2.42699388E-01   6.64777090E+02   8.38514674E-01   1.60518895E-01   4.77582267E-04   3.20991176E-04   6.29695926E-15   5.97745943E-05   7.48863224E-05   2.29898227E-05  
  45               2.76157918E-01   6.90915932E+02   8.38515567E-01   1.60517990E-01   4.77578970E-04   3.20988960E-04   2.66692285E-14   5.97741816E-05   7.48858055E-05   2.29896931E-05  
  46               3.13900022E-01   7.17720829E+02   8.38516221E-01   1.60517282E-01   4.77575816E-04   3.20986840E-04   1.04886818E-13   5.97737868E-05   7.48853108E-05   2.29895916E-05  
