# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  1                1.00000000E-05   1.13980939E+02   8.38512514E-01   1.60547789E-01   5.07744634E-04   3.02017234E-04   2.39355378E-95   5.99594107E-05   4.06519434E-05   2.29923612E-05  
  2                1.88489884E-04   1.53894950E+02   8.38341923E-01   1.60515126E-01   5.07350676E-04   3.01782900E-04   3.24890814E-70   5.99128882E-05   4.06204016E-05   2.29876835E-05  
  3                3.68794872E-04   1.81781449E+02   8.38029450E-01   1.60455297E-01   5.07853165E-04   3.02081791E-04   4.66992444E-59   5.99722270E-05   4.06606328E-05   2.29791154E-05  
  4                5.62662015E-04   1.98386073E+02   8.38512549E-01   1.60547795E-01   5.08145918E-04   3.02255926E-04   6.35325786E-54   6.00067981E-05   4.06840716E-05   2.29923621E-05  
  5                7.76515145E-04   2.13467258E+02   8.38512549E-01   1.60547795E-01   5.08145908E-04   3.02255920E-04   5.97542329E-50   6.00067969E-05   4.06840708E-05   2.29923621E-05  
  6                1.01486953E-03   2.24103986E+02   8.38512549E-01   1.60547795E-01   5.08145899E-04   3.02255915E-04   1.75292282E-47   6.00067958E-05   4.06840701E-05   2.29923621E-05  
  7                1.28218182E-03   2.35229283E+02   8.38512549E-01   1.60547795E-01   5.08145890E-04   3.02255909E-04   3.89904372E-45   6.00067948E-05   4.06840694E-05   2.29923621E-05  
  8                1.58305684E-03   2.43409675E+02   8.38512549E-01   1.60547795E-01   5.08145882E-04   3.02255905E-04   1.47584189E-43   6.00067938E-05   4.06840687E-05   2.29923621E-05  
  9                1.92269673E-03   2.52863915E+02   8.38512549E-01   1.60547795E-01   5.08145873E-04   3.02255900E-04   7.46694100E-42   6.00067928E-05   4.06840681E-05   2.29923621E-05  
  10               2.30681686E-03   2.59927206E+02   8.38512549E-01   1.60547795E-01   5.08145865E-04   3.02255895E-04   1.13674867E-40   6.00067918E-05   4.06840674E-05   2.29923621E-05  
  11               2.74192866E-03   2.68550288E+02   8.38512549E-01   1.60547795E-01   5.08145856E-04   3.02255889E-04   2.65015625E-39   6.00067908E-05   4.06840667E-05   2.29923621E-05  
  12               3.23528813E-03   2.75103722E+02   8.38512549E-01   1.60547795E-01   5.08145847E-04   3.02255884E-04   2.49196249E-38   6.00067897E-05   4.06840659E-05   2.29923621E-05  
  13               3.79524811E-03   2.83312077E+02   8.38512549E-01   1.60547795E-01   5.08145837E-04   3.02255878E-04   3.63351007E-37   6.00067885E-05   4.06840652E-05   2.29923621E-05  
