# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  34               4.32920289E-02   2.96903530E+02   8.38371943E-01   1.60520899E-01   5.04350761E-04   2.44131404E-04   2.68584993E-04   5.82563823E-05   7.42940914E-36   2.29885396E-05  
  35               4.99780405E-02   3.04386498E+02   8.38371943E-01   1.60520899E-01   5.04350765E-04   2.44131406E-04   2.68584995E-04   5.82563827E-05   6.06170245E-35   2.29885396E-05  
  36               5.76728474E-02   3.15659883E+02   8.38371943E-01   1.60520899E-01   5.04350771E-04   2.44131409E-04   2.68584999E-04   5.82563834E-05   1.22423914E-33   2.29885396E-05  
  37               6.65198462E-02   3.24340560E+02   8.38371943E-01   1.60520899E-01   5.04350775E-04   2.44131411E-04   2.68585001E-04   5.82563838E-05   1.05407541E-32   2.29885396E-05  
  38               7.66820186E-02   3.36950007E+02   8.38371943E-01   1.60520898E-01   5.04350790E-04   2.44131418E-04   2.68585009E-04   5.82563856E-05   2.02737597E-31   2.29885396E-05  
  39               8.83373171E-02   3.47416545E+02   8.38371939E-01   1.60520897E-01   5.04350792E-04   2.44131419E-04   2.68585010E-04   5.82563858E-05   1.97477220E-30   2.29885394E-05  
  40               1.01684525E-01   3.62568960E+02   8.38371941E-01   1.60520896E-01   5.04350864E-04   2.44131454E-04   2.68585048E-04   5.82563942E-05   4.33355138E-29   2.29885392E-05  
  41               1.16916734E-01   3.78085801E+02   8.38371586E-01   1.60520824E-01   5.04350612E-04   2.44131332E-04   2.68584914E-04   5.82563651E-05   7.90699899E-28   2.29885289E-05  
  42               1.34293012E-01   3.94268936E+02   8.38371617E-01   1.60520780E-01   5.04356548E-04   2.44134205E-04   2.68588075E-04   5.82570506E-05   1.27972452E-26   2.29885225E-05  
  43               1.54095927E-01   4.10842976E+02   8.38371636E-01   1.60520760E-01   5.04356525E-04   2.44134194E-04   2.68588063E-04   5.82570480E-05   1.76085131E-25   2.29885198E-05  
  44               1.76632719E-01   4.28121187E+02   8.38371679E-01   1.60520716E-01   5.04356463E-04   2.44134164E-04   2.68588030E-04   5.82570409E-05   2.17979905E-24   2.29885134E-05  
  45               2.02260347E-01   4.45816937E+02   8.38371734E-01   1.60520615E-01   5.04356318E-04   2.44134094E-04   2.68587953E-04   5.82570241E-05   2.33774909E-23   2.29884990E-05  
  46               2.31381712E-01   4.64263458E+02   8.38371536E-01   1.60520376E-01   5.04356720E-04   2.44134288E-04   2.68588166E-04   5.82570705E-05   2.28488684E-22   2.29884648E-05  
  47               2.64436319E-01   4.83146799E+02   8.38368910E-01   1.60519754E-01   5.04358282E-04   2.44135045E-04   2.68588998E-04   5.82572510E-05   1.96410804E-21   2.29883757E-05  
  48               3.01903372E-01   5.02810575E+02   8.38369799E-01   1.60518788E-01   5.04394482E-04   2.44152567E-04   2.68608276E-04   5.82614323E-05   1.55274439E-20   2.29882373E-05  
  49               3.44319756E-01   5.22924123E+02   8.38370927E-01   1.60517664E-01   5.04392785E-04   2.44151746E-04   2.68607372E-04   5.82612363E-05   1.09355595E-19   2.29880764E-05  
  50               3.92318540E-01   5.43867136E+02   8.38372607E-01   1.60515989E-01   5.04390270E-04   2.44150528E-04   2.68606033E-04   5.82609458E-05   7.15375028E-19   2.29878365E-05  
  51               4.46609614E-01   5.65294817E+02   8.38374772E-01   1.60513832E-01   5.04387052E-04   2.44148971E-04   2.68604320E-04   5.82605742E-05   4.22377163E-18   2.29875276E-05  
  52               5.07985313E-01   5.87605011E+02   8.38377310E-01   1.60511302E-01   5.04383297E-04   2.44147153E-04   2.68602320E-04   5.82601404E-05   2.33612405E-17   2.29871652E-05  
  53               5.77291220E-01   6.10419473E+02   8.38379927E-01   1.60508693E-01   5.04379446E-04   2.44145289E-04   2.68600269E-04   5.82596955E-05   1.17787276E-16   2.29867917E-05  
  54               6.55428872E-01   6.34137712E+02   8.38382478E-01   1.60506150E-01   5.04375713E-04   2.44143482E-04   2.68598281E-04   5.82592644E-05   5.59218450E-16   2.29864275E-05  
  55               7.43496428E-01   6.58376933E+02   8.38384764E-01   1.60503871E-01   5.04372372E-04   2.44141865E-04   2.68596502E-04   5.82588785E-05   2.44205083E-15   2.29861011E-05  
  56               8.42700065E-01   6.83571351E+02   8.38386781E-01   1.60501857E-01   5.04369443E-04   2.44140447E-04   2.68594942E-04   5.82585401E-05   1.01083497E-14   2.29858126E-05  
  57               9.54364371E-01   7.09308030E+02   8.38388463E-01   1.60500167E-01   5.04367045E-04   2.44139286E-04   2.68593665E-04   5.82582631E-05   3.88000631E-14   2.29855706E-05  
  58               1.07991652E+00   7.36022707E+02   8.38389864E-01   1.60498733E-01   5.04365186E-04   2.44138387E-04   2.68592675E-04   5.82580484E-05   1.41778533E-13   2.29853651E-05  
  59               1.22081520E+00   7.63266152E+02   8.38390858E-01   1.60497533E-01   5.04364128E-04   2.44137874E-04   2.68592112E-04   5.82579262E-05   4.83253388E-13   2.29851931E-05  
  60               1.37880097E+00   7.91481830E+02   8.38391609E-01   1.60496515E-01   5.04365704E-04   2.44138637E-04   2.68592951E-04   5.82581082E-05   1.57299203E-12   2.29850471E-05  
  61               1.55595315E+00   8.20265716E+02   8.38392395E-01   1.60495719E-01   5.04367703E-04   2.44139605E-04   2.68594015E-04   5.82583391E-05   4.81391882E-12   2.29849324E-05  
  62               1.75437149E+00   8.50037007E+02   8.38393052E-01   1.60495045E-01   5.04366787E-04   2.44139161E-04   2.68593528E-04   5.82582333E-05   1.41230195E-11   2.29893440E-05  
  63               1.97639992E+00   8.80377149E+02   8.38393573E-01   1.60494469E-01   5.04366139E-04   2.44138848E-04   2.68593182E-04   5.82581585E-05   3.91748535E-11   2.30011584E-05  
  64               2.22444003E+00   9.11670378E+02   8.38393953E-01   1.60493928E-01   5.04365938E-04   2.44138751E-04   2.68593075E-04   5.82581352E-05   1.04397196E-10   2.30354214E-05  
  65               2.50084886E+00   9.43489456E+02   8.38394090E-01   1.60493353E-01   5.04366782E-04   2.44139164E-04   2.68593525E-04   5.82582328E-05   2.64148017E-10   2.31301616E-05  
  66               2.80858973E+00   9.76157533E+02   8.38393481E-01   1.60492550E-01   5.04370109E-04   2.44140790E-04   2.68595297E-04   5.82586171E-05   6.42610565E-10   2.33800176E-05  
