# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  34               1.34475872E-02   8.20550782E+02   8.38570933E-01   1.60431519E-01   5.23723044E-11   5.29224389E-04   3.74853968E-04   6.05923124E-05   0.00000000E+00   0.00000000E+00  
  35               1.54837493E-02   8.41743098E+02   8.38596474E-01   1.60405276E-01   1.10424940E-10   5.29188612E-04   3.74828627E-04   6.05882162E-05   0.00000000E+00   0.00000000E+00  
  36               1.78051354E-02   8.61976899E+02   8.38619243E-01   1.60381242E-01   2.16363673E-10   5.29153790E-04   3.74803962E-04   6.05842294E-05   0.00000000E+00   0.00000000E+00  
  37               2.04435978E-02   8.86087897E+02   8.38646706E-01   1.60352730E-01   4.68169152E-10   5.29115957E-04   3.74777165E-04   6.05798977E-05   0.00000000E+00   0.00000000E+00  
  38               2.34307917E-02   9.09591629E+02   8.38669924E-01   1.60329583E-01   9.51456336E-10   5.29083418E-04   3.74754117E-04   6.05761722E-05   0.00000000E+00   0.00000000E+00  
  39               2.67982763E-02   9.37288158E+02   8.38693221E-01   1.60306354E-01   2.11628316E-09   5.29052782E-04   3.74732417E-04   6.05726646E-05   0.00000000E+00   4.24982078E-16  
  40               3.05871721E-02   9.64392492E+02   8.38709724E-01   1.60289900E-01   4.41037006E-09   5.29029923E-04   3.74716226E-04   6.05700474E-05   5.77942536E-16   3.03855685E-15  
  41               3.48423762E-02   9.95860171E+02   8.38723644E-01   1.60276018E-01   9.91560700E-09   5.29011482E-04   3.74703164E-04   6.05679362E-05   4.42957987E-15   2.59466009E-14  
  42               3.96048336E-02   1.02730540E+03   8.38732368E-01   1.60267313E-01   2.11535007E-08   5.28999211E-04   3.74694473E-04   6.05665312E-05   2.89734210E-14   1.87795148E-13  
  43               4.49041595E-02   1.06493209E+03   8.38738812E-01   1.60260863E-01   4.98658993E-08   5.28990346E-04   3.74688193E-04   6.05655162E-05   2.35502365E-13   1.70928252E-12  
  44               5.07553869E-02   1.10333102E+03   8.38742243E-01   1.60257378E-01   1.12552206E-07   5.28985058E-04   3.74684447E-04   6.05649107E-05   1.68150405E-12   1.35876048E-11  
  45               5.71965976E-02   1.14141530E+03   8.38743925E-01   1.60255562E-01   2.38511581E-07   5.28982026E-04   3.74682300E-04   6.05645636E-05   1.01638996E-11   9.06985772E-11  
  46               6.42940178E-02   1.18033683E+03   8.38744661E-01   1.60254543E-01   4.88410966E-07   5.28980211E-04   3.74681015E-04   6.05643558E-05   5.60485323E-11   5.49831553E-10  
  47               7.21253912E-02   1.21914644E+03   8.38744721E-01   1.60253958E-01   9.51524265E-07   5.28979137E-04   3.74680255E-04   6.05642328E-05   2.72774015E-10   2.92296047E-09  
  48               8.07645451E-02   1.25894673E+03   8.38744136E-01   1.60253558E-01   1.80554838E-06   5.28978675E-04   3.74679932E-04   6.05641800E-05   1.24042053E-09   1.44687774E-08  
  49               9.02814851E-02   1.29861762E+03   8.38742631E-01   1.60253217E-01   3.28081043E-06   5.28980408E-04   3.74681173E-04   6.05643784E-05   5.07058787E-09   6.40273440E-08  
  50               1.00744082E-01   1.33920952E+03   8.38739154E-01   1.60252743E-01   5.82332485E-06   5.28986973E-04   3.74685861E-04   6.05651300E-05   1.95116823E-08   2.65890817E-07  
  51               1.12213178E-01   1.37962844E+03   8.38732451E-01   1.60252116E-01   9.95088522E-06   5.29004581E-04   3.74698437E-04   6.05671460E-05   6.80690198E-08   9.96217319E-07  
  52               1.24762222E-01   1.42091314E+03   8.38710746E-01   1.60249143E-01   1.66571475E-05   5.29179392E-04   3.74822518E-04   6.05871608E-05   2.24177777E-07   3.51404484E-06  
  53               1.38459555E-01   1.46184738E+03   8.38699141E-01   1.60251169E-01   2.69214327E-05   5.29211923E-04   3.74846178E-04   6.05908857E-05   4.85439386E-07   1.85805765E-05  
  54               1.53251201E-01   1.50315761E+03   8.38677106E-01   1.60248968E-01   4.25318852E-05   5.29243661E-04   3.74869804E-04   6.05945201E-05   2.37573541E-06   1.95308855E-05  
