# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.15361465E+02   8.38491025E-01   1.60512409E-01   8.59499265E-32   5.29368478E-04   3.75153238E-04   6.06013048E-05   0.00000000E+00   0.00000000E+00  
  2                3.08748507E-05   3.82702497E+02   8.38494081E-01   1.60509357E-01   1.12546239E-25   5.29364974E-04   3.75150756E-04   6.06009038E-05   0.00000000E+00   0.00000000E+00  
  3                5.33000217E-05   4.04569909E+02   8.38494096E-01   1.60509224E-01   3.50946399E-24   5.29364832E-04   3.75150655E-04   6.06008875E-05   0.00000000E+00   0.00000000E+00  
  4                7.86790677E-05   4.24692739E+02   8.38493810E-01   1.60509146E-01   6.28904339E-23   5.29365144E-04   3.75150876E-04   6.06009233E-05   0.00000000E+00   0.00000000E+00  
  5                1.07685119E-04   4.36975121E+02   8.38493594E-01   1.60509360E-01   3.06792190E-22   5.29366155E-04   3.75151592E-04   6.06010390E-05   0.00000000E+00   0.00000000E+00  
  6                1.41027531E-04   4.51697360E+02   8.38493635E-01   1.60509319E-01   1.91008600E-21   5.29366418E-04   3.75151779E-04   6.06010691E-05   0.00000000E+00   0.00000000E+00  
  7                1.79480812E-04   4.60415082E+02   8.38493636E-01   1.60509317E-01   5.10643522E-21   5.29366721E-04   3.75151994E-04   6.06011038E-05   0.00000000E+00   0.00000000E+00  
  8                2.23930755E-04   4.72654388E+02   8.38493659E-01   1.60509294E-01   2.01141597E-20   5.29367106E-04   3.75152266E-04   6.06011478E-05   0.00000000E+00   0.00000000E+00  
  9                2.75373624E-04   4.79927979E+02   8.38493654E-01   1.60509297E-01   4.22212374E-20   5.29367985E-04   3.75152889E-04   6.06012484E-05   0.00000000E+00   0.00000000E+00  
  10               3.34954349E-04   4.91369621E+02   8.38493672E-01   1.60509279E-01   1.37518276E-19   5.29368318E-04   3.75153125E-04   6.06012866E-05   0.00000000E+00   0.00000000E+00  
  11               4.03986592E-04   4.98093236E+02   8.38493668E-01   1.60509283E-01   2.58346576E-19   5.29368491E-04   3.75153248E-04   6.06013064E-05   0.00000000E+00   0.00000000E+00  
  12               4.83995161E-04   5.09194408E+02   8.38493679E-01   1.60509267E-01   7.48562002E-19   5.29371257E-04   3.75155208E-04   6.06016230E-05   0.00000000E+00   0.00000000E+00  
  13               5.76751189E-04   5.15572251E+02   8.38493674E-01   1.60509272E-01   1.30149949E-18   5.29371088E-04   3.75155088E-04   6.06016037E-05   0.00000000E+00   0.00000000E+00  
  14               6.84337463E-04   5.26496114E+02   8.38493685E-01   1.60509259E-01   3.45462770E-18   5.29372545E-04   3.75156121E-04   6.06017704E-05   0.00000000E+00   0.00000000E+00  
