# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.69455925E+02   8.38250761E-01   1.60497686E-01   6.58928573E-04   4.15130284E-04   8.21160979E-63   8.46639616E-05   5.54797055E-05   2.29873029E-05  
  2                3.00160479E-05   2.10059470E+02   8.38250761E-01   1.60497686E-01   6.58928579E-04   4.15130287E-04   4.16482820E-50   8.46639623E-05   5.54797060E-05   2.29873029E-05  
  3                5.37576981E-05   2.09469700E+02   8.38250761E-01   1.60497686E-01   6.58928586E-04   4.15130292E-04   2.19205477E-50   8.46639632E-05   5.54797065E-05   2.29873029E-05  
  4                8.28393255E-05   2.21419959E+02   8.38250761E-01   1.60497686E-01   6.58928594E-04   4.15130297E-04   1.49019954E-47   8.46639643E-05   5.54797072E-05   2.29873029E-05  
  5                1.18476096E-04   2.20078963E+02   8.38250761E-01   1.60497686E-01   6.58928603E-04   4.15130303E-04   6.06667383E-48   8.46639654E-05   5.54797080E-05   2.29873029E-05  
  6                1.62198074E-04   2.31056462E+02   8.38250761E-01   1.60497686E-01   6.58928613E-04   4.15130309E-04   1.47002552E-45   8.46639667E-05   5.54797088E-05   2.29873029E-05  
  7                2.15782073E-04   2.30416306E+02   8.38250760E-01   1.60497686E-01   6.58928623E-04   4.15130316E-04   9.30488570E-46   8.46639681E-05   5.54797097E-05   2.29873029E-05  
  8                2.81527788E-04   2.40515268E+02   8.38250760E-01   1.60497686E-01   6.58928635E-04   4.15130323E-04   9.59215892E-44   8.46639695E-05   5.54797107E-05   2.29873029E-05  
  9                3.62164130E-04   2.40077121E+02   8.38250760E-01   1.60497686E-01   6.58928646E-04   4.15130330E-04   6.93390104E-44   8.46639710E-05   5.54797117E-05   2.29873029E-05  
  10               4.61136760E-04   2.49683773E+02   8.38250761E-01   1.60497686E-01   6.58928659E-04   4.15130338E-04   4.07701816E-42   8.46639726E-05   5.54797127E-05   2.29873029E-05  
  11               5.82554336E-04   2.49587874E+02   8.38250760E-01   1.60497686E-01   6.58928672E-04   4.15130346E-04   3.48412142E-42   8.46639743E-05   5.54797138E-05   2.29873029E-05  
  12               7.31527206E-04   2.59256137E+02   8.38250761E-01   1.60497686E-01   6.58928685E-04   4.15130354E-04   1.55476653E-40   8.46639760E-05   5.54797149E-05   2.29873028E-05  
  13               9.14186921E-04   2.59684960E+02   8.38250760E-01   1.60497686E-01   6.58928699E-04   4.15130363E-04   1.64324304E-40   8.46639778E-05   5.54797161E-05   2.29873028E-05  
  14               1.13815090E-03   2.69560749E+02   8.38250761E-01   1.60497686E-01   6.58928713E-04   4.15130372E-04   5.92730333E-39   8.46639797E-05   5.54797173E-05   2.29873028E-05  
  15               1.41263013E-03   2.70286256E+02   8.38250761E-01   1.60497686E-01   6.58928729E-04   4.15130382E-04   6.90599478E-39   8.46639816E-05   5.54797186E-05   2.29873028E-05  
  16               1.74905553E-03   2.80245364E+02   8.38250761E-01   1.60497685E-01   6.58928744E-04   4.15130391E-04   1.94463983E-37   8.46639835E-05   5.54797199E-05   2.29873028E-05  
  17               2.16128945E-03   2.81106756E+02   8.38250761E-01   1.60497686E-01   6.58928760E-04   4.15130402E-04   2.32979334E-37   8.46639857E-05   5.54797213E-05   2.29873028E-05  
  18               2.66645310E-03   2.91194149E+02   8.38250762E-01   1.60497685E-01   6.58928776E-04   4.15130412E-04   5.30056591E-36   8.46639876E-05   5.54797226E-05   2.29873027E-05  
  19               3.28531235E-03   2.92231135E+02   8.38250761E-01   1.60497685E-01   6.58928794E-04   4.15130423E-04   6.57240160E-36   8.46639900E-05   5.54797241E-05   2.29873027E-05  
  20               4.04334980E-03   3.02725127E+02   8.38250763E-01   1.60497684E-01   6.58928809E-04   4.15130432E-04   1.32810409E-34   8.46639919E-05   5.54797253E-05   2.29873025E-05  
  21               4.97144830E-03   3.04079755E+02   8.38250762E-01   1.60497684E-01   6.58928828E-04   4.15130444E-04   1.76173124E-34   8.46639944E-05   5.54797270E-05   2.29873026E-05  
  22               6.10740377E-03   3.15060613E+02   8.38250764E-01   1.60497681E-01   6.58928851E-04   4.15130459E-04   3.21157693E-33   8.46639973E-05   5.54797289E-05   2.29873022E-05  
  23               7.49685462E-03   3.16979865E+02   8.38250763E-01   1.60497682E-01   6.58928872E-04   4.15130472E-04   4.79881357E-33   8.46640000E-05   5.54797307E-05   2.29873023E-05  
  24               9.19574868E-03   3.28564423E+02   8.38250768E-01   1.60497677E-01   6.58928883E-04   4.15130479E-04   8.01956085E-32   8.46640015E-05   5.54797316E-05   2.29873016E-05  
  25               1.12714779E-02   3.31009319E+02   8.38250764E-01   1.60497678E-01   6.58928905E-04   4.15130493E-04   1.30660721E-31   8.46640042E-05   5.54797334E-05   2.29873017E-05  
  26               1.38067844E-02   3.43057770E+02   8.38250773E-01   1.60497669E-01   6.58928952E-04   4.15130522E-04   1.91210318E-30   8.46640103E-05   5.54797374E-05   2.29873004E-05  
  27               1.69018395E-02   3.45905466E+02   8.38250771E-01   1.60497671E-01   6.58928978E-04   4.15130539E-04   3.24482144E-30   8.46640136E-05   5.54797396E-05   2.29873007E-05  
  28               2.06800203E-02   3.58331887E+02   8.38250773E-01   1.60497653E-01   6.58928963E-04   4.15130530E-04   4.07981346E-29   8.46640117E-05   5.54797383E-05   2.29872981E-05  
  29               2.52898841E-02   3.61513702E+02   8.38250771E-01   1.60497655E-01   6.58929201E-04   4.15130680E-04   7.03234787E-29   8.46640423E-05   5.54797584E-05   2.29872984E-05  
  30               3.09123608E-02   3.74631621E+02   8.38250798E-01   1.60497628E-01   6.58929176E-04   4.15130664E-04   8.10094812E-28   8.46640391E-05   5.54797563E-05   2.29872946E-05  
  31               3.77649273E-02   3.78442694E+02   8.38250793E-01   1.60497633E-01   6.58929210E-04   4.15130685E-04   1.48527917E-27   8.46640435E-05   5.54797591E-05   2.29872953E-05  
  32               4.61100590E-02   3.92545160E+02   8.38250770E-01   1.60497572E-01   6.58929101E-04   4.15130616E-04   1.62938421E-26   8.46640294E-05   5.54797499E-05   2.29872865E-05  
  33               5.62598515E-02   3.97386807E+02   8.38250771E-01   1.60497568E-01   6.58930253E-04   4.15131343E-04   3.33574628E-26   8.46641775E-05   5.54798470E-05   2.29872860E-05  
  34               6.85931464E-02   4.12652926E+02   8.38250860E-01   1.60497480E-01   6.58930116E-04   4.15131256E-04   3.49433399E-25   8.46641598E-05   5.54798354E-05   2.29872733E-05  
  35               8.35578564E-02   4.18617275E+02   8.38250861E-01   1.60497478E-01   6.58930151E-04   4.15131278E-04   7.85147676E-25   8.46641643E-05   5.54798383E-05   2.29872731E-05  
  36               1.01698456E-01   4.35017870E+02   8.38250614E-01   1.60497234E-01   6.58929602E-04   4.15130932E-04   7.61142782E-24   8.46640938E-05   5.54797921E-05   2.29872381E-05  
  37               1.23662289E-01   4.42294078E+02   8.38250629E-01   1.60497169E-01   6.58935923E-04   4.15134914E-04   1.86769847E-23   8.46649060E-05   5.54803243E-05   2.29872288E-05  
  38               1.50225347E-01   4.60298217E+02   8.38250841E-01   1.60496854E-01   6.58935608E-04   4.15134716E-04   1.73916953E-22   8.46648655E-05   5.54802978E-05   2.29871836E-05  
  39               1.82281803E-01   4.69484231E+02   8.38250568E-01   1.60496785E-01   6.58936098E-04   4.15135025E-04   4.83750573E-22   8.46649285E-05   5.54803391E-05   2.29871738E-05  
  40               2.20881297E-01   4.89672048E+02   8.38248415E-01   1.60495854E-01   6.58937800E-04   4.15136097E-04   4.44526320E-21   8.46651471E-05   5.54804823E-05   2.29870404E-05  
  41               2.67244925E-01   5.00950443E+02   8.38248823E-01   1.60495357E-01   6.58985721E-04   4.15166288E-04   1.35814723E-20   8.46713045E-05   5.54845172E-05   2.29869693E-05  
  42               3.22884048E-01   5.21985254E+02   8.38249927E-01   1.60494257E-01   6.58983638E-04   4.15164975E-04   1.03115491E-19   8.46710368E-05   5.54843418E-05   2.29868117E-05  
  43               3.89533975E-01   5.35287957E+02   8.38250419E-01   1.60493766E-01   6.58983136E-04   4.15164659E-04   3.29755404E-19   8.46709723E-05   5.54842995E-05   2.29867414E-05  
  44               4.69264713E-01   5.58649419E+02   8.38252206E-01   1.60491985E-01   6.58979740E-04   4.15162519E-04   2.36325099E-18   8.46705359E-05   5.54840136E-05   2.29864864E-05  
  45               5.64471356E-01   5.74691785E+02   8.38253118E-01   1.60491077E-01   6.58978008E-04   4.15161428E-04   8.06596856E-18   8.46703134E-05   5.54838678E-05   2.29863562E-05  
  46               6.77910969E-01   6.01013203E+02   8.38255603E-01   1.60488601E-01   6.58973249E-04   4.15158430E-04   5.51670437E-17   8.46697020E-05   5.54834671E-05   2.29860017E-05  
  47               8.12587272E-01   6.20556541E+02   8.38256980E-01   1.60487228E-01   6.58970623E-04   4.15156775E-04   2.01480868E-16   8.46693645E-05   5.54832459E-05   2.29858050E-05  
  48               9.72071066E-01   6.50488197E+02   8.38259816E-01   1.60484402E-01   6.58965196E-04   4.15153357E-04   1.31110746E-15   8.46686672E-05   5.54827890E-05   2.29854003E-05  
  49               1.16069095E+00   6.74197096E+02   8.38261435E-01   1.60482787E-01   6.58962116E-04   4.15151416E-04   5.02347929E-15   8.46682714E-05   5.54825297E-05   2.29851689E-05  
  50               1.38321805E+00   7.08174145E+02   8.38264048E-01   1.60480175E-01   6.58957142E-04   4.15148282E-04   3.03516261E-14   8.46676323E-05   5.54821109E-05   2.29847948E-05  
  51               1.64452762E+00   7.36276815E+02   8.38265506E-01   1.60478677E-01   6.58954428E-04   4.15146573E-04   1.16312875E-13   8.46672836E-05   5.54818824E-05   2.29845802E-05  
  52               1.95003155E+00   7.74526239E+02   8.38267381E-01   1.60476597E-01   6.58951161E-04   4.15144514E-04   6.34112576E-13   8.46668639E-05   5.54816073E-05   2.29842821E-05  
  53               2.30693794E+00   8.07074736E+02   8.38268323E-01   1.60475388E-01   6.58953053E-04   4.15145707E-04   2.32677431E-12   8.46671070E-05   5.54817666E-05   2.29841085E-05  
  54               2.72356138E+00   8.49428695E+02   8.38269740E-01   1.60473953E-01   6.58954678E-04   4.15146730E-04   1.10819530E-11   8.46673158E-05   5.54819035E-05   2.29839017E-05  
  55               3.20807918E+00   8.85759007E+02   8.38270495E-01   1.60473131E-01   6.58953307E-04   4.15145867E-04   3.69511928E-11   8.46671399E-05   5.54817880E-05   2.29941974E-05  
  56               3.76897062E+00   9.31192837E+02   8.38271262E-01   1.60472122E-01   6.58952188E-04   4.15145161E-04   1.48086963E-10   8.46669977E-05   5.54816938E-05   2.30445900E-05  
  57               4.41709598E+00   9.69965175E+02   8.38271114E-01   1.60471391E-01   6.58953306E-04   4.15145866E-04   4.30228837E-10   8.46671552E-05   5.54817879E-05   2.31903351E-05  
  58               5.16629172E+00   1.01727737E+03   8.38270510E-01   1.60470301E-01   6.58962266E-04   4.15151511E-04   1.43269617E-09   8.46683901E-05   5.54825423E-05   2.37793268E-05  
  59               6.03080798E+00   1.05736238E+03   8.38270411E-01   1.60469371E-01   6.58972674E-04   4.15158067E-04   3.59368790E-09   8.46702748E-05   5.54834187E-05   2.42870185E-05  
  60               7.02642170E+00   1.10543713E+03   8.38272125E-01   1.60467661E-01   6.58968544E-04   4.15155457E-04   1.00175153E-08   8.46724736E-05   5.54830719E-05   2.42865956E-05  
  61               8.17212571E+00   1.14575958E+03   8.38274098E-01   1.60465671E-01   6.58963902E-04   4.15152438E-04   2.18101800E-08   8.46858751E-05   5.54826913E-05   2.42860584E-05  
  62               9.49450706E+00   1.19393131E+03   8.38278068E-01   1.60461625E-01   6.58954507E-04   4.15145847E-04   5.20669023E-08   8.47413255E-05   5.54819733E-05   2.42849625E-05  
  63               1.10220331E+01   1.23394518E+03   8.38282113E-01   1.60457321E-01   6.58939921E-04   4.15131437E-04   1.00250768E-07   8.49658494E-05   5.54813144E-05   2.42836894E-05  
  64               1.27844551E+01   1.28178431E+03   8.38289139E-01   1.60449520E-01   6.58892550E-04   4.15074144E-04   2.09973027E-07   8.57041218E-05   5.54803262E-05   2.42813374E-05  
  65               1.48122953E+01   1.32095728E+03   8.38294233E-01   1.60442485E-01   6.58702705E-04   4.14810723E-04   3.63656843E-07   8.79049419E-05   5.54801949E-05   2.42789044E-05  
  66               1.71454622E+01   1.36833181E+03   8.38301732E-01   1.60430830E-01   6.57993405E-04   4.13824516E-04   6.84954505E-07   9.33676848E-05   5.54807646E-05   2.42746580E-05  
  67               1.98352568E+01   1.40685914E+03   8.38305377E-01   1.60421968E-01   6.55587589E-04   4.10560200E-04   1.09258682E-06   1.03758934E-04   5.54834390E-05   2.42705129E-05  
  68               2.29464327E+01   1.45467304E+03   8.38314474E-01   1.60408551E-01   6.49169494E-04   4.02140386E-04   1.90874388E-06   1.21954214E-04   5.54870426E-05   2.42629560E-05  
  69               2.65484805E+01   1.49410008E+03   8.38328031E-01   1.60401270E-01   6.37088863E-04   3.87921448E-04   2.89718879E-06   1.40250741E-04   5.54881943E-05   2.42545929E-05  
  70               3.07168589E+01   1.54425698E+03   8.38355004E-01   1.60390547E-01   6.16034002E-04   3.64035741E-04   4.84912454E-06   1.66880058E-04   5.54882901E-05   2.42081238E-05  
  71               3.55223218E+01   1.58684500E+03   8.38375822E-01   1.60384378E-01   5.97241926E-04   3.45006321E-04   7.21841155E-06   1.85619152E-04   5.54858936E-05   2.41982767E-05  
  72               4.10238219E+01   1.64153684E+03   8.38403909E-01   1.60373497E-01   5.70367214E-04   3.15688492E-04   1.18651843E-05   2.15032897E-04   5.54848267E-05   2.40765715E-05  
  73               4.72008449E+01   1.68974749E+03   8.38409484E-01   1.60363778E-01   5.53614819E-04   2.94086547E-04   1.77242402E-05   2.36477123E-04   5.54868071E-05   2.38077856E-05  
  74               5.39686376E+01   1.75120218E+03   8.38427527E-01   1.60351187E-01   5.34985132E-04   2.59038368E-04   2.91329262E-05   2.71346098E-04   5.55009439E-05   2.29638747E-05  
  75               6.11571840E+01   1.80816728E+03   8.38433008E-01   1.60339644E-01   5.14291766E-04   2.32427784E-04   4.46279471E-05   2.97745529E-04   5.54910885E-05   2.28326485E-05  
  76               6.86483455E+01   1.86526036E+03   8.38407778E-01   1.60324978E-01   5.06481553E-04   2.04757401E-04   6.67648538E-05   3.25171483E-04   5.54774417E-05   2.24860299E-05  
  77               7.61447425E+01   1.91449467E+03   8.38341876E-01   1.60308706E-01   5.21872208E-04   1.80423551E-04   9.22784022E-05   3.49284874E-04   5.54459337E-05   2.19182906E-05  
  78               8.32896375E+01   1.96089979E+03   8.38286445E-01   1.60295958E-01   5.35988060E-04   1.59214397E-04   1.23577484E-04   3.70287087E-04   5.53967137E-05   2.14790673E-05  
  79               8.97757439E+01   1.99740451E+03   8.38271080E-01   1.60290623E-01   5.26755888E-04   1.49787446E-04   1.53481829E-04   3.79520722E-04   5.53052808E-05   2.14528618E-05  
