# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              H                N2               H2S             
  34               5.58318930E-02   3.81499487E+02   8.38452673E-01   1.60536295E-01   4.04611272E-04   3.76899105E-04   1.40229565E-04   2.13132157E-27   5.93040575E-05   2.29919560E-05  
  35               6.44018574E-02   3.92095483E+02   8.38452696E-01   1.60536266E-01   4.04614124E-04   3.76901762E-04   1.40230554E-04   1.27709213E-26   5.93044755E-05   2.29919518E-05  
  36               7.42313310E-02   4.06829066E+02   8.38452752E-01   1.60536210E-01   4.04614222E-04   3.76901854E-04   1.40230588E-04   1.34918648E-25   5.93044900E-05   2.29919438E-05  
  37               8.54818724E-02   4.19643981E+02   8.38452833E-01   1.60536127E-01   4.04614292E-04   3.76901918E-04   1.40230612E-04   9.05497288E-25   5.93045001E-05   2.29919319E-05  
  38               9.83273586E-02   4.37484947E+02   8.38450069E-01   1.60535307E-01   4.04614167E-04   3.76901802E-04   1.40230569E-04   1.08909921E-23   5.93044818E-05   2.29918145E-05  
  39               1.12933737E-01   4.56185517E+02   8.38450479E-01   1.60534446E-01   4.04611186E-04   3.76899025E-04   1.40229535E-04   1.19780376E-22   5.93040448E-05   2.29916912E-05  
  40               1.29530982E-01   4.75158829E+02   8.38451065E-01   1.60533773E-01   4.04646833E-04   3.76932231E-04   1.40241890E-04   1.12194493E-21   5.93092697E-05   2.29915949E-05  
  41               1.48368634E-01   4.95048797E+02   8.38452688E-01   1.60532155E-01   4.04645096E-04   3.76930613E-04   1.40241288E-04   9.73517255E-21   5.93090151E-05   2.29913630E-05  
  42               1.69723100E-01   5.15213919E+02   8.38454961E-01   1.60529888E-01   4.04642624E-04   3.76928310E-04   1.40240431E-04   7.32167719E-20   5.93086527E-05   2.29910384E-05  
  43               1.93908744E-01   5.36350692E+02   8.38457820E-01   1.60527038E-01   4.04639449E-04   3.76925353E-04   1.40239331E-04   5.15465123E-19   5.93081874E-05   2.29906302E-05  
  44               2.21291443E-01   5.57788141E+02   8.38460812E-01   1.60524054E-01   4.04636214E-04   3.76922339E-04   1.40238210E-04   3.19990903E-18   5.93077133E-05   2.29902029E-05  
  45               2.52275660E-01   5.80270441E+02   8.38463762E-01   1.60521112E-01   4.04633014E-04   3.76919358E-04   1.40237101E-04   1.87767997E-17   5.93072443E-05   2.29897816E-05  
  46               2.87293609E-01   6.03060155E+02   8.38466330E-01   1.60518551E-01   4.04630354E-04   3.76916880E-04   1.40236179E-04   9.84151893E-17   5.93068544E-05   2.29894147E-05  
  47               3.26805562E-01   6.26923673E+02   8.38468564E-01   1.60516323E-01   4.04628087E-04   3.76914769E-04   1.40235393E-04   4.89991205E-16   5.93065221E-05   2.29890955E-05  
  48               3.71352560E-01   6.51089561E+02   8.38470355E-01   1.60514533E-01   4.04626419E-04   3.76913215E-04   1.40234815E-04   2.20305455E-15   5.93062776E-05   2.29888393E-05  
  49               4.21571729E-01   6.76399144E+02   8.38471840E-01   1.60513047E-01   4.04625154E-04   3.76912037E-04   1.40234377E-04   9.47538342E-15   5.93060923E-05   2.29886265E-05  
  50               4.78154736E-01   7.02042132E+02   8.38472987E-01   1.60511883E-01   4.04624436E-04   3.76911368E-04   1.40234128E-04   3.72304141E-14   5.93059870E-05   2.29884597E-05  
  51               5.41827095E-01   7.28860457E+02   8.38473894E-01   1.60510922E-01   4.04624199E-04   3.76911147E-04   1.40234046E-04   1.40455156E-13   5.93059522E-05   2.29883220E-05  
  52               6.13329549E-01   7.55976397E+02   8.38474461E-01   1.60510146E-01   4.04626726E-04   3.76913501E-04   1.40234922E-04   4.87500150E-13   5.93063227E-05   2.29882107E-05  
  53               6.93494349E-01   7.84244599E+02   8.38474867E-01   1.60509492E-01   4.04627496E-04   3.76914218E-04   1.40235188E-04   1.62708492E-12   5.93064355E-05   2.29881167E-05  
  54               7.83399534E-01   8.12840683E+02   8.38475347E-01   1.60508996E-01   4.04630170E-04   3.76916709E-04   1.40236115E-04   5.04545318E-12   5.93068274E-05   2.29880450E-05  
  55               8.84159579E-01   8.42641895E+02   8.38475762E-01   1.60508553E-01   4.04630868E-04   3.76917359E-04   1.40236357E-04   1.51147649E-11   5.93069297E-05   2.29937766E-05  
  56               9.96982375E-01   8.72788991E+02   8.38476105E-01   1.60508127E-01   4.04631800E-04   3.76918227E-04   1.40236680E-04   4.24011572E-11   5.93070663E-05   2.30102618E-05  
  57               1.12306169E+00   9.04095803E+02   8.38476389E-01   1.60507603E-01   4.04633187E-04   3.76919520E-04   1.40237161E-04   1.15005971E-10   5.93072697E-05   2.30601487E-05  
  58               1.26354127E+00   9.35675138E+02   8.38476503E-01   1.60506832E-01   4.04635612E-04   3.76921778E-04   1.40238001E-04   2.93460370E-10   5.93076249E-05   2.31993049E-05  
  59               1.41985518E+00   9.68313655E+02   8.38476351E-01   1.60505507E-01   4.04641395E-04   3.76927162E-04   1.40240004E-04   7.24194011E-10   5.93084721E-05   2.35733958E-05  
  60               1.59364860E+00   1.00125694E+03   8.38476980E-01   1.60503433E-01   4.04647395E-04   3.76932739E-04   1.40242079E-04   1.69447783E-09   5.93093497E-05   2.42922213E-05  
  61               1.78665663E+00   1.03517356E+03   8.38480407E-01   1.60500022E-01   4.04644147E-04   3.76929666E-04   1.40240935E-04   3.83905041E-09   5.93088662E-05   2.42916234E-05  
  62               2.00091263E+00   1.06949601E+03   8.38486015E-01   1.60494442E-01   4.04638500E-04   3.76924230E-04   1.40238909E-04   8.31692669E-09   5.93080113E-05   2.42906410E-05  
  63               2.23854328E+00   1.10468652E+03   8.38494776E-01   1.60485713E-01   4.04629246E-04   3.76914983E-04   1.40235449E-04   1.74618965E-08   5.93065594E-05   2.42890902E-05  
  64               2.50171426E+00   1.14038036E+03   8.38507237E-01   1.60473278E-01   4.04617534E-04   3.76901916E-04   1.40230466E-04   3.53059768E-08   5.93045210E-05   2.42868398E-05  
  65               2.79311470E+00   1.17680324E+03   8.38523576E-01   1.60456949E-01   4.04605702E-04   3.76883659E-04   1.40223014E-04   6.92146656E-08   5.93017421E-05   2.42837878E-05  
  66               3.11570217E+00   1.21391306E+03   8.38543078E-01   1.60437415E-01   4.04606211E-04   3.76860364E-04   1.40211032E-04   1.31658403E-07   5.92985368E-05   2.42799376E-05  
  67               3.47252708E+00   1.25162049E+03   8.38564341E-01   1.60416044E-01   4.04650320E-04   3.76824369E-04   1.40182024E-04   2.43005570E-07   5.92949627E-05   2.42753576E-05  
  68               3.86712021E+00   1.29019576E+03   8.38586052E-01   1.60394100E-01   4.04828966E-04   3.76747181E-04   1.40085304E-04   4.37870555E-07   5.92915207E-05   2.42700181E-05  
  69               4.30359356E+00   1.32925277E+03   8.38606608E-01   1.60373205E-01   4.05344037E-04   3.76528681E-04   1.39748018E-04   7.66370831E-07   5.92882762E-05   2.42638483E-05  
  70               4.78670668E+00   1.36802950E+03   8.38624819E-01   1.60354790E-01   4.06582579E-04   3.75918257E-04   1.38711969E-04   1.29095830E-06   5.92856748E-05   2.42565185E-05  
  71               5.32284305E+00   1.40674678E+03   8.38641187E-01   1.60339068E-01   4.09146842E-04   3.74411741E-04   1.36029420E-04   2.10631905E-06   5.92834636E-05   2.42465599E-05  
  72               5.92118428E+00   1.44663155E+03   8.38657326E-01   1.60325553E-01   4.13818397E-04   3.71225011E-04   1.30219767E-04   3.38974228E-06   5.92814472E-05   2.42291063E-05  
  73               6.59318429E+00   1.48743207E+03   8.38673921E-01   1.60314652E-01   4.21385424E-04   3.65475781E-04   1.19781404E-04   5.36184245E-06   5.92793795E-05   2.41907028E-05  
  74               7.35131964E+00   1.53013922E+03   8.38689436E-01   1.60305527E-01   4.32233351E-04   3.56919218E-04   1.04648645E-04   8.43426634E-06   5.92778698E-05   2.40886380E-05  
  75               8.20565538E+00   1.57437530E+03   8.38690483E-01   1.60295899E-01   4.45852039E-04   3.47465413E-04   8.72810627E-05   1.31223060E-05   5.92795075E-05   2.38071078E-05  
  76               9.15212606E+00   1.62085421E+03   8.38696171E-01   1.60290281E-01   4.61172065E-04   3.42922233E-04   6.92939421E-05   2.03514672E-05   5.93001577E-05   2.22635988E-05  
  77               1.01707716E+01   1.66795565E+03   8.38696442E-01   1.60284359E-01   4.74021329E-04   3.34635624E-04   5.62395252E-05   3.09624481E-05   5.93014796E-05   2.21880591E-05  
  78               1.12373835E+01   1.71238309E+03   8.38680177E-01   1.60278155E-01   4.84205914E-04   3.31848432E-04   4.62185712E-05   4.49261856E-05   5.93085336E-05   2.20157339E-05  
  79               1.23037281E+01   1.75452506E+03   8.38641622E-01   1.60270741E-01   4.92847940E-04   3.40154776E-04   3.75078805E-05   6.28421465E-05   5.93241258E-05   2.16541705E-05  
  80               1.32815097E+01   1.78980027E+03   8.38572979E-01   1.60260802E-01   4.99639237E-04   3.61175121E-04   3.07278172E-05   8.20762869E-05   5.93566048E-05   2.11749935E-05  
  81               1.41004721E+01   1.81854596E+03   8.38492936E-01   1.60253068E-01   5.05458740E-04   3.98920898E-04   2.46807970E-05   1.01277950E-04   5.94074535E-05   2.05283873E-05  
  82               1.49772753E+01   1.84707612E+03   8.38473112E-01   1.60250105E-01   5.07954410E-04   3.98977552E-04   2.23129659E-05   1.23815164E-04   5.94058401E-05   2.05316888E-05  
  83               1.59471483E+01   1.87784323E+03   8.38449302E-01   1.60247057E-01   5.10162494E-04   3.96856383E-04   2.00671803E-05   1.52760996E-04   5.94015312E-05   2.05314161E-05  
  84               1.67408926E+01   1.90128822E+03   8.38417616E-01   1.60242629E-01   5.11612482E-04   3.95397112E-04   1.86141799E-05   1.78288802E-04   5.94137918E-05   2.05288241E-05  
  85               1.73330457E+01   1.91873472E+03   8.38399335E-01   1.60240610E-01   5.12596286E-04   3.94372591E-04   1.75989578E-05   1.99599635E-04   5.94093733E-05   2.05250064E-05  
  86               1.79983472E+01   1.93717913E+03   8.38377893E-01   1.60238341E-01   5.13529773E-04   3.93410139E-04   1.66501737E-05   2.24237022E-04   5.94035651E-05   2.05197998E-05  
  87               1.87473872E+01   1.95781778E+03   8.38351025E-01   1.60235577E-01   5.14499724E-04   3.92405681E-04   1.56504962E-05   2.54844055E-04   5.93953268E-05   2.05114568E-05  
  88               1.95871148E+01   1.97967948E+03   8.38319159E-01   1.60232408E-01   5.15416981E-04   3.91454005E-04   1.47168877E-05   2.90774314E-04   5.93832899E-05   2.05004535E-05  
