# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H2S              H               
  34               4.51839186E-02   2.97304660E+02   8.38383448E-01   1.60523105E-01   4.85710290E-04   2.67295282E-04   2.50552098E-04   5.84176814E-05   2.29890124E-05   8.19241002E-36  
  35               5.13644778E-02   3.06787962E+02   8.38383448E-01   1.60523105E-01   4.85710621E-04   2.67295464E-04   2.50552269E-04   5.84177212E-05   2.29890124E-05   1.17362131E-34  
  36               5.83595572E-02   3.16846257E+02   8.38383447E-01   1.60523104E-01   4.85710984E-04   2.67295664E-04   2.50552457E-04   5.84177650E-05   2.29890123E-05   1.66123525E-33  
  37               6.62603973E-02   3.28869837E+02   8.38383445E-01   1.60523104E-01   4.85711378E-04   2.67295881E-04   2.50552660E-04   5.84178124E-05   2.29890123E-05   3.21807540E-32  
  38               7.51621047E-02   3.42026553E+02   8.38383445E-01   1.60523103E-01   4.85711828E-04   2.67296128E-04   2.50552892E-04   5.84178664E-05   2.29890122E-05   6.50776367E-31  
  39               8.51888123E-02   3.54802342E+02   8.38383433E-01   1.60523100E-01   4.85712294E-04   2.67296384E-04   2.50553132E-04   5.84179225E-05   2.29890117E-05   9.69771541E-30  
  40               9.64839674E-02   3.68751395E+02   8.38383435E-01   1.60523097E-01   4.85712989E-04   2.67296767E-04   2.50553491E-04   5.84180061E-05   2.29890113E-05   1.49891133E-28  
  41               1.09205417E-01   3.82354624E+02   8.38383439E-01   1.60523092E-01   4.85713551E-04   2.67297076E-04   2.50553781E-04   5.84180737E-05   2.29890106E-05   1.77762903E-27  
  42               1.23527052E-01   3.97179784E+02   8.38382928E-01   1.60522981E-01   4.85713972E-04   2.67297308E-04   2.50553998E-04   5.84181243E-05   2.29889947E-05   2.17521983E-26  
  43               1.39636341E-01   4.11668834E+02   8.38382991E-01   1.60522907E-01   4.85718868E-04   2.67300002E-04   2.50556524E-04   5.84187132E-05   2.29889841E-05   2.10329919E-25  
  44               1.57736314E-01   4.27424900E+02   8.38383039E-01   1.60522857E-01   4.85719534E-04   2.67300369E-04   2.50556867E-04   5.84187933E-05   2.29889769E-05   2.08693087E-24  
  45               1.78060440E-01   4.42829931E+02   8.38383110E-01   1.60522760E-01   4.85720249E-04   2.67300762E-04   2.50557236E-04   5.84188792E-05   2.29889630E-05   1.67297305E-23  
  46               2.00865670E-01   4.59558513E+02   8.38382901E-01   1.60522509E-01   4.85720996E-04   2.67301173E-04   2.50557621E-04   5.84189691E-05   2.29889270E-05   1.37192826E-22  
  47               2.26430516E-01   4.75917108E+02   8.38382928E-01   1.60522475E-01   4.85723984E-04   2.67302818E-04   2.50559162E-04   5.84193284E-05   2.29889221E-05   9.26889471E-22  
  48               2.55058490E-01   4.93658193E+02   8.38380911E-01   1.60521366E-01   4.85762507E-04   2.67324018E-04   2.50579034E-04   5.84239617E-05   2.29887634E-05   6.39014018E-21  
  49               2.87087628E-01   5.10998715E+02   8.38382060E-01   1.60520220E-01   4.85760856E-04   2.67323109E-04   2.50578183E-04   5.84237632E-05   2.29885993E-05   3.69004086E-20  
  50               3.22888385E-01   5.29783844E+02   8.38383480E-01   1.60518802E-01   4.85760316E-04   2.67322812E-04   2.50577904E-04   5.84236982E-05   2.29883962E-05   2.17045860E-19  
  51               3.62894603E-01   5.48144910E+02   8.38385232E-01   1.60517053E-01   4.85759109E-04   2.67322148E-04   2.50577282E-04   5.84235531E-05   2.29881457E-05   1.08641339E-18  
  52               4.07573074E-01   5.68025286E+02   8.38387491E-01   1.60514799E-01   4.85757298E-04   2.67321151E-04   2.50576347E-04   5.84233352E-05   2.29878229E-05   5.53506820E-18  
  53               4.57434288E-01   5.87460044E+02   8.38389780E-01   1.60512513E-01   4.85755566E-04   2.67320198E-04   2.50575454E-04   5.84231270E-05   2.29874956E-05   2.43468117E-17  
  54               5.13035820E-01   6.08476906E+02   8.38392266E-01   1.60510032E-01   4.85753703E-04   2.67319173E-04   2.50574493E-04   5.84229028E-05   2.29871402E-05   1.08806409E-16  
  55               5.74962834E-01   6.29017298E+02   8.38394453E-01   1.60507847E-01   4.85752419E-04   2.67318466E-04   2.50573831E-04   5.84227484E-05   2.29868273E-05   4.25100414E-16  
  56               6.43913116E-01   6.51186288E+02   8.38396590E-01   1.60505713E-01   4.85751380E-04   2.67317894E-04   2.50573294E-04   5.84226234E-05   2.29865216E-05   1.68303573E-15  
  57               7.20663935E-01   6.72887049E+02   8.38398332E-01   1.60503970E-01   4.85751115E-04   2.67317748E-04   2.50573158E-04   5.84225916E-05   2.29862720E-05   5.90657500E-15  
  58               8.06017000E-01   6.96246015E+02   8.38399941E-01   1.60502355E-01   4.85751329E-04   2.67317866E-04   2.50573268E-04   5.84226173E-05   2.29860407E-05   2.09377368E-14  
  59               9.00817821E-01   7.19134099E+02   8.38401168E-01   1.60501073E-01   4.85752414E-04   2.67318463E-04   2.50573828E-04   5.84227478E-05   2.29858571E-05   6.65715854E-14  
  60               1.00601233E+00   7.43664949E+02   8.38402303E-01   1.60499919E-01   4.85755111E-04   2.67319948E-04   2.50575219E-04   5.84230722E-05   2.29856918E-05   2.12796757E-13  
  61               1.12256367E+00   7.67742588E+02   8.38403030E-01   1.60498987E-01   4.85757699E-04   2.67321372E-04   2.50576554E-04   5.84233835E-05   2.29855582E-05   6.17341164E-13  
  62               1.25169109E+00   7.93420770E+02   8.38403612E-01   1.60498139E-01   4.85763498E-04   2.67324563E-04   2.50579546E-04   5.84240809E-05   2.29854364E-05   1.79217091E-12  
  63               1.39472909E+00   8.18752241E+02   8.38404229E-01   1.60497500E-01   4.85770304E-04   2.67328309E-04   2.50583057E-04   5.84248995E-05   2.29853443E-05   4.78875499E-12  
  64               1.55301885E+00   8.45592713E+02   8.38404782E-01   1.60496921E-01   4.85775001E-04   2.67330894E-04   2.50585480E-04   5.84254645E-05   2.29892374E-05   1.27326520E-11  
  65               1.72788311E+00   8.72122561E+02   8.38405209E-01   1.60496442E-01   4.85780383E-04   2.67333855E-04   2.50588256E-04   5.84261118E-05   2.29982684E-05   3.14629538E-11  
  66               1.92081470E+00   9.00083418E+02   8.38405564E-01   1.60495969E-01   4.85786449E-04   2.67337194E-04   2.50591385E-04   5.84268414E-05   2.30223817E-05   7.71001420E-11  
  67               2.13334346E+00   9.27729356E+02   8.38405754E-01   1.60495501E-01   4.85793546E-04   2.67341101E-04   2.50595046E-04   5.84276949E-05   2.30811373E-05   1.76894306E-10  
  68               2.36719514E+00   9.56747616E+02   8.38405711E-01   1.60494906E-01   4.85802354E-04   2.67345953E-04   2.50599589E-04   5.84287542E-05   2.32282152E-05   4.01835876E-10  
  69               2.62439483E+00   9.85487914E+02   8.38405094E-01   1.60494094E-01   4.85823014E-04   2.67357344E-04   2.50610247E-04   5.84312391E-05   2.35553423E-05   8.61411408E-10  
  70               2.90703424E+00   1.01554273E+03   8.38404687E-01   1.60493029E-01   4.85828350E-04   2.67360349E-04   2.50612999E-04   5.84318809E-05   2.42906490E-05   1.82636771E-09  
  71               3.21730547E+00   1.04533521E+03   8.38406057E-01   1.60491659E-01   4.85832941E-04   2.67363103E-04   2.50615367E-04   5.84324332E-05   2.42903765E-05   3.67771615E-09  
  72               3.55749456E+00   1.07639587E+03   8.38408232E-01   1.60489486E-01   4.85836301E-04   2.67365663E-04   2.50617095E-04   5.84328379E-05   2.42899414E-05   7.32268865E-09  
  73               3.93043490E+00   1.10721671E+03   8.38411397E-01   1.60486321E-01   4.85838178E-04   2.67368870E-04   2.50618040E-04   5.84330668E-05   2.42893013E-05   1.39282401E-08  
  74               4.33923480E+00   1.13930434E+03   8.38416183E-01   1.60481525E-01   4.85837582E-04   2.67374884E-04   2.50617620E-04   5.84330104E-05   2.42883234E-05   2.62169223E-08  
  75               4.78748390E+00   1.17119923E+03   8.38422671E-01   1.60475009E-01   4.85834158E-04   2.67391021E-04   2.50615337E-04   5.84326678E-05   2.42869692E-05   4.73979098E-08  
  76               5.27902884E+00   1.20443019E+03   8.38431623E-01   1.60465986E-01   4.85825608E-04   2.67435491E-04   2.50608755E-04   5.84319285E-05   2.42850477E-05   8.49666608E-08  
  77               5.81775864E+00   1.23746692E+03   8.38442512E-01   1.60454938E-01   4.85807785E-04   2.67556643E-04   2.50590823E-04   5.84309352E-05   2.42825913E-05   1.46835078E-07  
  78               6.40761662E+00   1.27182888E+03   8.38455837E-01   1.60441276E-01   4.85762283E-04   2.67868190E-04   2.50534798E-04   5.84296904E-05   2.42793751E-05   2.51685066E-07  
  79               7.05263133E+00   1.30594878E+03   8.38470113E-01   1.60426347E-01   4.85631159E-04   2.68635323E-04   2.50352288E-04   5.84286003E-05   2.42755355E-05   4.17004383E-07  
  80               7.75797365E+00   1.34139328E+03   8.38485577E-01   1.60409760E-01   4.85237168E-04   2.70410549E-04   2.49778523E-04   5.84278365E-05   2.42707366E-05   6.85681146E-07  
  81               8.53048623E+00   1.37667111E+03   8.38500543E-01   1.60393292E-01   4.84110943E-04   2.74228089E-04   2.48108659E-04   5.84278917E-05   2.42650269E-05   1.09433151E-06  
  82               9.38022826E+00   1.41351048E+03   8.38516273E-01   1.60376533E-01   4.81222398E-04   2.81662764E-04   2.43827148E-04   5.84285350E-05   2.42574268E-05   1.73910573E-06  
  83               1.03226552E+01   1.45063873E+03   8.38533276E-01   1.60361391E-01   4.74781555E-04   2.94407679E-04   2.34472209E-04   5.84292900E-05   2.42465872E-05   2.70298588E-06  
  84               1.13780085E+01   1.48996308E+03   8.38554877E-01   1.60347587E-01   4.62714120E-04   3.13302341E-04   2.17760517E-04   5.84289557E-05   2.42265828E-05   4.20926572E-06  
  85               1.25667395E+01   1.53024625E+03   8.38580204E-01   1.60336365E-01   4.44685553E-04   3.36687438E-04   1.94749132E-04   5.84282009E-05   2.41828739E-05   6.45846604E-06  
  86               1.38990040E+01   1.57266117E+03   8.38604398E-01   1.60326233E-01   4.23783196E-04   3.61471301E-04   1.69562016E-04   5.84345237E-05   2.40695243E-05   9.89499791E-06  
  87               1.53720497E+01   1.61538113E+03   8.38612194E-01   1.60315421E-01   4.05685554E-04   3.84695027E-04   1.46164815E-04   5.84334637E-05   2.37830249E-05   1.48375733E-05  
  88               1.69648634E+01   1.65863930E+03   8.38621619E-01   1.60307749E-01   3.97720796E-04   4.07048634E-04   1.23326074E-04   5.84506415E-05   2.25296811E-05   2.18801244E-05  
  89               1.86417540E+01   1.70038413E+03   8.38627981E-01   1.60300940E-01   3.84515984E-04   4.23519382E-04   1.07009220E-04   5.84521038E-05   2.24558987E-05   3.11884054E-05  
  90               2.03575133E+01   1.74055802E+03   8.38623254E-01   1.60294203E-01   3.76293859E-04   4.37491964E-04   9.30255638E-05   5.84551202E-05   2.23135371E-05   4.31462262E-05  
