# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  34               8.66871349E-02   4.00674012E+02   8.38403682E-01   1.60526897E-01   4.50400376E-04   3.14429259E-04   2.14650175E-04   4.62527794E-26   5.86811931E-05   2.29891345E-05  
  35               1.00616407E-01   4.15166473E+02   8.38403732E-01   1.60526846E-01   4.50401057E-04   3.14429734E-04   2.14650499E-04   4.24474493E-25   5.86812818E-05   2.29891271E-05  
  36               1.16668350E-01   4.27635669E+02   8.38403788E-01   1.60526776E-01   4.50405836E-04   3.14433071E-04   2.14652777E-04   2.50141487E-24   5.86819045E-05   2.29891171E-05  
  37               1.35144543E-01   4.44191583E+02   8.38403937E-01   1.60526597E-01   4.50406627E-04   3.14433623E-04   2.14653154E-04   2.30424270E-23   5.86820076E-05   2.29890914E-05  
  38               1.56369380E-01   4.59204049E+02   8.38400901E-01   1.60525730E-01   4.50407313E-04   3.14434102E-04   2.14653481E-04   1.48766559E-22   5.86820970E-05   2.29889674E-05  
  39               1.80679070E-01   4.79314026E+02   8.38401554E-01   1.60525074E-01   4.50408559E-04   3.14434971E-04   2.14654075E-04   1.53626360E-21   5.86822592E-05   2.29888734E-05  
  40               2.08370378E-01   5.00253650E+02   8.38402699E-01   1.60523847E-01   4.50444234E-04   3.14459877E-04   2.14671077E-04   1.42962703E-20   5.86869073E-05   2.29886977E-05  
  41               2.39876440E-01   5.21782750E+02   8.38404590E-01   1.60521959E-01   4.50443061E-04   3.14459058E-04   2.14670518E-04   1.17331117E-19   5.86867544E-05   2.29884273E-05  
  42               2.75714075E-01   5.44016033E+02   8.38407127E-01   1.60519427E-01   4.50441222E-04   3.14457774E-04   2.14669641E-04   8.64787753E-19   5.86865148E-05   2.29880646E-05  
  43               3.16460645E-01   5.66906191E+02   8.38410045E-01   1.60516515E-01   4.50438793E-04   3.14456078E-04   2.14668484E-04   5.73066689E-18   5.86861983E-05   2.29876476E-05  
  44               3.62735623E-01   5.90551572E+02   8.38413022E-01   1.60513543E-01   4.50436574E-04   3.14454529E-04   2.14667426E-04   3.46034322E-17   5.86859092E-05   2.29872221E-05  
  45               4.15202395E-01   6.14866337E+02   8.38415775E-01   1.60510795E-01   4.50434602E-04   3.14453152E-04   2.14666486E-04   1.90012772E-16   5.86856523E-05   2.29868285E-05  
