# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  1                1.00000000E-05   3.94953770E+01   8.38118344E-01   1.60472350E-01   7.74657957E-04   5.25244645E-04   4.11683575E-05   4.01450747E-05   2.29819543E-05   3.16313553E-109 
  2                3.54002094E-04   5.18762985E+01   8.38118344E-01   1.60472350E-01   7.74657952E-04   5.25244642E-04   4.11683572E-05   4.01450745E-05   2.29819543E-05   5.31636616E-110 
  3                7.58324974E-04   5.86726427E+01   8.38118344E-01   1.60472350E-01   7.74657973E-04   5.25244656E-04   4.11683584E-05   4.01450756E-05   2.29819543E-05   3.63237034E-110 
  4                1.23403457E-03   6.42340312E+01   8.38118343E-01   1.60472350E-01   7.74657985E-04   5.25244664E-04   4.11683590E-05   4.01450761E-05   2.29819543E-05   2.84743709E-110 
  5                1.79344397E-03   6.77160101E+01   8.38118343E-01   1.60472350E-01   7.74657993E-04   5.25244670E-04   4.11683594E-05   4.01450766E-05   2.29819543E-05   2.36196737E-110 
  6                2.45110843E-03   7.20472972E+01   8.38118343E-01   1.60472350E-01   7.74658000E-04   5.25244674E-04   4.11683598E-05   4.01450769E-05   2.29819543E-05   2.02039618E-110 
  7                3.21991494E-03   7.49910781E+01   8.38118343E-01   1.60472350E-01   7.74658006E-04   5.25244679E-04   4.11683601E-05   4.01450773E-05   2.29819543E-05   1.76276980E-110 
  8                4.11238107E-03   7.91562544E+01   8.38118343E-01   1.60472350E-01   7.74658011E-04   5.25244682E-04   4.11683604E-05   4.01450775E-05   2.29819543E-05   1.55980793E-110 
  9                5.14471245E-03   8.20167437E+01   8.38118343E-01   1.60472350E-01   7.74658015E-04   5.25244685E-04   4.11683606E-05   4.01450777E-05   2.29819543E-05   1.39456014E-110 
  10               6.33714459E-03   8.63471962E+01   8.38118343E-01   1.60472350E-01   7.74658017E-04   5.25244686E-04   4.11683607E-05   4.01450778E-05   2.29819543E-05   1.25652459E-110 
  11               7.71632511E-03   8.93570987E+01   8.38118343E-01   1.60472350E-01   7.74658019E-04   5.25244687E-04   4.11683608E-05   4.01450779E-05   2.29819543E-05   1.13870845E-110 
  12               9.31361185E-03   9.39808042E+01   8.38118343E-01   1.60472350E-01   7.74658020E-04   5.25244688E-04   4.11683609E-05   4.01450780E-05   2.29819543E-05   1.03647477E-110 
  13               1.11644236E-02   9.72892704E+01   8.38118343E-01   1.60472350E-01   7.74658021E-04   5.25244689E-04   4.11683609E-05   4.01450780E-05   2.29819543E-05   9.46672252E-111 
  14               1.33099022E-02   1.02415665E+02   8.38118172E-01   1.60472317E-01   7.74658022E-04   5.25244689E-04   4.11683610E-05   4.01450781E-05   2.29819496E-05   4.03885187E-108 
