# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  34               1.92705977E-01   2.80508940E+02   8.38112777E-01   1.60471287E-01   7.76870105E-04   5.27148738E-04   2.02245006E-38   4.63715476E-05   3.76041296E-05   2.29823973E-05  
  35               2.33271437E-01   2.89340761E+02   8.38112777E-01   1.60471287E-01   7.76870108E-04   5.27148740E-04   3.18334049E-37   4.63715477E-05   3.76041297E-05   2.29823973E-05  
  36               2.82313612E-01   2.98802615E+02   8.38112777E-01   1.60471287E-01   7.76870110E-04   5.27148742E-04   5.09785511E-36   4.63715479E-05   3.76041299E-05   2.29823973E-05  
  37               3.41585601E-01   3.08431036E+02   8.38112777E-01   1.60471287E-01   7.76870113E-04   5.27148743E-04   7.17354192E-35   4.63715481E-05   3.76041300E-05   2.29823973E-05  
  38               4.13174584E-01   3.18758005E+02   8.38112777E-01   1.60471287E-01   7.76870116E-04   5.27148746E-04   1.02547102E-33   4.63715483E-05   3.76041302E-05   2.29823973E-05  
  39               4.99566807E-01   3.29392934E+02   8.38112777E-01   1.60471287E-01   7.76870120E-04   5.27148748E-04   1.32989191E-32   4.63715485E-05   3.76041303E-05   2.29823973E-05  
  40               6.03725838E-01   3.40897465E+02   8.38112776E-01   1.60471287E-01   7.76870127E-04   5.27148753E-04   1.78022520E-31   4.63715489E-05   3.76041307E-05   2.29823973E-05  
  41               7.29155176E-01   3.52966071E+02   8.38112776E-01   1.60471287E-01   7.76870130E-04   5.27148755E-04   2.25472297E-30   4.63715491E-05   3.76041309E-05   2.29823973E-05  
  42               8.80033022E-01   3.66173981E+02   8.38112773E-01   1.60471286E-01   7.76870148E-04   5.27148767E-04   3.00500918E-29   4.63715502E-05   3.76041317E-05   2.29823972E-05  
  43               1.06138790E+00   3.80210561E+02   8.38112774E-01   1.60471286E-01   7.76870149E-04   5.27148768E-04   3.86866699E-28   4.63715502E-05   3.76041318E-05   2.29823971E-05  
  44               1.27908259E+00   3.95629978E+02   8.38112611E-01   1.60471254E-01   7.76870216E-04   5.27148814E-04   5.21413520E-27   4.63715542E-05   3.76041350E-05   2.29823927E-05  
  45               1.53969468E+00   4.12263090E+02   8.38112627E-01   1.60471239E-01   7.76869904E-04   5.27148602E-04   6.94288430E-26   4.63715356E-05   3.76041199E-05   2.29823904E-05  
  46               1.85049574E+00   4.30787471E+02   8.38112621E-01   1.60471237E-01   7.76874033E-04   5.27151404E-04   9.84906236E-25   4.63717820E-05   3.76043198E-05   2.29823902E-05  
  47               2.22034414E+00   4.50898967E+02   8.38112608E-01   1.60471234E-01   7.76874043E-04   5.27151410E-04   1.37243031E-23   4.63717826E-05   3.76043202E-05   2.29823897E-05  
  48               2.65915541E+00   4.72913675E+02   8.38112208E-01   1.60471166E-01   7.76874091E-04   5.27151443E-04   1.90231676E-22   4.63717855E-05   3.76043226E-05   2.29823800E-05  
  49               3.17745124E+00   4.96499381E+02   8.38108992E-01   1.60470902E-01   7.76875409E-04   5.27152337E-04   2.45681522E-21   4.63718642E-05   3.76043864E-05   2.29823421E-05  
  50               3.78656987E+00   5.22164881E+02   8.38109285E-01   1.60470608E-01   7.76875432E-04   5.27152353E-04   3.06340630E-20   4.63718655E-05   3.76043875E-05   2.29823001E-05  
  51               4.50188462E+00   5.49305733E+02   8.38109218E-01   1.60470559E-01   7.76940703E-04   5.27196643E-04   3.41394457E-19   4.63757616E-05   3.76075469E-05   2.29822931E-05  
  52               5.34121777E+00   5.76666605E+02   8.38109274E-01   1.60470503E-01   7.76940603E-04   5.27196575E-04   3.06879521E-18   4.63757556E-05   3.76075421E-05   2.29822850E-05  
  53               6.32245302E+00   6.05430278E+02   8.38109381E-01   1.60470396E-01   7.76940400E-04   5.27196437E-04   2.48978445E-17   4.63757435E-05   3.76075322E-05   2.29822698E-05  
  54               7.46357783E+00   6.33922717E+02   8.38109552E-01   1.60470226E-01   7.76940050E-04   5.27196199E-04   1.63339709E-16   4.63757226E-05   3.76075153E-05   2.29822453E-05  
  55               8.79017814E+00   6.63502912E+02   8.38109827E-01   1.60469952E-01   7.76939481E-04   5.27195814E-04   9.68817448E-16   4.63756886E-05   3.76074878E-05   2.29822061E-05  
  56               1.03321731E+01   6.92998406E+02   8.38110212E-01   1.60469567E-01   7.76938670E-04   5.27195263E-04   4.89072726E-15   4.63756403E-05   3.76074485E-05   2.29821511E-05  
  57               1.21186620E+01   7.24177658E+02   8.38110772E-01   1.60469007E-01   7.76937476E-04   5.27194453E-04   2.34601979E-14   4.63755690E-05   3.76073907E-05   2.29820708E-05  
  58               1.41780208E+01   7.56200425E+02   8.38111505E-01   1.60468267E-01   7.76935877E-04   5.27193368E-04   1.02414628E-13   4.63754735E-05   3.76073133E-05   2.29819647E-05  
  59               1.65466061E+01   7.91158744E+02   8.38112505E-01   1.60467233E-01   7.76933747E-04   5.27191923E-04   4.47750736E-13   4.63753464E-05   3.76072102E-05   2.29818166E-05  
  60               1.92824838E+01   8.28450710E+02   8.38113627E-01   1.60465897E-01   7.76931268E-04   5.27190240E-04   1.88345745E-12   4.63751984E-05   3.76070902E-05   2.29816250E-05  
  61               2.24414988E+01   8.65842924E+02   8.38114791E-01   1.60464475E-01   7.76929675E-04   5.27189159E-04   6.99346061E-12   4.63751033E-05   3.76070131E-05   2.29814207E-05  
  62               2.60706980E+01   9.05587893E+02   8.38116310E-01   1.60462937E-01   7.76931021E-04   5.27190073E-04   2.50481653E-11   4.63751836E-05   3.76070782E-05   2.29811987E-05  
  63               3.02056640E+01   9.44916279E+02   8.38117692E-01   1.60461497E-01   7.76931661E-04   5.27190507E-04   7.92988459E-11   4.63752219E-05   3.76071092E-05   2.29926251E-05  
