# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   3.27250101E+01   8.38103177E-01   1.60469449E-01   7.78598530E-04   5.29042526E-04   6.31388353E-05   2.91692285E-05   2.29837843E-05   0.00000000E+00  
  2                3.19610956E-04   4.24828794E+01   8.38103177E-01   1.60469449E-01   7.78598428E-04   5.29042456E-04   6.31388270E-05   2.91692246E-05   2.29837843E-05   0.00000000E+00  
  3                6.83286410E-04   4.73422292E+01   8.38103177E-01   1.60469449E-01   7.78598398E-04   5.29042436E-04   6.31388246E-05   2.91692235E-05   2.29837843E-05   0.00000000E+00  
  4                1.11109874E-03   5.15941745E+01   8.38103177E-01   1.60469449E-01   7.78598383E-04   5.29042426E-04   6.31388233E-05   2.91692229E-05   2.29837843E-05   0.00000000E+00  
  5                1.61426213E-03   5.38666462E+01   8.38103177E-01   1.60469449E-01   7.78598372E-04   5.29042419E-04   6.31388225E-05   2.91692226E-05   2.29837843E-05   0.00000000E+00  
  6                2.20593028E-03   5.71208405E+01   8.38103177E-01   1.60469449E-01   7.78598365E-04   5.29042413E-04   6.31388219E-05   2.91692223E-05   2.29837843E-05   0.00000000E+00  
  7                2.90120832E-03   5.89145929E+01   8.38103177E-01   1.60469449E-01   7.78598358E-04   5.29042409E-04   6.31388214E-05   2.91692220E-05   2.29837843E-05   0.00000000E+00  
  8                3.71773246E-03   6.19716003E+01   8.38103177E-01   1.60469449E-01   7.78598353E-04   5.29042405E-04   6.31388209E-05   2.91692218E-05   2.29837843E-05   0.00000000E+00  
  9                4.67617265E-03   6.36172017E+01   8.38103177E-01   1.60469449E-01   7.78598348E-04   5.29042402E-04   6.31388205E-05   2.91692216E-05   2.29837843E-05   0.00000000E+00  
  10               5.79990077E-03   6.67197915E+01   8.38103177E-01   1.60469449E-01   7.78598343E-04   5.29042398E-04   6.31388201E-05   2.91692214E-05   2.29837843E-05   0.00000000E+00  
  11               7.11609428E-03   6.83957586E+01   8.38103177E-01   1.60469449E-01   7.78598338E-04   5.29042395E-04   6.31388197E-05   2.91692213E-05   2.29837843E-05   0.00000000E+00  
  12               8.65663725E-03   7.16464924E+01   8.38103177E-01   1.60469449E-01   7.78598333E-04   5.29042392E-04   6.31388193E-05   2.91692211E-05   2.29837843E-05   0.00000000E+00  
  13               1.04542528E-02   7.34714692E+01   8.38103177E-01   1.60469449E-01   7.78598328E-04   5.29042388E-04   6.31388189E-05   2.91692209E-05   2.29837843E-05   0.00000000E+00  
  14               1.25426515E-02   7.70764793E+01   8.38103177E-01   1.60469449E-01   7.78598323E-04   5.29042385E-04   6.31388185E-05   2.91692207E-05   2.29837843E-05   0.00000000E+00  
  15               1.49618784E-02   7.92159623E+01   8.38103177E-01   1.60469449E-01   7.78598320E-04   5.29042383E-04   6.31388183E-05   2.91692206E-05   2.29837843E-05   0.00000000E+00  
