# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   4.22020299E+02   8.38536522E-01   1.60517446E-01   1.19167691E-22   5.21606977E-04   3.10893094E-04   6.01603524E-05   0.00000000E+00   0.00000000E+00  
  2                1.24225299E-04   4.82249976E+02   8.38536455E-01   1.60517499E-01   8.18903338E-20   5.21607103E-04   3.10893169E-04   6.01603669E-05   0.00000000E+00   0.00000000E+00  
  3                2.53491364E-04   5.09524206E+02   8.38536451E-01   1.60517502E-01   1.06966785E-18   5.21607455E-04   3.10893379E-04   6.01604076E-05   0.00000000E+00   0.00000000E+00  
  4                4.04892032E-04   5.26090896E+02   8.38536443E-01   1.60517509E-01   4.32139795E-18   5.21607774E-04   3.10893569E-04   6.01604444E-05   0.00000000E+00   0.00000000E+00  
  5                5.83962371E-04   5.41630322E+02   8.38536443E-01   1.60517510E-01   1.51764931E-17   5.21608047E-04   3.10893732E-04   6.01604758E-05   0.00000000E+00   0.00000000E+00  
  6                7.96704090E-04   5.52470540E+02   8.38536434E-01   1.60517518E-01   3.38138108E-17   5.21608312E-04   3.10893889E-04   6.01605063E-05   0.00000000E+00   0.00000000E+00  
  7                1.05009268E-03   5.64657118E+02   8.38536434E-01   1.60517518E-01   8.26416977E-17   5.21608556E-04   3.10894035E-04   6.01605345E-05   0.00000000E+00   0.00000000E+00  
  8                1.35228061E-03   5.73636937E+02   8.38536425E-01   1.60517525E-01   1.51480691E-16   5.21608822E-04   3.10894194E-04   6.01605652E-05   0.00000000E+00   0.00000000E+00  
  9                1.71293998E-03   5.84709283E+02   8.38536427E-01   1.60517523E-01   3.22013170E-16   5.21609055E-04   3.10894332E-04   6.01605920E-05   0.00000000E+00   0.00000000E+00  
  10               2.14355220E-03   5.92979233E+02   8.38536416E-01   1.60517529E-01   5.40740071E-16   5.21609299E-04   3.10894478E-04   6.01606202E-05   0.00000000E+00   0.00000000E+00  
  11               2.65785207E-03   6.03454089E+02   8.38536419E-01   1.60517524E-01   1.05297683E-15   5.21609589E-04   3.10894651E-04   6.01606537E-05   0.00000000E+00   0.00000000E+00  
  12               3.27222944E-03   6.11192598E+02   8.38536411E-01   1.60517532E-01   1.65289681E-15   5.21609826E-04   3.10894792E-04   6.01606809E-05   0.00000000E+00   0.00000000E+00  
  13               4.00629062E-03   6.21265457E+02   8.38536410E-01   1.60517524E-01   3.01339624E-15   5.21610073E-04   3.10894939E-04   6.01607095E-05   0.00000000E+00   0.00000000E+00  
  14               4.88359088E-03   6.28632327E+02   8.38536394E-01   1.60517531E-01   4.49589378E-15   5.21610588E-04   3.10895246E-04   6.01607689E-05   0.00000000E+00   0.00000000E+00  
  15               5.93249097E-03   6.38448773E+02   8.38536402E-01   1.60517523E-01   7.79280677E-15   5.21610817E-04   3.10895383E-04   6.01607953E-05   0.00000000E+00   0.00000000E+00  
  16               7.18679382E-03   6.45715688E+02   8.38536358E-01   1.60517526E-01   1.12901530E-14   5.21611147E-04   3.10895580E-04   6.01608334E-05   0.00000000E+00   0.00000000E+00  
  17               8.68683285E-03   6.55578203E+02   8.38536369E-01   1.60517515E-01   1.90306506E-14   5.21611363E-04   3.10895708E-04   6.01608583E-05   0.00000000E+00   0.00000000E+00  
  18               1.04806625E-02   6.62865258E+02   8.38536334E-01   1.60517522E-01   2.70127551E-14   5.21612296E-04   3.10896264E-04   6.01609659E-05   0.00000000E+00   0.00000000E+00  
  19               1.26254325E-02   6.72905904E+02   8.38536349E-01   1.60517507E-01   4.46809010E-14   5.21612752E-04   3.10896536E-04   6.01610185E-05   0.00000000E+00   0.00000000E+00  
  20               1.51890013E-02   6.80535542E+02   8.38536202E-01   1.60517492E-01   6.33448984E-14   5.21612943E-04   3.10896650E-04   6.01610405E-05   0.00000000E+00   0.00000000E+00  
  21               1.82517000E-02   6.91105904E+02   8.38536221E-01   1.60517467E-01   1.04839710E-13   5.21615669E-04   3.10898274E-04   6.01613549E-05   0.00000000E+00   0.00000000E+00  
  22               2.19082918E-02   6.99306884E+02   8.38536152E-01   1.60517461E-01   1.50054480E-13   5.21616716E-04   3.10898898E-04   6.01614756E-05   0.00000000E+00   0.00000000E+00  
  23               2.62705577E-02   7.10567689E+02   8.38536190E-01   1.60517421E-01   2.49926663E-13   5.21616921E-04   3.10899021E-04   6.01614993E-05   0.00000000E+00   0.00000000E+00  
  24               3.14700887E-02   7.19667022E+02   8.38536195E-01   1.60517414E-01   3.66089019E-13   5.21617064E-04   3.10899106E-04   6.01615158E-05   0.00000000E+00   0.00000000E+00  
  25               3.76607926E-02   7.32017668E+02   8.38536092E-01   1.60517310E-01   6.23377845E-13   5.21620068E-04   3.10900897E-04   6.01618623E-05   0.00000000E+00   0.00000000E+00  
  26               4.50215197E-02   7.42263192E+02   8.38536123E-01   1.60517276E-01   9.40467817E-13   5.21620273E-04   3.10901019E-04   6.01618859E-05   0.00000000E+00   0.00000000E+00  
  27               5.37591099E-02   7.56040266E+02   8.38536253E-01   1.60517143E-01   1.65163341E-12   5.21620349E-04   3.10901064E-04   6.01618946E-05   0.00000000E+00   0.00000000E+00  
  28               6.41167468E-02   7.67946199E+02   8.38536347E-01   1.60517043E-01   2.60731703E-12   5.21620495E-04   3.10901151E-04   6.01619115E-05   0.00000000E+00   0.00000000E+00  
  29               7.63834709E-02   7.83460958E+02   8.38536599E-01   1.60516783E-01   4.73958966E-12   5.21620380E-04   3.10901082E-04   6.01618982E-05   0.00000000E+00   0.00000000E+00  
  30               9.08921257E-02   7.97190306E+02   8.38536828E-01   1.60516546E-01   7.79357565E-12   5.21620299E-04   3.10901034E-04   6.01618889E-05   0.00000000E+00   0.00000000E+00  
