# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  1                1.00000000E-05   3.06965271E+01   8.38149547E-01   1.60478315E-01   7.57428096E-04   5.09235498E-04   4.91859933E-05   2.29816528E-05   2.30472779E-05   5.96460334E-06  
  2                4.16982820E-05   3.70185520E+01   8.38149547E-01   1.60478315E-01   7.57428099E-04   5.09235500E-04   4.91859935E-05   2.29816528E-05   2.30472780E-05   5.96460336E-06  
  3                7.89155149E-05   4.06484903E+01   8.38149547E-01   1.60478315E-01   7.57428101E-04   5.09235501E-04   4.91859936E-05   2.29816528E-05   2.30472780E-05   5.96460337E-06  
  4                1.22610415E-04   4.29286751E+01   8.38149547E-01   1.60478315E-01   7.57428102E-04   5.09235502E-04   4.91859937E-05   2.29816528E-05   2.30472781E-05   5.96460338E-06  
  5                1.73906712E-04   4.52163693E+01   8.38149547E-01   1.60478315E-01   7.57428103E-04   5.09235503E-04   4.91859937E-05   2.29816528E-05   2.30472781E-05   5.96460339E-06  
  6                2.34121443E-04   4.69220432E+01   8.38149547E-01   1.60478315E-01   7.57428104E-04   5.09235503E-04   4.91859938E-05   2.29816528E-05   2.30472781E-05   5.96460340E-06  
  7                3.04798147E-04   4.88846012E+01   8.38149547E-01   1.60478315E-01   7.57428105E-04   5.09235504E-04   4.91859938E-05   2.29816528E-05   2.30472781E-05   5.96460340E-06  
  8                3.87739709E-04   5.04116751E+01   8.38149547E-01   1.60478315E-01   7.57428105E-04   5.09235504E-04   4.91859939E-05   2.29816528E-05   2.30472782E-05   5.96460341E-06  
  9                4.85067001E-04   5.22815797E+01   8.38149547E-01   1.60478315E-01   7.57428106E-04   5.09235505E-04   4.91859939E-05   2.29816528E-05   2.30472782E-05   5.96460341E-06  
  10               5.99253948E-04   5.37525328E+01   8.38149547E-01   1.60478315E-01   7.57428107E-04   5.09235505E-04   4.91859940E-05   2.29816528E-05   2.30472782E-05   5.96460342E-06  
  11               7.33184787E-04   5.56592987E+01   8.38149547E-01   1.60478315E-01   7.57428107E-04   5.09235506E-04   4.91859940E-05   2.29816528E-05   2.30472782E-05   5.96460343E-06  
  12               8.90252283E-04   5.71647608E+01   8.38149547E-01   1.60478315E-01   7.57428108E-04   5.09235506E-04   4.91859941E-05   2.29816528E-05   2.30472783E-05   5.96460343E-06  
