# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  1                1.00000000E-05   1.13640760E+02   8.38435060E-01   1.60532982E-01   3.73027164E-04   4.02788811E-04   1.20716075E-95   1.66660102E-04   5.90148586E-05   2.29910410E-05  
  2                1.23893029E-04   1.45434821E+02   8.38418948E-01   1.60529897E-01   3.73008242E-04   4.02768379E-04   2.08573310E-74   1.66651648E-04   5.90118650E-05   2.29905991E-05  
  3                2.46881002E-04   1.68060815E+02   8.38314546E-01   1.60509907E-01   3.72762893E-04   4.02503455E-04   4.59758389E-64   1.66542031E-04   5.89730495E-05   2.29877363E-05  
  4                3.85439279E-04   1.80806855E+02   8.37916550E-01   1.60433704E-01   3.73090811E-04   4.02857535E-04   2.10501272E-59   1.66688538E-04   5.90249278E-05   2.29768227E-05  
  5                5.44076311E-04   1.93679334E+02   8.38434495E-01   1.60532873E-01   3.73321472E-04   4.03106599E-04   2.62945177E-55   1.66791592E-04   5.90614196E-05   2.29910255E-05  
  6                7.26930323E-04   2.01850947E+02   8.38434495E-01   1.60532873E-01   3.73321500E-04   4.03106630E-04   5.36489943E-53   1.66791604E-04   5.90614240E-05   2.29910255E-05  
  7                9.38684023E-04   2.11758684E+02   8.38434495E-01   1.60532873E-01   3.73321528E-04   4.03106660E-04   2.02256044E-50   1.66791617E-04   5.90614284E-05   2.29910255E-05  
  8                1.18438974E-03   2.18376878E+02   8.38434495E-01   1.60532873E-01   3.73321555E-04   4.03106689E-04   7.60036629E-49   1.66791629E-04   5.90614327E-05   2.29910255E-05  
  9                1.46989714E-03   2.27145555E+02   8.38434495E-01   1.60532873E-01   3.73321581E-04   4.03106717E-04   6.95210591E-47   1.66791640E-04   5.90614368E-05   2.29910255E-05  
  10               1.80180179E-03   2.33211348E+02   8.38434495E-01   1.60532873E-01   3.73321607E-04   4.03106745E-04   1.25607417E-45   1.66791652E-04   5.90614409E-05   2.29910254E-05  
  11               2.18794265E-03   2.41419010E+02   8.38434495E-01   1.60532873E-01   3.73321632E-04   4.03106772E-04   5.17208467E-44   1.66791663E-04   5.90614450E-05   2.29910254E-05  
  12               2.63736483E-03   2.47174927E+02   8.38434495E-01   1.60532873E-01   3.73321658E-04   4.03106800E-04   5.88296066E-43   1.66791675E-04   5.90614490E-05   2.29910254E-05  
  13               3.16064708E-03   2.55205125E+02   8.38434495E-01   1.60532873E-01   3.73321684E-04   4.03106829E-04   1.50558706E-41   1.66791687E-04   5.90614532E-05   2.29910254E-05  
  14               3.77001693E-03   2.60914669E+02   8.38434494E-01   1.60532873E-01   3.73321712E-04   4.03106858E-04   1.30183461E-40   1.66791699E-04   5.90614575E-05   2.29910254E-05  
  15               4.47988236E-03   2.68795934E+02   8.38434494E-01   1.60532873E-01   3.73321740E-04   4.03106889E-04   2.26640903E-39   1.66791712E-04   5.90614621E-05   2.29910254E-05  
  16               5.30683240E-03   2.74501528E+02   8.38434494E-01   1.60532873E-01   3.73321770E-04   4.03106921E-04   1.57872785E-38   1.66791725E-04   5.90614668E-05   2.29910254E-05  
  17               6.27022554E-03   2.82456391E+02   8.38434494E-01   1.60532873E-01   3.73321801E-04   4.03106955E-04   2.13584683E-37   1.66791739E-04   5.90614717E-05   2.29910254E-05  
  18               7.39255761E-03   2.88285422E+02   8.38434494E-01   1.60532873E-01   3.73321834E-04   4.03106991E-04   1.28400930E-36   1.66791754E-04   5.90614769E-05   2.29910254E-05  
  19               8.70024201E-03   2.96321843E+02   8.38434494E-01   1.60532873E-01   3.73321869E-04   4.03107028E-04   1.39363374E-35   1.66791769E-04   5.90614823E-05   2.29910254E-05  
  20               1.02236763E-02   3.02351926E+02   8.38434494E-01   1.60532873E-01   3.73321906E-04   4.03107068E-04   7.50695489E-35   1.66791786E-04   5.90614883E-05   2.29910254E-05  
  21               1.19981011E-02   3.10708043E+02   8.38434494E-01   1.60532872E-01   3.73321943E-04   4.03107108E-04   7.14031226E-34   1.66791802E-04   5.90614942E-05   2.29910253E-05  
  22               1.40642033E-02   3.17154278E+02   8.38434495E-01   1.60532872E-01   3.73321986E-04   4.03107155E-04   3.66754393E-33   1.66791822E-04   5.90615010E-05   2.29910253E-05  
  23               1.64695253E-02   3.25883812E+02   8.38434495E-01   1.60532871E-01   3.73322026E-04   4.03107197E-04   3.10749810E-32   1.66791839E-04   5.90615072E-05   2.29910251E-05  
  24               1.92687294E-02   3.32752267E+02   8.38434496E-01   1.60532870E-01   3.73322089E-04   4.03107266E-04   1.51409555E-31   1.66791867E-04   5.90615172E-05   2.29910249E-05  
  25               2.25250161E-02   3.41981923E+02   8.38434496E-01   1.60532867E-01   3.73322131E-04   4.03107311E-04   1.17699673E-30   1.66791886E-04   5.90615239E-05   2.29910245E-05  
  26               2.63109124E-02   3.49479112E+02   8.38434499E-01   1.60532864E-01   3.73322162E-04   4.03107345E-04   5.65268760E-30   1.66791900E-04   5.90615289E-05   2.29910241E-05  
  27               3.07118234E-02   3.59349375E+02   8.38434475E-01   1.60532852E-01   3.73322510E-04   4.03107720E-04   4.12082888E-29   1.66792056E-04   5.90615838E-05   2.29910223E-05  
  28               3.58256855E-02   3.67531282E+02   8.38434485E-01   1.60532842E-01   3.73322543E-04   4.03107756E-04   1.94188256E-28   1.66792070E-04   5.90615890E-05   2.29910209E-05  
  29               4.17650047E-02   3.78179892E+02   8.38434501E-01   1.60532825E-01   3.73322578E-04   4.03107794E-04   1.34612678E-27   1.66792086E-04   5.90615946E-05   2.29910185E-05  
  30               4.86571148E-02   3.87309856E+02   8.38434521E-01   1.60532805E-01   3.73322612E-04   4.03107831E-04   6.41720647E-27   1.66792101E-04   5.90616000E-05   2.29910157E-05  
  31               5.66479619E-02   3.99050777E+02   8.38434565E-01   1.60532761E-01   3.73322460E-04   4.03107666E-04   4.38137595E-26   1.66792033E-04   5.90615759E-05   2.29910094E-05  
  32               6.59025204E-02   4.09458448E+02   8.38434137E-01   1.60532613E-01   3.73326357E-04   4.03111875E-04   2.16865540E-25   1.66793775E-04   5.90621925E-05   2.29909882E-05  
  33               7.66055246E-02   4.22729355E+02   8.38434307E-01   1.60532443E-01   3.73326109E-04   4.03111606E-04   1.51150448E-24   1.66793663E-04   5.90621532E-05   2.29909638E-05  
  34               8.89647778E-02   4.34997203E+02   8.38434467E-01   1.60532273E-01   3.73325983E-04   4.03111471E-04   8.11635562E-24   1.66793607E-04   5.90621333E-05   2.29909395E-05  
  35               1.03213820E-01   4.50489765E+02   8.38434748E-01   1.60531887E-01   3.73325794E-04   4.03111267E-04   6.03894595E-23   1.66793523E-04   5.90621034E-05   2.29908841E-05  
  36               1.19605551E-01   4.65564598E+02   8.38434927E-01   1.60531338E-01   3.73326579E-04   4.03112114E-04   3.72435375E-22   1.66793874E-04   5.90622276E-05   2.29908055E-05  
  37               1.38424343E-01   4.83478819E+02   8.38433125E-01   1.60529991E-01   3.73354860E-04   4.03142651E-04   2.81851508E-21   1.66806509E-04   5.90667018E-05   2.29906127E-05  
  38               1.59991767E-01   5.00544018E+02   8.38434768E-01   1.60528356E-01   3.73352396E-04   4.03139991E-04   1.68223495E-20   1.66805408E-04   5.90663120E-05   2.29903785E-05  
  39               1.84636967E-01   5.21434570E+02   8.38437153E-01   1.60525979E-01   3.73349702E-04   4.03137081E-04   1.29300506E-19   1.66804204E-04   5.90658857E-05   2.29900380E-05  
  40               2.12707568E-01   5.43243363E+02   8.38440058E-01   1.60523082E-01   3.73346622E-04   4.03133756E-04   9.18940917E-19   1.66802828E-04   5.90653985E-05   2.29896232E-05  
  41               2.44628020E-01   5.67369355E+02   8.38443420E-01   1.60519731E-01   3.73343070E-04   4.03129921E-04   6.77092078E-18   1.66801241E-04   5.90648366E-05   2.29891432E-05  
  42               2.80894693E-01   5.90490924E+02   8.38446255E-01   1.60516904E-01   3.73340162E-04   4.03126781E-04   3.91436523E-17   1.66799942E-04   5.90643765E-05   2.29887383E-05  
  43               3.22037720E-01   6.16109843E+02   8.38448995E-01   1.60514171E-01   3.73337356E-04   4.03123751E-04   2.35334247E-16   1.66798689E-04   5.90639326E-05   2.29883470E-05  
  44               3.68638151E-01   6.40608191E+02   8.38451029E-01   1.60512142E-01   3.73335347E-04   4.03121582E-04   1.13676562E-15   1.66797791E-04   5.90636148E-05   2.29880564E-05  
  45               4.21424045E-01   6.67810772E+02   8.38452867E-01   1.60510306E-01   3.73333558E-04   4.03119650E-04   5.72652430E-15   1.66796992E-04   5.90633317E-05   2.29877934E-05  
  46               4.81205342E-01   6.93824302E+02   8.38454159E-01   1.60509003E-01   3.73332433E-04   4.03118435E-04   2.37269836E-14   1.66796489E-04   5.90631538E-05   2.29876068E-05  
  47               5.48831718E-01   7.22748782E+02   8.38455287E-01   1.60507835E-01   3.73331635E-04   4.03117573E-04   1.02575716E-13   1.66796132E-04   5.90630275E-05   2.29874394E-05  
  48               6.25171780E-01   7.50328735E+02   8.38455917E-01   1.60506988E-01   3.73333407E-04   4.03119487E-04   3.70673716E-13   1.66796924E-04   5.90633078E-05   2.29873181E-05  
  49               7.11161747E-01   7.80949558E+02   8.38456435E-01   1.60506214E-01   3.73333526E-04   4.03119615E-04   1.39265779E-12   1.66796977E-04   5.90633266E-05   2.29872069E-05  
  50               8.08048138E-01   8.10078355E+02   8.38456945E-01   1.60505691E-01   3.73335215E-04   4.03121439E-04   4.44332750E-12   1.66797732E-04   5.90635938E-05   2.29871312E-05  
  51               9.17172149E-01   8.42509335E+02   8.38457431E-01   1.60505179E-01   3.73335082E-04   4.03121296E-04   1.47663572E-11   1.66797673E-04   5.90635728E-05   2.29929718E-05  
  52               1.03996594E+00   8.73290524E+02   8.38457774E-01   1.60504747E-01   3.73335236E-04   4.03121461E-04   4.22488905E-11   1.66797741E-04   5.90635971E-05   2.30093022E-05  
  53               1.17782387E+00   9.07522130E+02   8.38458094E-01   1.60504160E-01   3.73335924E-04   4.03122205E-04   1.25524343E-10   1.66798049E-04   5.90637060E-05   2.30662396E-05  
  54               1.33210419E+00   9.39786503E+02   8.38458112E-01   1.60503359E-01   3.73337743E-04   4.03124168E-04   3.23780494E-10   1.66798861E-04   5.90639936E-05   2.32202420E-05  
  55               1.50454371E+00   9.75636208E+02   8.38458058E-01   1.60501847E-01   3.73347991E-04   4.03135228E-04   8.65309331E-10   1.66803437E-04   5.90656142E-05   2.36923402E-05  
  56               1.69711487E+00   1.00930538E+03   8.38459079E-01   1.60499641E-01   3.73345761E-04   4.03132800E-04   2.03154063E-09   1.66802433E-04   5.90652585E-05   2.42916338E-05  
