# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   2.25934726E+01   8.38073039E-01   1.60463471E-01   7.78570325E-04   5.30685321E-04   1.18558667E-04   2.29810772E-05   8.39649969E-06   0.00000000E+00  
  2                6.30390332E-05   2.74653663E+01   8.38073039E-01   1.60463471E-01   7.78570309E-04   5.30685310E-04   1.18558652E-04   2.29810772E-05   8.39649960E-06   0.00000000E+00  
  3                1.25693919E-04   2.97712343E+01   8.38073039E-01   1.60463471E-01   7.78570305E-04   5.30685307E-04   1.18558646E-04   2.29810772E-05   8.39649958E-06   0.00000000E+00  
  4                1.99707836E-04   3.16368533E+01   8.38073039E-01   1.60463471E-01   7.78570302E-04   5.30685305E-04   1.18558644E-04   2.29810772E-05   8.39649956E-06   0.00000000E+00  
  5                2.87132648E-04   3.30271242E+01   8.38073039E-01   1.60463471E-01   7.78570300E-04   5.30685304E-04   1.18558641E-04   2.29810772E-05   8.39649955E-06   0.00000000E+00  
  6                3.90378035E-04   3.44294574E+01   8.38073039E-01   1.60463471E-01   7.78570299E-04   5.30685303E-04   1.18558640E-04   2.29810772E-05   8.39649955E-06   0.00000000E+00  
  7                5.12295102E-04   3.55455277E+01   8.38073039E-01   1.60463471E-01   7.78570297E-04   5.30685302E-04   1.18558638E-04   2.29810772E-05   8.39649954E-06   0.00000000E+00  
  8                6.56228291E-04   3.67971990E+01   8.38073039E-01   1.60463471E-01   7.78570296E-04   5.30685301E-04   1.18558637E-04   2.29810772E-05   8.39649953E-06   0.00000000E+00  
  9                8.26109237E-04   3.78174070E+01   8.38073039E-01   1.60463471E-01   7.78570295E-04   5.30685301E-04   1.18558636E-04   2.29810772E-05   8.39649953E-06   0.00000000E+00  
  10               1.02658507E-03   3.89984578E+01   8.38073039E-01   1.60463471E-01   7.78570294E-04   5.30685300E-04   1.18558635E-04   2.29810772E-05   8.39649952E-06   0.00000000E+00  
  11               1.26308922E-03   3.99805689E+01   8.38073039E-01   1.60463471E-01   7.78570293E-04   5.30685299E-04   1.18558633E-04   2.29810772E-05   8.39649952E-06   0.00000000E+00  
  12               1.54198281E-03   4.11795067E+01   8.38073039E-01   1.60463471E-01   7.78570292E-04   5.30685299E-04   1.18558632E-04   2.29810772E-05   8.39649951E-06   0.00000000E+00  
  13               1.87079440E-03   4.21781855E+01   8.38073039E-01   1.60463471E-01   7.78570291E-04   5.30685298E-04   1.18558631E-04   2.29810772E-05   8.39649951E-06   0.00000000E+00  
  14               2.25831314E-03   4.34196150E+01   8.38073039E-01   1.60463471E-01   7.78570290E-04   5.30685297E-04   1.18558630E-04   2.29810772E-05   8.39649950E-06   0.00000000E+00  
  15               2.71475745E-03   4.44917964E+01   8.38073039E-01   1.60463471E-01   7.78570289E-04   5.30685297E-04   1.18558629E-04   2.29810772E-05   8.39649950E-06   0.00000000E+00  
  16               3.25208700E-03   4.58373504E+01   8.38073039E-01   1.60463471E-01   7.78570288E-04   5.30685296E-04   1.18558628E-04   2.29810772E-05   8.39649949E-06   0.00000000E+00  
  17               3.88442217E-03   4.70028606E+01   8.38073039E-01   1.60463471E-01   7.78570287E-04   5.30685295E-04   1.18558626E-04   2.29810772E-05   8.39649949E-06   0.00000000E+00  
  18               4.62809409E-03   4.84611133E+01   8.38073039E-01   1.60463471E-01   7.78570286E-04   5.30685295E-04   1.18558625E-04   2.29810772E-05   8.39649949E-06   0.00000000E+00  
  19               5.50191346E-03   4.97554433E+01   8.38073039E-01   1.60463471E-01   7.78570285E-04   5.30685294E-04   1.18558624E-04   2.29810772E-05   8.39649948E-06   0.00000000E+00  
  20               6.52769085E-03   5.13673333E+01   8.38073039E-01   1.60463471E-01   7.78570284E-04   5.30685293E-04   1.18558623E-04   2.29810772E-05   8.39649947E-06   0.00000000E+00  
  21               7.73111064E-03   5.27905608E+01   8.38073039E-01   1.60463471E-01   7.78570283E-04   5.30685292E-04   1.18558621E-04   2.29810772E-05   8.39649947E-06   0.00000000E+00  
