# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.15246777E+02   8.38323573E-01   1.60480919E-01   8.33715255E-32   6.02093383E-04   1.40793261E-04   3.60842367E-04   5.65325310E-05   2.29835906E-05  
  2                9.47419186E-05   3.43035731E+02   8.38319742E-01   1.60484735E-01   2.29705590E-29   6.02101129E-04   1.40795073E-04   3.60847010E-04   5.65332584E-05   2.29841371E-05  
  3                1.95011410E-04   3.60722653E+02   8.38320277E-01   1.60484198E-01   6.82922419E-28   6.02101675E-04   1.40795200E-04   3.60847337E-04   5.65333096E-05   2.29840602E-05  
  4                3.16158819E-04   3.66487521E+02   8.38318752E-01   1.60485716E-01   1.68611988E-27   6.02105587E-04   1.40796115E-04   3.60849681E-04   5.65336769E-05   2.29842775E-05  
  5                4.63277439E-04   3.78858082E+02   8.38319358E-01   1.60484818E-01   1.44715515E-26   6.02105088E-04   1.40795998E-04   3.60849382E-04   5.65336301E-05   2.29841490E-05  
  6                6.42150984E-04   3.83160790E+02   8.38318312E-01   1.60485851E-01   2.67856006E-26   6.02111468E-04   1.40797490E-04   3.60853206E-04   5.65342292E-05   2.29842970E-05  
  7                8.59917124E-04   3.94189116E+02   8.38319187E-01   1.60484978E-01   1.57764247E-25   6.02110917E-04   1.40797361E-04   3.60852876E-04   5.65341774E-05   2.29841719E-05  
  8                1.12508913E-03   3.98104714E+02   8.38318331E-01   1.60485828E-01   2.65787511E-25   6.02113401E-04   1.40797942E-04   3.60854364E-04   5.65344106E-05   2.29842937E-05  
  9                1.44819478E-03   4.08451284E+02   8.38319124E-01   1.60485037E-01   1.24844363E-24   6.02112918E-04   1.40797829E-04   3.60854075E-04   5.65343653E-05   2.29841803E-05  
  10               1.84190978E-03   4.12153176E+02   8.38318346E-01   1.60485807E-01   1.97390192E-24   6.02115180E-04   1.40798358E-04   3.60855431E-04   5.65345777E-05   2.29842906E-05  
  11               2.32186081E-03   4.22069762E+02   8.38318420E-01   1.60485005E-01   7.87599565E-24   6.02114465E-04   1.40798191E-04   3.60855002E-04   5.65345105E-05   2.29841758E-05  
  12               2.90706801E-03   4.25526861E+02   8.38317663E-01   1.60485714E-01   1.16800399E-23   6.02126015E-04   1.40800892E-04   3.60861924E-04   5.65355950E-05   2.29842773E-05  
  13               3.62094080E-03   4.35157674E+02   8.38318235E-01   1.60485142E-01   4.11314743E-23   6.02125987E-04   1.40800885E-04   3.60861907E-04   5.65355923E-05   2.29841954E-05  
  14               4.49181227E-03   4.38544027E+02   8.38317360E-01   1.60485906E-01   5.89132685E-23   6.02128285E-04   1.40801423E-04   3.60863285E-04   5.65358082E-05   2.29843048E-05  
  15               5.55425378E-03   4.48235510E+02   8.38317547E-01   1.60485369E-01   1.93992857E-22   6.02129102E-04   1.40801614E-04   3.60863774E-04   5.65358848E-05   2.29842278E-05  
  16               6.84996139E-03   4.51938695E+02   8.38316590E-01   1.60486320E-01   2.82679915E-22   6.02131883E-04   1.40802264E-04   3.60865441E-04   5.65361459E-05   2.29843641E-05  
  17               8.42946925E-03   4.62224642E+02   8.38315035E-01   1.60485309E-01   9.31972520E-22   6.02133808E-04   1.40802714E-04   3.60866595E-04   5.65363267E-05   2.29842193E-05  
  18               1.03534890E-02   4.66601679E+02   8.38314563E-01   1.60485704E-01   1.43523790E-21   6.02173111E-04   1.40811905E-04   3.60890150E-04   5.65400170E-05   2.29842760E-05  
  19               1.26985321E-02   4.76242527E+02   8.38314951E-01   1.60485316E-01   4.06442571E-21   6.02173298E-04   1.40811948E-04   3.60890261E-04   5.65400345E-05   2.29842204E-05  
  20               1.55556779E-02   4.80775158E+02   8.38314323E-01   1.60485939E-01   6.18703069E-21   6.02175696E-04   1.40812509E-04   3.60891699E-04   5.65402597E-05   2.29843096E-05  
  21               1.90356067E-02   4.90696032E+02   8.38314686E-01   1.60485576E-01   1.69434237E-20   6.02175976E-04   1.40812575E-04   3.60891867E-04   5.65402860E-05   2.29842575E-05  
  22               2.32722070E-02   4.95403911E+02   8.38314045E-01   1.60486212E-01   2.55323711E-20   6.02178123E-04   1.40813077E-04   3.60893153E-04   5.65404876E-05   2.29843487E-05  
  23               2.84276731E-02   5.05619170E+02   8.38314382E-01   1.60485875E-01   6.77081909E-20   6.02178458E-04   1.40813155E-04   3.60893354E-04   5.65405190E-05   2.29843004E-05  
  24               3.46977313E-02   5.10699496E+02   8.38313758E-01   1.60486495E-01   1.02969017E-19   6.02180599E-04   1.40813656E-04   3.60894637E-04   5.65407201E-05   2.29843892E-05  
  25               4.23192676E-02   5.21548339E+02   8.38314121E-01   1.60486132E-01   2.73029983E-19   6.02180914E-04   1.40813729E-04   3.60894826E-04   5.65407496E-05   2.29843372E-05  
  26               5.15765781E-02   5.27320689E+02   8.38313564E-01   1.60486684E-01   4.30288508E-19   6.02182969E-04   1.40814210E-04   3.60896058E-04   5.65409426E-05   2.29844162E-05  
