# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                H2S             
  34               4.64854097E-02   1.87157226E+02   8.38109082E-01   1.60470575E-01   7.74035034E-04   5.24662496E-04   4.08804223E-05   3.96697969E-05   2.58126274E-58   2.29842411E-05  
  35               5.65911253E-02   1.96598936E+02   8.38091560E-01   1.60467220E-01   7.74037131E-04   5.24663917E-04   4.08805330E-05   3.96699044E-05   1.91095898E-55   2.29837605E-05  
  36               6.88604059E-02   2.05041247E+02   8.38024237E-01   1.60454330E-01   7.74071394E-04   5.24687141E-04   4.08823426E-05   3.96716603E-05   4.13126029E-53   2.29819143E-05  
  37               8.37494219E-02   2.14874787E+02   8.37601818E-01   1.60373450E-01   7.74083579E-04   5.24695401E-04   4.08829861E-05   3.96722848E-05   1.28187791E-50   2.29703299E-05  
  38               1.01810787E-01   2.23548493E+02   8.38118861E-01   1.60472447E-01   7.74638218E-04   5.25071351E-04   4.09122792E-05   3.97007104E-05   1.30888548E-48   2.29845092E-05  
  39               1.23716055E-01   2.33494916E+02   8.38119639E-01   1.60472596E-01   7.74118447E-04   5.24719035E-04   4.08848277E-05   3.96740718E-05   1.73648006E-46   2.29845306E-05  
  40               1.50277390E-01   2.42276880E+02   8.38118853E-01   1.60472445E-01   7.74643364E-04   5.25074839E-04   4.09125510E-05   3.97009742E-05   9.15773918E-45   2.29845090E-05  
  41               1.82499236E-01   2.52374987E+02   8.38118852E-01   1.60472445E-01   7.74643689E-04   5.25075059E-04   4.09125682E-05   3.97009908E-05   6.26828876E-43   2.29845090E-05  
  42               2.21621015E-01   2.61506069E+02   8.38118852E-01   1.60472445E-01   7.74643991E-04   5.25075264E-04   4.09125841E-05   3.97010063E-05   2.12980351E-41   2.29845090E-05  
  43               2.69134766E-01   2.72168897E+02   8.38118852E-01   1.60472445E-01   7.74644311E-04   5.25075481E-04   4.09126010E-05   3.97010227E-05   9.78012547E-40   2.29845090E-05  
