# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  34               7.29370498E-02   4.74700780E+02   8.38309655E-01   1.60503614E-01   5.88610993E-04   1.41700476E-21   3.47276018E-04   1.57726150E-04   5.68303795E-05   2.29864672E-05  
  35               8.87936076E-02   4.81581934E+02   8.38309536E-01   1.60503733E-01   5.88611264E-04   2.83873484E-21   3.47276177E-04   1.57726222E-04   5.68304056E-05   2.29864842E-05  
  36               1.07994287E-01   4.98791807E+02   8.38309164E-01   1.60501598E-01   5.88606709E-04   1.70138756E-20   3.47273490E-04   1.57725002E-04   5.68299658E-05   2.29861784E-05  
  37               1.31206043E-01   5.06890504E+02   8.38309288E-01   1.60501404E-01   5.88642018E-04   3.59215208E-20   3.47294322E-04   1.57734463E-04   5.68333750E-05   2.29861507E-05  
  38               1.59231385E-01   5.25520909E+02   8.38311289E-01   1.60499410E-01   5.88638563E-04   2.06325423E-19   3.47292284E-04   1.57733537E-04   5.68330414E-05   2.29858650E-05  
  39               1.93017445E-01   5.35154853E+02   8.38311429E-01   1.60499270E-01   5.88638365E-04   4.62773280E-19   3.47292167E-04   1.57733484E-04   5.68330222E-05   2.29858450E-05  
  40               2.33689377E-01   5.55566532E+02   8.38313630E-01   1.60497077E-01   5.88634571E-04   2.57632721E-18   3.47289929E-04   1.57732468E-04   5.68326560E-05   2.29855310E-05  
  41               2.82557466E-01   5.67303827E+02   8.38314008E-01   1.60496701E-01   5.88633967E-04   6.26535641E-18   3.47289572E-04   1.57732306E-04   5.68325977E-05   2.29854771E-05  
  42               3.41163928E-01   5.89983261E+02   8.38316303E-01   1.60494414E-01   5.88630015E-04   3.41709283E-17   3.47287240E-04   1.57731247E-04   5.68322161E-05   2.29851496E-05  
  43               4.11253054E-01   6.04317936E+02   8.38316915E-01   1.60493803E-01   5.88629005E-04   9.01013315E-17   3.47286645E-04   1.57730976E-04   5.68321186E-05   2.29850620E-05  
  44               4.94875387E-01   6.29809561E+02   8.38319153E-01   1.60491573E-01   5.88625177E-04   4.83066579E-16   3.47284386E-04   1.57729950E-04   5.68317490E-05   2.29847427E-05  
  45               5.94445321E-01   6.47468265E+02   8.38319956E-01   1.60490772E-01   5.88623842E-04   1.38678180E-15   3.47283598E-04   1.57729593E-04   5.68316201E-05   2.29846280E-05  
  46               7.12817716E-01   6.76438825E+02   8.38321974E-01   1.60488759E-01   5.88620396E-04   7.30241204E-15   3.47281565E-04   1.57728669E-04   5.68312874E-05   2.29843397E-05  
  47               8.53060040E-01   6.98185443E+02   8.38322844E-01   1.60487880E-01   5.88618961E-04   2.26209747E-14   3.47280718E-04   1.57728285E-04   5.68311488E-05   2.29842138E-05  
  48               1.01873289E+00   7.31242710E+02   8.38324494E-01   1.60486207E-01   5.88616288E-04   1.15312394E-13   3.47279142E-04   1.57727569E-04   5.68308907E-05   2.29839741E-05  
  49               1.21368704E+00   7.57559580E+02   8.38325120E-01   1.60485357E-01   5.88615282E-04   3.72886269E-13   3.47278548E-04   1.57727299E-04   5.68307936E-05   2.29838523E-05  
  50               1.44235795E+00   7.95051860E+02   8.38326172E-01   1.60484043E-01   5.88616972E-04   1.78815046E-12   3.47279545E-04   1.57727752E-04   5.68309568E-05   2.29836637E-05  
  51               1.70994587E+00   8.26165251E+02   8.38326824E-01   1.60483374E-01   5.88619653E-04   5.78838156E-12   3.47281127E-04   1.57728470E-04   5.68312156E-05   2.29835672E-05  
  52               2.02236852E+00   8.68104829E+02   8.38327713E-01   1.60482447E-01   5.88618199E-04   2.52461373E-11   3.47280269E-04   1.57728081E-04   5.68310753E-05   2.29924086E-05  
  53               2.38600026E+00   9.03404985E+02   8.38328090E-01   1.60481902E-01   5.88617632E-04   7.71291241E-11   3.47279934E-04   1.57727929E-04   5.68310205E-05   2.30174347E-05  
  54               2.80738237E+00   9.48725472E+02   8.38328366E-01   1.60481062E-01   5.88618203E-04   2.91415064E-10   3.47280272E-04   1.57728085E-04   5.68310757E-05   2.31393525E-05  
  55               3.29434487E+00   9.86790811E+02   8.38327698E-01   1.60480257E-01   5.88622363E-04   7.96796261E-10   3.47282726E-04   1.57729222E-04   5.68314772E-05   2.34614376E-05  
  56               3.85638779E+00   1.03421973E+03   8.38327459E-01   1.60478827E-01   5.88635644E-04   2.55110757E-09   3.47290562E-04   1.57732907E-04   5.68327596E-05   2.42884763E-05  
  57               4.50530180E+00   1.07367673E+03   8.38329023E-01   1.60477277E-01   5.88632287E-04   6.10912758E-09   3.47288578E-04   1.57732794E-04   5.68324358E-05   2.42881348E-05  
  58               5.25446540E+00   1.12195985E+03   8.38332569E-01   1.60473742E-01   5.88625147E-04   1.65565117E-08   3.47284339E-04   1.57734630E-04   5.68317495E-05   2.42873561E-05  
  59               6.11834206E+00   1.16184785E+03   8.38336707E-01   1.60469585E-01   5.88616882E-04   3.48625140E-08   3.47279180E-04   1.57751028E-04   5.68309847E-05   2.42863906E-05  
  60               7.11441239E+00   1.21064681E+03   8.38345012E-01   1.60461186E-01   5.88599273E-04   8.20651183E-08   3.47266894E-04   1.57820129E-04   5.68295063E-05   2.42844221E-05  
  61               8.26337815E+00   1.25091814E+03   8.38353055E-01   1.60452831E-01   5.88568726E-04   1.55617280E-07   3.47234893E-04   1.58103492E-04   5.68281796E-05   2.42822771E-05  
  62               9.59067591E+00   1.30016415E+03   8.38366570E-01   1.60438414E-01   5.88463337E-04   3.26229222E-07   3.47102273E-04   1.59033086E-04   5.68261380E-05   2.42783970E-05  
  63               1.11225551E+01   1.34034053E+03   8.38376265E-01   1.60426685E-01   5.88037305E-04   5.63647874E-07   3.46499789E-04   1.61807193E-04   5.68254233E-05   2.42746335E-05  
  64               1.28873330E+01   1.38960011E+03   8.38390362E-01   1.60408728E-01   5.86514565E-04   1.06826846E-06   3.44333798E-04   1.68759870E-04   5.68252740E-05   2.42681407E-05  
  65               1.49229131E+01   1.42947392E+03   8.38399414E-01   1.60396744E-01   5.81872921E-04   1.70641550E-06   3.37903600E-04   1.81979969E-04   5.68275024E-05   2.42617888E-05  
  66               1.72904538E+01   1.47924656E+03   8.38417816E-01   1.60380217E-01   5.70760815E-04   2.99382372E-06   3.23060257E-04   2.04500506E-04   5.68297603E-05   2.42489134E-05  
  67               2.00616799E+01   1.51972298E+03   8.38436315E-01   1.60372258E-01   5.54205561E-04   4.52230675E-06   3.03869581E-04   2.26088272E-04   5.68296672E-05   2.42316062E-05  
  68               2.33096101E+01   1.57130965E+03   8.38468169E-01   1.60361112E-01   5.29590013E-04   7.52790685E-06   2.75528636E-04   2.55214495E-04   5.68299533E-05   2.40906991E-05  
  69               2.70625498E+01   1.61421963E+03   8.38483466E-01   1.60354490E-01   5.11555274E-04   1.10476934E-05   2.57296552E-04   2.73394076E-04   5.68276007E-05   2.40759955E-05  
  70               3.13137798E+01   1.66963470E+03   8.38497679E-01   1.60342077E-01   4.88623318E-04   1.79346729E-05   2.28193338E-04   3.02339132E-04   5.68311667E-05   2.37072205E-05  
  71               3.60158142E+01   1.71776805E+03   8.38501912E-01   1.60334278E-01   4.82281790E-04   2.63710238E-05   2.06725685E-04   3.23718339E-04   5.68476538E-05   2.28256019E-05  
  72               4.10881995E+01   1.77996934E+03   8.38510454E-01   1.60321666E-01   4.58725373E-04   4.29078920E-05   1.77181737E-04   3.53054603E-04   5.68448788E-05   2.26715090E-05  
  73               4.63653195E+01   1.83623403E+03   8.38481621E-01   1.60307873E-01   4.53280212E-04   6.45079890E-05   1.52632051E-04   3.77420389E-04   5.68487863E-05   2.23071925E-05  
  74               5.15311695E+01   1.88874332E+03   8.38408778E-01   1.60290858E-01   4.72178738E-04   9.23957033E-05   1.27676160E-04   4.02196683E-04   5.68601458E-05   2.16332836E-05  
  75               5.63544793E+01   1.93184967E+03   8.38353263E-01   1.60280084E-01   4.88127742E-04   1.21897818E-04   1.11390620E-04   4.18345449E-04   5.68488165E-05   2.12202686E-05  
  76               6.06691476E+01   1.97005011E+03   8.38335142E-01   1.60274605E-01   4.79167342E-04   1.54459966E-04   1.02273816E-04   4.27317607E-04   5.67968564E-05   2.11910161E-05  
  77               6.55742433E+01   2.00854461E+03   8.38299250E-01   1.60267322E-01   4.71809776E-04   1.93722777E-04   9.47788999E-05   4.34645508E-04   5.67242241E-05   2.11633260E-05  
  78               6.98584073E+01   2.04227356E+03   8.38269497E-01   1.60262061E-01   4.65616877E-04   2.34913874E-04   8.84516460E-05   4.40821674E-04   5.66674574E-05   2.11342634E-05  
  79               7.34276640E+01   2.06717282E+03   8.38242807E-01   1.60258149E-01   4.61925106E-04   2.69172990E-04   8.46541322E-05   4.44498408E-04   5.66068323E-05   2.11143510E-05  
  80               7.75923654E+01   2.09722917E+03   8.38205316E-01   1.60252908E-01   4.57354191E-04   3.16448688E-04   7.99460280E-05   4.49054723E-04   5.65410429E-05   2.10850672E-05  
  81               8.24208040E+01   2.12827602E+03   8.38127884E-01   1.60241214E-01   4.53542604E-04   3.71310867E-04   7.59901594E-05   4.52819395E-04   5.64507244E-05   2.10549483E-05  
  82               8.60437660E+01   2.15237102E+03   8.38087352E-01   1.60236413E-01   4.50509888E-04   4.19625087E-04   7.28063029E-05   4.55866419E-04   5.64009805E-05   2.10278378E-05  
  83               8.86759452E+01   2.16768054E+03   8.38059369E-01   1.60233345E-01   4.49012105E-04   4.52159542E-04   7.12349675E-05   4.57343260E-04   5.63495095E-05   2.10120351E-05  
  84               9.18250526E+01   2.18763063E+03   8.38019694E-01   1.60228917E-01   4.46738445E-04   4.98533823E-04   6.88656274E-05   4.59589880E-04   5.62982596E-05   2.09871073E-05  
  85               9.55738921E+01   2.20858389E+03   8.37974545E-01   1.60224205E-01   4.44885750E-04   5.50226886E-04   6.69043558E-05   4.61411459E-04   5.62296717E-05   2.09625116E-05  
  86               1.00014061E+02   2.23455010E+03   8.37912529E-01   1.60217743E-01   4.42389967E-04   6.21191566E-04   6.42721855E-05   4.63867510E-04   5.61559598E-05   2.09270264E-05  
  87               1.05245655E+02   2.26198761E+03   8.37840324E-01   1.60210588E-01   4.40320416E-04   7.02595219E-04   6.20449380E-05   4.65891706E-04   5.60603819E-05   2.08899014E-05  
  88               1.11378835E+02   2.29460594E+03   8.37741668E-01   1.60200723E-01   4.37790544E-04   8.11269408E-04   5.93216531E-05   4.68363114E-04   5.59555523E-05   2.08395576E-05  
  89               1.18533190E+02   2.32893492E+03   8.37620855E-01   1.60189662E-01   4.40894679E-04   9.37770549E-04   5.64392079E-05   4.70986015E-04   5.58309637E-05   2.08095513E-05  
  90               1.26842444E+02   2.36850446E+03   8.37471196E-01   1.60175658E-01   4.38710776E-04   1.10355765E-03   5.38204230E-05   4.73255821E-04   5.56872147E-05   2.07394714E-05  
  91               1.36454637E+02   2.40979235E+03   8.37294954E-01   1.60159574E-01   4.37037609E-04   1.29748859E-03   5.16777472E-05   4.74993304E-04   5.55130194E-05   2.06629647E-05  
  92               1.47535970E+02   2.45617849E+03   8.37067563E-01   1.60138983E-01   4.35246421E-04   1.54720881E-03   4.93521217E-05   4.76830067E-04   5.53193061E-05   2.05667726E-05  
  93               1.60273216E+02   2.50418001E+03   8.36800570E-01   1.60115192E-01   4.33999066E-04   1.83917888E-03   4.75160503E-05   4.78097931E-04   5.50900485E-05   2.04619169E-05  
  94               1.74886902E+02   2.55700843E+03   8.36462395E-01   1.60085210E-01   4.32774899E-04   2.20851327E-03   4.56132343E-05   4.79319822E-04   5.48342519E-05   2.03344733E-05  
  95               1.91639715E+02   2.61137252E+03   8.36067352E-01   1.60050530E-01   4.32118969E-04   2.63883543E-03   4.41847930E-05   4.79955276E-04   5.45363875E-05   2.01967185E-05  
  96               2.10846808E+02   2.67032882E+03   8.35575515E-01   1.60007479E-01   4.31614547E-04   3.17418460E-03   4.27681416E-05   4.80424912E-04   5.42028329E-05   2.00343668E-05  
  97               2.32886059E+02   2.73086391E+03   8.35004203E-01   1.59957764E-01   4.31709237E-04   3.79506044E-03   4.17913062E-05   4.80295455E-04   5.38183748E-05   1.98608710E-05  
  98               2.58219677E+02   2.79583066E+03   8.34304540E-01   1.59896976E-01   4.32090351E-04   4.55507879E-03   4.08802202E-05   4.79887253E-04   5.33859849E-05   1.96621676E-05  
  99               2.87412747E+02   2.86271012E+03   8.33494296E-01   1.59826820E-01   4.33117430E-04   5.43438265E-03   4.03561255E-05   4.78862556E-04   5.28904610E-05   1.94517220E-05  
  100              3.21165819E+02   2.93387646E+03   8.32519322E-01   1.59742483E-01   4.34606197E-04   6.49212827E-03   3.99531955E-05   4.77419079E-04   5.23294797E-05   1.92175769E-05  
  101              3.60351067E+02   3.00754434E+03   8.31392427E-01   1.59645197E-01   4.36835255E-04   7.71396996E-03   3.98885691E-05   4.75302841E-04   5.16868101E-05   1.89713464E-05  
