# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.44556601E+01   8.38109233E-01   1.60470401E-01   7.77400195E-04   5.29029465E-04   5.07958578E-05   3.49866949E-05   2.29819494E-05   0.00000000E+00  
  2                2.14420451E-05   2.88599309E+01   8.38109233E-01   1.60470401E-01   7.77400157E-04   5.29029439E-04   5.07958550E-05   3.49866934E-05   2.29819494E-05   0.00000000E+00  
  3                3.48813904E-05   3.11302012E+01   8.38109233E-01   1.60470401E-01   7.77400137E-04   5.29029426E-04   5.07958535E-05   3.49866926E-05   2.29819494E-05   0.00000000E+00  
  4                5.06657054E-05   3.25343090E+01   8.38109233E-01   1.60470401E-01   7.77400123E-04   5.29029416E-04   5.07958525E-05   3.49866920E-05   2.29819494E-05   0.00000000E+00  
  5                6.92034657E-05   3.40382929E+01   8.38109233E-01   1.60470401E-01   7.77400112E-04   5.29029409E-04   5.07958517E-05   3.49866916E-05   2.29819494E-05   0.00000000E+00  
  6                9.09731769E-05   3.50469074E+01   8.38109233E-01   1.60470401E-01   7.77400103E-04   5.29029403E-04   5.07958510E-05   3.49866912E-05   2.29819494E-05   0.00000000E+00  
  7                1.16537280E-04   3.63262356E+01   8.38109234E-01   1.60470401E-01   7.77400095E-04   5.29029397E-04   5.07958504E-05   3.49866909E-05   2.29819494E-05   0.00000000E+00  
  8                1.46554880E-04   3.72163470E+01   8.38109234E-01   1.60470401E-01   7.77400087E-04   5.29029392E-04   5.07958498E-05   3.49866906E-05   2.29819494E-05   0.00000000E+00  
  9                1.81798040E-04   3.84694624E+01   8.38109234E-01   1.60470401E-01   7.77400081E-04   5.29029387E-04   5.07958493E-05   3.49866904E-05   2.29819494E-05   0.00000000E+00  
  10               2.23174126E-04   3.93328609E+01   8.38109234E-01   1.60470401E-01   7.77400074E-04   5.29029383E-04   5.07958488E-05   3.49866901E-05   2.29819494E-05   0.00000000E+00  
  11               2.71745880E-04   4.05805756E+01   8.38109234E-01   1.60470401E-01   7.77400067E-04   5.29029378E-04   5.07958483E-05   3.49866898E-05   2.29819494E-05   0.00000000E+00  
