# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  34               4.47397124E-01   5.54381608E+02   8.38300423E-01   1.60501533E-01   5.98059191E-04   3.56750014E-04   1.47610195E-04   1.68208777E-18   5.68558132E-05   2.29873688E-05  
  35               5.15925595E-01   5.71923428E+02   8.38301898E-01   1.60500063E-01   5.98056646E-04   3.56748496E-04   1.47609567E-04   6.75401743E-18   5.68555713E-05   2.29871584E-05  
  36               5.94175329E-01   5.93946171E+02   8.38304165E-01   1.60497804E-01   5.98052679E-04   3.56746129E-04   1.47608587E-04   3.49151141E-17   5.68551941E-05   2.29868347E-05  
  37               6.83301891E-01   6.14281678E+02   8.38306156E-01   1.60495820E-01   5.98049219E-04   3.56744066E-04   1.47607734E-04   1.42157778E-16   5.68548652E-05   2.29865506E-05  
  38               7.84555950E-01   6.39198298E+02   8.38308738E-01   1.60493246E-01   5.98044703E-04   3.56741372E-04   1.47606619E-04   7.11225946E-16   5.68544359E-05   2.29861820E-05  
  39               8.99413787E-01   6.62844514E+02   8.38310843E-01   1.60491147E-01   5.98041043E-04   3.56739188E-04   1.47605716E-04   2.91161274E-15   5.68540880E-05   2.29858814E-05  
  40               1.02954677E+00   6.91473322E+02   8.38313239E-01   1.60488755E-01   5.98036874E-04   3.56736702E-04   1.47604687E-04   1.42429072E-14   5.68536916E-05   2.29855388E-05  
  41               1.17667913E+00   7.18283086E+02   8.38314978E-01   1.60487003E-01   5.98033837E-04   3.56734890E-04   1.47603937E-04   5.57511261E-14   5.68534029E-05   2.29852878E-05  
  42               1.34270828E+00   7.48555012E+02   8.38316629E-01   1.60485303E-01   5.98031146E-04   3.56733285E-04   1.47603273E-04   2.32550157E-13   5.68531471E-05   2.29850442E-05  
  43               1.52963804E+00   7.76781091E+02   8.38317640E-01   1.60484084E-01   5.98029811E-04   3.56732488E-04   1.47602943E-04   7.90979568E-13   5.68530202E-05   2.29848695E-05  
  44               1.74010405E+00   8.08686853E+02   8.38318577E-01   1.60482904E-01   5.98031482E-04   3.56733485E-04   1.47603356E-04   2.86112423E-12   5.68531791E-05   2.29847000E-05  
  45               1.97716641E+00   8.38449519E+02   8.38319355E-01   1.60482109E-01   5.98033742E-04   3.56734833E-04   1.47603914E-04   8.62925411E-12   5.68533939E-05   2.29845853E-05  
  46               2.24402591E+00   8.72172663E+02   8.38320108E-01   1.60481321E-01   5.98032518E-04   3.56734103E-04   1.47603612E-04   2.76542183E-11   5.68532775E-05   2.29929428E-05  
  47               2.54380294E+00   9.03536729E+02   8.38320571E-01   1.60480741E-01   5.98031837E-04   3.56733697E-04   1.47603444E-04   7.50199871E-11   5.68532128E-05   2.30153442E-05  
  48               2.87954297E+00   9.38951877E+02   8.38320900E-01   1.60480075E-01   5.98031893E-04   3.56733730E-04   1.47603460E-04   2.14697370E-10   5.68532181E-05   2.30908403E-05  
  49               3.25495410E+00   9.71720031E+02   8.38320257E-01   1.60479333E-01   5.98033781E-04   3.56734856E-04   1.47603938E-04   5.26763462E-10   5.68533975E-05   2.32793243E-05  
  50               3.67434551E+00   1.00872663E+03   8.38319197E-01   1.60478350E-01   5.98051656E-04   3.56745519E-04   1.47608400E-04   1.35963389E-09   5.68550969E-05   2.42884489E-05  
  51               4.14291185E+00   1.04292784E+03   8.38320208E-01   1.60477350E-01   5.98049498E-04   3.56744231E-04   1.47608089E-04   3.05469446E-09   5.68548918E-05   2.42882365E-05  
  52               4.66629997E+00   1.08160462E+03   8.38322065E-01   1.60475506E-01   5.98045540E-04   3.56741867E-04   1.47607970E-04   7.20690914E-09   5.68545159E-05   2.42878378E-05  
  53               5.25089383E+00   1.11546190E+03   8.38324388E-01   1.60473189E-01   5.98040759E-04   3.56738990E-04   1.47610101E-04   1.44100490E-08   5.68540644E-05   2.42873190E-05  
  54               5.90418008E+00   1.15266361E+03   8.38328309E-01   1.60469259E-01   5.98032878E-04   3.56734146E-04   1.47619211E-04   2.95241266E-08   5.68533318E-05   2.42864326E-05  
  55               6.63483196E+00   1.18535628E+03   8.38332743E-01   1.60464782E-01   5.98023474E-04   3.56727748E-04   1.47652516E-04   5.29353865E-08   5.68525298E-05   2.42853782E-05  
  56               7.45241970E+00   1.22158442E+03   8.38339504E-01   1.60457899E-01   5.98006809E-04   3.56714372E-04   1.47750308E-04   9.78087176E-08   5.68513454E-05   2.42837232E-05  
  57               8.36896377E+00   1.25325066E+03   8.38346032E-01   1.60451081E-01   5.97977840E-04   3.56682560E-04   1.48021928E-04   1.60943488E-07   5.68502762E-05   2.42819553E-05  
  58               9.39749537E+00   1.28868924E+03   8.38354993E-01   1.60441482E-01   5.97902305E-04   3.56587079E-04   1.48690929E-04   2.74079935E-07   5.68489256E-05   2.42793546E-05  
  59               1.05514363E+01   1.31960709E+03   8.38362211E-01   1.60433045E-01   5.97692518E-04   3.56295856E-04   1.50226446E-04   4.21996588E-07   5.68481824E-05   2.42767664E-05  
  60               1.18446799E+01   1.35477200E+03   8.38371464E-01   1.60421674E-01   5.97119899E-04   3.55490399E-04   1.53422955E-04   6.76644217E-07   5.68476295E-05   2.42728377E-05  
  61               1.32920483E+01   1.38560050E+03   8.38377868E-01   1.60412454E-01   5.95660344E-04   3.53441806E-04   1.59350482E-04   9.94557470E-07   5.68483638E-05   2.42692963E-05  
  62               1.49130307E+01   1.42137308E+03   8.38387157E-01   1.60400354E-01   5.92366833E-04   3.48900132E-04   1.69392673E-04   1.53279366E-06   5.68496809E-05   2.42623529E-05  
  63               1.67363262E+01   1.45322894E+03   8.38396027E-01   1.60391509E-01   5.85914851E-04   3.40391568E-04   1.83382969E-04   2.19424194E-06   5.68515729E-05   2.42574639E-05  
  64               1.87973909E+01   1.49074712E+03   8.38412226E-01   1.60380718E-01   5.74654295E-04   3.26183120E-04   2.02254655E-04   3.30595215E-06   5.68529029E-05   2.42374148E-05  
  65               2.11315558E+01   1.52485139E+03   8.38429853E-01   1.60373717E-01   5.59461955E-04   3.08885105E-04   2.21190259E-04   4.67814136E-06   5.68523200E-05   2.42302563E-05  
  66               2.37716720E+01   1.56541196E+03   8.38455403E-01   1.60365027E-01   5.39610510E-04   2.86454650E-04   2.44280734E-04   6.98580797E-06   5.68523777E-05   2.41298214E-05  
  67               2.67331192E+01   1.60317956E+03   8.38474461E-01   1.60358236E-01   5.20775271E-04   2.67130528E-04   2.63563901E-04   9.90213492E-06   5.68500716E-05   2.41167533E-05  
  68               3.00138853E+01   1.64792408E+03   8.38485164E-01   1.60346985E-01   4.99900515E-04   2.42379432E-04   2.88218643E-04   1.47895169E-05   5.68512883E-05   2.39068716E-05  
  69               3.35822546E+01   1.69021393E+03   8.38493084E-01   1.60338939E-01   4.93566796E-04   2.18964354E-04   3.11548187E-04   2.11075190E-05   5.68716793E-05   2.28552246E-05  
  70               3.74125277E+01   1.73962941E+03   8.38511310E-01   1.60329622E-01   4.71160487E-04   1.94275074E-04   3.36085178E-04   3.15609810E-05   5.68695306E-05   2.27822012E-05  
  71               4.14307879E+01   1.78725974E+03   8.38512525E-01   1.60319954E-01   4.55671648E-04   1.72574381E-04   3.57642648E-04   4.54768595E-05   5.68686875E-05   2.26343552E-05  
  72               4.55507469E+01   1.83239397E+03   8.38489949E-01   1.60308954E-01   4.51590466E-04   1.52573808E-04   3.77494658E-04   6.30927387E-05   5.68737825E-05   2.23302626E-05  
  73               4.96205463E+01   1.87393293E+03   8.38432439E-01   1.60294918E-01   4.62909994E-04   1.33423793E-04   3.96499226E-04   8.40183557E-05   5.68835156E-05   2.18401544E-05  
