# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               H2S              Mg              
  34               6.45545495E-02   5.27230583E+02   8.38524378E-01   1.60529282E-01   5.19898228E-04   3.09429048E-04   3.81433627E-19   6.01414049E-05   2.29903488E-05   0.00000000E+00  
  35               7.31011480E-02   5.47265392E+02   8.38526840E-01   1.60526826E-01   5.19894737E-04   3.09426971E-04   2.24061766E-18   6.01410010E-05   2.29899970E-05   0.00000000E+00  
  36               8.26830002E-02   5.67749376E+02   8.38528804E-01   1.60524868E-01   5.19891974E-04   3.09425327E-04   1.20161424E-17   6.01406815E-05   2.29897165E-05   0.00000000E+00  
  37               9.34156051E-02   5.88899482E+02   8.38530359E-01   1.60523316E-01   5.19889823E-04   3.09424046E-04   6.01482559E-17   6.01404327E-05   2.29894943E-05   0.00000000E+00  
  38               1.05422028E-01   6.10506907E+02   8.38531560E-01   1.60522118E-01   5.19888175E-04   3.09423065E-04   2.77392259E-16   6.01402420E-05   2.29893227E-05   0.00000000E+00  
  39               1.18837491E-01   6.32796288E+02   8.38532497E-01   1.60521182E-01   5.19886931E-04   3.09422325E-04   1.20230389E-15   6.01400981E-05   2.29891887E-05   0.00000000E+00  
  40               1.33828683E-01   6.55571666E+02   8.38533216E-01   1.60520460E-01   5.19886049E-04   3.09421800E-04   4.84657916E-15   6.01399961E-05   2.29890852E-05   0.00000000E+00  
  41               1.50578607E-01   6.79089721E+02   8.38533772E-01   1.60519890E-01   5.19885555E-04   3.09421506E-04   1.85178099E-14   6.01399389E-05   2.29890036E-05   0.00000000E+00  
  42               1.69274481E-01   7.03112467E+02   8.38534175E-01   1.60519439E-01   5.19885685E-04   3.09421583E-04   6.62806378E-14   6.01399539E-05   2.29889390E-05   0.00000000E+00  
  43               1.90106920E-01   7.27874685E+02   8.38534360E-01   1.60519049E-01   5.19888278E-04   3.09423127E-04   2.25727592E-13   6.01402539E-05   2.29888830E-05   0.00000000E+00  
  44               2.13271664E-01   7.53103203E+02   8.38534432E-01   1.60518713E-01   5.19891259E-04   3.09424901E-04   7.23075158E-13   6.01405988E-05   2.29888347E-05   0.00000000E+00  
  45               2.38994358E-01   7.79049159E+02   8.38534696E-01   1.60518444E-01   5.19890972E-04   3.09424730E-04   2.21118567E-12   6.01405655E-05   2.29887957E-05   0.00000000E+00  
  46               2.67577647E-01   8.05493578E+02   8.38534974E-01   1.60518153E-01   5.19890677E-04   3.09424555E-04   6.40606485E-12   6.01405314E-05   2.29921844E-05   0.00000000E+00  
  47               2.99330018E-01   8.32716464E+02   8.38535342E-01   1.60517741E-01   5.19890362E-04   3.09424367E-04   1.78288041E-11   6.01404949E-05   2.30014582E-05   0.00000000E+00  
  48               3.34552139E-01   8.60432340E+02   8.38535917E-01   1.60517038E-01   5.19890148E-04   3.09424240E-04   4.72265149E-11   6.01404703E-05   2.30283339E-05   0.00000000E+00  
  49               3.73533152E-01   8.88872978E+02   8.38536900E-01   1.60515699E-01   5.19890505E-04   3.09424452E-04   1.20363631E-10   6.01405116E-05   2.31049690E-05   0.00000000E+00  
  50               4.16547744E-01   9.17706735E+02   8.38538125E-01   1.60513079E-01   5.19893153E-04   3.09426028E-04   2.92483206E-10   6.01408179E-05   2.33090066E-05   0.00000000E+00  
  51               4.63912409E-01   9.47174590E+02   8.38540769E-01   1.60508470E-01   5.19895048E-04   3.09427156E-04   6.84764240E-10   6.01410370E-05   2.42930228E-05   0.00000000E+00  
  52               5.16096836E-01   9.77044452E+02   8.38548369E-01   1.60500893E-01   5.19881880E-04   3.09419318E-04   1.53702974E-09   6.01395137E-05   2.42918275E-05   0.00000000E+00  
  53               5.73576274E-01   1.00760729E+03   8.38560425E-01   1.60488877E-01   5.19861750E-04   3.09407337E-04   3.34221332E-09   6.01371850E-05   2.42899253E-05   0.00000000E+00  
  54               6.36807328E-01   1.03857645E+03   8.38577472E-01   1.60471886E-01   5.19833962E-04   3.09390796E-04   6.99902271E-09   6.01339701E-05   2.42872159E-05   1.43062076E-15  
  55               7.06236380E-01   1.07018185E+03   8.38599238E-01   1.60450192E-01   5.19799481E-04   3.09370266E-04   1.42262056E-08   6.01299801E-05   2.42837083E-05   8.31340635E-15  
  56               7.82302970E-01   1.10212767E+03   8.38623833E-01   1.60425670E-01   5.19761096E-04   3.09347392E-04   2.79218131E-08   6.01255354E-05   2.42796450E-05   4.49740746E-14  
  57               8.65457721E-01   1.13460431E+03   8.38649289E-01   1.60400273E-01   5.19722106E-04   3.09324084E-04   5.32552264E-08   6.01210108E-05   2.42752572E-05   2.29059766E-13  
  58               9.56394804E-01   1.16742701E+03   8.38673461E-01   1.60376125E-01   5.19685542E-04   3.09301943E-04   9.84867683E-08   6.01167337E-05   2.42707849E-05   1.08585197E-12  
  59               1.05593850E+00   1.20084891E+03   8.38695300E-01   1.60354259E-01   5.19653818E-04   3.09281684E-04   1.77771090E-07   6.01129075E-05   2.42662584E-05   4.84557508E-12  
  60               1.16488605E+00   1.23470173E+03   8.38713999E-01   1.60335458E-01   5.19629359E-04   3.09262825E-04   3.12590468E-07   6.01096290E-05   2.42616337E-05   2.01642484E-11  
  61               1.28402023E+00   1.26913991E+03   8.38729536E-01   1.60319718E-01   5.19615224E-04   3.09243394E-04   5.37642878E-07   6.01069083E-05   2.42566381E-05   7.88143030E-11  
  62               1.41411685E+00   1.30399672E+03   8.38741949E-01   1.60306958E-01   5.19615718E-04   3.09220099E-04   9.03044045E-07   6.01046965E-05   2.42507913E-05   2.87599583E-10  
  63               1.55596470E+00   1.33935701E+03   8.38751595E-01   1.60296770E-01   5.19637631E-04   3.09189524E-04   1.48516103E-06   6.01029347E-05   2.42429306E-05   9.85631801E-10  
  64               1.71037432E+00   1.37510081E+03   8.38758713E-01   1.60288781E-01   5.19691042E-04   3.09151923E-04   2.39011044E-06   6.01015698E-05   2.42302054E-05   3.16791567E-09  
  65               1.87854715E+00   1.41133724E+03   8.38763568E-01   1.60282547E-01   5.19790098E-04   3.09119925E-04   3.77396594E-06   6.01004865E-05   2.42049098E-05   9.61755207E-09  
  66               2.06206541E+00   1.44810304E+03   8.38763929E-01   1.60277260E-01   5.19955954E-04   3.09140950E-04   5.85427960E-06   6.00998066E-05   2.41467325E-05   2.76838656E-08  
  67               2.26237901E+00   1.48543062E+03   8.38765077E-01   1.60273968E-01   5.20242311E-04   3.09353614E-04   8.93223513E-06   6.01026913E-05   2.36892458E-05   4.56228566E-08  
  68               2.48046926E+00   1.52325582E+03   8.38750299E-01   1.60268369E-01   5.20611697E-04   3.09948312E-04   1.34051646E-05   6.01016918E-05   2.36664691E-05   1.96875704E-07  
  69               2.71644215E+00   1.56132255E+03   8.38745914E-01   1.60268392E-01   5.21289118E-04   3.11566834E-04   1.97535140E-05   6.01210716E-05   2.18762753E-05   3.17538343E-07  
  70               2.96854855E+00   1.59926654E+03   8.38735996E-01   1.60265804E-01   5.21921432E-04   3.13973880E-04   2.85158611E-05   6.01218413E-05   2.18547026E-05   1.16266672E-06  
  71               3.22934447E+00   1.63586408E+03   8.38719072E-01   1.60263045E-01   5.22699048E-04   3.18362788E-04   3.99427448E-05   6.01269070E-05   2.17672306E-05   3.67905972E-06  
  72               3.48476310E+00   1.66958580E+03   8.38690564E-01   1.60259569E-01   5.23538968E-04   3.25839485E-04   5.37419544E-05   6.01351266E-05   2.15662397E-05   9.47398601E-06  
  73               3.75464905E+00   1.70305431E+03   8.38642718E-01   1.60254625E-01   5.24394889E-04   3.36784558E-04   7.12554820E-05   6.01502679E-05   2.12034487E-05   2.11470142E-05  
  74               3.99977068E+00   1.73189770E+03   8.38585656E-01   1.60249760E-01   5.25260191E-04   3.49480427E-04   9.00295769E-05   6.01820731E-05   2.07681996E-05   3.78878062E-05  
  75               4.20252974E+00   1.75461358E+03   8.38528167E-01   1.60247967E-01   5.26162824E-04   3.63751331E-04   1.07604356E-04   6.02237443E-05   2.02105919E-05   6.52083919E-05  
  76               4.41741453E+00   1.77787485E+03   8.38503016E-01   1.60244934E-01   5.26573455E-04   3.70966029E-04   1.28528740E-04   6.02261091E-05   2.02208722E-05   6.51386496E-05  
  77               4.65242592E+00   1.80214426E+03   8.38467311E-01   1.60240331E-01   5.26825341E-04   3.74402450E-04   1.53875709E-04   6.02258542E-05   2.02268926E-05   6.50632477E-05  
  78               4.85263096E+00   1.82215348E+03   8.38443237E-01   1.60237876E-01   5.27198101E-04   3.76810329E-04   1.77824554E-04   6.02425432E-05   2.02282993E-05   6.50004334E-05  
  79               5.01255853E+00   1.83755715E+03   8.38423321E-01   1.60235925E-01   5.27402150E-04   3.78152978E-04   1.98290862E-04   6.02421758E-05   2.02270812E-05   6.49509929E-05  
  80               5.19002312E+00   1.85431983E+03   8.38400309E-01   1.60233768E-01   5.27580854E-04   3.78790268E-04   2.22784645E-04   6.02414880E-05   2.02233062E-05   6.48965676E-05  
  81               5.38756045E+00   1.87230460E+03   8.38373583E-01   1.60231334E-01   5.27721098E-04   3.78949816E-04   2.51773608E-04   6.02404291E-05   2.02164798E-05   6.48368769E-05  
  82               5.60672800E+00   1.89174262E+03   8.38310470E-01   1.60222505E-01   5.27751148E-04   3.78844984E-04   2.86569999E-04   6.02369195E-05   2.02049156E-05   6.47688950E-05  
  83               5.76711055E+00   1.90546594E+03   8.38285307E-01   1.60220214E-01   5.28185738E-04   3.79023559E-04   3.13433461E-04   6.02885891E-05   2.01951057E-05   6.47215778E-05  
  84               5.87931235E+00   1.91498494E+03   8.38267212E-01   1.60218615E-01   5.28195392E-04   3.78896394E-04   3.33290714E-04   6.02877150E-05   2.01872249E-05   6.46885815E-05  
  85               6.00551755E+00   1.92539351E+03   8.38246340E-01   1.60216769E-01   5.28229664E-04   3.78782072E-04   3.56133972E-04   6.02865666E-05   2.01776033E-05   6.46518759E-05  
  86               6.14785940E+00   1.93703460E+03   8.38221526E-01   1.60214576E-01   5.28282217E-04   3.78676733E-04   3.83235054E-04   6.02853003E-05   2.01655712E-05   6.46105975E-05  
  87               6.30804400E+00   1.94974161E+03   8.38192717E-01   1.60212031E-01   5.28344731E-04   3.78571555E-04   4.14672024E-04   6.02837746E-05   2.01508620E-05   6.45646973E-05  
  88               6.48779461E+00   1.96380160E+03   8.38158526E-01   1.60209017E-01   5.28412959E-04   3.78472748E-04   4.51936228E-04   6.02820099E-05   2.01327491E-05   6.45134605E-05  
  89               6.68890405E+00   1.97901353E+03   8.38118807E-01   1.60205518E-01   5.28481267E-04   3.78366238E-04   4.95220161E-04   6.02797866E-05   2.01107622E-05   6.44568859E-05  
  90               6.91301622E+00   1.99563631E+03   8.38071803E-01   1.60201388E-01   5.28549523E-04   3.78276730E-04   5.46380089E-04   6.02771723E-05   2.00841901E-05   6.43943139E-05  
  91               7.16180560E+00   2.01341335E+03   8.38017390E-01   1.60196610E-01   5.28613269E-04   3.78159983E-04   6.05667714E-04   6.02737755E-05   2.00523185E-05   6.43258697E-05  
  92               7.43882073E+00   2.03272391E+03   8.37952880E-01   1.60190954E-01   5.28673188E-04   3.78034297E-04   6.75940701E-04   6.02695421E-05   2.00137599E-05   6.42503940E-05  
  93               7.74648173E+00   2.05329171E+03   8.37877764E-01   1.60184374E-01   5.28726420E-04   3.77906551E-04   7.57746138E-04   6.02642305E-05   1.99684210E-05   6.41679490E-05  
  94               8.08732591E+00   2.07540528E+03   8.37788914E-01   1.60176598E-01   5.28773156E-04   3.77775362E-04   8.54487507E-04   6.02575959E-05   1.99144145E-05   6.40776923E-05  
  95               8.46403100E+00   2.09872112E+03   8.37685791E-01   1.60167581E-01   5.28810381E-04   3.77643911E-04   9.66746148E-04   6.02493459E-05   1.98519007E-05   6.39797992E-05  
  96               8.87941186E+00   2.12355238E+03   8.37564238E-01   1.60156958E-01   5.28838592E-04   3.77509095E-04   1.09904751E-03   6.02392173E-05   1.97786137E-05   6.38733588E-05  
  97               9.33646096E+00   2.14947750E+03   8.37423890E-01   1.60144700E-01   5.28854731E-04   3.77374363E-04   1.25178356E-03   6.02269841E-05   1.96952073E-05   6.37586934E-05  
  98               9.83834044E+00   2.17685708E+03   8.37259214E-01   1.60130323E-01   5.28859445E-04   3.77235526E-04   1.43097739E-03   6.02124925E-05   1.95989651E-05   6.36347795E-05  
  99               1.03884536E+01   2.20515162E+03   8.37070641E-01   1.60113866E-01   5.28849692E-04   3.77096740E-04   1.63615248E-03   6.01957014E-05   1.94915044E-05   6.35021770E-05  
  100              1.09904263E+01   2.23481373E+03   8.36850709E-01   1.60094677E-01   5.28826268E-04   3.76952463E-04   1.87543191E-03   6.01767479E-05   1.93694627E-05   6.33596586E-05  
  101              1.16482153E+01   2.26515890E+03   8.36599612E-01   1.60072570E-01   5.28784584E-04   3.76807930E-04   2.14644212E-03   6.01568071E-05   1.92359055E-05   6.32079520E-05  
