# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  34               3.44224970E-02   5.89500887E+02   8.38462388E-01   1.60505981E-01   1.03719633E-16   3.80470580E-04   3.97619133E-04   1.59929769E-04   5.90151707E-05   2.29883347E-05  
  35               4.27040031E-02   6.03205246E+02   8.38462437E-01   1.60505932E-01   2.57965861E-16   3.80470630E-04   3.97619185E-04   1.59929790E-04   5.90151785E-05   2.29883276E-05  
  36               5.29332293E-02   6.10850648E+02   8.38462240E-01   1.60506128E-01   4.01093752E-16   3.80470971E-04   3.97619541E-04   1.59929933E-04   5.90152313E-05   2.29883557E-05  
  37               6.55485478E-02   6.26190989E+02   8.38462322E-01   1.60506046E-01   1.04134595E-15   3.80470993E-04   3.97619564E-04   1.59929942E-04   5.90152347E-05   2.29883439E-05  
  38               8.10843046E-02   6.35493348E+02   8.38462161E-01   1.60506204E-01   1.73809908E-15   3.80471292E-04   3.97619876E-04   1.59930068E-04   5.90152810E-05   2.29883665E-05  
  39               1.00188109E-01   6.52792881E+02   8.38462277E-01   1.60506087E-01   4.71616087E-15   3.80471304E-04   3.97619889E-04   1.59930073E-04   5.90152829E-05   2.29883498E-05  
  40               1.23637725E-01   6.64188513E+02   8.38462159E-01   1.60506193E-01   8.51581010E-15   3.80471544E-04   3.97620140E-04   1.59930174E-04   5.90153202E-05   2.29883650E-05  
  41               1.52370877E-01   6.83932169E+02   8.38462312E-01   1.60506040E-01   2.42650925E-14   3.80471643E-04   3.97620243E-04   1.59930215E-04   5.90153355E-05   2.29883431E-05  
  42               1.87484598E-01   6.97938914E+02   8.38462211E-01   1.60506081E-01   4.76167680E-14   3.80471799E-04   3.97620407E-04   1.59930281E-04   5.90153598E-05   2.29883489E-05  
  43               2.30271198E-01   7.20517807E+02   8.38462390E-01   1.60505900E-01   1.41345975E-13   3.80472515E-04   3.97621155E-04   1.59930582E-04   5.90154708E-05   2.29883229E-05  
  44               2.82246917E-01   7.37735149E+02   8.38462184E-01   1.60505850E-01   3.01562634E-13   3.80472559E-04   3.97621200E-04   1.59930600E-04   5.90154775E-05   2.29883157E-05  
  45               3.45163284E-01   7.63769057E+02   8.38462383E-01   1.60505644E-01   9.29978012E-13   3.80474586E-04   3.97623319E-04   1.59931452E-04   5.90157920E-05   2.29882859E-05  
  46               4.21062569E-01   7.84855075E+02   8.38462274E-01   1.60505544E-01   2.14386989E-12   3.80476937E-04   3.97625776E-04   1.59932441E-04   5.90161567E-05   2.29882713E-05  
  47               5.12456861E-01   8.15152518E+02   8.38462510E-01   1.60505298E-01   6.84477632E-12   3.80476814E-04   3.97625648E-04   1.59932389E-04   5.90161377E-05   2.29894217E-05  
  48               6.22193060E-01   8.41088224E+02   8.38462631E-01   1.60505139E-01   1.69963425E-11   3.80476819E-04   3.97625652E-04   1.59932391E-04   5.90161383E-05   2.29957271E-05  
  49               7.53400797E-01   8.76386949E+02   8.38462929E-01   1.60504723E-01   5.52871270E-11   3.80476770E-04   3.97625601E-04   1.59932370E-04   5.90161308E-05   2.30220930E-05  
  50               9.09329142E-01   9.07673902E+02   8.38463021E-01   1.60504220E-01   1.43563216E-10   3.80477142E-04   3.97625990E-04   1.59932527E-04   5.90161884E-05   2.30895905E-05  
  51               1.09371277E+00   9.48236838E+02   8.38462926E-01   1.60502831E-01   4.60237627E-10   3.80479390E-04   3.97628339E-04   1.59933471E-04   5.90165370E-05   2.33671843E-05  
  52               1.31101379E+00   9.84906457E+02   8.38463038E-01   1.60500856E-01   1.19949472E-09   3.80487815E-04   3.97637139E-04   1.59937011E-04   5.90178432E-05   2.42918519E-05  
  53               1.56627815E+00   1.03038845E+03   8.38467691E-01   1.60496227E-01   3.63651001E-09   3.80482156E-04   3.97631195E-04   1.59934620E-04   5.90169611E-05   2.42910530E-05  
  54               1.86485509E+00   1.07148975E+03   8.38474614E-01   1.60489342E-01   9.02563559E-09   3.80474097E-04   3.97622584E-04   1.59931153E-04   5.90156835E-05   2.42898455E-05  
  55               2.21339156E+00   1.12059912E+03   8.38488919E-01   1.60475087E-01   2.47837470E-08   3.80458192E-04   3.97604937E-04   1.59924018E-04   5.90130697E-05   2.42873157E-05  
  56               2.61937655E+00   1.16457226E+03   8.38505751E-01   1.60458279E-01   5.62477359E-08   3.80443988E-04   3.97584245E-04   1.59915270E-04   5.90100576E-05   2.42841938E-05  
  57               3.09226146E+00   1.21592140E+03   8.38531549E-01   1.60432452E-01   1.37074919E-07   3.80438382E-04   3.97550027E-04   1.59898130E-04   5.90054344E-05   2.42791105E-05  
  58               3.64229828E+00   1.26165856E+03   8.38554296E-01   1.60409551E-01   2.81508229E-07   3.80520923E-04   3.97499906E-04   1.59851198E-04   5.90014345E-05   2.42739630E-05  
  59               4.28237942E+00   1.31468483E+03   8.38581771E-01   1.60381685E-01   6.13755610E-07   3.80898796E-04   3.97341664E-04   1.59634668E-04   5.89966463E-05   2.42665312E-05  
  60               5.02736661E+00   1.36197651E+03   8.38601761E-01   1.60361343E-01   1.15403271E-06   3.82226950E-04   3.96726860E-04   1.58621102E-04   5.89934368E-05   2.42588280E-05  
  61               5.89547596E+00   1.41670777E+03   8.38624232E-01   1.60339549E-01   2.29038767E-06   3.85860665E-04   3.94642037E-04   1.55005327E-04   5.89900766E-05   2.42450903E-05  
