# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.78892633E+01   8.38102555E-01   1.60469332E-01   7.78934223E-04   5.29239635E-04   6.33823625E-05   2.91127310E-05   2.29833279E-05   0.00000000E+00  
  2                8.12473265E-05   3.35620990E+01   8.38102560E-01   1.60469333E-01   7.78931328E-04   5.29237667E-04   6.33821268E-05   2.91126227E-05   2.29833280E-05   0.00000000E+00  
  3                1.65460617E-04   3.74096378E+01   8.38102561E-01   1.60469333E-01   7.78930315E-04   5.29236979E-04   6.33820445E-05   2.91125849E-05   2.29833280E-05   0.00000000E+00  
  4                2.64946884E-04   3.93668155E+01   8.38102562E-01   1.60469333E-01   7.78929752E-04   5.29236596E-04   6.33819986E-05   2.91125638E-05   2.29833281E-05   0.00000000E+00  
  5                3.82442661E-04   4.18008947E+01   8.38102563E-01   1.60469334E-01   7.78929347E-04   5.29236321E-04   6.33819656E-05   2.91125487E-05   2.29833281E-05   0.00000000E+00  
  6                5.21184341E-04   4.31046267E+01   8.38102563E-01   1.60469334E-01   7.78929018E-04   5.29236098E-04   6.33819389E-05   2.91125364E-05   2.29833281E-05   0.00000000E+00  
  7                6.84969782E-04   4.52196260E+01   8.38102564E-01   1.60469334E-01   7.78928731E-04   5.29235903E-04   6.33819156E-05   2.91125257E-05   2.29833281E-05   0.00000000E+00  
  8                8.78267914E-04   4.63205806E+01   8.38102564E-01   1.60469334E-01   7.78928469E-04   5.29235725E-04   6.33818943E-05   2.91125159E-05   2.29833281E-05   0.00000000E+00  
  9                1.10635229E-03   4.83406239E+01   8.38102564E-01   1.60469334E-01   7.78928222E-04   5.29235557E-04   6.33818741E-05   2.91125067E-05   2.29833281E-05   0.00000000E+00  
  10               1.37537258E-03   4.93748737E+01   8.38102565E-01   1.60469334E-01   7.78927983E-04   5.29235395E-04   6.33818547E-05   2.91124977E-05   2.29833281E-05   0.00000000E+00  
  11               1.69256344E-03   5.14214762E+01   8.38102565E-01   1.60469334E-01   7.78927749E-04   5.29235235E-04   6.33818356E-05   2.91124890E-05   2.29833281E-05   0.00000000E+00  
  12               2.06645524E-03   5.24493407E+01   8.38102566E-01   1.60469334E-01   7.78927516E-04   5.29235077E-04   6.33818167E-05   2.91124803E-05   2.29833281E-05   0.00000000E+00  
  13               2.50695807E-03   5.45847554E+01   8.38102566E-01   1.60469334E-01   7.78927285E-04   5.29234920E-04   6.33817978E-05   2.91124716E-05   2.29833282E-05   0.00000000E+00  
  14               3.02558470E-03   5.57116622E+01   8.38102566E-01   1.60469334E-01   7.78927052E-04   5.29234762E-04   6.33817789E-05   2.91124629E-05   2.29833282E-05   0.00000000E+00  
  15               3.63597084E-03   5.80128318E+01   8.38102567E-01   1.60469334E-01   7.78926815E-04   5.29234601E-04   6.33817596E-05   2.91124541E-05   2.29833282E-05   0.00000000E+00  
  16               4.35397265E-03   5.92482467E+01   8.38102567E-01   1.60469334E-01   7.78926572E-04   5.29234436E-04   6.33817398E-05   2.91124450E-05   2.29833282E-05   0.00000000E+00  
  17               5.19785013E-03   6.17499404E+01   8.38102567E-01   1.60469334E-01   7.78926319E-04   5.29234264E-04   6.33817192E-05   2.91124355E-05   2.29833282E-05   0.00000000E+00  
  18               6.18862761E-03   6.31676813E+01   8.38102568E-01   1.60469335E-01   7.78926053E-04   5.29234083E-04   6.33816976E-05   2.91124256E-05   2.29833282E-05   0.00000000E+00  
  19               7.35110900E-03   6.59323328E+01   8.38102568E-01   1.60469335E-01   7.78925771E-04   5.29233892E-04   6.33816747E-05   2.91124150E-05   2.29833282E-05   0.00000000E+00  
  20               8.71398103E-03   6.75652713E+01   8.38102569E-01   1.60469335E-01   7.78925468E-04   5.29233686E-04   6.33816500E-05   2.91124037E-05   2.29833282E-05   0.00000000E+00  
  21               1.03101157E-02   7.06849472E+01   8.38102569E-01   1.60469335E-01   7.78925140E-04   5.29233463E-04   6.33816233E-05   2.91123915E-05   2.29833282E-05   0.00000000E+00  
  22               1.21756700E-02   7.27090158E+01   8.38102570E-01   1.60469335E-01   7.78924790E-04   5.29233225E-04   6.33815949E-05   2.91123784E-05   2.29833283E-05   0.00000000E+00  
  23               1.43470594E-02   7.64301604E+01   8.38102570E-01   1.60469335E-01   7.78924461E-04   5.29233002E-04   6.33815681E-05   2.91123661E-05   2.29833283E-05   0.00000000E+00  
  24               1.68659176E-02   7.91851532E+01   8.38102571E-01   1.60469335E-01   7.78924193E-04   5.29232819E-04   6.33815463E-05   2.91123561E-05   2.29833283E-05   0.00000000E+00  
  25               1.97835443E-02   8.33109013E+01   8.38102571E-01   1.60469335E-01   7.78923974E-04   5.29232671E-04   6.33815285E-05   2.91123479E-05   2.29833283E-05   0.00000000E+00  
  26               2.31585218E-02   8.75027126E+01   8.38102571E-01   1.60469335E-01   7.78923812E-04   5.29232561E-04   6.33815153E-05   2.91123418E-05   2.29833283E-05   0.00000000E+00  
  27               2.70661286E-02   9.19567460E+01   8.38102571E-01   1.60469335E-01   7.78923692E-04   5.29232479E-04   6.33815055E-05   2.91123373E-05   2.29833283E-05   0.00000000E+00  
  28               3.15943102E-02   9.64982153E+01   8.38102571E-01   1.60469335E-01   7.78923606E-04   5.29232420E-04   6.33814985E-05   2.91123341E-05   2.29833283E-05   0.00000000E+00  
  29               3.68462675E-02   1.01342080E+02   8.38102495E-01   1.60469321E-01   7.78923512E-04   5.29232357E-04   6.33814909E-05   2.91123306E-05   2.29833262E-05   7.60439295E-17  
  30               4.29427107E-02   1.06294515E+02   8.38102209E-01   1.60469266E-01   7.78923480E-04   5.29232335E-04   6.33814883E-05   2.91123294E-05   2.29833184E-05   9.70376066E-16  
  31               5.00245127E-02   1.11590810E+02   8.38101085E-01   1.60469051E-01   7.78923617E-04   5.29232428E-04   6.33814994E-05   2.91123345E-05   2.29832875E-05   1.01544405E-14  
  32               5.82539046E-02   1.17014561E+02   8.38096617E-01   1.60468195E-01   7.78924551E-04   5.29233063E-04   6.33815754E-05   2.91123694E-05   2.29831650E-05   1.00698285E-13  
  33               6.78190564E-02   1.22821802E+02   8.38081190E-01   1.60465241E-01   7.78928647E-04   5.29235846E-04   6.33819087E-05   2.91125226E-05   2.29827420E-05   8.59757653E-13  
  34               7.89395076E-02   1.28844441E+02   8.38029758E-01   1.60455394E-01   7.78943054E-04   5.29245634E-04   6.33830810E-05   2.91130610E-05   2.29813315E-05   7.15135764E-12  
  35               9.18710288E-02   1.35365587E+02   8.38102557E-01   1.60469333E-01   7.78932873E-04   5.29238717E-04   6.33822525E-05   2.91126805E-05   2.29833279E-05   5.06263290E-11  
  36               1.06913378E-01   1.42092906E+02   8.38102430E-01   1.60469308E-01   7.79017368E-04   5.29296126E-04   6.33891280E-05   2.91158385E-05   2.29833244E-05   3.49687775E-10  
  37               1.24410225E-01   1.49366732E+02   8.38102427E-01   1.60469308E-01   7.79017842E-04   5.29296448E-04   6.33891666E-05   2.91158562E-05   2.29833244E-05   2.05767533E-09  
  38               1.44761808E-01   1.56846132E+02   8.38102420E-01   1.60469306E-01   7.79017546E-04   5.29296247E-04   6.33891425E-05   2.91158451E-05   2.29833242E-05   1.15999484E-08  
  39               1.68438211E-01   1.64847928E+02   8.38102383E-01   1.60469299E-01   7.79017206E-04   5.29296016E-04   6.33891148E-05   2.91158324E-05   2.29833231E-05   5.66973235E-08  
  40               1.95988629E-01   1.73083910E+02   8.38102206E-01   1.60469265E-01   7.79016834E-04   5.29295763E-04   6.33890845E-05   2.91158185E-05   2.29833183E-05   2.67734583E-07  
  41               2.28054856E-01   1.81901315E+02   8.38101505E-01   1.60469131E-01   7.79016522E-04   5.29295551E-04   6.33890591E-05   2.91158069E-05   2.29832991E-05   1.10332560E-06  
  42               2.65380016E-01   1.90964065E+02   8.38098755E-01   1.60468605E-01   7.79016611E-04   5.29295612E-04   6.33890664E-05   2.91158102E-05   2.29832237E-05   4.37950641E-06  
  43               3.08786299E-01   2.00614020E+02   8.38089632E-01   1.60466858E-01   7.79018533E-04   5.29296918E-04   6.33892228E-05   2.91158820E-05   2.29829735E-05   1.52465395E-05  
  44               3.59207588E-01   2.10489834E+02   8.38059537E-01   1.60461096E-01   7.79026428E-04   5.29302282E-04   6.33898652E-05   2.91161771E-05   2.29821482E-05   5.10904162E-05  
  45               4.17749142E-01   2.20938410E+02   8.37974043E-01   1.60444726E-01   7.79054771E-04   5.29321539E-04   6.33921715E-05   2.91172364E-05   2.29798037E-05   1.52905743E-04  
  46               4.85738292E-01   2.31645453E+02   8.37635280E-01   1.60379864E-01   7.79138223E-04   5.29378240E-04   6.33989621E-05   2.91203555E-05   2.29705138E-05   5.56391536E-04  
  47               5.64789731E-01   2.42964777E+02   8.38101740E-01   1.60469176E-01   7.79474190E-04   5.29606510E-04   6.34262999E-05   2.91329123E-05   2.29833055E-05   0.00000000E+00  
  48               6.56782555E-01   2.54607376E+02   8.38102109E-01   1.60469247E-01   7.79230280E-04   5.29440788E-04   6.34064528E-05   2.91237961E-05   2.29833156E-05   0.00000000E+00  
  49               7.63830767E-01   2.66900543E+02   8.38101515E-01   1.60469133E-01   7.79623793E-04   5.29708156E-04   6.34384732E-05   2.91385037E-05   2.29832993E-05   0.00000000E+00  
  50               8.88349249E-01   2.79567328E+02   8.38101517E-01   1.60469133E-01   7.79622445E-04   5.29707240E-04   6.34383635E-05   2.91384533E-05   2.29832994E-05   0.00000000E+00  
  51               1.03313713E+00   2.92908212E+02   8.38101519E-01   1.60469134E-01   7.79620930E-04   5.29706211E-04   6.34382402E-05   2.91383967E-05   2.29832994E-05   0.00000000E+00  
  52               1.20142535E+00   3.06677874E+02   8.38101521E-01   1.60469134E-01   7.79619230E-04   5.29705056E-04   6.34381019E-05   2.91383331E-05   2.29832995E-05   0.00000000E+00  
  53               1.39687906E+00   3.21150222E+02   8.38101524E-01   1.60469135E-01   7.79617327E-04   5.29703763E-04   6.34379470E-05   2.91382620E-05   2.29832996E-05   0.00000000E+00  
  54               1.62361195E+00   3.36098039E+02   8.38101527E-01   1.60469135E-01   7.79615202E-04   5.29702319E-04   6.34377741E-05   2.91381826E-05   2.29832997E-05   0.00000000E+00  
  55               1.88631549E+00   3.51768599E+02   8.38101531E-01   1.60469136E-01   7.79612837E-04   5.29700712E-04   6.34375817E-05   2.91380942E-05   2.29832998E-05   0.00000000E+00  
  56               2.19072001E+00   3.67974229E+02   8.38101527E-01   1.60469135E-01   7.79610214E-04   5.29698930E-04   6.34373682E-05   2.91379961E-05   2.29832997E-05   0.00000000E+00  
  57               2.54325842E+00   3.84957531E+02   8.38101532E-01   1.60469135E-01   7.79607300E-04   5.29696950E-04   6.34371311E-05   2.91378873E-05   2.29832997E-05   0.00000000E+00  
  58               2.95088691E+00   4.02526890E+02   8.38101537E-01   1.60469136E-01   7.79604187E-04   5.29694835E-04   6.34368778E-05   2.91377709E-05   2.29832998E-05   0.00000000E+00  
  59               3.42094993E+00   4.20870411E+02   8.38101090E-01   1.60469051E-01   7.79600653E-04   5.29692434E-04   6.34365902E-05   2.91376388E-05   2.29832875E-05   0.00000000E+00  
  60               3.96160233E+00   4.39788397E+02   8.38101140E-01   1.60469008E-01   7.79596023E-04   5.29689288E-04   6.34362135E-05   2.91374658E-05   2.29832815E-05   0.00000000E+00  
  61               4.58274432E+00   4.59492852E+02   8.38101114E-01   1.60469004E-01   7.79599996E-04   5.29691988E-04   6.34365368E-05   2.91376143E-05   2.29832808E-05   0.00000000E+00  
  62               5.29482694E+00   4.79789081E+02   8.38100720E-01   1.60468945E-01   7.79595459E-04   5.29688905E-04   6.34361676E-05   2.91374447E-05   2.29832724E-05   0.00000000E+00  
  63               6.10880726E+00   5.00860267E+02   8.38100432E-01   1.60469240E-01   7.79591872E-04   5.29686468E-04   6.34358757E-05   2.91373106E-05   2.29833147E-05   0.00000000E+00  
  64               7.03634210E+00   5.22483094E+02   8.38100443E-01   1.60469238E-01   7.79587285E-04   5.29683351E-04   6.34355025E-05   2.91371392E-05   2.29833143E-05   0.00000000E+00  
  65               8.09186927E+00   5.44875672E+02   8.38097826E-01   1.60468728E-01   7.79586031E-04   5.29682499E-04   6.34354005E-05   2.91370923E-05   2.29832414E-05   0.00000000E+00  
  66               9.29357468E+00   5.67888017E+02   8.38098107E-01   1.60468468E-01   7.79574852E-04   5.29674904E-04   6.34344908E-05   2.91366745E-05   2.29832041E-05   0.00000000E+00  
  67               1.06595520E+01   5.91736297E+02   8.38098046E-01   1.60468430E-01   7.79629572E-04   5.29712083E-04   6.34389434E-05   2.91387197E-05   2.29831987E-05   0.00000000E+00  
  68               1.22072692E+01   6.16175483E+02   8.38098093E-01   1.60468397E-01   7.79622418E-04   5.29707222E-04   6.34383613E-05   2.91384523E-05   2.29831939E-05   0.00000000E+00  
  69               1.39533232E+01   6.41350596E+02   8.38098162E-01   1.60468341E-01   7.79614778E-04   5.29702031E-04   6.34377396E-05   2.91381667E-05   2.29831859E-05   0.00000000E+00  
  70               1.59177576E+01   6.67029934E+02   8.38098262E-01   1.60468255E-01   7.79606644E-04   5.29696505E-04   6.34370778E-05   2.91378627E-05   2.29831736E-05   0.00000000E+00  
  71               1.81305035E+01   6.93493064E+02   8.38098406E-01   1.60468126E-01   7.79597994E-04   5.29690627E-04   6.34363739E-05   2.91375394E-05   2.29831552E-05   0.00000000E+00  
  72               2.06213490E+01   7.20568434E+02   8.38098606E-01   1.60467942E-01   7.79588789E-04   5.29684373E-04   6.34356248E-05   2.91371954E-05   2.29831288E-05   0.00000000E+00  
  73               2.34191526E+01   7.48421106E+02   8.38098876E-01   1.60467687E-01   7.79578956E-04   5.29677692E-04   6.34348248E-05   2.91368279E-05   2.29830922E-05   0.00000000E+00  
  74               2.65530209E+01   7.76835140E+02   8.38099223E-01   1.60467349E-01   7.79568514E-04   5.29670597E-04   6.34339751E-05   2.91364376E-05   2.29830438E-05   0.00000000E+00  
  75               3.00571360E+01   8.05958924E+02   8.38099614E-01   1.60466909E-01   7.79557492E-04   5.29663109E-04   6.34330782E-05   2.91360257E-05   2.29829807E-05   0.00000000E+00  
  76               3.39831344E+01   8.35747941E+02   8.38100102E-01   1.60466374E-01   7.79546016E-04   5.29655311E-04   6.34321444E-05   2.91355967E-05   2.29829038E-05   0.00000000E+00  
  77               3.83910810E+01   8.66411833E+02   8.38100621E-01   1.60465729E-01   7.79534254E-04   5.29647320E-04   6.34311873E-05   2.91351571E-05   2.29828109E-05   0.00000000E+00  
  78               4.33310125E+01   8.97825930E+02   8.38101144E-01   1.60464983E-01   7.79525904E-04   5.29641647E-04   6.34305079E-05   2.91348451E-05   2.29827032E-05   0.00000000E+00  
  79               4.88400225E+01   9.29929977E+02   8.38101920E-01   1.60464206E-01   7.79517211E-04   5.29635740E-04   6.34298005E-05   2.91345202E-05   2.29825900E-05   0.00000000E+00  
  80               5.49460160E+01   9.62529780E+02   8.38102723E-01   1.60463385E-01   7.79503084E-04   5.29626141E-04   6.34286510E-05   2.91339922E-05   2.29931539E-05   0.00000000E+00  
  81               6.16775269E+01   9.95483238E+02   8.38103486E-01   1.60462542E-01   7.79488848E-04   5.29616469E-04   6.34274926E-05   2.91334601E-05   2.30180280E-05   0.00000000E+00  
  82               6.91031883E+01   1.02889781E+03   8.38104124E-01   1.60461682E-01   7.79475038E-04   5.29607086E-04   6.34263689E-05   2.91329440E-05   2.30763992E-05   0.00000000E+00  
  83               7.73067644E+01   1.06278200E+03   8.38104480E-01   1.60460806E-01   7.79462617E-04   5.29598647E-04   6.34253582E-05   2.91324797E-05   2.32075401E-05   0.00000000E+00  
  84               8.63573030E+01   1.09722441E+03   8.38104094E-01   1.60459849E-01   7.79453339E-04   5.29592343E-04   6.34246033E-05   2.91321330E-05   2.34883268E-05   0.00000000E+00  
  85               9.63075007E+01   1.13200624E+03   8.38103358E-01   1.60458978E-01   7.79459748E-04   5.29596696E-04   6.34251248E-05   2.91323725E-05   2.42854640E-05   0.00000000E+00  
  86               1.07212659E+02   1.16720184E+03   8.38104061E-01   1.60458286E-01   7.79444301E-04   5.29586195E-04   6.34238680E-05   2.91317953E-05   2.42852798E-05   0.00000000E+00  
  87               1.19144215E+02   1.20261916E+03   8.38104697E-01   1.60457644E-01   7.79429103E-04   5.29575840E-04   6.34226324E-05   2.91312278E-05   2.42850629E-05   0.00000000E+00  
