# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.66725043E+02   8.38163406E-01   1.60480974E-01   7.45685750E-04   4.97684367E-04   6.58080864E-64   1.45708665E-05   5.08217587E-05   2.29848054E-05  
  2                8.59561216E-05   2.00794509E+02   8.38163406E-01   1.60480974E-01   7.45685817E-04   4.97684412E-04   7.89094306E-53   1.45708678E-05   5.08217633E-05   2.29848054E-05  
  3                1.75158550E-04   2.16105890E+02   8.38163405E-01   1.60480974E-01   7.45685949E-04   4.97684500E-04   5.61248714E-49   1.45708704E-05   5.08217723E-05   2.29848054E-05  
  4                2.82848758E-04   2.23226992E+02   8.38163405E-01   1.60480974E-01   7.45686078E-04   4.97684586E-04   2.09823609E-47   1.45708729E-05   5.08217811E-05   2.29848054E-05  
  5                4.13622091E-04   2.32283531E+02   8.38163405E-01   1.60480974E-01   7.45686203E-04   4.97684670E-04   1.67415932E-45   1.45708754E-05   5.08217896E-05   2.29848054E-05  
  6                5.72780441E-04   2.36792369E+02   8.38163405E-01   1.60480974E-01   7.45686326E-04   4.97684751E-04   1.21528634E-44   1.45708778E-05   5.08217980E-05   2.29848054E-05  
  7                7.66881669E-04   2.43791772E+02   8.38163405E-01   1.60480974E-01   7.45686447E-04   4.97684832E-04   2.50863368E-43   1.45708802E-05   5.08218062E-05   2.29848054E-05  
  8                1.00379309E-03   2.47386406E+02   8.38163405E-01   1.60480974E-01   7.45686568E-04   4.97684913E-04   1.04360684E-42   1.45708825E-05   5.08218145E-05   2.29848054E-05  
  9                1.29309796E-03   2.53928195E+02   8.38163404E-01   1.60480973E-01   7.45686690E-04   4.97684994E-04   1.40466868E-41   1.45708849E-05   5.08218228E-05   2.29848053E-05  
  10               1.64633960E-03   2.57572713E+02   8.38163404E-01   1.60480973E-01   7.45686813E-04   4.97685076E-04   5.35525782E-41   1.45708873E-05   5.08218312E-05   2.29848053E-05  
  11               2.07761951E-03   2.64262987E+02   8.38163404E-01   1.60480973E-01   7.45686937E-04   4.97685160E-04   6.25371689E-40   1.45708897E-05   5.08218397E-05   2.29848053E-05  
  12               2.60402982E-03   2.68114297E+02   8.38163404E-01   1.60480973E-01   7.45687064E-04   4.97685244E-04   2.31959416E-39   1.45708922E-05   5.08218483E-05   2.29848053E-05  
  13               3.24650414E-03   2.74873792E+02   8.38163404E-01   1.60480973E-01   7.45687194E-04   4.97685331E-04   2.29621381E-38   1.45708947E-05   5.08218571E-05   2.29848053E-05  
  14               4.03045378E-03   2.78919215E+02   8.38163403E-01   1.60480973E-01   7.45687326E-04   4.97685419E-04   8.21207531E-38   1.45708973E-05   5.08218661E-05   2.29848053E-05  
  15               4.98691536E-03   2.85800695E+02   8.38163403E-01   1.60480973E-01   7.45687461E-04   4.97685510E-04   7.09010702E-37   1.45709000E-05   5.08218754E-05   2.29848053E-05  
  16               6.15355022E-03   2.90000602E+02   8.38163403E-01   1.60480973E-01   7.45687600E-04   4.97685602E-04   2.40874632E-36   1.45709027E-05   5.08218848E-05   2.29848053E-05  
  17               7.57632618E-03   2.97134344E+02   8.38163403E-01   1.60480973E-01   7.45687743E-04   4.97685697E-04   1.90155611E-35   1.45709055E-05   5.08218946E-05   2.29848053E-05  
  18               9.31089562E-03   3.01644736E+02   8.38163403E-01   1.60480973E-01   7.45687889E-04   4.97685795E-04   6.41703867E-35   1.45709083E-05   5.08219045E-05   2.29848052E-05  
  19               1.14246891E-02   3.09176783E+02   8.38163403E-01   1.60480972E-01   7.45688039E-04   4.97685895E-04   4.81567118E-34   1.45709113E-05   5.08219148E-05   2.29848052E-05  
  20               1.39990307E-02   3.14199965E+02   8.38163403E-01   1.60480972E-01   7.45688194E-04   4.97685999E-04   1.68855318E-33   1.45709143E-05   5.08219253E-05   2.29848052E-05  
  21               1.71328411E-02   3.22293614E+02   8.38163402E-01   1.60480972E-01   7.45688353E-04   4.97686105E-04   1.24223873E-32   1.45709174E-05   5.08219362E-05   2.29848051E-05  
  22               2.09453175E-02   3.27848933E+02   8.38163402E-01   1.60480971E-01   7.45688526E-04   4.97686220E-04   4.46336744E-32   1.45709208E-05   5.08219479E-05   2.29848050E-05  
  23               2.55807784E-02   3.36405137E+02   8.38163403E-01   1.60480970E-01   7.45688695E-04   4.97686333E-04   3.09331649E-31   1.45709241E-05   5.08219594E-05   2.29848049E-05  
  24               3.12139526E-02   3.42367825E+02   8.38163401E-01   1.60480969E-01   7.45688868E-04   4.97686448E-04   1.08985322E-30   1.45709275E-05   5.08219713E-05   2.29848047E-05  
  25               3.80574010E-02   3.51293727E+02   8.38163402E-01   1.60480967E-01   7.45689081E-04   4.97686590E-04   6.92639154E-30   1.45709316E-05   5.08219857E-05   2.29848044E-05  
  26               4.63678674E-02   3.57651480E+02   8.38163403E-01   1.60480966E-01   7.45689267E-04   4.97686714E-04   2.36978383E-29   1.45709353E-05   5.08219984E-05   2.29848043E-05  
  27               5.64552315E-02   3.67075954E+02   8.38163368E-01   1.60480956E-01   7.45689433E-04   4.97686826E-04   1.41521991E-28   1.45709385E-05   5.08220098E-05   2.29848029E-05  
