# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  34               4.02607461E-02   8.78745440E+01   8.38088218E-01   1.60466586E-01   7.79786678E-04   5.30395230E-04   9.40574396E-05   2.29834763E-05   1.36731871E-05   0.00000000E+00  
  35               4.89088924E-02   9.17266125E+01   8.38088218E-01   1.60466586E-01   7.79786677E-04   5.30395229E-04   9.40574395E-05   2.29834763E-05   1.36731871E-05   0.00000000E+00  
  36               5.93705468E-02   9.79564588E+01   8.38088203E-01   1.60466583E-01   7.79786676E-04   5.30395229E-04   9.40574394E-05   2.29834758E-05   1.36731870E-05   9.37219460E-18  
  37               7.20278642E-02   1.03627635E+02   8.38088046E-01   1.60466553E-01   7.79786659E-04   5.30395217E-04   9.40574374E-05   2.29834715E-05   1.36731868E-05   3.63673130E-16  
  38               8.73560020E-02   1.10635407E+02   8.38087338E-01   1.60466418E-01   7.79786650E-04   5.30395211E-04   9.40574363E-05   2.29834521E-05   1.36731866E-05   5.76731790E-15  
  39               1.05936143E-01   1.17042519E+02   8.38081831E-01   1.60465363E-01   7.79786224E-04   5.30394922E-04   9.40573849E-05   2.29833011E-05   1.36731791E-05   1.41778573E-13  
  40               1.28463381E-01   1.25155325E+02   8.38061466E-01   1.60461464E-01   7.79786466E-04   5.30395086E-04   9.40574141E-05   2.29827426E-05   1.36731834E-05   1.68806516E-12  
  41               1.55782812E-01   1.32563906E+02   8.38020459E-01   1.60453612E-01   7.79733342E-04   5.30358952E-04   9.40510063E-05   2.29816181E-05   1.36722519E-05   2.92945097E-11  
  42               1.88935476E-01   1.41882840E+02   8.38088073E-01   1.60466558E-01   7.79881768E-04   5.30459909E-04   9.40689094E-05   2.29834723E-05   1.36748544E-05   2.56742279E-10  
  43               2.29194397E-01   1.50344683E+02   8.38088070E-01   1.60466558E-01   7.79882386E-04   5.30460329E-04   9.40689839E-05   2.29834722E-05   1.36748653E-05   2.86710248E-09  
  44               2.78085900E-01   1.60550927E+02   8.38088060E-01   1.60466556E-01   7.79882381E-04   5.30460325E-04   9.40689833E-05   2.29834719E-05   1.36748652E-05   1.45865140E-08  
  45               3.37498306E-01   1.69080288E+02   8.38087980E-01   1.60466540E-01   7.79882370E-04   5.30460318E-04   9.40689819E-05   2.29834697E-05   1.36748650E-05   1.10558583E-07  
  46               4.09772873E-01   1.79851883E+02   8.38087715E-01   1.60466490E-01   7.79882365E-04   5.30460314E-04   9.40689814E-05   2.29834625E-05   1.36748649E-05   4.25404930E-07  
  47               4.97792064E-01   1.89044048E+02   8.38085862E-01   1.60466135E-01   7.79882268E-04   5.30460248E-04   9.40689696E-05   2.29834116E-05   1.36748632E-05   2.63413433E-06  
  48               6.04834474E-01   2.01075221E+02   8.38080879E-01   1.60465181E-01   7.79882470E-04   5.30460386E-04   9.40689940E-05   2.29832750E-05   1.36748667E-05   8.57110254E-06  
  49               7.34543691E-01   2.11452675E+02   8.38056587E-01   1.60460530E-01   7.79882031E-04   5.30460087E-04   9.40689411E-05   2.29826088E-05   1.36748591E-05   3.75154031E-05  
  50               8.91421650E-01   2.23969196E+02   8.38002761E-01   1.60450224E-01   7.79887405E-04   5.30463742E-04   9.40695893E-05   2.29811327E-05   1.36749533E-05   1.01639396E-04  
  51               1.08116501E+00   2.35193498E+02   8.37558910E-01   1.60365241E-01   7.79883976E-04   5.30461410E-04   9.40691757E-05   2.29689607E-05   1.36748932E-05   6.30493520E-04  
  52               1.31108016E+00   2.49734249E+02   8.38087822E-01   1.60466510E-01   7.80046432E-04   5.30571909E-04   9.40887710E-05   2.29834654E-05   1.36777417E-05   0.00000000E+00  
  53               1.58967647E+00   2.64965159E+02   8.38087134E-01   1.60466378E-01   7.80497261E-04   5.30878554E-04   9.41431498E-05   2.29834465E-05   1.36856468E-05   0.00000000E+00  
  54               1.92696750E+00   2.81103275E+02   8.38087134E-01   1.60466378E-01   7.80497246E-04   5.30878544E-04   9.41431479E-05   2.29834465E-05   1.36856466E-05   0.00000000E+00  
  55               2.33440429E+00   2.97978052E+02   8.38087134E-01   1.60466378E-01   7.80497228E-04   5.30878532E-04   9.41431459E-05   2.29834465E-05   1.36856462E-05   0.00000000E+00  
  56               2.82533923E+00   3.15803911E+02   8.38087134E-01   1.60466378E-01   7.80497209E-04   5.30878519E-04   9.41431435E-05   2.29834465E-05   1.36856459E-05   0.00000000E+00  
  57               3.41480332E+00   3.34383251E+02   8.38087134E-01   1.60466378E-01   7.80497186E-04   5.30878504E-04   9.41431408E-05   2.29834465E-05   1.36856455E-05   0.00000000E+00  
  58               4.12035586E+00   3.53939476E+02   8.38087132E-01   1.60466378E-01   7.80497162E-04   5.30878487E-04   9.41431378E-05   2.29834465E-05   1.36856451E-05   0.00000000E+00  
  59               4.96453534E+00   3.74311691E+02   8.38087133E-01   1.60466378E-01   7.80497135E-04   5.30878469E-04   9.41431346E-05   2.29834465E-05   1.36856446E-05   0.00000000E+00  
  60               5.97144521E+00   3.95748890E+02   8.38086846E-01   1.60466323E-01   7.80496915E-04   5.30878319E-04   9.41431081E-05   2.29834386E-05   1.36856408E-05   0.00000000E+00  
  61               7.16494501E+00   4.17950617E+02   8.38086867E-01   1.60466294E-01   7.80501476E-04   5.30881422E-04   9.41436582E-05   2.29834345E-05   1.36857207E-05   0.00000000E+00  
  62               8.57127947E+00   4.41119958E+02   8.38086866E-01   1.60466294E-01   7.80501435E-04   5.30881394E-04   9.41436533E-05   2.29834345E-05   1.36857200E-05   0.00000000E+00  
  63               1.02228950E+01   4.64988375E+02   8.38086827E-01   1.60466288E-01   7.80501389E-04   5.30881362E-04   9.41436477E-05   2.29834335E-05   1.36857192E-05   0.00000000E+00  
  64               1.21515908E+01   4.89790761E+02   8.38086431E-01   1.60466246E-01   7.80501192E-04   5.30881228E-04   9.41436239E-05   2.29834276E-05   1.36857157E-05   0.00000000E+00  
  65               1.43895218E+01   5.15154909E+02   8.38086140E-01   1.60466525E-01   7.80508097E-04   5.30885925E-04   9.41444569E-05   2.29834675E-05   1.36858368E-05   0.00000000E+00  
  66               1.69802483E+01   5.41420311E+02   8.38083348E-01   1.60465989E-01   7.80505402E-04   5.30884092E-04   9.41441317E-05   2.29833907E-05   1.36857896E-05   0.00000000E+00  
  67               1.99861302E+01   5.68392331E+02   8.38083524E-01   1.60465700E-01   7.80567638E-04   5.30926423E-04   9.41516386E-05   2.29833493E-05   1.36868808E-05   0.00000000E+00  
  68               2.34640608E+01   5.96416138E+02   8.38083530E-01   1.60465694E-01   7.80567553E-04   5.30926366E-04   9.41516284E-05   2.29833484E-05   1.36868794E-05   0.00000000E+00  
  69               2.74627115E+01   6.25031891E+02   8.38083541E-01   1.60465683E-01   7.80567453E-04   5.30926297E-04   9.41516163E-05   2.29833469E-05   1.36868776E-05   0.00000000E+00  
  70               3.20291470E+01   6.54499581E+02   8.38083559E-01   1.60465665E-01   7.80567329E-04   5.30926213E-04   9.41516013E-05   2.29833444E-05   1.36868754E-05   0.00000000E+00  
  71               3.72587953E+01   6.84584700E+02   8.38083587E-01   1.60465637E-01   7.80567175E-04   5.30926108E-04   9.41515828E-05   2.29833403E-05   1.36868727E-05   0.00000000E+00  
  72               4.32501688E+01   7.15760607E+02   8.38083632E-01   1.60465591E-01   7.80566992E-04   5.30925984E-04   9.41515607E-05   2.29833338E-05   1.36868695E-05   0.00000000E+00  
  73               5.00927875E+01   7.47579723E+02   8.38083698E-01   1.60465525E-01   7.80566739E-04   5.30925812E-04   9.41515301E-05   2.29833242E-05   1.36868651E-05   0.00000000E+00  
  74               5.78753455E+01   7.80399066E+02   8.38083789E-01   1.60465428E-01   7.80566433E-04   5.30925603E-04   9.41514932E-05   2.29833104E-05   1.36868597E-05   0.00000000E+00  
  75               6.67274418E+01   8.13847736E+02   8.38083903E-01   1.60465296E-01   7.80566126E-04   5.30925395E-04   9.41514562E-05   2.29832913E-05   1.36868543E-05   0.00000000E+00  
  76               7.68733695E+01   8.48671477E+02   8.38084032E-01   1.60465112E-01   7.80565992E-04   5.30925304E-04   9.41514400E-05   2.29832648E-05   1.36868520E-05   0.00000000E+00  
  77               8.85046107E+01   8.84469519E+02   8.38084078E-01   1.60464856E-01   7.80566538E-04   5.30925675E-04   9.41515059E-05   2.29832276E-05   1.36868616E-05   0.00000000E+00  
  78               1.01752391E+02   9.21500046E+02   8.38084142E-01   1.60464539E-01   7.80570411E-04   5.30928309E-04   9.41519731E-05   2.29831810E-05   1.36869295E-05   0.00000000E+00  
  79               1.16686677E+02   9.58980690E+02   8.38084438E-01   1.60464213E-01   7.80573997E-04   5.30930749E-04   9.41524057E-05   2.29831319E-05   1.36869923E-05   0.00000000E+00  
  80               1.33403976E+02   9.97164653E+02   8.38084751E-01   1.60463837E-01   7.80573315E-04   5.30930285E-04   9.41523234E-05   2.29980681E-05   1.36869804E-05   0.00000000E+00  
  81               1.52202231E+02   1.03583962E+03   8.38085002E-01   1.60463417E-01   7.80573236E-04   5.30930231E-04   9.41523139E-05   2.30359356E-05   1.36869790E-05   0.00000000E+00  
  82               1.73358206E+02   1.07552016E+03   8.38085067E-01   1.60462934E-01   7.80574867E-04   5.30931340E-04   9.41525105E-05   2.31316025E-05   1.36870076E-05   0.00000000E+00  
  83               1.97094094E+02   1.11566778E+03   8.38084305E-01   1.60462307E-01   7.80580392E-04   5.30935098E-04   9.41531770E-05   2.33562223E-05   1.36871045E-05   0.00000000E+00  
  84               2.23587601E+02   1.15661917E+03   8.38083015E-01   1.60461702E-01   7.80599892E-04   5.30948360E-04   9.41555290E-05   2.42858817E-05   1.36874464E-05   0.00000000E+00  
