# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   2.30460953E+02   8.38447406E-01   1.60535338E-01   4.41951119E-45   3.96960949E-04   3.84877622E-04   1.46093574E-04   5.91560910E-05   2.29929137E-05  
  2                2.94041047E-04   2.70062692E+02   8.38447407E-01   1.60535337E-01   1.39731700E-38   3.96960967E-04   3.84877640E-04   1.46093581E-04   5.91560938E-05   2.29929137E-05  
  3                6.09090005E-04   2.86703347E+02   8.38447415E-01   1.60535329E-01   2.70868500E-36   3.96961023E-04   3.84877694E-04   1.46093601E-04   5.91561020E-05   2.29929124E-05  
  4                9.69693986E-04   3.00697013E+02   8.38447435E-01   1.60535309E-01   1.51245845E-34   3.96961054E-04   3.84877724E-04   1.46093613E-04   5.91561066E-05   2.29929097E-05  
  5                1.38634546E-03   3.09138764E+02   8.38447444E-01   1.60535298E-01   1.36854761E-33   3.96961092E-04   3.84877761E-04   1.46093627E-04   5.91561124E-05   2.29929080E-05  
  6                1.86988518E-03   3.19359758E+02   8.38447478E-01   1.60535264E-01   1.78074396E-32   3.96961095E-04   3.84877764E-04   1.46093628E-04   5.91561128E-05   2.29929032E-05  
  7                2.43203818E-03   3.26289850E+02   8.38447496E-01   1.60535245E-01   8.93893762E-32   3.96961137E-04   3.84877805E-04   1.46093643E-04   5.91561190E-05   2.29929005E-05  
  8                3.08638872E-03   3.35536876E+02   8.38447550E-01   1.60535187E-01   7.27989910E-31   3.96961109E-04   3.84877778E-04   1.46093633E-04   5.91561149E-05   2.29928921E-05  
  9                3.84848383E-03   3.42055382E+02   8.38447584E-01   1.60535153E-01   2.89486797E-30   3.96961103E-04   3.84877772E-04   1.46093631E-04   5.91561140E-05   2.29928873E-05  
  10               4.73673622E-03   3.50802951E+02   8.38447677E-01   1.60535060E-01   1.76897307E-29   3.96961115E-04   3.84877784E-04   1.46093635E-04   5.91561158E-05   2.29928740E-05  
  11               5.77263332E-03   3.56917558E+02   8.38447713E-01   1.60535011E-01   5.77702087E-29   3.96961099E-04   3.84877768E-04   1.46093629E-04   5.91561134E-05   2.29928669E-05  
  12               6.98138973E-03   3.65342107E+02   8.38447850E-01   1.60534874E-01   2.86654884E-28   3.96960945E-04   3.84877619E-04   1.46093573E-04   5.91560905E-05   2.29928473E-05  
  13               8.39220781E-03   3.71330888E+02   8.38447913E-01   1.60534809E-01   8.33740841E-28   3.96961646E-04   3.84878298E-04   1.46093831E-04   5.91561949E-05   2.29928380E-05  
  14               1.00390114E-02   3.79791072E+02   8.38448003E-01   1.60534593E-01   3.68699035E-27   3.96961457E-04   3.84878115E-04   1.46093761E-04   5.91561668E-05   2.29928071E-05  
  15               1.19608000E-02   3.86012897E+02   8.38448114E-01   1.60534483E-01   1.03044161E-26   3.96961332E-04   3.84877994E-04   1.46093715E-04   5.91561481E-05   2.29927913E-05  
  16               1.42029251E-02   3.94858739E+02   8.38448407E-01   1.60534190E-01   4.34758701E-26   3.96961033E-04   3.84877704E-04   1.46093605E-04   5.91561035E-05   2.29927494E-05  
  17               1.68178514E-02   4.01479803E+02   8.38448567E-01   1.60534031E-01   1.19799268E-25   3.96960885E-04   3.84877561E-04   1.46093551E-04   5.91560816E-05   2.29927266E-05  
  18               1.98662078E-02   4.10810790E+02   8.38449000E-01   1.60533600E-01   4.88001809E-25   3.96960200E-04   3.84876897E-04   1.46093299E-04   5.91559795E-05   2.29926648E-05  
  19               2.34173714E-02   4.18013008E+02   8.38449245E-01   1.60533341E-01   1.35464318E-24   3.96965398E-04   3.84881936E-04   1.46095212E-04   5.91567540E-05   2.29926278E-05  
  20               2.75521578E-02   4.28018145E+02   8.38449077E-01   1.60532552E-01   5.43858945E-24   3.96964710E-04   3.84881269E-04   1.46094958E-04   5.91566515E-05   2.29925148E-05  
  21               3.23643476E-02   4.36007511E+02   8.38449557E-01   1.60532060E-01   1.54821488E-23   3.96963908E-04   3.84880491E-04   1.46094663E-04   5.91565320E-05   2.29924443E-05  
  22               3.79613804E-02   4.46965717E+02   8.38450439E-01   1.60531129E-01   6.28113130E-23   3.96963029E-04   3.84879639E-04   1.46094340E-04   5.91564010E-05   2.29923109E-05  
  23               4.44635896E-02   4.56267415E+02   8.38450765E-01   1.60530387E-01   1.92882614E-22   3.96962982E-04   3.84879594E-04   1.46094322E-04   5.91563940E-05   2.29922046E-05  
  24               5.20075819E-02   4.68572588E+02   8.38451850E-01   1.60529302E-01   8.12171748E-22   3.96962915E-04   3.84879529E-04   1.46094298E-04   5.91563841E-05   2.29920492E-05  
  25               6.07545663E-02   4.78622974E+02   8.38452707E-01   1.60528376E-01   2.44725381E-21   3.96990785E-04   3.84906551E-04   1.46104555E-04   5.91605373E-05   2.29919166E-05  
  26               7.08957079E-02   4.91107019E+02   8.38452006E-01   1.60526508E-01   9.18498884E-21   3.96989171E-04   3.84904985E-04   1.46103961E-04   5.91602967E-05   2.29916491E-05  
  27               8.26391533E-02   5.02043187E+02   8.38453286E-01   1.60525233E-01   2.73946178E-20   3.96987106E-04   3.84902984E-04   1.46103201E-04   5.91599891E-05   2.29914664E-05  
  28               9.62193471E-02   5.15648420E+02   8.38454909E-01   1.60523615E-01   1.01527197E-19   3.96985310E-04   3.84901242E-04   1.46102540E-04   5.91597214E-05   2.29912347E-05  
  29               1.11906434E-01   5.27965880E+02   8.38456140E-01   1.60522387E-01   3.10595419E-19   3.96983884E-04   3.84899859E-04   1.46102015E-04   5.91595089E-05   2.29910589E-05  
  30               1.30012015E-01   5.43161222E+02   8.38457861E-01   1.60520672E-01   1.16681355E-18   3.96981977E-04   3.84898011E-04   1.46101313E-04   5.91592248E-05   2.29908132E-05  
  31               1.50881195E-01   5.57217984E+02   8.38459175E-01   1.60519361E-01   3.69197654E-18   3.96980466E-04   3.84896545E-04   1.46100757E-04   5.91589995E-05   2.29906255E-05  
  32               1.74896457E-01   5.74287242E+02   8.38460851E-01   1.60517690E-01   1.40320552E-17   3.96978607E-04   3.84894744E-04   1.46100073E-04   5.91587226E-05   2.29903861E-05  
  33               2.02471496E-01   5.90513591E+02   8.38462152E-01   1.60516393E-01   4.61852772E-17   3.96977126E-04   3.84893308E-04   1.46099528E-04   5.91585018E-05   2.29902003E-05  
  34               2.34063499E-01   6.10063288E+02   8.38463695E-01   1.60514854E-01   1.80376514E-16   3.96975439E-04   3.84891671E-04   1.46098907E-04   5.91582503E-05   2.29899800E-05  
