# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              H2O(s)           Ar              
  34               1.74043020E-01   1.00623581E+02   8.38078023E-01   1.60464425E-01   7.78447917E-04   5.30760784E-04   1.18518249E-04   2.29804432E-05   1.14761660E-17   4.22063445E-06  
  35               2.02708604E-01   1.05652159E+02   8.38077977E-01   1.60464417E-01   7.78447891E-04   5.30760766E-04   1.18518245E-04   2.29804420E-05   1.37559905E-16   4.22063422E-06  
  36               2.36123482E-01   1.10782275E+02   8.38077772E-01   1.60464377E-01   7.78447774E-04   5.30760686E-04   1.18518228E-04   2.29804363E-05   1.59959782E-15   4.22063319E-06  
  37               2.75086002E-01   1.16329356E+02   8.38077026E-01   1.60464235E-01   7.78447390E-04   5.30760425E-04   1.18518169E-04   2.29804159E-05   1.51385433E-14   4.22062943E-06  
  38               3.20534961E-01   1.21991753E+02   8.38074003E-01   1.60463656E-01   7.78445768E-04   5.30759319E-04   1.18517922E-04   2.29803330E-05   1.48025757E-13   4.22061420E-06  
  39               3.73577274E-01   1.28251404E+02   8.38064497E-01   1.60461836E-01   7.78441440E-04   5.30756368E-04   1.18517263E-04   2.29800723E-05   1.16327443E-12   4.22056633E-06  
  40               4.35527026E-01   1.34606197E+02   8.37995012E-01   1.60448531E-01   7.78387252E-04   5.30719422E-04   1.18509013E-04   2.29781670E-05   9.55011029E-12   4.22021640E-06  
  41               5.07923246E-01   1.41669016E+02   8.38077889E-01   1.60464400E-01   7.78543497E-04   5.30825952E-04   1.18532801E-04   2.29804395E-05   6.20579763E-11   4.22063377E-06  
  42               5.92569884E-01   1.48779803E+02   8.38077888E-01   1.60464400E-01   7.78543503E-04   5.30825956E-04   1.18532802E-04   2.29804395E-05   4.21524979E-10   4.22063377E-06  
  43               6.91590723E-01   1.56672579E+02   8.38077887E-01   1.60464399E-01   7.78543502E-04   5.30825955E-04   1.18532801E-04   2.29804395E-05   2.24669109E-09   4.22063376E-06  
  44               8.07487047E-01   1.64548740E+02   8.38077878E-01   1.60464398E-01   7.78543496E-04   5.30825951E-04   1.18532800E-04   2.29804392E-05   1.26275745E-08   4.22063372E-06  
  45               9.43221061E-01   1.73300234E+02   8.38077841E-01   1.60464391E-01   7.78543474E-04   5.30825937E-04   1.18532797E-04   2.29804382E-05   5.66377642E-08   4.22063354E-06  
  46               1.10225991E+00   1.82053593E+02   8.38077666E-01   1.60464357E-01   7.78543371E-04   5.30825866E-04   1.18532781E-04   2.29804334E-05   2.65511602E-07   4.22063265E-06  
  47               1.28866593E+00   1.91728375E+02   8.38077050E-01   1.60464239E-01   7.78543058E-04   5.30825653E-04   1.18532733E-04   2.29804165E-05   9.99858236E-07   4.22062955E-06  
  48               1.50619064E+00   2.01364833E+02   8.38074680E-01   1.60463785E-01   7.78541825E-04   5.30824812E-04   1.18532545E-04   2.29803516E-05   3.82568749E-06   4.22061762E-06  
