# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.36447006E+02   8.38502415E-01   1.60511981E-01   1.58035042E-29   5.28757726E-04   3.60696639E-04   6.04064932E-05   0.00000000E+00   0.00000000E+00  
  2                1.85413171E-05   3.81905252E+02   8.38503325E-01   1.60511070E-01   1.25837770E-25   5.28756408E-04   3.60695740E-04   6.04063425E-05   0.00000000E+00   0.00000000E+00  
  3                2.83957951E-05   4.03268930E+02   8.38503369E-01   1.60510967E-01   3.89866302E-24   5.28756293E-04   3.60695661E-04   6.04063294E-05   0.00000000E+00   0.00000000E+00  
  4                4.01357038E-05   4.18021330E+02   8.38503008E-01   1.60510905E-01   3.27628089E-23   5.28756996E-04   3.60696141E-04   6.04064097E-05   0.00000000E+00   0.00000000E+00  
  5                5.42238009E-05   4.32175681E+02   8.38502756E-01   1.60511149E-01   2.21486127E-22   5.28760815E-04   3.60698746E-04   6.04068460E-05   0.00000000E+00   0.00000000E+00  
  6                7.11971309E-05   4.43304424E+02   8.38502767E-01   1.60511139E-01   8.91697073E-22   5.28760804E-04   3.60698738E-04   6.04068447E-05   0.00000000E+00   0.00000000E+00  
  7                9.17191873E-05   4.54227508E+02   8.38502776E-01   1.60511130E-01   3.27722192E-21   5.28760802E-04   3.60698737E-04   6.04068446E-05   0.00000000E+00   0.00000000E+00  
  8                1.16567227E-04   4.63956091E+02   8.38502780E-01   1.60511125E-01   9.80539158E-21   5.28760807E-04   3.60698740E-04   6.04068451E-05   0.00000000E+00   0.00000000E+00  
  9                1.46680592E-04   4.73974866E+02   8.38502786E-01   1.60511120E-01   2.90283954E-20   5.28760818E-04   3.60698748E-04   6.04068464E-05   0.00000000E+00   0.00000000E+00  
  10               1.83197833E-04   4.83024616E+02   8.38502788E-01   1.60511118E-01   7.36075448E-20   5.28760818E-04   3.60698748E-04   6.04068464E-05   0.00000000E+00   0.00000000E+00  
  11               2.27503229E-04   4.92462750E+02   8.38502790E-01   1.60511116E-01   1.87967126E-19   5.28760860E-04   3.60698776E-04   6.04068511E-05   0.00000000E+00   0.00000000E+00  
  12               2.81276443E-04   5.01058455E+02   8.38502790E-01   1.60511116E-01   4.23520635E-19   5.28760876E-04   3.60698788E-04   6.04068530E-05   0.00000000E+00   0.00000000E+00  
  13               3.46555696E-04   5.10179471E+02   8.38502792E-01   1.60511115E-01   9.77686990E-19   5.28760906E-04   3.60698808E-04   6.04068564E-05   0.00000000E+00   0.00000000E+00  
  14               4.25823823E-04   5.18604714E+02   8.38502790E-01   1.60511116E-01   2.04297235E-18   5.28760919E-04   3.60698817E-04   6.04068579E-05   0.00000000E+00   0.00000000E+00  
  15               5.22106082E-04   5.27743843E+02   8.38502791E-01   1.60511116E-01   4.45269504E-18   5.28760954E-04   3.60698841E-04   6.04068619E-05   0.00000000E+00   0.00000000E+00  
  16               6.39067526E-04   5.36301022E+02   8.38502789E-01   1.60511117E-01   8.93827892E-18   5.28761002E-04   3.60698873E-04   6.04068673E-05   0.00000000E+00   0.00000000E+00  
  17               7.81152359E-04   5.45645255E+02   8.38502790E-01   1.60511116E-01   1.87816456E-17   5.28761042E-04   3.60698901E-04   6.04068720E-05   0.00000000E+00   0.00000000E+00  
  18               9.53757937E-04   5.54342147E+02   8.38502789E-01   1.60511118E-01   3.63154088E-17   5.28761062E-04   3.60698915E-04   6.04068742E-05   0.00000000E+00   0.00000000E+00  
  19               1.16344166E-03   5.63763104E+02   8.38502789E-01   1.60511117E-01   7.28963739E-17   5.28761107E-04   3.60698945E-04   6.04068794E-05   0.00000000E+00   0.00000000E+00  
  20               1.41816973E-03   5.72440924E+02   8.38502787E-01   1.60511118E-01   1.34343364E-16   5.28761137E-04   3.60698966E-04   6.04068828E-05   0.00000000E+00   0.00000000E+00  
  21               1.72760976E-03   5.81871348E+02   8.38502789E-01   1.60511117E-01   2.57195924E-16   5.28761183E-04   3.60698997E-04   6.04068881E-05   0.00000000E+00   0.00000000E+00  
  22               2.10348455E-03   5.90555727E+02   8.38502785E-01   1.60511117E-01   4.54586107E-16   5.28761252E-04   3.60699044E-04   6.04068959E-05   0.00000000E+00   0.00000000E+00  
  23               2.55999262E-03   6.00050977E+02   8.38502786E-01   1.60511114E-01   8.36798505E-16   5.28761299E-04   3.60699076E-04   6.04069013E-05   0.00000000E+00   0.00000000E+00  
