# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.50051536E+02   8.38540901E-01   1.60518690E-01   3.27878485E-28   5.12142992E-04   3.01052990E-04   6.00358026E-05   0.00000000E+00   0.00000000E+00  
  2                3.57366917E-04   4.07303674E+02   8.38539215E-01   1.60520269E-01   2.09675173E-24   5.12145311E-04   3.01054353E-04   6.00360746E-05   0.00000000E+00   0.00000000E+00  
  3                7.38305832E-04   4.35521607E+02   8.38539218E-01   1.60519878E-01   9.58355265E-23   5.12148961E-04   3.01056499E-04   6.00365024E-05   0.00000000E+00   0.00000000E+00  
  4                1.17256115E-03   4.52180262E+02   8.38539033E-01   1.60520062E-01   7.05016456E-22   5.12149905E-04   3.01057054E-04   6.00366130E-05   0.00000000E+00   0.00000000E+00  
  5                1.67460809E-03   4.64956507E+02   8.38539037E-01   1.60520057E-01   2.92327064E-21   5.12150051E-04   3.01057139E-04   6.00366301E-05   0.00000000E+00   0.00000000E+00  
  6                2.25766409E-03   4.76117228E+02   8.38539038E-01   1.60520056E-01   9.50241436E-21   5.12150227E-04   3.01057243E-04   6.00366508E-05   0.00000000E+00   0.00000000E+00  
  7                2.93639458E-03   4.85853461E+02   8.38539017E-01   1.60520077E-01   2.52619907E-20   5.12150373E-04   3.01057329E-04   6.00366679E-05   0.00000000E+00   0.00000000E+00  
  8                3.72761699E-03   4.95134264E+02   8.38539002E-01   1.60520091E-01   6.19896131E-20   5.12150545E-04   3.01057430E-04   6.00366880E-05   0.00000000E+00   0.00000000E+00  
  9                4.65077978E-03   5.03645300E+02   8.38538973E-01   1.60520120E-01   1.36486182E-19   5.12150689E-04   3.01057514E-04   6.00367049E-05   0.00000000E+00   0.00000000E+00  
  10               5.72850863E-03   5.12012292E+02   8.38538949E-01   1.60520144E-01   2.89371907E-19   5.12150861E-04   3.01057616E-04   6.00367251E-05   0.00000000E+00   0.00000000E+00  
  11               6.98733130E-03   5.19996333E+02   8.38538916E-01   1.60520177E-01   5.77917616E-19   5.12151002E-04   3.01057698E-04   6.00367416E-05   0.00000000E+00   0.00000000E+00  
  12               8.45828536E-03   5.28063815E+02   8.38538891E-01   1.60520202E-01   1.14035249E-18   5.12151170E-04   3.01057798E-04   6.00367614E-05   0.00000000E+00   0.00000000E+00  
  13               1.01774933E-02   5.35840955E+02   8.38538856E-01   1.60520236E-01   2.14721634E-18   5.12151308E-04   3.01057879E-04   6.00367775E-05   0.00000000E+00   0.00000000E+00  
  14               1.21868259E-02   5.43904450E+02   8.38538832E-01   1.60520259E-01   4.07308802E-18   5.12151470E-04   3.01057974E-04   6.00367965E-05   0.00000000E+00   0.00000000E+00  
  15               1.45347944E-02   5.51983008E+02   8.38538808E-01   1.60520283E-01   7.58939444E-18   5.12151590E-04   3.01058044E-04   6.00368105E-05   0.00000000E+00   0.00000000E+00  
  16               1.72775945E-02   5.60479514E+02   8.38538798E-01   1.60520293E-01   1.43764464E-17   5.12151727E-04   3.01058125E-04   6.00368267E-05   0.00000000E+00   0.00000000E+00  
  17               2.04799840E-02   5.69106006E+02   8.38538789E-01   1.60520302E-01   2.69762316E-17   5.12151835E-04   3.01058188E-04   6.00368393E-05   0.00000000E+00   0.00000000E+00  
  18               2.42163871E-02   5.78272426E+02   8.38538795E-01   1.60520296E-01   5.17843842E-17   5.12151945E-04   3.01058253E-04   6.00368522E-05   0.00000000E+00   0.00000000E+00  
  19               2.85725723E-02   5.87735058E+02   8.38538806E-01   1.60520284E-01   9.95038692E-17   5.12152016E-04   3.01058294E-04   6.00368604E-05   0.00000000E+00   0.00000000E+00  
  20               3.36471556E-02   5.97835039E+02   8.38538832E-01   1.60520258E-01   1.96044522E-16   5.12152097E-04   3.01058342E-04   6.00368699E-05   0.00000000E+00   0.00000000E+00  
  21               3.95528931E-02   6.08216924E+02   8.38538860E-01   1.60520229E-01   3.84711986E-16   5.12152151E-04   3.01058374E-04   6.00368764E-05   0.00000000E+00   0.00000000E+00  
  22               4.64180376E-02   6.19307433E+02   8.38538902E-01   1.60520187E-01   7.73775873E-16   5.12152207E-04   3.01058407E-04   6.00368829E-05   0.00000000E+00   0.00000000E+00  
  23               5.43896559E-02   6.30861091E+02   8.38538946E-01   1.60520140E-01   1.56321656E-15   5.12152263E-04   3.01058440E-04   6.00368895E-05   0.00000000E+00   0.00000000E+00  
  24               6.36404391E-02   6.43316144E+02   8.38539007E-01   1.60520079E-01   3.25602919E-15   5.12152290E-04   3.01058456E-04   6.00368926E-05   0.00000000E+00   0.00000000E+00  
  25               7.43661805E-02   6.56307127E+02   8.38539062E-01   1.60520014E-01   6.80274066E-15   5.12152425E-04   3.01058535E-04   6.00369084E-05   0.00000000E+00   0.00000000E+00  
  26               8.67866310E-02   6.70359168E+02   8.38539138E-01   1.60519937E-01   1.46743852E-14   5.12152419E-04   3.01058531E-04   6.00369077E-05   0.00000000E+00   0.00000000E+00  
  27               1.01146251E-01   6.85151345E+02   8.38539179E-01   1.60519850E-01   3.19113030E-14   5.12152964E-04   3.01058852E-04   6.00369717E-05   0.00000000E+00   0.00000000E+00  
  28               1.17720192E-01   7.01292437E+02   8.38539273E-01   1.60519756E-01   7.20696877E-14   5.12152859E-04   3.01058790E-04   6.00369594E-05   0.00000000E+00   0.00000000E+00  
  29               1.36813636E-01   7.18336349E+02   8.38539171E-01   1.60519622E-01   1.63989967E-13   5.12156276E-04   3.01060798E-04   6.00373598E-05   0.00000000E+00   0.00000000E+00  
  30               1.58757134E-01   7.36846107E+02   8.38539280E-01   1.60519513E-01   3.85045843E-13   5.12156121E-04   3.01060708E-04   6.00373417E-05   0.00000000E+00   0.00000000E+00  
  31               1.83902683E-01   7.56458593E+02   8.38539192E-01   1.60519356E-01   9.10508705E-13   5.12159246E-04   3.01062545E-04   6.00377081E-05   0.00000000E+00   0.00000000E+00  
  32               2.12640797E-01   7.77836687E+02   8.38539333E-01   1.60519211E-01   2.22283763E-12   5.12159148E-04   3.01062487E-04   6.00376965E-05   0.00000000E+00   0.00000000E+00  
  33               2.45451470E-01   8.00633954E+02   8.38539513E-01   1.60519021E-01   5.47416555E-12   5.12158979E-04   3.01062388E-04   6.00376767E-05   0.00000000E+00   0.00000000E+00  
  34               2.82850475E-01   8.25316529E+02   8.38539775E-01   1.60518729E-01   1.37719075E-11   5.12158744E-04   3.01062250E-04   6.00376492E-05   0.00000000E+00   0.00000000E+00  
  35               3.25367784E-01   8.51509391E+02   8.38540188E-01   1.60518230E-01   3.46254237E-11   5.12158458E-04   3.01062082E-04   6.00376157E-05   0.00000000E+00   0.00000000E+00  
  36               3.73532533E-01   8.79617725E+02   8.38540892E-01   1.60517277E-01   8.78022877E-11   5.12158280E-04   3.01061977E-04   6.00375948E-05   0.00000000E+00   0.00000000E+00  
  37               4.27856997E-01   9.09189290E+02   8.38542053E-01   1.60515420E-01   2.19815194E-10   5.12159138E-04   3.01062481E-04   6.00376954E-05   0.00000000E+00   0.00000000E+00  
  38               4.88876246E-01   9.40578055E+02   8.38544186E-01   1.60511791E-01   5.47442813E-10   5.12168205E-04   3.01067811E-04   6.00387582E-05   0.00000000E+00   0.00000000E+00  
  39               5.57323262E-01   9.73240740E+02   8.38549316E-01   1.60505336E-01   1.32921423E-09   5.12157325E-04   3.01061415E-04   6.00374827E-05   0.00000000E+00   0.00000000E+00  
  40               6.33997822E-01   1.00749776E+03   8.38560396E-01   1.60494292E-01   3.16983351E-09   5.12139429E-04   3.01050894E-04   6.00353847E-05   0.00000000E+00   1.25561598E-15  
  41               7.19671396E-01   1.04278006E+03   8.38577425E-01   1.60477322E-01   7.30429752E-09   5.12111725E-04   3.01034604E-04   6.00321362E-05   1.59556363E-15   1.08453470E-14  
  42               8.15108760E-01   1.07919764E+03   8.38600584E-01   1.60454241E-01   1.63208662E-08   5.12075820E-04   3.01013475E-04   6.00279234E-05   1.16661310E-14   8.81986137E-14  
  43               9.21135819E-01   1.11609860E+03   8.38627482E-01   1.60427419E-01   3.48874360E-08   5.12033790E-04   3.00988667E-04   6.00229806E-05   7.78741620E-14   6.51056834E-13  
  44               1.03878106E+00   1.15364161E+03   8.38655389E-01   1.60399561E-01   7.18050679E-08   5.11992094E-04   3.00963732E-04   6.00180336E-05   4.79348189E-13   4.40974351E-12  
  45               1.16948236E+00   1.19140098E+03   8.38681318E-01   1.60373629E-01   1.41470280E-07   5.11953827E-04   3.00939632E-04   6.00133493E-05   2.65988790E-12   2.67745131E-11  
  46               1.31472917E+00   1.22972953E+03   8.38704110E-01   1.60350754E-01   2.69448995E-07   5.11924695E-04   3.00917169E-04   6.00093454E-05   1.35470534E-11   1.48558549E-10  
  47               1.47600455E+00   1.26826206E+03   8.38722900E-01   1.60331769E-01   4.94161134E-07   5.11909051E-04   3.00892369E-04   6.00059536E-05   6.23664808E-11   7.41478532E-10  
  48               1.65480837E+00   1.30739546E+03   8.38738038E-01   1.60316274E-01   8.80831559E-07   5.11917555E-04   3.00857504E-04   6.00032593E-05   2.64916293E-10   3.40212849E-09  
  49               1.85278631E+00   1.34674380E+03   8.38749650E-01   1.60304107E-01   1.51981078E-06   5.11966865E-04   3.00796872E-04   6.00010864E-05   1.02619820E-09   1.41762380E-08  
  50               2.07192909E+00   1.38662047E+03   8.38758314E-01   1.60294593E-01   2.55588106E-06   5.12086802E-04   3.00690666E-04   5.99994063E-05   3.68745518E-09   5.46143830E-08  
  51               2.31497882E+00   1.42664948E+03   8.38764141E-01   1.60287329E-01   4.17429342E-06   5.12322977E-04   3.00528407E-04   5.99982100E-05   1.21911215E-08   1.92868591E-07  
  52               2.58503622E+00   1.46722874E+03   8.38767357E-01   1.60281707E-01   6.66804809E-06   5.12735389E-04   3.00348855E-04   5.99970439E-05   3.77636837E-08   6.36355745E-07  
  53               2.88487359E+00   1.50800463E+03   8.38766088E-01   1.60277120E-01   1.03872885E-05   5.13473664E-04   3.00385420E-04   6.00037712E-05   1.08727297E-07   1.94531304E-06  
  54               3.21570431E+00   1.54942347E+03   8.38753316E-01   1.60272061E-01   1.58922761E-05   5.14488876E-04   3.01086184E-04   6.00025665E-05   2.94562407E-07   5.58251904E-06  
  55               3.57542832E+00   1.59128951E+03   8.38747338E-01   1.60271157E-01   2.38685321E-05   5.16021773E-04   3.03517526E-04   6.00189537E-05   6.39553256E-07   1.89924467E-05  
  56               3.95605912E+00   1.63474441E+03   8.38731575E-01   1.60267534E-01   3.56812733E-05   5.17717975E-04   3.07216560E-04   6.00222840E-05   2.59814489E-06   1.99579823E-05  
  57               4.34581525E+00   1.67681268E+03   8.38700908E-01   1.60263145E-01   5.16159760E-05   5.19652936E-04   3.15199998E-04   6.00348238E-05   8.64262818E-06   2.28786065E-05  
  58               4.72546866E+00   1.71413215E+03   8.38647278E-01   1.60256994E-01   7.04081597E-05   5.21549933E-04   3.30295353E-04   6.00564754E-05   2.11010763E-05   2.89214807E-05  
  59               5.07722181E+00   1.74747377E+03   8.38579190E-01   1.60250781E-01   9.18972669E-05   5.23242444E-04   3.51055740E-04   6.00938810E-05   4.08298535E-05   3.86008378E-05  
  60               5.38623507E+00   1.77443732E+03   8.38518303E-01   1.60247569E-01   1.13001365E-04   5.24460590E-04   3.69732137E-04   6.01248070E-05   6.49762090E-05   5.05934546E-05  
  61               5.72672671E+00   1.80371644E+03   8.38476513E-01   1.60241842E-01   1.40530521E-04   5.25207098E-04   3.77543220E-04   6.01256683E-05   6.48773847E-05   5.06497990E-05  
