# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   3.93579634E+02   8.38494254E-01   1.60508928E-01   1.31968470E-24   5.29261262E-04   3.74707623E-04   6.05417449E-05   0.00000000E+00   0.00000000E+00  
  2                1.75495976E-05   4.41065942E+02   8.38494021E-01   1.60509170E-01   1.32869309E-21   5.29258544E-04   3.74705699E-04   6.05414340E-05   0.00000000E+00   0.00000000E+00  
  3                2.62945229E-05   4.66961554E+02   8.38494054E-01   1.60509158E-01   2.97520412E-20   5.29250411E-04   3.74699941E-04   6.05405037E-05   0.00000000E+00   0.00000000E+00  
  4                3.67148583E-05   4.82591650E+02   8.38494077E-01   1.60509154E-01   1.56566118E-19   5.29242777E-04   3.74694536E-04   6.05396304E-05   0.00000000E+00   0.00000000E+00  
  5                4.92248789E-05   4.99377542E+02   8.38494115E-01   1.60509141E-01   8.48042093E-19   5.29234378E-04   3.74688590E-04   6.05386696E-05   0.00000000E+00   0.00000000E+00  
  6                6.42872748E-05   5.11120661E+02   8.38494143E-01   1.60509129E-01   2.49667793E-18   5.29228191E-04   3.74684210E-04   6.05379620E-05   0.00000000E+00   0.00000000E+00  
  7                8.24620594E-05   5.25548285E+02   8.38494205E-01   1.60509091E-01   9.09191371E-18   5.29220678E-04   3.74678891E-04   6.05371026E-05   0.00000000E+00   0.00000000E+00  
  8                1.04424359E-04   5.35991958E+02   8.38494254E-01   1.60509054E-01   2.14930022E-17   5.29216482E-04   3.74675920E-04   6.05366225E-05   0.00000000E+00   0.00000000E+00  
  9                1.30991904E-04   5.49462022E+02   8.38494384E-01   1.60508949E-01   6.41870588E-17   5.29207830E-04   3.74669795E-04   6.05356329E-05   0.00000000E+00   0.00000000E+00  
  10               1.63147550E-04   5.59326964E+02   8.38494485E-01   1.60508854E-01   1.34247897E-16   5.29204979E-04   3.74667776E-04   6.05353068E-05   0.00000000E+00   0.00000000E+00  
  11               2.02083184E-04   5.72354906E+02   8.38494761E-01   1.60508598E-01   3.53425512E-16   5.29197790E-04   3.74662687E-04   6.05344844E-05   0.00000000E+00   0.00000000E+00  
  12               2.49231398E-04   5.82043601E+02   8.38494973E-01   1.60508380E-01   6.86306500E-16   5.29195673E-04   3.74661188E-04   6.05342423E-05   0.00000000E+00   0.00000000E+00  
  13               3.06320895E-04   5.95108357E+02   8.38495568E-01   1.60507799E-01   1.67770891E-15   5.29189353E-04   3.74656713E-04   6.05335193E-05   0.00000000E+00   0.00000000E+00  
  14               3.75423837E-04   6.05038640E+02   8.38496021E-01   1.60507307E-01   3.14226333E-15   5.29187485E-04   3.74655390E-04   6.05333056E-05   0.00000000E+00   0.00000000E+00  
