# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  34               2.59785268E-02   6.32730190E+02   8.38530555E-01   1.60517350E-01   2.56025527E-15   5.23376973E-04   3.18305526E-04   6.01972318E-05   0.00000000E+00   2.29885225E-05  
  35               3.14941070E-02   6.44990570E+02   8.38530543E-01   1.60517351E-01   5.15029357E-15   5.23377130E-04   3.18305622E-04   6.01972499E-05   0.00000000E+00   2.29885227E-05  
  36               3.81522311E-02   6.57995926E+02   8.38530545E-01   1.60517349E-01   1.05338021E-14   5.23377556E-04   3.18305881E-04   6.01972989E-05   0.00000000E+00   2.29885224E-05  
  37               4.61789101E-02   6.71951475E+02   8.38530519E-01   1.60517333E-01   2.20918780E-14   5.23377670E-04   3.18305951E-04   6.01973121E-05   0.00000000E+00   2.29885201E-05  
  38               5.58388159E-02   6.86991672E+02   8.38530536E-01   1.60517314E-01   4.76377989E-14   5.23378895E-04   3.18306696E-04   6.01974530E-05   0.00000000E+00   2.29885173E-05  
  39               6.74421122E-02   7.03373178E+02   8.38530380E-01   1.60517247E-01   1.06484174E-13   5.23378901E-04   3.18306699E-04   6.01974536E-05   0.00000000E+00   2.29885077E-05  
  40               8.13462303E-02   7.20961363E+02   8.38530419E-01   1.60517201E-01   2.43280356E-13   5.23382526E-04   3.18308904E-04   6.01978705E-05   0.00000000E+00   2.29885011E-05  
  41               9.79565725E-02   7.40198771E+02   8.38530278E-01   1.60517093E-01   5.77055218E-13   5.23382502E-04   3.18308889E-04   6.01978678E-05   0.00000000E+00   2.29884854E-05  
  42               1.17730401E-01   7.61111655E+02   8.38530377E-01   1.60516986E-01   1.41040414E-12   5.23385145E-04   3.18310496E-04   6.01981717E-05   0.00000000E+00   2.29884698E-05  
  43               1.41211842E-01   7.84047723E+02   8.38530550E-01   1.60516805E-01   3.57542345E-12   5.23385043E-04   3.18310435E-04   6.01981600E-05   0.00000000E+00   2.29905473E-05  
  44               1.69040595E-01   8.08888315E+02   8.38530851E-01   1.60516481E-01   9.25745692E-12   5.23384769E-04   3.18310268E-04   6.01981285E-05   0.00000000E+00   2.29956415E-05  
  45               2.01915070E-01   8.36181612E+02   8.38531423E-01   1.60515835E-01   2.47814548E-11   5.23384226E-04   3.18309938E-04   6.01980661E-05   0.00000000E+00   2.30106333E-05  
  46               2.40588886E-01   8.65944549E+02   8.38532526E-01   1.60514489E-01   6.78182772E-11   5.23383435E-04   3.18309457E-04   6.01979751E-05   0.00000000E+00   2.30576134E-05  
  47               2.85855969E-01   8.98455256E+02   8.38534654E-01   1.60511586E-01   1.89442060E-10   5.23383046E-04   3.18309220E-04   6.01979303E-05   0.00000000E+00   2.32089811E-05  
