# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.21210225E+02   8.38370801E-01   1.60488772E-01   3.90815726E-31   5.37545984E-04   2.13335816E-04   2.98485467E-04   5.75204427E-05   2.29843559E-05  
  2                2.36814186E-05   3.63193926E+02   8.38372581E-01   1.60486998E-01   3.21651483E-27   5.37542735E-04   2.13334527E-04   2.98483663E-04   5.75200952E-05   2.29841019E-05  
  3                4.01982287E-05   3.66829711E+02   8.38372188E-01   1.60487368E-01   5.05589516E-27   5.37553946E-04   2.13338977E-04   2.98489888E-04   5.75212948E-05   2.29841549E-05  
  4                6.06701645E-05   3.81311927E+02   8.38371703E-01   1.60487041E-01   6.24921169E-26   5.37553762E-04   2.13338903E-04   2.98489786E-04   5.75212750E-05   2.29841080E-05  
  5                8.61253227E-05   3.81083714E+02   8.38371338E-01   1.60487405E-01   5.03295722E-26   5.37554195E-04   2.13339075E-04   2.98490026E-04   5.75213214E-05   2.29841601E-05  
  6                1.17836943E-04   3.93643974E+02   8.38371558E-01   1.60487186E-01   3.88604925E-25   5.37554042E-04   2.13339015E-04   2.98489942E-04   5.75213050E-05   2.29841288E-05  
  7                1.57342780E-04   3.93245310E+02   8.38371132E-01   1.60487609E-01   3.14284378E-25   5.37554856E-04   2.13339338E-04   2.98490394E-04   5.75213921E-05   2.29841894E-05  
  8                2.06593419E-04   4.05168814E+02   8.38371370E-01   1.60487371E-01   1.96205280E-24   5.37554728E-04   2.13339287E-04   2.98490323E-04   5.75213784E-05   2.29841554E-05  
  9                2.67960127E-04   4.05203684E+02   8.38370960E-01   1.60487775E-01   1.73244551E-24   5.37555554E-04   2.13339615E-04   2.98490781E-04   5.75214668E-05   2.29842132E-05  
  10               3.44442073E-04   4.16990076E+02   8.38371212E-01   1.60487526E-01   9.57041597E-24   5.37554086E-04   2.13339032E-04   2.98489966E-04   5.75213097E-05   2.29841775E-05  
  11               4.39693502E-04   4.17710632E+02   8.38370743E-01   1.60487880E-01   9.44442258E-24   5.37589447E-04   2.13353066E-04   2.98509601E-04   5.75250935E-05   2.29842283E-05  
  12               5.58348024E-04   4.29575924E+02   8.38368815E-01   1.60487236E-01   4.77393530E-23   5.37589901E-04   2.13353246E-04   2.98509853E-04   5.75251421E-05   2.29841360E-05  
  13               7.06053512E-04   4.31036719E+02   8.38368318E-01   1.60487296E-01   5.22485674E-23   5.37589369E-04   2.13353035E-04   2.98509558E-04   5.75250852E-05   2.29841446E-05  
  14               8.89929481E-04   4.43122736E+02   8.38368284E-01   1.60487322E-01   2.46109230E-22   5.37593653E-04   2.13354735E-04   2.98511936E-04   5.75255436E-05   2.29841483E-05  
  15               1.11865194E-03   4.45412157E+02   8.38367986E-01   1.60487618E-01   2.97905207E-22   5.37594429E-04   2.13355043E-04   2.98512367E-04   5.75256266E-05   2.29841906E-05  
  16               1.40341400E-03   4.56817900E+02   8.38368183E-01   1.60487422E-01   1.16372514E-21   5.37594480E-04   2.13355063E-04   2.98512396E-04   5.75256321E-05   2.29841625E-05  
  17               1.75785122E-03   4.59324725E+02   8.38367881E-01   1.60487721E-01   1.42429052E-21   5.37595286E-04   2.13355383E-04   2.98512844E-04   5.75257184E-05   2.29842054E-05  
  18               2.19904926E-03   4.70750292E+02   8.38368059E-01   1.60487543E-01   5.12225222E-21   5.37595386E-04   2.13355423E-04   2.98512899E-04   5.75257291E-05   2.29841799E-05  
  19               2.74810157E-03   4.73384644E+02   8.38367743E-01   1.60487857E-01   6.25639471E-21   5.37596234E-04   2.13355759E-04   2.98513370E-04   5.75258198E-05   2.29842249E-05  
  20               3.43137569E-03   4.84846692E+02   8.38367904E-01   1.60487696E-01   2.08752632E-20   5.37596378E-04   2.13355816E-04   2.98513450E-04   5.75258352E-05   2.29842019E-05  
  21               4.28149080E-03   4.87537429E+02   8.38367563E-01   1.60488035E-01   2.52270563E-20   5.37597279E-04   2.13356174E-04   2.98513950E-04   5.75259317E-05   2.29842504E-05  
  22               5.33907913E-03   4.99092397E+02   8.38367708E-01   1.60487889E-01   7.89973130E-20   5.37597461E-04   2.13356246E-04   2.98514051E-04   5.75259511E-05   2.29842295E-05  
  23               6.65434579E-03   5.01856398E+02   8.38367337E-01   1.60488259E-01   9.46583284E-20   5.37598423E-04   2.13356628E-04   2.98514585E-04   5.75260540E-05   2.29842825E-05  
  24               8.28958393E-03   5.13754846E+02   8.38367481E-01   1.60488114E-01   2.86422371E-19   5.37598623E-04   2.13356707E-04   2.98514696E-04   5.75260754E-05   2.29842617E-05  
  25               1.03221390E-02   5.16699758E+02   8.38367080E-01   1.60488513E-01   3.43936298E-19   5.37599644E-04   2.13357113E-04   2.98515263E-04   5.75261846E-05   2.29843188E-05  
  26               1.28481645E-02   5.28927483E+02   8.38367221E-01   1.60488372E-01   1.00371049E-18   5.37599862E-04   2.13357199E-04   2.98515385E-04   5.75262081E-05   2.29842987E-05  
  27               1.59867157E-02   5.32089557E+02   8.38366788E-01   1.60488803E-01   1.21036865E-18   5.37600949E-04   2.13357631E-04   2.98515988E-04   5.75263243E-05   2.29843603E-05  
  28               1.98854750E-02   5.44677517E+02   8.38366923E-01   1.60488666E-01   3.41531961E-18   5.37601186E-04   2.13357725E-04   2.98516119E-04   5.75263497E-05   2.29843408E-05  
  29               2.47266782E-02   5.47983939E+02   8.38366449E-01   1.60489139E-01   4.10330008E-18   5.37602350E-04   2.13358187E-04   2.98516766E-04   5.75264743E-05   2.29844085E-05  
  30               3.07357393E-02   5.61028319E+02   8.38366584E-01   1.60489003E-01   1.12850354E-17   5.37602602E-04   2.13358287E-04   2.98516906E-04   5.75265012E-05   2.29843890E-05  
  31               3.81895229E-02   5.64805840E+02   8.38366085E-01   1.60489499E-01   1.38709141E-17   5.37603823E-04   2.13358771E-04   2.98517584E-04   5.75266319E-05   2.29844601E-05  
  32               4.74264825E-02   5.78795656E+02   8.38366249E-01   1.60489335E-01   3.85563105E-17   5.37604037E-04   2.13358856E-04   2.98517703E-04   5.75266548E-05   2.29844365E-05  
  33               5.88581744E-02   5.83612757E+02   8.38365769E-01   1.60489811E-01   5.04513772E-17   5.37605250E-04   2.13359338E-04   2.98518376E-04   5.75267846E-05   2.29845048E-05  
  34               7.29867676E-02   5.99147975E+02   8.38365994E-01   1.60489587E-01   1.46625036E-16   5.37605396E-04   2.13359395E-04   2.98518457E-04   5.75268002E-05   2.29844726E-05  
  35               9.04167710E-02   6.05438370E+02   8.38365573E-01   1.60490004E-01   2.08376498E-16   5.37606537E-04   2.13359848E-04   2.98519091E-04   5.75269223E-05   2.29845324E-05  
  36               1.11880730E-01   6.22595776E+02   8.38365848E-01   1.60489729E-01   6.24428984E-16   5.37606605E-04   2.13359875E-04   2.98519129E-04   5.75269296E-05   2.29844930E-05  
  37               1.38269100E-01   6.30545224E+02   8.38365503E-01   1.60490072E-01   9.59843707E-16   5.37607651E-04   2.13360290E-04   2.98519709E-04   5.75270415E-05   2.29845421E-05  
  38               1.70676146E-01   6.49481430E+02   8.38365816E-01   1.60489759E-01   2.93794833E-15   5.37607684E-04   2.13360304E-04   2.98519728E-04   5.75270450E-05   2.29844972E-05  
  39               2.10400495E-01   6.59354783E+02   8.38365551E-01   1.60490016E-01   4.87263731E-15   5.37608616E-04   2.13360673E-04   2.98520245E-04   5.75271448E-05   2.29845341E-05  
  40               2.59015720E-01   6.80466324E+02   8.38365898E-01   1.60489668E-01   1.52759262E-14   5.37608671E-04   2.13360695E-04   2.98520275E-04   5.75271506E-05   2.29844843E-05  
  41               3.18377172E-01   6.92917457E+02   8.38365720E-01   1.60489817E-01   2.77442329E-14   5.37609456E-04   2.13361007E-04   2.98520711E-04   5.75272346E-05   2.29845057E-05  
  42               3.90683493E-01   7.16711913E+02   8.38366094E-01   1.60489443E-01   8.92340393E-14   5.37609788E-04   2.13361139E-04   2.98520896E-04   5.75272702E-05   2.29844520E-05  
  43               4.78468510E-01   7.32178832E+02   8.38365963E-01   1.60489484E-01   1.76258373E-13   5.37610415E-04   2.13361387E-04   2.98521244E-04   5.75273372E-05   2.29844578E-05  
  44               5.84766378E-01   7.59124405E+02   8.38366225E-01   1.60489076E-01   5.77486022E-13   5.37611482E-04   2.13361811E-04   2.98521836E-04   5.75274514E-05   2.29843992E-05  
  45               7.13053924E-01   7.78189079E+02   8.38366032E-01   1.60489001E-01   1.23253732E-12   5.37614516E-04   2.13363015E-04   2.98523521E-04   5.75277761E-05   2.29843884E-05  
  46               8.67584241E-01   8.08799313E+02   8.38366402E-01   1.60488619E-01   4.07077498E-12   5.37618072E-04   2.13364426E-04   2.98525496E-04   5.75281566E-05   2.29843329E-05  
