# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   2.61296730E+02   8.38358159E-01   1.60516786E-01   2.92700829E-39   5.17644014E-04   2.38144484E-04   2.78696346E-04   5.77723581E-05   2.29879594E-05  
  2                3.33518264E-05   2.92290614E+02   8.38363154E-01   1.60511808E-01   6.64405941E-35   5.17636261E-04   2.38140917E-04   2.78692172E-04   5.77714928E-05   2.29872465E-05  
  3                6.11073077E-05   3.01577407E+02   8.38362958E-01   1.60512000E-01   7.77060889E-34   5.17636728E-04   2.38141132E-04   2.78692423E-04   5.77715449E-05   2.29872740E-05  
  4                9.48299167E-05   3.12125706E+02   8.38364497E-01   1.60510466E-01   1.17832060E-32   5.17634290E-04   2.38140010E-04   2.78691111E-04   5.77712728E-05   2.29870543E-05  
  5                1.35935013E-04   3.18277540E+02   8.38364360E-01   1.60510602E-01   4.99454827E-32   5.17634664E-04   2.38140182E-04   2.78691312E-04   5.77713145E-05   2.29870738E-05  
  6                1.86163047E-04   3.26491964E+02   8.38365515E-01   1.60509441E-01   3.39543304E-31   5.17632797E-04   2.38139324E-04   2.78690307E-04   5.77711063E-05   2.29869075E-05  
  7                2.47608557E-04   3.31515616E+02   8.38365280E-01   1.60509675E-01   9.95150748E-31   5.17633249E-04   2.38139531E-04   2.78690550E-04   5.77711566E-05   2.29869410E-05  
  8                3.22844694E-04   3.38918267E+02   8.38366277E-01   1.60508681E-01   4.91180393E-30   5.17631771E-04   2.38138852E-04   2.78689755E-04   5.77709917E-05   2.29867986E-05  
  9                4.14989058E-04   3.43715070E+02   8.38366094E-01   1.60508864E-01   1.27686477E-29   5.17632148E-04   2.38139025E-04   2.78689957E-04   5.77710338E-05   2.29868248E-05  
  10               5.27884720E-04   3.50921896E+02   8.38366996E-01   1.60507912E-01   5.43450943E-29   5.17630607E-04   2.38138316E-04   2.78689128E-04   5.77708618E-05   2.29866885E-05  
  11               6.66233043E-04   3.55648199E+02   8.38366820E-01   1.60508087E-01   1.30761728E-28   5.17631598E-04   2.38138772E-04   2.78689661E-04   5.77709724E-05   2.29867135E-05  
  12               8.35822976E-04   3.62719514E+02   8.38367659E-01   1.60507250E-01   4.92564566E-28   5.17630258E-04   2.38138156E-04   2.78688940E-04   5.77708229E-05   2.29865937E-05  
  13               1.04373675E-03   3.67386005E+02   8.38367433E-01   1.60507476E-01   1.10587950E-27   5.17630704E-04   2.38138360E-04   2.78689180E-04   5.77708726E-05   2.29866261E-05  
  14               1.29867751E-03   3.74386608E+02   8.38368154E-01   1.60506757E-01   3.77546735E-27   5.17629555E-04   2.38137832E-04   2.78688562E-04   5.77707444E-05   2.29865231E-05  
  15               1.61128167E-03   3.79073367E+02   8.38367886E-01   1.60507024E-01   8.07216980E-27   5.17630061E-04   2.38138065E-04   2.78688834E-04   5.77708008E-05   2.29865613E-05  
  16               1.99457321E-03   3.86219063E+02   8.38368402E-01   1.60506326E-01   2.61646169E-26   5.17628902E-04   2.38137532E-04   2.78688210E-04   5.77706715E-05   2.29864614E-05  
  17               2.46447063E-03   3.91039376E+02   8.38368131E-01   1.60506591E-01   5.44655102E-26   5.17631608E-04   2.38138776E-04   2.78689667E-04   5.77709735E-05   2.29864994E-05  
  18               3.04044569E-03   3.98384969E+02   8.38368756E-01   1.60505969E-01   1.69382673E-25   5.17630610E-04   2.38138317E-04   2.78689129E-04   5.77708621E-05   2.29864103E-05  
  19               3.74626456E-03   4.03441532E+02   8.38368484E-01   1.60506239E-01   3.48980832E-25   5.17631140E-04   2.38138561E-04   2.78689415E-04   5.77709212E-05   2.29864490E-05  
  20               4.61094145E-03   4.11118275E+02   8.38369096E-01   1.60505630E-01   1.06250520E-24   5.17630162E-04   2.38138111E-04   2.78688888E-04   5.77708121E-05   2.29863617E-05  
  21               5.66975377E-03   4.16553731E+02   8.38368868E-01   1.60505854E-01   2.20809482E-24   5.17630600E-04   2.38138313E-04   2.78689124E-04   5.77708610E-05   2.29863937E-05  
  22               6.96577215E-03   4.24721602E+02   8.38368892E-01   1.60505103E-01   6.71127694E-24   5.17629256E-04   2.38137694E-04   2.78688400E-04   5.77707110E-05   2.29862863E-05  
  23               8.55172045E-03   4.30629219E+02   8.38368741E-01   1.60505201E-01   1.41705357E-23   5.17637957E-04   2.38141698E-04   2.78693085E-04   5.77716822E-05   2.29863003E-05  
  24               1.04918591E-02   4.39298291E+02   8.38369364E-01   1.60504580E-01   4.27352454E-23   5.17637231E-04   2.38141363E-04   2.78692694E-04   5.77716011E-05   2.29862114E-05  
  25               1.28640027E-02   4.45768975E+02   8.38369167E-01   1.60504658E-01   9.21075589E-23   5.17637530E-04   2.38141501E-04   2.78692855E-04   5.77716344E-05   2.29862225E-05  
  26               1.57629436E-02   4.55092213E+02   8.38369491E-01   1.60504006E-01   2.79060777E-22   5.17637369E-04   2.38141427E-04   2.78692768E-04   5.77716165E-05   2.29861292E-05  
  27               1.93018302E-02   4.62678301E+02   8.38369378E-01   1.60504112E-01   6.51332154E-22   5.17640736E-04   2.38142976E-04   2.78694581E-04   5.77719923E-05   2.29861444E-05  
  28               2.36195980E-02   4.72421998E+02   8.38367736E-01   1.60503063E-01   1.90528306E-21   5.17638328E-04   2.38141868E-04   2.78693285E-04   5.77717235E-05   2.29859941E-05  
  29               2.88885340E-02   4.79653608E+02   8.38367780E-01   1.60502949E-01   3.99424052E-21   5.17671153E-04   2.38156969E-04   2.78710957E-04   5.77753870E-05   2.29859777E-05  
