# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              N2               H                H2S             
  1                1.00000000E-05   7.69374682E+01   8.38477218E-01   1.60541054E-01   4.47256254E-04   3.42540983E-04   1.03050135E-04   5.95301114E-05   3.16468256E-109  2.29914360E-05  
  2                1.82158639E-04   1.07882159E+02   8.38477218E-01   1.60541054E-01   4.47256252E-04   3.42540981E-04   1.03050135E-04   5.95301111E-05   1.36789729E-101  2.29914360E-05  
  3                3.55248201E-04   1.28137595E+02   8.38477202E-01   1.60541051E-01   4.47256242E-04   3.42540974E-04   1.03050132E-04   5.95301098E-05   3.77421234E-85   2.29914356E-05  
  4                5.40975451E-04   1.43879094E+02   8.38477008E-01   1.60541014E-01   4.47256179E-04   3.42540925E-04   1.03050118E-04   5.95301013E-05   1.43489097E-75   2.29914302E-05  
  5                7.45463568E-04   1.54596948E+02   8.38474620E-01   1.60540557E-01   4.47255238E-04   3.42540205E-04   1.03049901E-04   5.95299762E-05   3.52915703E-70   2.29913648E-05  
  6                9.73295747E-04   1.66297961E+02   8.38466820E-01   1.60539063E-01   4.47253823E-04   3.42539121E-04   1.03049575E-04   5.95297878E-05   4.46148710E-65   2.29911509E-05  
  7                1.22876703E-03   1.74732921E+02   8.38411954E-01   1.60528558E-01   4.47235500E-04   3.42525088E-04   1.03045353E-04   5.95273490E-05   7.77788128E-62   2.29896465E-05  
  8                1.51625371E-03   1.85225073E+02   8.37899741E-01   1.60430486E-01   4.47235860E-04   3.42525364E-04   1.03045436E-04   5.95273970E-05   3.33116936E-58   2.29756013E-05  
  9                1.84005066E-03   1.92984250E+02   8.38477046E-01   1.60541021E-01   4.47352536E-04   3.42614722E-04   1.03072319E-04   5.95429266E-05   8.79515631E-56   2.29914313E-05  
  10               2.20516087E-03   2.03197025E+02   8.38476586E-01   1.60540933E-01   4.47608846E-04   3.42811023E-04   1.03131374E-04   5.95770417E-05   7.26427567E-53   2.29914187E-05  
  11               2.61754886E-03   2.10545179E+02   8.38476586E-01   1.60540933E-01   4.47608845E-04   3.42811022E-04   1.03131374E-04   5.95770415E-05   5.94500475E-51   2.29914187E-05  
  12               3.08393909E-03   2.20129020E+02   8.38476586E-01   1.60540933E-01   4.47608843E-04   3.42811021E-04   1.03131373E-04   5.95770412E-05   1.22198815E-48   2.29914187E-05  
  13               3.61190443E-03   2.26768138E+02   8.38476586E-01   1.60540933E-01   4.47608841E-04   3.42811019E-04   1.03131373E-04   5.95770410E-05   3.66155857E-47   2.29914187E-05  
  14               4.21031146E-03   2.35485551E+02   8.38476586E-01   1.60540933E-01   4.47608839E-04   3.42811018E-04   1.03131373E-04   5.95770407E-05   2.42847288E-45   2.29914187E-05  
  15               4.88914512E-03   2.41451938E+02   8.38476586E-01   1.60540933E-01   4.47608837E-04   3.42811016E-04   1.03131372E-04   5.95770404E-05   3.51163748E-44   2.29914187E-05  
  16               5.65987284E-03   2.49681501E+02   8.38476586E-01   1.60540933E-01   4.47608834E-04   3.42811014E-04   1.03131372E-04   5.95770401E-05   1.16293867E-42   2.29914187E-05  
  17               6.53532961E-03   2.55372747E+02   8.38476586E-01   1.60540933E-01   4.47608832E-04   3.42811012E-04   1.03131371E-04   5.95770398E-05   1.12002858E-41   2.29914187E-05  
  18               7.53031216E-03   2.63390086E+02   8.38476586E-01   1.60540933E-01   4.47608829E-04   3.42811010E-04   1.03131370E-04   5.95770394E-05   2.36609566E-40   2.29914187E-05  
