# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  34               1.00531927E-01   5.11763834E+02   8.38482714E-01   1.60530510E-01   4.47125382E-04   3.44014879E-04   6.73669748E-20   1.02484112E-04   5.95294630E-05   2.29911721E-05  
  35               1.16483270E-01   5.28227543E+02   8.38484915E-01   1.60528316E-01   4.47122431E-04   3.44012609E-04   3.12074519E-19   1.02483436E-04   5.95290700E-05   2.29908579E-05  
  36               1.34810701E-01   5.45425888E+02   8.38487084E-01   1.60526153E-01   4.47119748E-04   3.44010545E-04   1.40213772E-18   1.02482821E-04   5.95287129E-05   2.29905481E-05  
  37               1.55830696E-01   5.64505805E+02   8.38489334E-01   1.60523910E-01   4.47116788E-04   3.44008268E-04   6.69924146E-18   1.02482143E-04   5.95283188E-05   2.29902268E-05  
  38               1.79877208E-01   5.84809226E+02   8.38491414E-01   1.60521835E-01   4.47114231E-04   3.44006300E-04   3.16662015E-17   1.02481557E-04   5.95279783E-05   2.29899296E-05  
  39               2.07294335E-01   6.07592214E+02   8.38493419E-01   1.60519836E-01   4.47111658E-04   3.44004320E-04   1.60692727E-16   1.02480967E-04   5.95276357E-05   2.29896433E-05  
  40               2.38429809E-01   6.32692159E+02   8.38495210E-01   1.60518049E-01   4.47109529E-04   3.44002682E-04   8.42955182E-16   1.02480479E-04   5.95273523E-05   2.29893875E-05  
  41               2.73707786E-01   6.60226864E+02   8.38496736E-01   1.60516523E-01   4.47107766E-04   3.44001326E-04   4.50562892E-15   1.02480075E-04   5.95271176E-05   2.29891689E-05  
  42               3.13679137E-01   6.86723122E+02   8.38497785E-01   1.60515462E-01   4.47106684E-04   3.44000493E-04   1.97974894E-14   1.02479827E-04   5.95269735E-05   2.29890168E-05  
  43               3.58908991E-01   7.15851746E+02   8.38498652E-01   1.60514547E-01   4.47106084E-04   3.44000032E-04   8.90645348E-14   1.02479689E-04   5.95268937E-05   2.29888858E-05  
  44               4.09973678E-01   7.43799687E+02   8.38499100E-01   1.60513882E-01   4.47108197E-04   3.44001657E-04   3.35540130E-13   1.02480173E-04   5.95271749E-05   2.29887904E-05  
  45               4.67499182E-01   7.74498743E+02   8.38499443E-01   1.60513285E-01   4.47110639E-04   3.44003536E-04   1.29384878E-12   1.02480733E-04   5.95275001E-05   2.29887047E-05  
  46               5.32348986E-01   8.03912581E+02   8.38499843E-01   1.60512877E-01   4.47110318E-04   3.44003289E-04   4.25603440E-12   1.02480660E-04   5.95274574E-05   2.29886454E-05  
  47               6.05462643E-01   8.36327278E+02   8.38500237E-01   1.60512453E-01   4.47110059E-04   3.44003090E-04   1.43899870E-11   1.02480600E-04   5.95274229E-05   2.29951095E-05  
  48               6.87763600E-01   8.67337513E+02   8.38500567E-01   1.60512019E-01   4.47110058E-04   3.44003089E-04   4.21409407E-11   1.02480600E-04   5.95274227E-05   2.30141857E-05  
  49               7.80148010E-01   9.01437274E+02   8.38500974E-01   1.60511291E-01   4.47110677E-04   3.44003565E-04   1.26495800E-10   1.02480742E-04   5.95275052E-05   2.30814713E-05  
  50               8.83487867E-01   9.33856611E+02   8.38500856E-01   1.60510008E-01   4.47112955E-04   3.44005318E-04   3.32000208E-10   1.02481264E-04   5.95278085E-05   2.32684118E-05  
  51               9.98991156E-01   9.69448124E+02   8.38501234E-01   1.60507569E-01   4.47122246E-04   3.44012465E-04   8.91712094E-10   1.02483393E-04   5.95290453E-05   2.42928812E-05  
  52               1.12811384E+00   1.00326409E+03   8.38505061E-01   1.60503754E-01   4.47116968E-04   3.44008400E-04   2.12452562E-09   1.02482182E-04   5.95283418E-05   2.42922456E-05  
  53               1.27234168E+00   1.04044216E+03   8.38512517E-01   1.60496328E-01   4.47106874E-04   3.44000616E-04   5.18548808E-09   1.02479863E-04   5.95269949E-05   2.42910073E-05  
  54               1.43315990E+00   1.07567495E+03   8.38523372E-01   1.60485516E-01   4.47092520E-04   3.43989500E-04   1.13474506E-08   1.02476548E-04   5.95250718E-05   2.42891871E-05  
  55               1.61208649E+00   1.11432972E+03   8.38540766E-01   1.60468175E-01   4.47069999E-04   3.43971898E-04   2.53845276E-08   1.02471280E-04   5.95220295E-05   2.42862243E-05  
  56               1.81079013E+00   1.15081710E+03   8.38560879E-01   1.60448102E-01   4.47044937E-04   3.43951578E-04   5.13671184E-08   1.02465070E-04   5.95185354E-05   2.42826762E-05  
  57               2.03174214E+00   1.19089578E+03   8.38586509E-01   1.60422485E-01   4.47015398E-04   3.43925170E-04   1.06308012E-07   1.02456361E-04   5.95140805E-05   2.42779109E-05  
  58               2.27767413E+00   1.22820308E+03   8.38609816E-01   1.60399132E-01   4.46997708E-04   3.43898206E-04   1.99224449E-07   1.02443834E-04   5.95099934E-05   2.42731277E-05  
  59               2.55210272E+00   1.26510904E+03   8.38631201E-01   1.60377624E-01   4.47008759E-04   3.43860901E-04   3.56447411E-07   1.02412025E-04   5.95060418E-05   2.42680724E-05  
  60               2.85859702E+00   1.30056070E+03   8.38649024E-01   1.60359598E-01   4.47099769E-04   3.43790051E-04   6.01423016E-07   1.02310192E-04   5.95028986E-05   2.42628850E-05  
  61               3.20094069E+00   1.33634243E+03   8.38664662E-01   1.60343742E-01   4.47361333E-04   3.43615079E-04   9.89507150E-07   1.01998199E-04   5.95000470E-05   2.42568901E-05  
  62               3.58332226E+00   1.37126416E+03   8.38677512E-01   1.60330861E-01   4.47962014E-04   3.43198087E-04   1.56309579E-06   1.01166638E-04   5.94978080E-05   2.42496063E-05  
  63               4.01170084E+00   1.40711753E+03   8.38689247E-01   1.60319698E-01   4.49151231E-04   3.42301586E-04   2.43856660E-06   9.92632549E-05   5.94956679E-05   2.42385659E-05  
  64               4.49416346E+00   1.44267876E+03   8.38699677E-01   1.60310869E-01   4.51262539E-04   3.40607764E-04   3.69693335E-06   9.55153826E-05   5.94936191E-05   2.42192946E-05  
  65               5.04006472E+00   1.47987590E+03   8.38710171E-01   1.60303377E-01   4.54696458E-04   3.37812417E-04   5.58931366E-06   8.91619261E-05   5.94925913E-05   2.41769926E-05  
  66               5.65894527E+00   1.51756700E+03   8.38718517E-01   1.60297298E-01   4.59792490E-04   3.33905979E-04   8.30358180E-06   8.00770753E-05   5.94903032E-05   2.40790516E-05  
  67               6.35815092E+00   1.55782127E+03   8.38712982E-01   1.60289561E-01   4.66835820E-04   3.29762244E-04   1.24178881E-05   6.88461643E-05   5.94912968E-05   2.38288127E-05  
  68               7.13600275E+00   1.59947801E+03   8.38715561E-01   1.60286263E-01   4.75829826E-04   3.28550724E-04   1.84333926E-05   5.63244325E-05   5.95115846E-05   2.21801998E-05  
  69               7.98365156E+00   1.64451058E+03   8.38714348E-01   1.60281434E-01   4.84844582E-04   3.23751252E-04   2.77168554E-05   4.61498517E-05   5.95129061E-05   2.21314885E-05  
  70               8.87575410E+00   1.69186316E+03   8.38699042E-01   1.60275603E-01   4.93521580E-04   3.21518206E-04   4.17098344E-05   3.69409493E-05   5.95176248E-05   2.19859175E-05  
  71               9.77972540E+00   1.73612503E+03   8.38660612E-01   1.60268607E-01   5.00987117E-04   3.29635765E-04   5.98197944E-05   2.94248570E-05   5.95343087E-05   2.16499776E-05  
  72               1.06441537E+01   1.77549647E+03   8.38586352E-01   1.60258418E-01   5.07070520E-04   3.52525030E-04   8.11238674E-05   2.32753113E-05   5.95627254E-05   2.11329447E-05  
  73               1.13978700E+01   1.80774323E+03   8.38501116E-01   1.60250893E-01   5.11940904E-04   3.91140755E-04   1.03016486E-04   1.81659808E-05   5.96235602E-05   2.04542264E-05  
  74               1.20148661E+01   1.83293356E+03   8.38481382E-01   1.60248145E-01   5.13785025E-04   3.93003535E-04   1.23386053E-04   1.65153615E-05   5.96229792E-05   2.04596624E-05  
  75               1.27029101E+01   1.85976619E+03   8.38459820E-01   1.60245588E-01   5.15339482E-04   3.91746779E-04   1.48663029E-04   1.49974825E-05   5.96204441E-05   2.04624974E-05  
  76               1.34680781E+01   1.88831273E+03   8.38421865E-01   1.60240559E-01   5.16661272E-04   3.90354813E-04   1.80139865E-04   1.35972104E-05   5.96164603E-05   2.04613193E-05  
  77               1.41030663E+01   1.91096019E+03   8.38396646E-01   1.60237947E-01   5.17616658E-04   3.89410858E-04   2.08857164E-04   1.26243024E-05   5.96314195E-05   2.04575027E-05  
  78               1.46029870E+01   1.92831418E+03   8.38375006E-01   1.60235775E-01   5.18295243E-04   3.88684000E-04   2.33352041E-04   1.19430951E-05   5.96272453E-05   2.04525149E-05  
  79               1.51687982E+01   1.94725225E+03   8.38348878E-01   1.60233214E-01   5.18952121E-04   3.87992542E-04   2.62696280E-04   1.12690421E-05   5.96212863E-05   2.04450862E-05  
  80               1.58065034E+01   1.96804413E+03   8.38316929E-01   1.60230145E-01   5.19616814E-04   3.87289277E-04   2.98366061E-04   1.05906060E-05   5.96125614E-05   2.04342466E-05  
  81               1.65210778E+01   1.99037661E+03   8.38248982E-01   1.60220875E-01   5.20169058E-04   3.86607117E-04   3.40924537E-04   9.93832754E-06   5.96018132E-05   2.04189312E-05  
  82               1.70575589E+01   2.00678769E+03   8.38217739E-01   1.60217969E-01   5.20656701E-04   3.86212697E-04   3.75322348E-04   9.49464169E-06   5.96449626E-05   2.04058209E-05  
  83               1.74518039E+01   2.01842818E+03   8.38194206E-01   1.60215805E-01   5.20910138E-04   3.85895117E-04   4.01326319E-04   9.20388353E-06   5.96371508E-05   2.03956587E-05  
  84               1.79048419E+01   2.03174072E+03   8.38165545E-01   1.60213174E-01   5.21208023E-04   3.85563318E-04   4.32920364E-04   8.88386242E-06   5.96282867E-05   2.03825387E-05  
  85               1.84232669E+01   2.04641464E+03   8.38131832E-01   1.60210105E-01   5.21511841E-04   3.85263680E-04   4.69946893E-04   8.55856510E-06   5.96183850E-05   2.03670573E-05  
  86               1.90140933E+01   2.06295107E+03   8.38091024E-01   1.60206408E-01   5.21832920E-04   3.84900616E-04   5.14802754E-04   8.21049646E-06   5.96069926E-05   2.03472304E-05  
  87               1.96877762E+01   2.08103658E+03   8.38042903E-01   1.60202076E-01   5.22148462E-04   3.84536370E-04   5.67603874E-04   7.86490460E-06   5.95939243E-05   2.03234397E-05  
  88               2.04533138E+01   2.10122819E+03   8.37984373E-01   1.60196832E-01   5.22474571E-04   3.84153195E-04   6.31748304E-04   7.50240602E-06   5.95788388E-05   2.02937543E-05  
  89               2.13202788E+01   2.12304558E+03   8.37915385E-01   1.60190683E-01   5.22783567E-04   3.83779757E-04   7.07242708E-04   7.15189903E-06   5.95613256E-05   2.02584565E-05  
  90               2.22988161E+01   2.14707968E+03   8.37831676E-01   1.60183250E-01   5.23092316E-04   3.83396054E-04   7.98756056E-04   6.79386281E-06   5.95410750E-05   2.02150600E-05  
  91               2.33996967E+01   2.17276107E+03   8.37733101E-01   1.60174532E-01   5.23373626E-04   3.83030195E-04   9.06403180E-04   6.45583929E-06   5.95175683E-05   2.01640385E-05  
  92               2.46343718E+01   2.20067733E+03   8.37614009E-01   1.60164029E-01   5.23643309E-04   3.82662699E-04   1.03635717E-03   6.11945427E-06   5.94907005E-05   2.01024107E-05  
  93               2.60150717E+01   2.23017843E+03   8.37474225E-01   1.60151736E-01   5.23876450E-04   3.82319497E-04   1.18876926E-03   5.80948296E-06   5.94597517E-05   2.00310240E-05  
  94               2.75549114E+01   2.26185642E+03   8.37306350E-01   1.60137002E-01   5.24087854E-04   3.81981358E-04   1.37171622E-03   5.50821343E-06   5.94248009E-05   1.99464245E-05  
  95               2.92680501E+01   2.29497859E+03   8.37108485E-01   1.60119465E-01   5.24254177E-04   3.81674754E-04   1.58506716E-03   5.23746724E-06   5.93847977E-05   1.98500867E-05  
  96               3.11698373E+01   2.33017373E+03   8.36866741E-01   1.60098834E-01   5.24478967E-04   3.87435378E-04   1.83938314E-03   4.90219505E-06   5.93429743E-05   1.97713371E-05  
  97               3.32763262E+01   2.36662495E+03   8.36596184E-01   1.60075198E-01   5.24566697E-04   3.87286050E-04   2.13372023E-03   4.67818929E-06   5.92926471E-05   1.96460287E-05  
  98               3.56057942E+01   2.40501174E+03   8.36276345E-01   1.60047276E-01   5.24618154E-04   3.87133429E-04   2.48164362E-03   4.46864407E-06   5.92362707E-05   1.95029836E-05  
  99               3.81787930E+01   2.44446895E+03   8.35909301E-01   1.60015257E-01   5.24616721E-04   3.86997366E-04   2.88086533E-03   4.29009816E-06   5.91727804E-05   1.93459499E-05  
  100              4.10173268E+01   2.48574120E+03   8.35479166E-01   1.59977751E-01   5.24573501E-04   3.86861215E-04   3.34868154E-03   4.12572324E-06   5.91022169E-05   1.91699163E-05  
  101              4.41455359E+01   2.52789457E+03   8.34990334E-01   1.59935148E-01   5.24473758E-04   3.86743640E-04   3.88028643E-03   3.99045525E-06   5.90232059E-05   1.89801656E-05  
