# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.48536552E+02   8.38490458E-01   1.60543380E-01   1.70685933E-41   5.26594880E-04   3.42288790E-04   6.02134481E-05   0.00000000E+00   2.29933034E-05  
  2                1.09315198E-04   2.96792178E+02   8.38491782E-01   1.60542057E-01   1.43051228E-34   5.26594323E-04   3.42288427E-04   6.02133844E-05   0.00000000E+00   2.29931140E-05  
  3                2.16133127E-04   3.17145595E+02   8.38493855E-01   1.60539972E-01   2.95200481E-32   5.26597053E-04   3.42290202E-04   6.02136965E-05   0.00000000E+00   2.29928154E-05  
  4                3.36550254E-04   3.31695632E+02   8.38496060E-01   1.60537765E-01   8.91197383E-31   5.26598747E-04   3.42291303E-04   6.02138902E-05   0.00000000E+00   2.29924993E-05  
  5                4.73996257E-04   3.42577651E+02   8.38497624E-01   1.60536121E-01   9.27295446E-30   5.26603496E-04   3.42294390E-04   6.02144333E-05   0.00000000E+00   2.29922639E-05  
  6                6.31788210E-04   3.52755919E+02   8.38499371E-01   1.60534371E-01   7.33100471E-29   5.26605662E-04   3.42295798E-04   6.02146810E-05   0.00000000E+00   2.29920132E-05  
  7                8.13479478E-04   3.61474927E+02   8.38500689E-01   1.60533047E-01   3.89168625E-28   5.26609097E-04   3.42298030E-04   6.02150737E-05   0.00000000E+00   2.29918236E-05  
  8                1.02306265E-03   3.70468565E+02   8.38502223E-01   1.60531510E-01   2.02543084E-27   5.26611381E-04   3.42299515E-04   6.02153349E-05   0.00000000E+00   2.29916034E-05  
  9                1.26510265E-03   3.78403908E+02   8.38503337E-01   1.60530389E-01   8.05972236E-27   5.26614915E-04   3.42301812E-04   6.02157390E-05   0.00000000E+00   2.29914429E-05  
  10               1.54484490E-03   3.86951180E+02   8.38504293E-01   1.60528971E-01   3.38208008E-26   5.26617197E-04   3.42303296E-04   6.02160000E-05   0.00000000E+00   2.29912398E-05  
  11               1.86832078E-03   3.94687445E+02   8.38505303E-01   1.60527946E-01   1.16461287E-25   5.26625552E-04   3.42308726E-04   6.02169553E-05   0.00000000E+00   2.29910930E-05  
  12               2.24252322E-03   4.03061821E+02   8.38506442E-01   1.60526802E-01   4.24261404E-25   5.26628346E-04   3.42310543E-04   6.02172748E-05   0.00000000E+00   2.29909291E-05  
  13               2.67548350E-03   4.10790776E+02   8.38507287E-01   1.60525950E-01   1.32569023E-24   5.26632067E-04   3.42312961E-04   6.02177003E-05   0.00000000E+00   2.29908072E-05  
  14               3.17641128E-03   4.19408262E+02   8.38508309E-01   1.60524919E-01   4.53492001E-24   5.26635141E-04   3.42314959E-04   6.02180517E-05   0.00000000E+00   2.29906595E-05  
  15               3.75593118E-03   4.27531456E+02   8.38509082E-01   1.60524125E-01   1.37350540E-23   5.26637653E-04   3.42316592E-04   6.02183390E-05   0.00000000E+00   2.29905458E-05  
  16               4.42631307E-03   4.36703778E+02   8.38507260E-01   1.60522655E-01   4.60957006E-23   5.26681812E-04   3.42345296E-04   6.02233884E-05   0.00000000E+00   2.29903352E-05  
  17               5.20129600E-03   4.45777621E+02   8.38507939E-01   1.60521578E-01   1.45041171E-22   5.26687343E-04   3.42348891E-04   6.02240208E-05   0.00000000E+00   2.29901809E-05  
  18               6.09724009E-03   4.54900563E+02   8.38508394E-01   1.60521114E-01   4.37955501E-22   5.26692132E-04   3.42352004E-04   6.02245684E-05   0.00000000E+00   2.29901145E-05  
  19               7.13445741E-03   4.62950834E+02   8.38508823E-01   1.60520677E-01   1.10800615E-21   5.26696695E-04   3.42354969E-04   6.02250901E-05   0.00000000E+00   2.29900519E-05  
  20               8.33532580E-03   4.72082153E+02   8.38509367E-01   1.60520125E-01   3.08152794E-21   5.26701053E-04   3.42357802E-04   6.02255885E-05   0.00000000E+00   2.29899728E-05  
  21               9.72535219E-03   4.80404687E+02   8.38509722E-01   1.60519762E-01   7.50266485E-21   5.26705882E-04   3.42360941E-04   6.02261406E-05   0.00000000E+00   2.29899208E-05  
  22               1.13336926E-02   4.89978619E+02   8.38510193E-01   1.60519283E-01   2.03019891E-20   5.26710537E-04   3.42363967E-04   6.02266729E-05   0.00000000E+00   2.29898522E-05  
  23               1.31936224E-02   4.98887474E+02   8.38510517E-01   1.60518949E-01   4.91830631E-20   5.26715601E-04   3.42367258E-04   6.02272519E-05   0.00000000E+00   2.29898044E-05  
  24               1.53432744E-02   5.09157446E+02   8.38510943E-01   1.60518514E-01   1.32455171E-19   5.26720552E-04   3.42370477E-04   6.02278180E-05   0.00000000E+00   2.29897422E-05  
  25               1.78264831E-02   5.18760633E+02   8.38511241E-01   1.60518208E-01   3.20621239E-19   5.26725888E-04   3.42373945E-04   6.02284282E-05   0.00000000E+00   2.29896982E-05  
  26               2.06940124E-02   5.29820814E+02   8.38511622E-01   1.60517817E-01   8.60430853E-19   5.26731169E-04   3.42377378E-04   6.02290321E-05   0.00000000E+00   2.29896423E-05  
  27               2.40033479E-02   5.40380722E+02   8.38511904E-01   1.60517525E-01   2.11481543E-18   5.26736799E-04   3.42381038E-04   6.02296759E-05   0.00000000E+00   2.29896005E-05  
  28               2.78198988E-02   5.52607200E+02   8.38512259E-01   1.60517160E-01   5.79012951E-18   5.26742428E-04   3.42384696E-04   6.02303194E-05   0.00000000E+00   2.29895482E-05  
  29               3.22177411E-02   5.64415367E+02   8.38512529E-01   1.60516879E-01   1.46235745E-17   5.26748394E-04   3.42388574E-04   6.02310016E-05   0.00000000E+00   2.29895080E-05  
  30               3.72799127E-02   5.78039334E+02   8.38512853E-01   1.60516544E-01   4.09732717E-17   5.26754430E-04   3.42392498E-04   6.02316918E-05   0.00000000E+00   2.29894599E-05  
  31               4.30982817E-02   5.91479203E+02   8.38513111E-01   1.60516274E-01   1.07699714E-16   5.26760779E-04   3.42396625E-04   6.02324179E-05   0.00000000E+00   2.29894213E-05  
  32               4.97737628E-02   6.07039491E+02   8.38513412E-01   1.60515962E-01   3.15197999E-16   5.26767254E-04   3.42400833E-04   6.02331582E-05   0.00000000E+00   2.29893766E-05  
  33               5.74177973E-02   6.22668878E+02   8.38513655E-01   1.60515704E-01   8.76151770E-16   5.26774048E-04   3.42405249E-04   6.02339350E-05   0.00000000E+00   2.29893396E-05  
  34               6.61577775E-02   6.40523288E+02   8.38513920E-01   1.60515426E-01   2.66888084E-15   5.26781120E-04   3.42409846E-04   6.02347437E-05   0.00000000E+00   2.29892999E-05  
  35               7.61394626E-02   6.58616727E+02   8.38514130E-01   1.60515196E-01   7.74477702E-15   5.26788448E-04   3.42414610E-04   6.02355816E-05   0.00000000E+00   2.29892668E-05  
  36               8.75189725E-02   6.79277591E+02   8.38514337E-01   1.60514953E-01   2.45525440E-14   5.26796627E-04   3.42419926E-04   6.02365168E-05   0.00000000E+00   2.29892320E-05  
  37               1.00458849E-01   7.00565307E+02   8.38514472E-01   1.60514739E-01   7.50114915E-14   5.26804604E-04   3.42425111E-04   6.02374289E-05   0.00000000E+00   2.29892014E-05  
  38               1.15130713E-01   7.24693195E+02   8.38514502E-01   1.60514496E-01   2.47157131E-13   5.26816230E-04   3.42432668E-04   6.02387584E-05   0.00000000E+00   2.29891665E-05  
  39               1.31708697E-01   7.49573410E+02   8.38514483E-01   1.60514257E-01   7.79338556E-13   5.26825711E-04   3.42438830E-04   6.02398424E-05   0.00000000E+00   2.29891320E-05  
  40               1.50369123E-01   7.77479968E+02   8.38514723E-01   1.60513988E-01   2.60214632E-12   5.26837364E-04   3.42446405E-04   6.02411749E-05   0.00000000E+00   2.29890929E-05  
  41               1.71329265E-01   8.07170793E+02   8.38515126E-01   1.60513540E-01   8.57396815E-12   5.26846557E-04   3.42452381E-04   6.02422261E-05   0.00000000E+00   2.29945149E-05  
  42               1.94808234E-01   8.39631430E+02   8.38516023E-01   1.60512523E-01   2.87537830E-11   5.26855687E-04   3.42458315E-04   6.02432700E-05   0.00000000E+00   2.30148659E-05  
  43               2.21055606E-01   8.70576155E+02   8.38517724E-01   1.60510456E-01   8.33290765E-11   5.26864807E-04   3.42464243E-04   6.02443128E-05   0.00000000E+00   2.30792630E-05  
  44               2.50314356E-01   9.04315450E+02   8.38521216E-01   1.60505515E-01   2.45361857E-10   5.26873910E-04   3.42470160E-04   6.02453538E-05   0.00000000E+00   2.33029160E-05  
  45               2.82802250E-01   9.36330829E+02   8.38527880E-01   1.60496856E-01   6.32836134E-10   5.26888074E-04   3.42479367E-04   6.02469734E-05   0.00000000E+00   2.42912637E-05  
  46               3.18846444E-01   9.71160261E+02   8.38544035E-01   1.60480723E-01   1.65694794E-09   5.26877472E-04   3.42472476E-04   6.02457611E-05   0.00000000E+00   2.42887589E-05  
  47               3.58819311E-01   1.00423373E+03   8.38566000E-01   1.60458797E-01   3.86518843E-09   5.26860902E-04   3.42461705E-04   6.02438663E-05   3.25420600E-16   2.42853336E-05  
  48               4.03052360E-01   1.04017440E+03   8.38596274E-01   1.60428586E-01   9.15228235E-09   5.26835469E-04   3.42445172E-04   6.02409580E-05   2.81495874E-15   2.42805581E-05  
  49               4.51852553E-01   1.07417166E+03   8.38626057E-01   1.60398858E-01   1.95167099E-08   5.26816015E-04   3.42432520E-04   6.02387326E-05   1.90874150E-14   2.42757396E-05  
  50               5.05522484E-01   1.11093225E+03   8.38657166E-01   1.60367783E-01   4.21146990E-08   5.26799793E-04   3.42421948E-04   6.02368742E-05   1.34943281E-13   2.42704711E-05  
  51               5.64361811E-01   1.14556421E+03   8.38681782E-01   1.60343144E-01   8.26809813E-08   5.26798338E-04   3.42420908E-04   6.02366972E-05   7.50207361E-13   2.42659099E-05  
  52               6.28894853E-01   1.18298941E+03   8.38703938E-01   1.60320898E-01   1.64344322E-07   5.26803960E-04   3.42424301E-04   6.02373111E-05   4.27999136E-12   2.42611498E-05  
  53               6.99689789E-01   1.21833700E+03   8.38719621E-01   1.60305033E-01   3.01073067E-07   5.26821681E-04   3.42435218E-04   6.02392687E-05   1.96159015E-11   2.42567831E-05  
  54               7.77308686E-01   1.25656552E+03   8.38732620E-01   1.60291704E-01   5.58931854E-07   5.26844517E-04   3.42448965E-04   6.02417334E-05   9.16667128E-11   2.42515382E-05  
  55               8.62309080E-01   1.29269142E+03   8.38741082E-01   1.60282736E-01   9.65374654E-07   5.26875038E-04   3.42467501E-04   6.02449336E-05   3.52548169E-10   2.42454964E-05  
