# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  34               4.82370164E-01   6.34253973E+02   8.38370707E-01   1.60500400E-01   5.15697102E-04   6.56853301E-16   2.42214118E-04   2.76335178E-04   5.78842897E-05   2.29857976E-05  
  35               5.55294026E-01   6.55054650E+02   8.38372211E-01   1.60498900E-01   5.15694883E-04   2.30422039E-15   2.42213076E-04   2.76333989E-04   5.78840407E-05   2.29855828E-05  
  36               6.38355549E-01   6.78795060E+02   8.38373772E-01   1.60497341E-01   5.15692561E-04   8.84107912E-15   2.42211986E-04   2.76332745E-04   5.78837801E-05   2.29853596E-05  
  37               7.32752498E-01   7.02582244E+02   8.38375028E-01   1.60496077E-01   5.15690745E-04   3.09574242E-14   2.42211133E-04   2.76331772E-04   5.78835763E-05   2.29851785E-05  
  38               8.39726841E-01   7.29359940E+02   8.38376235E-01   1.60494838E-01   5.15689080E-04   1.15658697E-13   2.42210350E-04   2.76330880E-04   5.78833893E-05   2.29850011E-05  
  39               9.60607012E-01   7.56328459E+02   8.38377040E-01   1.60493825E-01   5.15688087E-04   3.95914332E-13   2.42209884E-04   2.76330348E-04   5.78832778E-05   2.29848558E-05  
  40               1.09695445E+00   7.86214641E+02   8.38377726E-01   1.60492870E-01   5.15689917E-04   1.40820833E-12   2.42210743E-04   2.76331328E-04   5.78834832E-05   2.29847187E-05  
  41               1.25070746E+00   8.16221674E+02   8.38378429E-01   1.60492155E-01   5.15692247E-04   4.57226194E-12   2.42211838E-04   2.76332577E-04   5.78837449E-05   2.29846157E-05  
  42               1.42381802E+00   8.49099138E+02   8.38379069E-01   1.60491493E-01   5.15691358E-04   1.51436025E-11   2.42211420E-04   2.76332100E-04   5.78836450E-05   2.29899144E-05  
  43               1.61827398E+00   8.81115905E+02   8.38379522E-01   1.60490963E-01   5.15690771E-04   4.44049629E-11   2.42211145E-04   2.76331786E-04   5.78835792E-05   2.30049093E-05  
  44               1.83613758E+00   9.15543468E+02   8.38379860E-01   1.60490388E-01   5.15690645E-04   1.30041243E-10   2.42211086E-04   2.76331718E-04   5.78835650E-05   2.30549057E-05  
  45               2.07979469E+00   9.48986240E+02   8.38379832E-01   1.60489725E-01   5.15691817E-04   3.41221290E-10   2.42211639E-04   2.76332346E-04   5.78836965E-05   2.31948999E-05  
  46               2.35230176E+00   9.84906722E+02   8.38379370E-01   1.60488675E-01   5.15696955E-04   8.95400241E-10   2.42214063E-04   2.76335100E-04   5.78842733E-05   2.36057504E-05  
  47               2.65686414E+00   1.01984431E+03   8.38379404E-01   1.60487264E-01   5.15705820E-04   2.13475035E-09   2.42218278E-04   2.76339850E-04   5.78852683E-05   2.42897631E-05  
  48               2.99709261E+00   1.05608540E+03   8.38381645E-01   1.60485042E-01   5.15701856E-04   4.94469162E-09   2.42216629E-04   2.76337725E-04   5.78848235E-05   2.42893328E-05  
  49               3.37697066E+00   1.09079974E+03   8.38384980E-01   1.60481727E-01   5.15696152E-04   1.04391253E-08   2.42214777E-04   2.76334660E-04   5.78841843E-05   2.42886826E-05  
  50               3.80105823E+00   1.12677932E+03   8.38390262E-01   1.60476460E-01   5.15687369E-04   2.15622928E-08   2.42213583E-04   2.76329904E-04   5.78832047E-05   2.42876394E-05  
  51               4.27521444E+00   1.16118896E+03   8.38397210E-01   1.60469512E-01   5.15675812E-04   4.11651124E-08   2.42217999E-04   2.76323425E-04   5.78819435E-05   2.42862286E-05  
  52               4.80627796E+00   1.19688866E+03   8.38406806E-01   1.60459882E-01   5.15659005E-04   7.73717517E-08   2.42240541E-04   2.76313018E-04   5.78802316E-05   2.42842144E-05  
  53               5.40147501E+00   1.23098149E+03   8.38417639E-01   1.60448946E-01   5.15635128E-04   1.35905020E-07   2.42318922E-04   2.76293872E-04   5.78783332E-05   2.42817973E-05  
  54               6.06844073E+00   1.26636173E+03   8.38430636E-01   1.60435702E-01   5.15588212E-04   2.36044744E-07   2.42542924E-04   2.76243600E-04   5.78761169E-05   2.42786743E-05  
  55               6.81520136E+00   1.30005869E+03   8.38443302E-01   1.60422540E-01   5.15472990E-04   3.86367140E-07   2.43126420E-04   2.76090554E-04   5.78740906E-05   2.42752256E-05  
  56               7.65080304E+00   1.33509581E+03   8.38456873E-01   1.60408096E-01   5.15152267E-04   6.28033694E-07   2.44496899E-04   2.75629709E-04   5.78721708E-05   2.42709606E-05  
  57               8.58708392E+00   1.36844313E+03   8.38468707E-01   1.60395064E-01   5.14294703E-04   9.69517767E-07   2.47402642E-04   2.74358845E-04   5.78710037E-05   2.42663046E-05  
  58               9.63820382E+00   1.40335377E+03   8.38481152E-01   1.60381640E-01   5.12239498E-04   1.49423125E-06   2.52904388E-04   2.71308618E-04   5.78704191E-05   2.42586638E-05  
  59               1.08227486E+01   1.43684380E+03   8.38492942E-01   1.60370467E-01   5.07928141E-04   2.20769180E-06   2.62000516E-04   2.65042696E-04   5.78705716E-05   2.42528642E-05  
  60               1.21630359E+01   1.47242063E+03   8.38507555E-01   1.60359601E-01   5.00081888E-04   3.27983891E-06   2.75348553E-04   2.54096500E-04   5.78707191E-05   2.42410063E-05  
  61               1.36840384E+01   1.50704299E+03   8.38524602E-01   1.60351538E-01   4.88290403E-04   4.71448631E-06   2.91785533E-04   2.38856180E-04   5.78709262E-05   2.41910598E-05  
  62               1.54113096E+01   1.54443606E+03   8.38542457E-01   1.60343271E-01   4.72858627E-04   6.86060384E-06   3.10416176E-04   2.20382348E-04   5.78696027E-05   2.41798014E-05  
  63               1.73677213E+01   1.58146105E+03   8.38560066E-01   1.60337068E-01   4.58012425E-04   9.74170846E-06   3.28673087E-04   2.02112856E-04   5.78723041E-05   2.39045294E-05  
  64               1.95660569E+01   1.62194400E+03   8.38564711E-01   1.60327714E-01   4.41404809E-04   1.40749291E-05   3.47265599E-04   1.83428261E-04   5.78706094E-05   2.38815759E-05  
  65               2.19880997E+01   1.66273956E+03   8.38569881E-01   1.60320828E-01   4.37501131E-04   2.00092215E-05   3.67411062E-04   1.63110777E-04   5.78921368E-05   2.26774187E-05  
  66               2.46044339E+01   1.70765611E+03   8.38581709E-01   1.60313718E-01   4.21268312E-04   2.90564307E-05   3.85715415E-04   1.44718428E-04   5.78912785E-05   2.26171531E-05  
  67               2.73689736E+01   1.75395346E+03   8.38580598E-01   1.60305406E-01   4.08401964E-04   4.19211699E-05   4.03602229E-04   1.26733519E-04   5.78922873E-05   2.24835089E-05  
  68               3.01950892E+01   1.80283858E+03   8.38557173E-01   1.60294521E-01   4.04819982E-04   6.07558347E-05   4.23131879E-04   1.07041444E-04   5.79038758E-05   2.21448076E-05  
  69               3.29650638E+01   1.84207438E+03   8.38498241E-01   1.60282133E-01   4.17748832E-04   8.01845904E-05   4.37501937E-04   9.26066882E-05   5.79213138E-05   2.16758203E-05  
  70               3.54548671E+01   1.88023706E+03   8.38418469E-01   1.60269667E-01   4.52490083E-04   1.04358033E-04   4.54003284E-04   7.59724021E-05   5.79695040E-05   2.09712857E-05  
  71               3.75782316E+01   1.90611509E+03   8.38406567E-01   1.60266704E-01   4.48245694E-04   1.23396360E-04   4.58466222E-04   7.14897213E-05   5.79538623E-05   2.09622605E-05  
  72               3.99324011E+01   1.93915260E+03   8.38387939E-01   1.60262334E-01   4.41936624E-04   1.52715279E-04   4.64757986E-04   6.51006994E-05   5.79323514E-05   2.09406537E-05  
  73               4.25321452E+01   1.96812791E+03   8.38354497E-01   1.60256534E-01   4.38008213E-04   1.82000076E-04   4.68649225E-04   6.11277805E-05   5.78997065E-05   2.09274078E-05  
  74               4.46379779E+01   1.99548103E+03   8.38329918E-01   1.60252547E-01   4.33740617E-04   2.14823231E-04   4.72900637E-04   5.67904298E-05   5.78868756E-05   2.09063878E-05  
