# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  34               5.29124399E-02   1.56993315E+02   8.38109034E-01   1.60470572E-01   7.77520133E-04   5.27938269E-04   5.30725370E-05   3.42092883E-05   2.29843400E-05   5.50910048E-70  
  35               6.42709954E-02   1.66743387E+02   8.38108934E-01   1.60470553E-01   7.77520160E-04   5.27938287E-04   5.30725389E-05   3.42092895E-05   2.29843373E-05   8.34748631E-66  
  36               7.80508873E-02   1.74219585E+02   8.38108143E-01   1.60470401E-01   7.77520263E-04   5.27938357E-04   5.30725459E-05   3.42092940E-05   2.29843156E-05   6.28034505E-63  
  37               9.47666630E-02   1.84596086E+02   8.38106361E-01   1.60470060E-01   7.77520885E-04   5.27938779E-04   5.30725883E-05   3.42093213E-05   2.29842667E-05   2.60626694E-59  
  38               1.15033769E-01   1.92870244E+02   8.38093702E-01   1.60467636E-01   7.77522901E-04   5.27940149E-04   5.30727260E-05   3.42094101E-05   2.29839195E-05   1.02592628E-56  
  39               1.39563701E-01   2.04444088E+02   8.38072943E-01   1.60463662E-01   7.77533128E-04   5.27947093E-04   5.30734240E-05   3.42098600E-05   2.29833503E-05   1.99969956E-53  
  40               1.69226473E-01   2.13319314E+02   8.37965550E-01   1.60443099E-01   7.77558955E-04   5.27964629E-04   5.30751869E-05   3.42109964E-05   2.29804051E-05   3.71427349E-51  
  41               2.05099893E-01   2.24778380E+02   8.37651962E-01   1.60383058E-01   7.77539158E-04   5.27951187E-04   5.30738356E-05   3.42101254E-05   2.29718053E-05   1.74789386E-48  
  42               2.48508095E-01   2.33334781E+02   8.38108159E-01   1.60470404E-01   7.78128911E-04   5.28351631E-04   5.31140914E-05   3.42360733E-05   2.29843160E-05   1.13450390E-46  
  43               3.01100709E-01   2.44382525E+02   8.38108795E-01   1.60470526E-01   7.77705974E-04   5.28064456E-04   5.30852223E-05   3.42174649E-05   2.29843335E-05   1.64109106E-44  
  44               3.64857113E-01   2.52963277E+02   8.38108153E-01   1.60470403E-01   7.78133120E-04   5.28354489E-04   5.31143787E-05   3.42362584E-05   2.29843158E-05   5.64273955E-43  
  45               4.42187467E-01   2.64449215E+02   8.38108153E-01   1.60470403E-01   7.78133148E-04   5.28354508E-04   5.31143806E-05   3.42362597E-05   2.29843158E-05   4.59621494E-41  
  46               5.35997208E-01   2.74042268E+02   8.38108153E-01   1.60470403E-01   7.78133140E-04   5.28354503E-04   5.31143801E-05   3.42362594E-05   2.29843158E-05   1.33816884E-39  
  47               6.49662065E-01   2.87003375E+02   8.38108153E-01   1.60470403E-01   7.78133133E-04   5.28354497E-04   5.31143796E-05   3.42362590E-05   2.29843158E-05   9.12181778E-38  
  48               7.87152178E-01   2.98362560E+02   8.38108153E-01   1.60470403E-01   7.78133124E-04   5.28354492E-04   5.31143790E-05   3.42362586E-05   2.29843158E-05   2.68237649E-36  
  49               9.53217442E-01   3.13404414E+02   8.38108153E-01   1.60470403E-01   7.78133115E-04   5.28354485E-04   5.31143784E-05   3.42362582E-05   2.29843158E-05   1.65542978E-34  
  50               1.15351174E+00   3.27616805E+02   8.38108153E-01   1.60470403E-01   7.78133104E-04   5.28354478E-04   5.31143776E-05   3.42362577E-05   2.29843158E-05   5.68248884E-33  
  51               1.39445966E+00   3.46453357E+02   8.38108153E-01   1.60470403E-01   7.78133092E-04   5.28354470E-04   5.31143768E-05   3.42362572E-05   2.29843158E-05   4.02724199E-31  
  52               1.68312458E+00   3.66497698E+02   8.38107957E-01   1.60470366E-01   7.78133080E-04   5.28354462E-04   5.31143760E-05   3.42362567E-05   2.29843105E-05   2.31501114E-29  
  53               2.02834404E+00   3.87861837E+02   8.38107976E-01   1.60470347E-01   7.78132728E-04   5.28354223E-04   5.31143519E-05   3.42362412E-05   2.29843078E-05   1.09426595E-27  
  54               2.44075232E+00   4.09858724E+02   8.38107970E-01   1.60470346E-01   7.78136650E-04   5.28356886E-04   5.31146197E-05   3.42364138E-05   2.29843076E-05   3.79275096E-26  
  55               2.93159376E+00   4.33259316E+02   8.38107970E-01   1.60470345E-01   7.78136654E-04   5.28356889E-04   5.31146200E-05   3.42364140E-05   2.29843076E-05   1.10879513E-24  
  56               3.51278164E+00   4.57203353E+02   8.38107932E-01   1.60470338E-01   7.78136635E-04   5.28356876E-04   5.31146187E-05   3.42364131E-05   2.29843065E-05   2.44123577E-23  
  57               4.19839881E+00   4.82544597E+02   8.38107536E-01   1.60470295E-01   7.78136739E-04   5.28356946E-04   5.31146258E-05   3.42364177E-05   2.29843003E-05   4.60346298E-22  
  58               5.00597204E+00   5.08430272E+02   8.38104369E-01   1.60470018E-01   7.78137931E-04   5.28357755E-04   5.31147071E-05   3.42364701E-05   2.29842607E-05   6.80638139E-21  
