# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  1                1.00000000E-05   2.74973766E+01   8.38117746E-01   1.60472031E-01   7.76204349E-04   5.27876837E-04   4.21921752E-05   3.40422202E-05   2.29823219E-05   0.00000000E+00  
  2                3.17829009E-05   3.29186374E+01   8.38117746E-01   1.60472031E-01   7.76204343E-04   5.27876833E-04   4.21921749E-05   3.40422200E-05   2.29823219E-05   0.00000000E+00  
  3                5.69528871E-05   3.58007747E+01   8.38117746E-01   1.60472031E-01   7.76204341E-04   5.27876832E-04   4.21921747E-05   3.40422198E-05   2.29823219E-05   0.00000000E+00  
  4                8.60353332E-05   3.76029907E+01   8.38117746E-01   1.60472031E-01   7.76204339E-04   5.27876831E-04   4.21921747E-05   3.40422198E-05   2.29823219E-05   0.00000000E+00  
  5                1.19636190E-04   3.94868125E+01   8.38117746E-01   1.60472031E-01   7.76204338E-04   5.27876830E-04   4.21921746E-05   3.40422197E-05   2.29823219E-05   0.00000000E+00  
  6                1.58454903E-04   4.08179865E+01   8.38117746E-01   1.60472031E-01   7.76204337E-04   5.27876829E-04   4.21921745E-05   3.40422196E-05   2.29823219E-05   0.00000000E+00  
  7                2.03297368E-04   4.24505630E+01   8.38117746E-01   1.60472031E-01   7.76204336E-04   5.27876828E-04   4.21921745E-05   3.40422196E-05   2.29823219E-05   0.00000000E+00  
  8                2.55095852E-04   4.36044966E+01   8.38117746E-01   1.60472031E-01   7.76204335E-04   5.27876828E-04   4.21921744E-05   3.40422196E-05   2.29823219E-05   0.00000000E+00  
  9                3.14922278E-04   4.51399693E+01   8.38117746E-01   1.60472031E-01   7.76204334E-04   5.27876827E-04   4.21921744E-05   3.40422195E-05   2.29823219E-05   0.00000000E+00  
  10               3.84012063E-04   4.62486277E+01   8.38117746E-01   1.60472031E-01   7.76204333E-04   5.27876827E-04   4.21921744E-05   3.40422195E-05   2.29823219E-05   0.00000000E+00  
  11               4.63794605E-04   4.77800177E+01   8.38117746E-01   1.60472031E-01   7.76204332E-04   5.27876826E-04   4.21921743E-05   3.40422194E-05   2.29823219E-05   0.00000000E+00  
  12               5.55912813E-04   4.88944868E+01   8.38117746E-01   1.60472031E-01   7.76204332E-04   5.27876825E-04   4.21921743E-05   3.40422194E-05   2.29823219E-05   0.00000000E+00  
  13               6.62253640E-04   5.04936608E+01   8.38117746E-01   1.60472031E-01   7.76204331E-04   5.27876825E-04   4.21921742E-05   3.40422194E-05   2.29823219E-05   0.00000000E+00  
  14               7.84993287E-04   5.16728503E+01   8.38117746E-01   1.60472031E-01   7.76204330E-04   5.27876824E-04   4.21921742E-05   3.40422193E-05   2.29823219E-05   0.00000000E+00  
  15               9.26645820E-04   5.33410569E+01   8.38117746E-01   1.60472031E-01   7.76204329E-04   5.27876824E-04   4.21921742E-05   3.40422193E-05   2.29823219E-05   0.00000000E+00  
  16               1.09009430E-03   5.45730975E+01   8.38117746E-01   1.60472031E-01   7.76204328E-04   5.27876823E-04   4.21921741E-05   3.40422192E-05   2.29823219E-05   0.00000000E+00  
  17               1.27864183E-03   5.63589341E+01   8.38117746E-01   1.60472031E-01   7.76204327E-04   5.27876823E-04   4.21921741E-05   3.40422192E-05   2.29823219E-05   0.00000000E+00  
  18               1.49607948E-03   5.77291516E+01   8.38117746E-01   1.60472031E-01   7.76204326E-04   5.27876822E-04   4.21921740E-05   3.40422192E-05   2.29823219E-05   0.00000000E+00  
  19               1.74679733E-03   5.96942807E+01   8.38117746E-01   1.60472031E-01   7.76204325E-04   5.27876821E-04   4.21921740E-05   3.40422191E-05   2.29823219E-05   0.00000000E+00  
  20               2.03581950E-03   6.12172764E+01   8.38117746E-01   1.60472031E-01   7.76204324E-04   5.27876821E-04   4.21921739E-05   3.40422191E-05   2.29823219E-05   0.00000000E+00  
  21               2.36887793E-03   6.34001261E+01   8.38117746E-01   1.60472031E-01   7.76204323E-04   5.27876820E-04   4.21921739E-05   3.40422190E-05   2.29823219E-05   0.00000000E+00  
  22               2.75250128E-03   6.51857298E+01   8.38117746E-01   1.60472031E-01   7.76204322E-04   5.27876819E-04   4.21921738E-05   3.40422190E-05   2.29823219E-05   0.00000000E+00  
  23               3.19419880E-03   6.77497052E+01   8.38117746E-01   1.60472031E-01   7.76204321E-04   5.27876818E-04   4.21921738E-05   3.40422189E-05   2.29823219E-05   0.00000000E+00  
  24               3.70263439E-03   6.99794271E+01   8.38117746E-01   1.60472031E-01   7.76204320E-04   5.27876818E-04   4.21921737E-05   3.40422188E-05   2.29823219E-05   0.00000000E+00  
  25               4.28710211E-03   7.32700493E+01   8.38117746E-01   1.60472031E-01   7.76204319E-04   5.27876817E-04   4.21921736E-05   3.40422188E-05   2.29823219E-05   0.00000000E+00  
  26               4.95477688E-03   7.67033847E+01   8.38117746E-01   1.60472031E-01   7.76204317E-04   5.27876816E-04   4.21921736E-05   3.40422187E-05   2.29823219E-05   0.00000000E+00  
  27               5.71376184E-03   8.02082250E+01   8.38117746E-01   1.60472031E-01   7.76204316E-04   5.27876815E-04   4.21921735E-05   3.40422186E-05   2.29823219E-05   0.00000000E+00  
  28               6.57449411E-03   8.38500282E+01   8.38117746E-01   1.60472031E-01   7.76204314E-04   5.27876814E-04   4.21921734E-05   3.40422186E-05   2.29823219E-05   0.00000000E+00  
  29               7.55035422E-03   8.75676790E+01   8.38117746E-01   1.60472031E-01   7.76204313E-04   5.27876813E-04   4.21921733E-05   3.40422185E-05   2.29823219E-05   0.00000000E+00  
  30               8.65826893E-03   9.14458692E+01   8.38117746E-01   1.60472031E-01   7.76204312E-04   5.27876812E-04   4.21921733E-05   3.40422185E-05   2.29823219E-05   0.00000000E+00  
  31               9.91694026E-03   9.54203156E+01   8.38117746E-01   1.60472031E-01   7.76204311E-04   5.27876812E-04   4.21921733E-05   3.40422184E-05   2.29823219E-05   0.00000000E+00  
  32               1.13475610E-02   9.95786770E+01   8.38117648E-01   1.60472012E-01   7.76204311E-04   5.27876811E-04   4.21921732E-05   3.40422184E-05   2.29823192E-05   6.26260239E-17  
  33               1.29744347E-02   1.03849521E+02   8.38117334E-01   1.60471952E-01   7.76204191E-04   5.27876730E-04   4.21921667E-05   3.40422131E-05   2.29823106E-05   6.23348968E-16  
  34               1.48256482E-02   1.08328356E+02   8.38116251E-01   1.60471745E-01   7.76203999E-04   5.27876600E-04   4.21921563E-05   3.40422047E-05   2.29822809E-05   5.25992709E-15  
  35               1.69332257E-02   1.12937057E+02   8.38112395E-01   1.60471006E-01   7.76203287E-04   5.27876115E-04   4.21921176E-05   3.40421735E-05   2.29821752E-05   4.28819012E-14  
  36               1.93332049E-02   1.17846238E+02   8.38100336E-01   1.60468698E-01   7.76201530E-04   5.27874921E-04   4.21920221E-05   3.40420965E-05   2.29818445E-05   3.08141374E-13  
  37               2.20662308E-02   1.22907480E+02   8.38040585E-01   1.60457257E-01   7.76147497E-04   5.27838174E-04   4.21890850E-05   3.40397267E-05   2.29802061E-05   2.15444913E-12  
  38               2.51785874E-02   1.28313312E+02   8.38117604E-01   1.60472004E-01   7.76299361E-04   5.27941453E-04   4.21973399E-05   3.40463871E-05   2.29823180E-05   1.31464378E-11  
  39               2.87235109E-02   1.33854050E+02   8.38117605E-01   1.60472004E-01   7.76299031E-04   5.27941228E-04   4.21973220E-05   3.40463726E-05   2.29823180E-05   7.89706625E-11  
  40               3.27613019E-02   1.39785878E+02   8.38117604E-01   1.60472004E-01   7.76299583E-04   5.27941604E-04   4.21973520E-05   3.40463968E-05   2.29823180E-05   4.11562512E-10  
  41               3.73605466E-02   1.45833973E+02   8.38117602E-01   1.60472003E-01   7.76299578E-04   5.27941600E-04   4.21973517E-05   3.40463966E-05   2.29823180E-05   2.08630144E-09  
  42               4.25996562E-02   1.52254295E+02   8.38117596E-01   1.60472002E-01   7.76299582E-04   5.27941603E-04   4.21973519E-05   3.40463967E-05   2.29823178E-05   9.34285327E-09  
