# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   6.03061270E+01   8.38334801E-01   1.60513763E-01   5.59916012E-04   3.22289071E-04   1.78574190E-04   3.16395485E-109  5.75500156E-05   2.29871387E-05  
  2                1.07929433E-04   7.88325779E+01   8.38334801E-01   1.60513763E-01   5.59916051E-04   3.22289093E-04   1.78574202E-04   9.63075487E-110  5.75500197E-05   2.29871387E-05  
  3                2.14891328E-04   9.04302338E+01   8.38334800E-01   1.60513763E-01   5.59916082E-04   3.22289111E-04   1.78574212E-04   6.82528566E-110  5.75500228E-05   2.29871387E-05  
  4                3.33053871E-04   1.00217509E+02   8.38324416E-01   1.60511775E-01   5.59908987E-04   3.22285027E-04   1.78571949E-04   9.64887933E-110  5.75492936E-05   2.29868539E-05  
  5                4.66822447E-04   1.07157619E+02   8.38244571E-01   1.60496487E-01   5.59863670E-04   3.22258942E-04   1.78557496E-04   1.66875130E-102  5.75446357E-05   2.29846646E-05  
  6                6.19906711E-04   1.15033428E+02   8.38334686E-01   1.60513741E-01   5.59983848E-04   3.22328117E-04   1.78595825E-04   2.46212553E-95   5.75569880E-05   2.29871355E-05  
  7                7.96124685E-04   1.20859137E+02   8.38334687E-01   1.60513741E-01   5.59983375E-04   3.22327845E-04   1.78595674E-04   1.20287306E-90   5.75569394E-05   2.29871356E-05  
  8                9.99581845E-04   1.28319707E+02   8.38334686E-01   1.60513741E-01   5.59983892E-04   3.22328143E-04   1.78595839E-04   3.00281525E-85   5.75569926E-05   2.29871355E-05  
  9                1.23488339E-03   1.33801275E+02   8.38334684E-01   1.60513741E-01   5.59983895E-04   3.22328144E-04   1.78595840E-04   1.11510756E-81   5.75569929E-05   2.29871355E-05  
  10               1.50747014E-03   1.41189094E+02   8.38334678E-01   1.60513740E-01   5.59983892E-04   3.22328143E-04   1.78595839E-04   2.71596981E-77   5.75569926E-05   2.29871353E-05  
  11               1.82362587E-03   1.46611665E+02   8.38334628E-01   1.60513730E-01   5.59983885E-04   3.22328138E-04   1.78595836E-04   2.29439216E-74   5.75569918E-05   2.29871339E-05  
  12               2.19068178E-03   1.54105960E+02   8.38334528E-01   1.60513711E-01   5.59983845E-04   3.22328115E-04   1.78595824E-04   1.20207909E-70   5.75569877E-05   2.29871312E-05  
